	ZeeviD_2015__PNP_Main_444__bin.30	SmitsSA_2017__TZ_86771__bin.6	FengQ_2015__SID31160__bin.36	BackhedF_2015__SID560_M__bin.34	RampelliS_2015__H14__bin.95	ZeeviD_2015__PNP_Main_13__bin.53	LiSS_2016__FAT_012-22-84-0__bin.55	SmitsSA_2017__TZ_65642__bin.20	ZeeviD_2015__PNP_Main_74__bin.14	ZellerG_2014__CCIS51667829ST-4-0__bin.32	WenC_2017__N315__bin.23	ZeeviD_2015__PNP_Main_199__bin.32	ZeeviD_2015__PNP_Main_116__bin.24	ZeeviD_2015__PNP_Main_33__bin.51	FengQ_2015__SID31300__bin.57	NielsenHB_2014__V1_CD34_0__bin.54	ZeeviD_2015__PNP_Main_335__bin.22	LiJ_2014__V1.CD55-0__bin.71	RampelliS_2015__H25__bin.12	ZeeviD_2015__PNP_Main_359__bin.33	NielsenHB_2014__V1_UC27_0__bin.14	ZeeviD_2015__PNP_Main_213__bin.17	ZeeviD_2015__PNP_Main_211__bin.14	ZellerG_2014__CCIS59132091ST-4-0__bin.11	ZeeviD_2015__PNP_Main_46__bin.35	ZeeviD_2015__PNP_Main_163__bin.37	ZeeviD_2015__PNP_Main_228__bin.29	ZellerG_2014__CCIS03473770ST-4-0__bin.27	RampelliS_2015__H21__bin.34	ZellerG_2014__CCIS74239020ST-4-0__bin.85	ZellerG_2014__CCIS03857607ST-4-0__bin.45	ZeeviD_2015__PNP_Main_378__bin.32	YuJ_2015__SZAXPI015210-17__bin.66	YuJ_2015__SZAXPI017591-140__bin.18	ZeeviD_2015__PNP_Main_41__bin.19	RampelliS_2015__H10__bin.95	RampelliS_2015__H24__bin.83	ChengpingW_2017__AS49raw__bin.23	ZeeviD_2015__PNP_Main_310__bin.29	ZeeviD_2015__PNP_Main_455__bin.37
ZeeviD_2015__PNP_Main_444__bin.30	0.0	35009.0	16007.0	17460.0	46371.0	19382.0	19048.0	41013.0	12243.0	17762.0	21879.0	18076.0	15435.0	4058.0	20855.0	22340.0	18087.0	9079.0	32075.0	13247.0	7766.0	1939.0	18051.0	18137.0	16465.0	16728.0	23728.0	4926.0	47579.0	15209.0	13950.0	17428.0	18283.0	15060.0	20718.0	46798.0	39682.0	16670.0	9046.0	16765.0
SmitsSA_2017__TZ_86771__bin.6	35009.0	0.0	37545.0	39396.0	11399.0	40971.0	47774.0	12958.0	47466.0	44483.0	40909.0	44532.0	39088.0	42111.0	48131.0	46904.0	44468.0	24149.0	18979.0	32604.0	30013.0	45789.0	44748.0	44612.0	40087.0	42125.0	50263.0	47249.0	27613.0	24131.0	31998.0	37205.0	32076.0	31189.0	47542.0	11092.0	7899.0	39517.0	22967.0	35109.0
FengQ_2015__SID31160__bin.36	16007.0	37545.0	0.0	14649.0	50427.0	20433.0	15747.0	44671.0	19416.0	15078.0	22086.0	14827.0	13051.0	18069.0	20583.0	21970.0	15293.0	6852.0	35046.0	10611.0	12184.0	19518.0	14779.0	15924.0	12294.0	13979.0	26471.0	19353.0	51963.0	18117.0	12039.0	18363.0	19872.0	16771.0	21125.0	52350.0	43382.0	14672.0	9050.0	19502.0
BackhedF_2015__SID560_M__bin.34	17460.0	39396.0	14649.0	0.0	54354.0	23269.0	18562.0	49907.0	21569.0	16732.0	23886.0	16815.0	14624.0	20587.0	22331.0	23666.0	17471.0	9245.0	35388.0	12263.0	13887.0	22440.0	16727.0	18101.0	14876.0	16299.0	27726.0	22195.0	57294.0	17979.0	12235.0	20760.0	18787.0	18378.0	23837.0	55754.0	46470.0	15983.0	11915.0	19669.0
RampelliS_2015__H14__bin.95	46371.0	11399.0	50427.0	54354.0	0.0	60055.0	66709.0	24448.0	67606.0	63223.0	56833.0	62734.0	55990.0	60285.0	67492.0	68213.0	63671.0	37927.0	26950.0	44427.0	44983.0	65431.0	64209.0	62656.0	55951.0	58465.0	69278.0	66322.0	43208.0	38314.0	42244.0	54010.0	40773.0	47732.0	67176.0	2449.0	7994.0	55422.0	35581.0	45476.0
ZeeviD_2015__PNP_Main_13__bin.53	19382.0	40971.0	20433.0	23269.0	60055.0	0.0	29466.0	56848.0	27652.0	27044.0	25705.0	26052.0	21882.0	25331.0	27918.0	29087.0	25686.0	18204.0	32711.0	17613.0	21093.0	28427.0	26033.0	25264.0	22753.0	23436.0	23268.0	27491.0	64661.0	24072.0	16095.0	2897.0	16605.0	24174.0	26723.0	62886.0	50504.0	22885.0	17519.0	1394.0
LiSS_2016__FAT_012-22-84-0__bin.55	19048.0	47774.0	15747.0	18562.0	66709.0	29466.0	0.0	62279.0	25642.0	19795.0	27996.0	19497.0	15939.0	23229.0	26295.0	29185.0	19785.0	11334.0	41436.0	12895.0	17382.0	25987.0	19171.0	20306.0	16929.0	18401.0	34101.0	25192.0	70864.0	23251.0	13722.0	25532.0	20989.0	23205.0	27733.0	68765.0	56918.0	17627.0	14595.0	22933.0
SmitsSA_2017__TZ_65642__bin.20	41013.0	12958.0	44671.0	49907.0	24448.0	56848.0	62279.0	0.0	60119.0	57974.0	50176.0	57912.0	48530.0	53266.0	59887.0	60982.0	57659.0	35227.0	21787.0	39955.0	42005.0	58331.0	57471.0	57073.0	50216.0	52759.0	63944.0	59072.0	33990.0	34861.0	37325.0	48583.0	35310.0	45256.0	61133.0	24473.0	19469.0	50501.0	35806.0	40271.0
ZeeviD_2015__PNP_Main_74__bin.14	12243.0	47466.0	19416.0	21569.0	67606.0	27652.0	25642.0	60119.0	0.0	23599.0	28809.0	25487.0	20133.0	14001.0	28704.0	29776.0	24423.0	16335.0	40802.0	16092.0	8938.0	16776.0	24124.0	24206.0	20580.0	22051.0	32165.0	15827.0	70887.0	23237.0	15983.0	24294.0	21576.0	26662.0	28882.0	70546.0	58397.0	21527.0	16340.0	20786.0
ZellerG_2014__CCIS51667829ST-4-0__bin.32	17762.0	44483.0	15078.0	16732.0	63223.0	27044.0	19795.0	57974.0	23599.0	0.0	25134.0	18682.0	14973.0	21651.0	24488.0	27491.0	17784.0	11594.0	38787.0	12183.0	18031.0	23986.0	13136.0	19492.0	14970.0	16672.0	31992.0	23524.0	66754.0	23903.0	12718.0	23751.0	18758.0	25545.0	26483.0	65794.0	53977.0	17048.0	15515.0	20903.0
WenC_2017__N315__bin.23	21879.0	40909.0	22086.0	23886.0	56833.0	25705.0	27996.0	50176.0	28809.0	25134.0	0.0	25729.0	21819.0	25902.0	28991.0	29557.0	25650.0	13518.0	36483.0	18340.0	17939.0	28197.0	25675.0	24816.0	23017.0	24332.0	30761.0	28435.0	57586.0	20336.0	19209.0	22941.0	16521.0	15687.0	27904.0	57407.0	48468.0	22859.0	12547.0	21149.0
