	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.23	HeQ_2017__SZAXPI029594-136__bin.12	YuJ_2015__SZAXPI003412-1__bin.80	QinN_2014__HD-6__bin.48	HeQ_2017__SZAXPI029552-169__bin.3	ZeeviD_2015__PNP_Validation_40__bin.5	QinJ_2012__DOF010__bin.2	QinN_2014__HD-39__bin.5	YuJ_2015__SZAXPI015260-74__bin.51	RaymondF_2016__P7C0__bin.21	ZeeviD_2015__PNP_Main_535__bin.24	FengQ_2015__SID31300__bin.65	QinN_2014__LD-97__bin.79	QinJ_2012__T2D-027__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.42	QinJ_2012__CON-081__bin.2	LiJ_2017__H3M516804__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.17	YuJ_2015__SZAXPI003416-4__bin.1	ZeeviD_2015__PNP_Main_77__bin.62	YuJ_2015__SZAXPI003422-11__bin.25	YuJ_2015__SZAXPI015270-90__bin.39	LiJ_2017__H2M514925__bin.5	ZellerG_2014__CCMD35802077ST-21-0__bin.16	HeQ_2017__SZAXPI029498-99__bin.52	WenC_2017__RA070__bin.24	WenC_2017__RA049__bin.7	YuJ_2015__SZAXPI015227-13__bin.28	LiSS_2016__FAT_014-22-42-0__bin.19	LiJ_2017__H1M512854__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.95	Bengtsson-PalmeJ_2015__TRAVELRES22__bin.115	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.115	XieH_2016__YSZC12003_35366__bin.22	XieH_2016__YSZC12003_36674__bin.41	QinN_2014__LD-84__bin.77	QinN_2014__LD-11__bin.41	QinJ_2012__DOM022__bin.3	XieH_2016__YSZC12003_36703__bin.4	QinJ_2012__T2D-022__bin.41	YuJ_2015__SZAXPI015246-34__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.12
Bengtsson-PalmeJ_2015__TRAVELRES13__bin.23	0.0	33189.0	22991.0	34473.0	32170.0	21105.0	33758.0	22583.0	17442.0	26269.0	23529.0	22105.0	24585.0	31309.0	31670.0	28825.0	26338.0	32965.0	34332.0	24787.0	30774.0	28252.0	20213.0	32521.0	24144.0	31259.0	26914.0	31144.0	28041.0	16968.0	25328.0	31678.0	29720.0	30524.0	25581.0	34354.0	34969.0	28761.0	26028.0	28543.0	28037.0	492.0
HeQ_2017__SZAXPI029594-136__bin.12	33189.0	0.0	14966.0	17339.0	15916.0	17781.0	30688.0	11732.0	11183.0	12348.0	14895.0	15244.0	12964.0	17178.0	20116.0	18086.0	17383.0	17949.0	18520.0	20098.0	16767.0	16770.0	12914.0	19536.0	14766.0	15233.0	15352.0	17413.0	18685.0	10382.0	15437.0	20618.0	17541.0	17610.0	15955.0	19052.0	17746.0	17452.0	18281.0	14422.0	16084.0	33898.0
YuJ_2015__SZAXPI003412-1__bin.80	22991.0	14966.0	0.0	14018.0	14286.0	13653.0	23551.0	10566.0	9704.0	13044.0	11507.0	11618.0	11240.0	14969.0	15581.0	11938.0	13644.0	14350.0	14162.0	15188.0	13992.0	13260.0	9391.0	14769.0	11719.0	14186.0	12712.0	13723.0	14611.0	9052.0	12432.0	16000.0	13897.0	14880.0	13894.0	14186.0	14014.0	13765.0	14371.0	13295.0	13690.0	23274.0
QinN_2014__HD-6__bin.48	34473.0	17339.0	14018.0	0.0	18086.0	16739.0	30357.0	12896.0	10913.0	14620.0	14372.0	14793.0	13303.0	17797.0	20183.0	17234.0	16966.0	20256.0	18378.0	20337.0	16925.0	16961.0	11948.0	20456.0	14494.0	17572.0	15260.0	16302.0	19108.0	9932.0	14591.0	19936.0	17117.0	18610.0	16378.0	16565.0	181.0	17617.0	17530.0	17732.0	15785.0	34849.0
HeQ_2017__SZAXPI029552-169__bin.3	32170.0	15916.0	14286.0	18086.0	0.0	17058.0	31459.0	12149.0	10669.0	12140.0	14735.0	14899.0	12412.0	17895.0	19883.0	17757.0	17312.0	18075.0	17778.0	21375.0	14166.0	15389.0	11969.0	19318.0	14468.0	16699.0	14721.0	16637.0	18380.0	9700.0	15589.0	20026.0	18291.0	18049.0	15213.0	17782.0	18243.0	16971.0	18309.0	16760.0	16334.0	32269.0
ZeeviD_2015__PNP_Validation_40__bin.5	21105.0	17781.0	13653.0	16739.0	17058.0	0.0	24447.0	12369.0	10384.0	15404.0	14070.0	13966.0	13486.0	17940.0	17670.0	16080.0	13988.0	16800.0	16615.0	12361.0	16868.0	16276.0	11497.0	13762.0	13585.0	17175.0	15493.0	17431.0	17408.0	9124.0	13534.0	17669.0	16152.0	16510.0	15420.0	17559.0	16663.0	16898.0	13068.0	15703.0	16107.0	21294.0
QinJ_2012__DOF010__bin.2	33758.0	30688.0	23551.0	30357.0	31459.0	24447.0	0.0	20398.0	17931.0	26452.0	24024.0	22446.0	21479.0	29451.0	30212.0	28000.0	28799.0	29387.0	31859.0	28931.0	30209.0	28128.0	19911.0	29484.0	24410.0	29871.0	26408.0	30067.0	28739.0	17500.0	24461.0	29652.0	29434.0	31250.0	28217.0	29956.0	30449.0	29415.0	27793.0	27172.0	28031.0	34880.0
QinN_2014__HD-39__bin.5	22583.0	11732.0	10566.0	12896.0	12149.0	12369.0	20398.0	0.0	8799.0	10831.0	11038.0	12077.0	10547.0	11559.0	14465.0	13526.0	11370.0	12323.0	13875.0	14998.0	12825.0	11844.0	9248.0	13290.0	10751.0	11955.0	11395.0	12240.0	13457.0	8022.0	11646.0	13850.0	12705.0	12709.0	11972.0	13730.0	13048.0	12778.0	13315.0	12720.0	11514.0	22756.0
YuJ_2015__SZAXPI015260-74__bin.51	17442.0	11183.0	9704.0	10913.0	10669.0	10384.0	17931.0	8799.0	0.0	9693.0	9612.0	10456.0	8656.0	10181.0	11974.0	11100.0	10753.0	9003.0	10989.0	12239.0	10702.0	10275.0	7893.0	11291.0	9691.0	10184.0	10482.0	10728.0	12127.0	7202.0	9481.0	12468.0	10941.0	11016.0	10296.0	11539.0	10952.0	9120.0	11355.0	10173.0	10449.0	17827.0
RaymondF_2016__P7C0__bin.21	26269.0	12348.0	13044.0	14620.0	12140.0	15404.0	26452.0	10831.0	9693.0	0.0	13553.0	13882.0	11413.0	15489.0	18043.0	14706.0	14493.0	14991.0	14859.0	17668.0	11927.0	15040.0	12023.0	16954.0	12179.0	13993.0	13227.0	14339.0	17588.0	8749.0	13249.0	17011.0	14699.0	15980.0	13858.0	15324.0	14906.0	15037.0	16542.0	14536.0	14445.0	26902.0
