	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.23	HeQ_2017__SZAXPI029594-136__bin.12	YuJ_2015__SZAXPI003412-1__bin.80	QinN_2014__HD-6__bin.48	HeQ_2017__SZAXPI029552-169__bin.3	ZeeviD_2015__PNP_Validation_40__bin.5	QinJ_2012__DOF010__bin.2	QinN_2014__HD-39__bin.5	YuJ_2015__SZAXPI015260-74__bin.51	RaymondF_2016__P7C0__bin.21	ZeeviD_2015__PNP_Main_535__bin.24	FengQ_2015__SID31300__bin.65	QinN_2014__LD-97__bin.79	QinJ_2012__T2D-027__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.42	QinJ_2012__CON-081__bin.2	LiJ_2017__H3M516804__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.17	YuJ_2015__SZAXPI003416-4__bin.1	ZeeviD_2015__PNP_Main_77__bin.62	YuJ_2015__SZAXPI003422-11__bin.25	YuJ_2015__SZAXPI015270-90__bin.39	LiJ_2017__H2M514925__bin.5	ZellerG_2014__CCMD35802077ST-21-0__bin.16	HeQ_2017__SZAXPI029498-99__bin.52	WenC_2017__RA070__bin.24	WenC_2017__RA049__bin.7	YuJ_2015__SZAXPI015227-13__bin.28	LiSS_2016__FAT_014-22-42-0__bin.19	LiJ_2017__H1M512854__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.95	Bengtsson-PalmeJ_2015__TRAVELRES22__bin.115	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.115	XieH_2016__YSZC12003_35366__bin.22	XieH_2016__YSZC12003_36674__bin.41	QinN_2014__LD-84__bin.77	QinN_2014__LD-11__bin.41	QinJ_2012__DOM022__bin.3	XieH_2016__YSZC12003_36703__bin.4	QinJ_2012__T2D-022__bin.41	YuJ_2015__SZAXPI015246-34__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.12
Bengtsson-PalmeJ_2015__TRAVELRES13__bin.23	1.0	0.8161241662408333	0.6203557372444577	0.8731785048341958	0.8629847309127949	0.6356603575646619	0.7309876683169824	0.5260254687833124	0.47662047925712103	0.7545550069543382	0.6950742642107081	0.6295101675470983	0.5859935228207203	0.8029464566715961	0.8332938520942541	0.7629619727985543	0.7858224562519671	0.8507647234000792	0.897423510739461	0.793488725850172	0.830281574556936	0.7573468945749394	0.6049246359547747	0.8615570611068057	0.6555500187817894	0.8446919448119959	0.7479145445500661	0.8003715748615055	0.7896947197790856	0.5579765075347125	0.6439425344925026	0.799595768513599	0.8112785491659871	0.8535261540648191	0.7418629166257753	0.8354681403321162	0.8836243946680022	0.839971116653525	0.7680618208521857	0.749980541389311	0.754494093042616	0.962939383889624
HeQ_2017__SZAXPI029594-136__bin.12	0.8905057571217437	1.0	0.6817118955899145	0.9315201146162488	0.9315173452159071	0.69074521793796	0.7803533200955998	0.57039400258662	0.5224819919742778	0.8167967823260562	0.7729793301189827	0.6804841281050749	0.6604456703656624	0.8901148101068344	0.8845607777214667	0.8525802041417305	0.8546895640686922	0.9164347293880456	0.9375855629313918	0.8493630840780713	0.907603111698224	0.837508665915236	0.6570046904410455	0.9157806893406705	0.7157496720568428	0.9351189503603451	0.8021531164523612	0.8828239021404696	0.8566904558156022	0.6053936841055806	0.7073260793507048	0.8417149234676216	0.8810122527502453	0.9078763591986093	0.8051999183950033	0.9279651277108968	0.9400706381713834	0.886946616115879	0.8341512295675951	0.8191692352854837	0.8260391943999033	0.9031046824097844
YuJ_2015__SZAXPI003412-1__bin.80	0.9201414988386203	0.9266893964966615	1.0	0.9612402857583853	0.94592463015923	0.7497323995447341	0.826260482847846	0.5987819002957722	0.5731261380077978	0.8661031475836902	0.8196906250117643	0.735467695323235	0.697610858115917	0.9019440404468834	0.9149112118630137	0.8794976013211243	0.9018731404434952	0.9370727961079035	0.9645732133512863	0.8897504947314395	0.928665185086655	0.850191430009148	0.7069665213948604	0.9336727331135644	0.7728489378175599	0.9526965216332851	0.8412486180773676	0.9113034683277763	0.899945664245191	0.6587953022787135	0.7515601137913683	0.8744367214332592	0.9176317642054117	0.9420433255489732	0.8426565792065976	0.9318556852391212	0.9659209408493192	0.9089286319311028	0.8745521692263869	0.839216360458127	0.8500897857565031	0.9340303702987964
QinN_2014__HD-6__bin.48	0.8797764785959631	0.8601635877989807	0.6529613261599402	1.0	0.8924638883194255	0.6566514495604286	0.7497326599788686	0.5405229507518977	0.4934416985649094	0.7806256161393671	0.7334446308875007	0.6500055620363105	0.6097700897128754	0.8474889643658874	0.8648028801545266	0.8037040178360226	0.814379717874765	0.8831652717534224	0.9406289917200246	0.8146375747305395	0.8698713656567912	0.7887811383463832	0.623520466375679	0.908049950069536	0.6797123766602465	0.8790007769802447	0.7631390854307466	0.825539592108813	0.8181209864367294	0.578270210969529	0.6707364008212209	0.8094812900344078	0.8500969413914807	0.902898353679873	0.7678397519800636	0.8959856588967222	1.0073589363170283	0.8510874526853981	0.7995945041114316	0.7710035064270288	0.786797558500475	0.8830050169141311
HeQ_2017__SZAXPI029552-169__bin.3	0.8427480152910782	0.8336909348228942	0.6227838553048259	0.8649997232271877	1.0	0.6377618084913899	0.730591409798088	0.5260501049671219	0.4863980620946001	0.7672448051395472	0.7095244547369047	0.6318095406480119	0.6073419978370411	0.8468839099158197	0.839711363135018	0.7884848464819697	0.7864966262633439	0.8483495665407281	0.8929475808816908	0.7898261618881359	0.863409312289787	0.7634530176085341	0.6072982098995438	0.857214971508924	0.6610817768649324	0.8718938448205066	0.7528150273591991	0.8312198080105487	0.8093869771369133	0.5612432139024224	0.6489847394906884	0.8033570476685401	0.8232185951672988	0.8850339439134354	0.7460828385158699	0.8494612018219087	0.8763143610389803	0.8488196672281988	0.7745582168890901	0.7613264109836672	0.7570009063276875	0.8356585003540213
ZeeviD_2015__PNP_Validation_40__bin.5	0.8899485940350129	0.8862927297278089	0.707672399497785	0.9124422571245825	0.9143314855613199	1.0	0.7964762040129818	0.5698084713239997	0.5347481818397176	0.8339060242105513	0.780798569161159	0.6971590505294578	0.6581627697628692	0.876500722526236	0.892482173737948	0.8349424347949684	0.8783994267168882	0.9116753132921138	0.9169077061568711	0.8946592281998437	0.8930110392533106	0.8288394570393006	0.6791521569184847	0.8928837088100822	0.7333629450643167	0.9190604789993604	0.8128585980622083	0.8785907184990406	0.8693500817283776	0.6266860919621917	0.7185138464454078	0.8429879421031437	0.8920385900078174	0.903643427380191	0.8130877928600195	0.8986550351787363	0.9150167010162746	0.8968522729964703	0.870442754601663	0.8107401748276597	0.8360996612417976	0.9022540449624523
QinJ_2012__DOF010__bin.2	0.8460451935909977	0.8277406827508614	0.6447430651230697	0.8612329388171959	0.8658914409875731	0.65844048133123	1.0	0.5273453832603346	0.4978320706662711	0.7714905542320154	0.7111836365398908	0.6465423289671197	0.596899782717471	0.8157490176264209	0.8355081170055157	0.7746122158019918	0.8170484043589676	0.8418292858464765	0.8641842211170417	0.8154131550421982	0.8436148410136196	0.7690455137865226	0.6170344019246983	0.841725491578466	0.6777496423504115	0.8572579121097555	0.7569603359017518	0.8115938197367739	0.8130513458493553	0.5773565949996622	0.6600566364194502	0.8127585676782692	0.8252936839229533	0.8600975666119298	0.7660423343526714	0.8305455759651642	0.8665166545736552	0.836910808410469	0.7884643442209603	0.7641187132252502	0.778111355582516	0.8528970840665027
QinN_2014__HD-39__bin.5	0.9187358516215594	0.9130159171104504	0.7050805607929593	0.9369765469386307	0.9408413076500245	0.7108418691522498	0.795784595925267	1.0	0.5778027826868176	0.8728744185496693	0.7850177907547181	0.73205187689507	0.6856045605801796	0.8905765150216622	0.910347303902736	0.8648996093126621	0.8762227449775103	0.9257250766893829	0.9639123997423	0.8734979815472638	0.9152693141989137	0.8501224961433662	0.7015881647152002	0.9055797067185218	0.7488230617829764	0.9408169266323461	0.8396401361790661	0.8875045067941769	0.9082933878680056	0.6391010940427568	0.7575743694921064	0.8693561638167966	0.9102542127443274	0.91971330878485	0.8247248639095922	0.9291960470243338	0.9409979372181406	0.9155131243756982	0.8676960381585092	0.842132171713291	0.8479858324122727	0.9246094604259143
YuJ_2015__SZAXPI015260-74__bin.51	0.9232379663194604	0.9275381675636345	0.7484751001304482	0.9486532372780251	0.9648019350905598	0.7398615872724532	0.8331828372150952	0.640820938571363	1.0	0.894704066181146	0.8294185223302372	0.7817680644505772	0.7156115004162542	0.9071367935968956	0.9267023814986464	0.8922778283983717	0.9182306245124582	0.9359353593224561	0.9588080379676305	0.9059404723666183	0.9396734534680206	0.8750794816159841	0.7388987945015109	0.9146039685088921	0.7904676141093798	0.964846182588118	0.8648066875995569	0.9173628819214558	0.9272251574883154	0.6899495906287078	0.7782880807074355	0.9012985821135227	0.9411409954703673	0.9434156446040995	0.8565078236130867	0.9378511120871054	0.952967368289949	0.9440260961907821	0.8878137475336118	0.8739700165846176	0.890797995424481	0.9302348067203754
RaymondF_2016__P7C0__bin.21	0.9265968786557149	0.9192496057282131	0.7170603843604485	0.9514224952053641	0.9648043601576671	0.7314375388297971	0.818553422528451	0.6137165024819903	0.5672028208873661	1.0	0.8090924580326514	0.7383422299887589	0.6884858093324495	0.9032293924162679	0.9238312620645089	0.8760277559026486	0.905987736537099	0.9308658187658825	0.9579100582420985	0.8903794567256845	0.9376977852210936	0.8628401698017939	0.7161393779336627	0.9203877473419121	0.7618686716521182	0.9584918558721043	0.8606688179326653	0.9059674775124826	0.9198864663482018	0.669050651717238	0.7562065340029548	0.8779980759121236	0.9279755312539609	0.9464200745116537	0.8333861453205809	0.9310949015826974	0.955513779253512	0.9290669212723914	0.8848419899972364	0.8517101733549153	0.872311004078817	0.9256649635233665
