	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.23	HeQ_2017__SZAXPI029594-136__bin.12	YuJ_2015__SZAXPI003412-1__bin.80	QinN_2014__HD-6__bin.48	HeQ_2017__SZAXPI029552-169__bin.3	ZeeviD_2015__PNP_Validation_40__bin.5	QinJ_2012__DOF010__bin.2	QinN_2014__HD-39__bin.5	YuJ_2015__SZAXPI015260-74__bin.51	RaymondF_2016__P7C0__bin.21	ZeeviD_2015__PNP_Main_535__bin.24	FengQ_2015__SID31300__bin.65	QinN_2014__LD-97__bin.79	QinJ_2012__T2D-027__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.42	QinJ_2012__CON-081__bin.2	LiJ_2017__H3M516804__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.17	YuJ_2015__SZAXPI003416-4__bin.1	ZeeviD_2015__PNP_Main_77__bin.62	YuJ_2015__SZAXPI003422-11__bin.25	YuJ_2015__SZAXPI015270-90__bin.39	LiJ_2017__H2M514925__bin.5	ZellerG_2014__CCMD35802077ST-21-0__bin.16	HeQ_2017__SZAXPI029498-99__bin.52	WenC_2017__RA070__bin.24	WenC_2017__RA049__bin.7	YuJ_2015__SZAXPI015227-13__bin.28	LiSS_2016__FAT_014-22-42-0__bin.19	LiJ_2017__H1M512854__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.95	Bengtsson-PalmeJ_2015__TRAVELRES22__bin.115	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.115	XieH_2016__YSZC12003_35366__bin.22	XieH_2016__YSZC12003_36674__bin.41	QinN_2014__LD-84__bin.77	QinN_2014__LD-11__bin.41	QinJ_2012__DOM022__bin.3	XieH_2016__YSZC12003_36703__bin.4	QinJ_2012__T2D-022__bin.41	YuJ_2015__SZAXPI015246-34__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.12
Bengtsson-PalmeJ_2015__TRAVELRES13__bin.23	2363992.0	1962500.0	1489507.0	2098660.0	2072259.0	1523801.0	1761807.0	1266103.0	1144169.0	1810031.0	1666679.0	1510262.0	1409869.0	1929468.0	2001570.0	1832461.0	1884016.0	2044166.0	2155834.0	1900588.0	1993553.0	1818614.0	1450250.0	2069235.0	1573859.0	2028104.0	1794978.0	1923216.0	1894873.0	1336020.0	1547603.0	1921916.0	1947576.0	2048253.0	1779339.0	2009394.0	2123850.0	2014446.0	1841720.0	1801491.0	1811655.0	2276873.0
HeQ_2017__SZAXPI029594-136__bin.12	1962500.0	2166534.0	1491918.0	2035509.0	2034080.0	1514304.0	1721350.0	1247510.0	1143158.0	1781966.0	1689581.0	1489536.0	1443842.0	1945642.0	1936547.0	1865230.0	1869097.0	2003436.0	2049831.0	1860272.0	1983120.0	1831261.0	1436337.0	2003606.0	1565462.0	2041200.0	1753244.0	1930081.0	1874734.0	1321988.0	1547883.0	1844222.0	1926284.0	1984555.0	1760448.0	2029520.0	2054441.0	1939052.0	1825498.0	1789180.0	1805726.0	1990505.0
YuJ_2015__SZAXPI003412-1__bin.80	1489507.0	1491918.0	1593794.0	1546037.0	1521895.0	1208572.0	1340440.0	964901.0	923149.0	1393434.0	1317925.0	1183802.0	1123088.0	1452482.0	1473761.0	1413676.0	1451044.0	1507851.0	1551493.0	1433267.0	1494093.0	1368290.0	1136150.0	1502851.0	1243481.0	1532588.0	1353489.0	1466153.0	1448939.0	1059036.0	1210264.0	1409672.0	1476413.0	1516303.0	1356915.0	1499372.0	1553493.0	1462410.0	1408227.0	1350833.0	1368558.0	1511926.0
QinN_2014__HD-6__bin.48	2098660.0	2035509.0	1546037.0	2346263.0	2112041.0	1557416.0	1789427.0	1281105.0	1168657.0	1846173.0	1735226.0	1539877.0	1443984.0	2006229.0	2049238.0	1902935.0	1927715.0	2092394.0	2225341.0	1931691.0	2057872.0	1867649.0	1474891.0	2150980.0	1609278.0	2079939.0	1805785.0	1953235.0	1938635.0	1366706.0	1588315.0	1919192.0	2011668.0	2137047.0	1817932.0	2118783.0	2363710.0	2014492.0	1893589.0	1826709.0	1861819.0	2106611.0
HeQ_2017__SZAXPI029552-169__bin.3	2072259.0	2034080.0	1521895.0	2112041.0	2420758.0	1560925.0	1800044.0	1285589.0	1188121.0	1869454.0	1732322.0	1544357.0	1482640.0	2067996.0	2052621.0	1926488.0	1921230.0	2071724.0	2179388.0	1933353.0	2104271.0	1863524.0	1482091.0	2094428.0	1614787.0	2127343.0	1837104.0	2028819.0	1977710.0	1368334.0	1586624.0	1964759.0	2011104.0	2160502.0	1821299.0	2074122.0	2139588.0	2071758.0	1893327.0	1859747.0	1848850.0	2055196.0
ZeeviD_2015__PNP_Validation_40__bin.5	1523801.0	1514304.0	1208572.0	1557416.0	1560925.0	1688520.0	1369313.0	974502.0	913317.0	1423471.0	1332464.0	1191133.0	1124807.0	1497929.0	1524644.0	1425897.0	1497183.0	1556182.0	1564832.0	1523011.0	1524735.0	1415788.0	1158259.0	1521414.0	1251883.0	1569027.0	1388021.0	1500949.0	1485323.0	1067296.0	1226759.0	1441071.0	1522377.0	1542330.0	1388335.0	1534956.0	1561687.0	1531251.0	1482828.0	1384654.0	1427878.0	1544768.0
QinJ_2012__DOF010__bin.2	1761807.0	1721350.0	1340440.0	1789427.0	1800044.0	1369313.0	2042502.0	1097502.0	1034754.0	1602223.0	1476618.0	1343010.0	1240648.0	1695620.0	1736739.0	1610147.0	1697622.0	1748825.0	1796957.0	1694414.0	1753294.0	1598905.0	1280205.0	1748710.0	1408715.0	1780822.0	1572501.0	1687749.0	1689398.0	1196752.0	1372628.0	1689713.0	1715098.0	1788001.0	1592860.0	1726347.0	1800311.0	1738807.0	1638233.0	1587886.0	1617325.0	1776924.0
QinN_2014__HD-39__bin.5	1266103.0	1247510.0	964901.0	1281105.0	1285589.0	974502.0	1097502.0	1353512.0	790862.0	1192277.0	1073569.0	1002918.0	938521.0	1216965.0	1246631.0	1184178.0	1197348.0	1265303.0	1318542.0	1197288.0	1251653.0	1162495.0	958856.0	1239003.0	1024292.0	1285362.0	1147858.0	1213488.0	1242843.0	873053.0	1037032.0	1190534.0	1244745.0	1257552.0	1128247.0	1271408.0	1286700.0	1251936.0	1187752.0	1152556.0	1159273.0	1274226.0
YuJ_2015__SZAXPI015260-74__bin.51	1144169.0	1143158.0	923149.0	1168657.0	1188121.0	913317.0	1034754.0	790862.0	1220408.0	1101597.0	1021841.0	964532.0	881994.0	1117258.0	1142929.0	1100043.0	1131369.0	1151226.0	1181126.0	1117856.0	1157487.0	1078229.0	909651.0	1127481.0	974384.0	1187690.0	1065899.0	1130285.0	1143720.0	849222.0	959310.0	1112420.0	1159517.0	1162368.0	1055585.0	1156100.0	1173961.0	1161217.0	1094850.0	1076773.0	1097586.0	1153093.0
RaymondF_2016__P7C0__bin.21	1810031.0	1781966.0	1393434.0	1846173.0	1869454.0	1423471.0	1602223.0	1192277.0	1101597.0	1925068.0	1571111.0	1435241.0	1336795.0	1754267.0	1796481.0	1701119.0	1758581.0	1806971.0	1858901.0	1731709.0	1817059.0	1676066.0	1390640.0	1788763.0	1478828.0	1859155.0	1670073.0	1758388.0	1788432.0	1296717.0	1468998.0	1707217.0	1801115.0	1837903.0	1618183.0	1807745.0	1854335.0	1803554.0	1719923.0	1654136.0	1693703.0	1808870.0
