	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.23	HeQ_2017__SZAXPI029594-136__bin.12	YuJ_2015__SZAXPI003412-1__bin.80	QinN_2014__HD-6__bin.48	HeQ_2017__SZAXPI029552-169__bin.3	ZeeviD_2015__PNP_Validation_40__bin.5	QinJ_2012__DOF010__bin.2	QinN_2014__HD-39__bin.5	YuJ_2015__SZAXPI015260-74__bin.51	RaymondF_2016__P7C0__bin.21	ZeeviD_2015__PNP_Main_535__bin.24	FengQ_2015__SID31300__bin.65	QinN_2014__LD-97__bin.79	QinJ_2012__T2D-027__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.42	QinJ_2012__CON-081__bin.2	LiJ_2017__H3M516804__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.17	YuJ_2015__SZAXPI003416-4__bin.1	ZeeviD_2015__PNP_Main_77__bin.62	YuJ_2015__SZAXPI003422-11__bin.25	YuJ_2015__SZAXPI015270-90__bin.39	LiJ_2017__H2M514925__bin.5	ZellerG_2014__CCMD35802077ST-21-0__bin.16	HeQ_2017__SZAXPI029498-99__bin.52	WenC_2017__RA070__bin.24	WenC_2017__RA049__bin.7	YuJ_2015__SZAXPI015227-13__bin.28	LiSS_2016__FAT_014-22-42-0__bin.19	LiJ_2017__H1M512854__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.95	Bengtsson-PalmeJ_2015__TRAVELRES22__bin.115	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.115	XieH_2016__YSZC12003_35366__bin.22	XieH_2016__YSZC12003_36674__bin.41	QinN_2014__LD-84__bin.77	QinN_2014__LD-11__bin.41	QinJ_2012__DOM022__bin.3	XieH_2016__YSZC12003_36703__bin.4	QinJ_2012__T2D-022__bin.41	YuJ_2015__SZAXPI015246-34__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.12
Bengtsson-PalmeJ_2015__TRAVELRES13__bin.23	1.0	0.9830884076433121	0.9845646915388783	0.9835738042369894	0.9844758787390958	0.9861497662752551	0.9808389908769802	0.982163378492903	0.9847557484951961	0.9854869888968752	0.985882704467987	0.9853634667362352	0.9825622096804738	0.9837732473407178	0.9841774207247311	0.9842697880064023	0.986020288575044	0.9838736188743967	0.9840748406417191	0.9869582466057872	0.9845632396028599	0.9844650926474777	0.9860624030339596	0.9842835637324905	0.9846593627510469	0.9845870823192499	0.9850059443625493	0.9838062911290255	0.9852016467594398	0.9872995913234832	0.9836340456822583	0.9835174898382656	0.9847400050113577	0.9850975441022178	0.985623312926879	0.9829033031849403	0.9835350895778892	0.9857226254761855	0.9858675585865386	0.9841559019723107	0.9845240953713593	0.9997839141664906
HeQ_2017__SZAXPI029594-136__bin.12	0.9830884076433121	1.0	0.9899686175781779	0.9914817374917035	0.9921753323369779	0.9882579719792063	0.9821721323379905	0.9905956665678031	0.9902174502562201	0.9930705748594529	0.9911842048413186	0.9897659405345021	0.9910211782175612	0.9911710376317946	0.9896124390474386	0.9903036086702445	0.9906997871164525	0.9910408917479769	0.9909651088309231	0.9891962035659302	0.9915451409899553	0.990842375827367	0.9910090737758618	0.9902495800072469	0.9905676407348118	0.9925372330001959	0.9912436603233777	0.9909780988466287	0.9900332527174521	0.9921466760666511	0.9900270240063364	0.9888202179564065	0.9908938661173534	0.9911264741969862	0.9909369660450067	0.990612558634554	0.9913621272161137	0.9909997256391267	0.9899857463552412	0.9919393241596709	0.9910927793031722	0.9829701507908797
YuJ_2015__SZAXPI003412-1__bin.80	0.9845646915388783	0.9899686175781779	1.0	0.9909329466241752	0.990613018637948	0.9887031968306398	0.9824303959893766	0.9890496537986798	0.989488154133298	0.9906389538363496	0.9912688506553863	0.9901858587838169	0.9899918795321471	0.9896941924237271	0.9894277294622398	0.9915553493162507	0.9905971149048547	0.9904831445547339	0.9908720181141649	0.9894032305215985	0.9906351211069191	0.9903090719072711	0.9917343660608194	0.990172678462469	0.9905756501305609	0.9907437615327799	0.9906079768657152	0.9906401310095194	0.9899160696205982	0.9914526040663396	0.9897278610286682	0.9886498419490491	0.9905873221110895	0.990186657943696	0.9897605966475425	0.9905387055380519	0.9909790388498693	0.990587454954493	0.9897949691349477	0.9901579247767859	0.9899967703232161	0.9846063894661511
QinN_2014__HD-6__bin.48	0.9835738042369894	0.9914817374917035	0.9909329466241752	1.0	0.991436719268234	0.9892520688114158	0.9830353515399064	0.9899336900566308	0.9906619307461471	0.992080915493835	0.9917175053854657	0.9903933885628528	0.9907872940420392	0.9911291283298168	0.9901509731910105	0.9909434636495729	0.9911989064773579	0.9903192228614688	0.9917414904052907	0.9894719186453734	0.9917754845782439	0.9909185291240484	0.9918990623713888	0.9904899162242327	0.9909934765776951	0.9915516753135548	0.9915493815708958	0.9916538460553902	0.990143580405801	0.9927328920777402	0.9908135350985163	0.9896122951742191	0.9914911406852422	0.9912917217075713	0.9909908621444586	0.99218183268414	0.9999234254625144	0.9912548672320367	0.9907424472786861	0.9902929256931454	0.9915217322414263	0.9834573160398384
HeQ_2017__SZAXPI029552-169__bin.3	0.9844758787390958	0.9921753323369779	0.990613018637948	0.991436719268234	1.0	0.9890718644393549	0.9825232049883225	0.9905498569138348	0.9910202748709938	0.9935061253178735	0.9914940755817914	0.9903526192454206	0.9916284465547942	0.9913466950613057	0.9903133603329597	0.9907827092616202	0.9909891059373422	0.9912753822420362	0.9918426640873493	0.988944077982655	0.9932679773660332	0.9917419899072939	0.9919242475664449	0.9907764793060444	0.9910403043868944	0.992150302043441	0.9919868445117969	0.9917996627594674	0.9907064230852856	0.9929110874976431	0.9901747357912145	0.9898074013148687	0.9909049954651773	0.9916459230308512	0.9916471705085217	0.9914267338179721	0.9914735921121263	0.9918084061941598	0.990329721173363	0.9909880214889445	0.9911653189820699	0.9842988211343346
ZeeviD_2015__PNP_Validation_40__bin.5	0.9861497662752551	0.9882579719792063	0.9887031968306398	0.9892520688114158	0.9890718644393549	1.0	0.9821465216499077	0.9873073631454835	0.9886304536103018	0.9891785642278628	0.9894406152811633	0.9882750289010547	0.9880103875598214	0.9880234643965101	0.9884104092496346	0.9887228881188473	0.9906571207394153	0.9892043475634598	0.9893822467843193	0.9918838406288596	0.988937093986824	0.988503928554275	0.9900738953895458	0.9909544673573399	0.9891483469301844	0.9890537256529046	0.9888380651301385	0.988386680693348	0.9882799902782089	0.9914512937366954	0.9889676782481319	0.9877389802445542	0.9893902758646511	0.9892954166747713	0.9888931705964339	0.9885605841470374	0.9893301282523322	0.9889645786353772	0.9911871100356886	0.988659260725062	0.988719624505735	0.9862154058085097
QinJ_2012__DOF010__bin.2	0.9808389908769802	0.9821721323379905	0.9824303959893766	0.9830353515399064	0.9825232049883225	0.9821465216499077	1.0	0.9814141568762517	0.9826712435999281	0.9834904379727416	0.9837303893085415	0.9832867960774678	0.9826872731024432	0.9826311319753247	0.9826041794420463	0.9826102834089061	0.9830356816770753	0.983196145983732	0.9822705829911345	0.982925660434817	0.9827701457941452	0.9824079604479315	0.9844470221566077	0.9831395714555301	0.9826721515707577	0.983226285389556	0.9832063699800508	0.9821851471990207	0.982988614879383	0.9853770873163362	0.982179439731668	0.9824514577327629	0.9828382984529164	0.9825223811396079	0.9822853232550256	0.9826477527403239	0.9830868111120801	0.9830832289034953	0.9830347697793903	0.9828879403181336	0.9826682948696149	0.9803705729676677
QinN_2014__HD-39__bin.5	0.982163378492903	0.9905956665678031	0.9890496537986798	0.9899336900566308	0.9905498569138348	0.9873073631454835	0.9814141568762517	1.0	0.9888741651514423	0.9909157016364486	0.9897184065486243	0.9879581381528699	0.9887621054829887	0.9905017810701212	0.9883967268582283	0.9885777307127813	0.9905040138706541	0.9902608308049534	0.9894770132464494	0.9874733564522488	0.9897535499056048	0.9898115690820175	0.9903551732481207	0.9892736337200152	0.9895039695711769	0.9906991182250603	0.9900728138846443	0.9899133736798386	0.9891724055250743	0.9908115543958957	0.9887698740251024	0.9883665649196075	0.9897930901509948	0.989893857271906	0.9893888483638777	0.9892009488692851	0.9898593300691692	0.9897934079697365	0.9887897473546666	0.9889636599002565	0.9900679132525299	0.9821413155907979
YuJ_2015__SZAXPI015260-74__bin.51	0.9847557484951961	0.9902174502562201	0.989488154133298	0.9906619307461471	0.9910202748709938	0.9886304536103018	0.9826712435999281	0.9888741651514423	1.0	0.9912009564296199	0.9905934484914972	0.9891595094823189	0.9901858742803239	0.9908875121055298	0.989523408715677	0.9899094853564815	0.9904955854367585	0.9921796415299863	0.9906961662007271	0.9890513626084219	0.9907541078215133	0.9904704844703676	0.9913230458714386	0.9899856405562488	0.9900542291334833	0.9914253719404895	0.9901660476274019	0.990508588541828	0.9893968803553317	0.9915192964854891	0.9901168548227371	0.9887920030204419	0.990564174565789	0.9905227948463825	0.9902461668174519	0.9900190294957184	0.9906708996295448	0.9921461707846165	0.9896287162625017	0.9905523262563233	0.9904800170556112	0.9845398419728504
RaymondF_2016__P7C0__bin.21	0.9854869888968752	0.9930705748594529	0.9906389538363496	0.992080915493835	0.9935061253178735	0.9891785642278628	0.9834904379727416	0.9909157016364486	0.9912009564296199	1.0	0.9913736203234527	0.9903277568018194	0.9914624157032305	0.9911706712832197	0.9899564760217336	0.9913551021415903	0.9917586963580296	0.9917037960210762	0.992006567321229	0.9897973620279158	0.9934360964613698	0.9910266063508238	0.9913543404475638	0.9905219416993755	0.9917644242602927	0.9924734624063083	0.9920799869227274	0.991845372011183	0.9901656870375838	0.9932529611318429	0.9909809271353671	0.9900358302430212	0.9918389442095591	0.9913053082779668	0.9914360736702833	0.9915231407084517	0.9919615387726597	0.9916625728977342	0.9903821275719902	0.9912123307877949	0.9914713500536989	0.9851277316777878
