	FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	Castro-NallarE_2015__ES_107__bin.32	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.21	HMP_2012__SRS023926__bin.17	HMP_2012__SRS014470__bin.87	HMP_2012__SRS013234__bin.13	CM_cf__CF_TNFC008IS_t1M15__bin.9	CM_cf__CF_TNFC018IS_t1M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	HMP_2012__SRS065278__bin.18	HMP_2012__SRS044486__bin.15	HMP_2012__SRS012279__bin.50	HMP_2012__SRS057791__bin.55	HMP_2012__SRS015762__bin.48	HMP_2012__SRS047210__bin.21	HMP_2012__SRS062544__bin.18	BritoIL_2016__W2.68.SA__bin.22	HMP_2012__SRS019607__bin.19	HMP_2012__SRS016342__bin.52	HMP_2012__SRS015038__bin.37	HMP_2012__SRS015893__bin.70	FerrettiP_2018__CA_C10055MS2957SA_t0M16__bin.43	HMP_2012__SRS042643__bin.34	HMP_2012__SRS015272__bin.16	HMP_2012__SRS020220__bin.52	HMP_2012__SRS018357__bin.42	Castro-NallarE_2015__ES_110__bin.12
FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	1826190.0	1092104.0	1229021.0	1260494.0	1460705.0	1230762.0	1241778.0	1624503.0	1534190.0	1348287.0	1328591.0	1526019.0	1379350.0	1515569.0	1376696.0	1403046.0	1327612.0	1549029.0	1587699.0	1314647.0	1463743.0	1430429.0	1249439.0	1546911.0	1625401.0	1436045.0	1230061.0	938686.0
Castro-NallarE_2015__ES_107__bin.32	1092104.0	1392611.0	857963.0	858784.0	1065127.0	935439.0	829522.0	1225779.0	1124242.0	942190.0	952100.0	1101638.0	974455.0	1119914.0	1002631.0	968239.0	951237.0	1120770.0	1151547.0	917578.0	1054690.0	1071373.0	883630.0	1100095.0	1186449.0	1052749.0	940016.0	725566.0
FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	1229021.0	857963.0	1683719.0	1332539.0	1344448.0	1219335.0	1249788.0	1486119.0	1414261.0	1320207.0	1284881.0	1455494.0	1292789.0	1403629.0	1325304.0	1322825.0	1265854.0	1443627.0	1417926.0	1301606.0	1361596.0	1368576.0	1241168.0	1440630.0	1496500.0	1357902.0	1189259.0	902764.0
CM_cf__CF_TNFC041SA_t1M15__bin.21	1260494.0	858784.0	1332539.0	1776391.0	1452862.0	1275714.0	1373884.0	1591175.0	1523631.0	1453392.0	1381793.0	1589781.0	1378468.0	1527412.0	1391331.0	1411535.0	1368522.0	1558611.0	1487524.0	1371151.0	1454292.0	1495672.0	1371149.0	1544783.0	1603574.0	1421864.0	1286279.0	945848.0
HMP_2012__SRS023926__bin.17	1460705.0	1065127.0	1344448.0	1452862.0	2211487.0	1340413.0	1414008.0	1731701.0	1625572.0	1608215.0	1438604.0	1717379.0	1460651.0	1596741.0	1497331.0	1503370.0	1461335.0	1678626.0	1623887.0	1421733.0	1556395.0	1640948.0	1376033.0	1634983.0	1743113.0	1506678.0	1402821.0	966430.0
HMP_2012__SRS014470__bin.87	1230762.0	935439.0	1219335.0	1275714.0	1340413.0	1657950.0	1244988.0	1561664.0	1462737.0	1346348.0	1339579.0	1468281.0	1339855.0	1462275.0	1373497.0	1381310.0	1326585.0	1491132.0	1463811.0	1308215.0	1439323.0	1425418.0	1255288.0	1486734.0	1544212.0	1376185.0	1252592.0	928877.0
HMP_2012__SRS013234__bin.13	1241778.0	829522.0	1249788.0	1373884.0	1414008.0	1244988.0	1783394.0	1541672.0	1460145.0	1420504.0	1316637.0	1537860.0	1328906.0	1433525.0	1363570.0	1394403.0	1315838.0	1490442.0	1463929.0	1326915.0	1401665.0	1459066.0	1331034.0	1478127.0	1539531.0	1361331.0	1232187.0	904491.0
CM_cf__CF_TNFC008IS_t1M15__bin.9	1624503.0	1225779.0	1486119.0	1591175.0	1731701.0	1561664.0	1541672.0	2328148.0	1901847.0	1723758.0	1679389.0	1938180.0	1670899.0	1859064.0	1687822.0	1728798.0	1652342.0	1929126.0	1914912.0	1599917.0	1825920.0	1766114.0	1617804.0	1862383.0	2022129.0	1771667.0	1545530.0	1114752.0
CM_cf__CF_TNFC018IS_t1M15__bin.5	1534190.0	1124242.0	1414261.0	1523631.0	1625572.0	1462737.0	1460145.0	1901847.0	2118007.0	1660567.0	1547743.0	1831649.0	1610229.0	1775746.0	1642946.0	1632761.0	1516788.0	1824781.0	1816636.0	1520781.0	1703276.0	1702623.0	1554179.0	1782922.0	1912241.0	1664237.0	1502666.0	1063526.0
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	1348287.0	942190.0	1320207.0	1453392.0	1608215.0	1346348.0	1420504.0	1723758.0	1660567.0	2184393.0	1419591.0	1751710.0	1448260.0	1593405.0	1493830.0	1494212.0	1492975.0	1668305.0	1661304.0	1438791.0	1520004.0	1609567.0	1454951.0	1636538.0	1745430.0	1470342.0	1399515.0	961474.0
HMP_2012__SRS065278__bin.18	1328591.0	952100.0	1284881.0	1381793.0	1438604.0	1339579.0	1316637.0	1679389.0	1547743.0	1419591.0	1756705.0	1551544.0	1434604.0	1540028.0	1408412.0	1462631.0	1408334.0	1580078.0	1518700.0	1398622.0	1588081.0	1471951.0	1362441.0	1576582.0	1621518.0	1461729.0	1270458.0	947072.0
