	FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	Castro-NallarE_2015__ES_107__bin.32	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.21	HMP_2012__SRS023926__bin.17	HMP_2012__SRS014470__bin.87	HMP_2012__SRS013234__bin.13	CM_cf__CF_TNFC008IS_t1M15__bin.9	CM_cf__CF_TNFC018IS_t1M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	HMP_2012__SRS065278__bin.18	HMP_2012__SRS044486__bin.15	HMP_2012__SRS012279__bin.50	HMP_2012__SRS057791__bin.55	HMP_2012__SRS015762__bin.48	HMP_2012__SRS047210__bin.21	HMP_2012__SRS062544__bin.18	BritoIL_2016__W2.68.SA__bin.22	HMP_2012__SRS019607__bin.19	HMP_2012__SRS016342__bin.52	HMP_2012__SRS015038__bin.37	HMP_2012__SRS015893__bin.70	FerrettiP_2018__CA_C10055MS2957SA_t0M16__bin.43	HMP_2012__SRS042643__bin.34	HMP_2012__SRS015272__bin.16	HMP_2012__SRS020220__bin.52	HMP_2012__SRS018357__bin.42	Castro-NallarE_2015__ES_110__bin.12
FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	0.0	25513.0	31073.0	30264.0	36492.0	32136.0	30779.0	47299.0	34688.0	36422.0	35841.0	36603.0	31938.0	35304.0	34777.0	33371.0	35526.0	35400.0	37007.0	30111.0	39948.0	34575.0	30690.0	37446.0	38489.0	33467.0	30716.0	21473.0
Castro-NallarE_2015__ES_107__bin.32	25513.0	0.0	21952.0	20421.0	26456.0	23609.0	20493.0	35790.0	26480.0	24868.0	26171.0	26868.0	23014.0	26256.0	23760.0	22351.0	25532.0	26137.0	27033.0	21473.0	29565.0	12146.0	21214.0	26033.0	28341.0	24132.0	22839.0	15056.0
FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	31073.0	21952.0	0.0	35597.0	35821.0	33263.0	33721.0	43820.0	36171.0	36845.0	36876.0	38312.0	32850.0	37285.0	36511.0	33441.0	36090.0	36795.0	37210.0	33273.0	38488.0	36194.0	33152.0	38291.0	39302.0	34719.0	32073.0	21804.0
CM_cf__CF_TNFC041SA_t1M15__bin.21	30264.0	20421.0	35597.0	0.0	35857.0	31122.0	33615.0	42675.0	35565.0	36525.0	35573.0	37244.0	30990.0	13143.0	34289.0	32129.0	35450.0	31993.0	35293.0	31460.0	36584.0	35867.0	29886.0	36306.0	37674.0	33878.0	31644.0	20772.0
HMP_2012__SRS023926__bin.17	36492.0	26456.0	35821.0	35857.0	0.0	33456.0	35554.0	48279.0	39591.0	44147.0	38170.0	43170.0	34179.0	40441.0	38534.0	37109.0	38933.0	41447.0	40967.0	33089.0	42073.0	41405.0	35305.0	41063.0	43697.0	36708.0	35532.0	21881.0
HMP_2012__SRS014470__bin.87	32136.0	23609.0	33263.0	31122.0	33456.0	0.0	31054.0	35296.0	36470.0	34025.0	26270.0	36246.0	32189.0	36712.0	35043.0	34012.0	25925.0	36874.0	37225.0	30791.0	28216.0	35288.0	31778.0	36647.0	38114.0	32853.0	30678.0	22684.0
HMP_2012__SRS013234__bin.13	30779.0	20493.0	33721.0	33615.0	35554.0	31054.0	0.0	41923.0	34891.0	37025.0	33959.0	38484.0	30758.0	34983.0	34479.0	34706.0	34065.0	35684.0	36657.0	31093.0	37303.0	36725.0	32989.0	36555.0	38079.0	31662.0	30340.0	20823.0
CM_cf__CF_TNFC008IS_t1M15__bin.9	47299.0	35790.0	43820.0	42675.0	48279.0	35296.0	41923.0	0.0	52970.0	49115.0	33539.0	54504.0	44536.0	51263.0	47965.0	45939.0	32900.0	53140.0	56332.0	41847.0	36385.0	49202.0	45869.0	51914.0	56800.0	48048.0	42603.0	29729.0
CM_cf__CF_TNFC018IS_t1M15__bin.5	34688.0	26480.0	36171.0	35565.0	39591.0	36470.0	34891.0	52970.0	0.0	43848.0	40267.0	42226.0	35086.0	41237.0	40479.0	37403.0	39751.0	41882.0	44149.0	34047.0	45181.0	40365.0	38101.0	42395.0	44585.0	37464.0	36958.0	22525.0
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	36422.0	24868.0	36845.0	36525.0	44147.0	34025.0	37025.0	49115.0	43848.0	0.0	36500.0	48108.0	36205.0	42296.0	40136.0	37810.0	39095.0	43514.0	46593.0	36443.0	40503.0	43421.0	39940.0	43575.0	48030.0	37537.0	37290.0	24575.0
HMP_2012__SRS065278__bin.18	35841.0	26171.0	36876.0	35573.0	38170.0	26270.0	33959.0	33539.0	40267.0	36500.0	0.0	40706.0	36413.0	40868.0	38113.0	37081.0	12777.0	41455.0	40512.0	35555.0	733.0	39238.0	35986.0	41518.0	42584.0	36647.0	33740.0	24433.0
HMP_2012__SRS044486__bin.15	36603.0	26868.0	38312.0	37244.0	43170.0	36246.0	38484.0	54504.0	42226.0	48108.0	40706.0	0.0	36024.0	42587.0	40189.0	39448.0	40668.0	42915.0	44832.0	36223.0	44947.0	42969.0	39865.0	42576.0	2205.0	38335.0	37828.0	24920.0
HMP_2012__SRS012279__bin.50	31938.0	23014.0	32850.0	30990.0	34179.0	32189.0	30758.0	44536.0	35086.0	36205.0	36413.0	36024.0	0.0	36085.0	35613.0	22599.0	35296.0	35699.0	35632.0	17811.0	39734.0	35425.0	30966.0	37281.0	37906.0	22305.0	31668.0	21000.0
