	FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	Castro-NallarE_2015__ES_107__bin.32	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.21	HMP_2012__SRS023926__bin.17	HMP_2012__SRS014470__bin.87	HMP_2012__SRS013234__bin.13	CM_cf__CF_TNFC008IS_t1M15__bin.9	CM_cf__CF_TNFC018IS_t1M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	HMP_2012__SRS065278__bin.18	HMP_2012__SRS044486__bin.15	HMP_2012__SRS012279__bin.50	HMP_2012__SRS057791__bin.55	HMP_2012__SRS015762__bin.48	HMP_2012__SRS047210__bin.21	HMP_2012__SRS062544__bin.18	BritoIL_2016__W2.68.SA__bin.22	HMP_2012__SRS019607__bin.19	HMP_2012__SRS016342__bin.52	HMP_2012__SRS015038__bin.37	HMP_2012__SRS015893__bin.70	FerrettiP_2018__CA_C10055MS2957SA_t0M16__bin.43	HMP_2012__SRS042643__bin.34	HMP_2012__SRS015272__bin.16	HMP_2012__SRS020220__bin.52	HMP_2012__SRS018357__bin.42	Castro-NallarE_2015__ES_110__bin.12
FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	1.0	0.9766386717748493	0.9747172749692642	0.9759903656820262	0.9750175428988057	0.9738893465999112	0.9752137660676868	0.970884018065833	0.97739002339997	0.9729864635645081	0.9730233006244962	0.9760140601132752	0.976845615688549	0.9767057784897949	0.974738794911876	0.9762153200964188	0.9732406757395986	0.977146974007588	0.9766914257677305	0.9770957527001545	0.9727083237972787	0.9758289296427854	0.9754369761148803	0.9757930482102719	0.9763203049585918	0.976695020002855	0.9750288806815272	0.977124405818346
Castro-NallarE_2015__ES_107__bin.32	0.9766386717748493	1.0	0.9744138150479683	0.9762210288035176	0.9751616473904051	0.9747615825296999	0.9752954110921711	0.9708022408607098	0.9764463522978148	0.9736061728526093	0.9725123411406364	0.975610863096589	0.9763826959685158	0.9765553426423814	0.9763023485210411	0.9769158234692055	0.9731591601251843	0.9766794257519384	0.9765246229637174	0.9765981747600749	0.9719680664460647	0.988663145328471	0.975992213935697	0.976335680100355	0.9761127532662592	0.9770771570431318	0.9757036050450205	0.9792493033025252
FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	0.9747172749692642	0.9744138150479683	1.0	0.9732863353342754	0.9733563514542771	0.9727203762706721	0.9730186239586234	0.9705138013846805	0.9744240985221256	0.9720914977726978	0.9713000659205016	0.9736776654524169	0.974589820922053	0.9734367129775745	0.9724508490127548	0.9747200120953263	0.9714896030663884	0.9745121142788269	0.9737574457341215	0.9744369647957984	0.9717331719540891	0.9735535330153385	0.9732896755314349	0.9734206562406725	0.9737373872368861	0.9744318809457531	0.9730311059239409	0.9758475083188962
CM_cf__CF_TNFC041SA_t1M15__bin.21	0.9759903656820262	0.9762210288035176	0.9732863353342754	1.0	0.9753197481935655	0.9756042498553751	0.9755328688593797	0.9731801970242117	0.9766577340576557	0.9748691337230424	0.9742559124268252	0.9765728738738229	0.9775185205605063	0.9913952489570594	0.975355253350928	0.9772382548077093	0.9740961416769333	0.9794733900889959	0.976273996251489	0.9770557728506926	0.9748441165873153	0.976019474858124	0.9782036817297026	0.9764976698992675	0.976506229210501	0.9761735299578581	0.9753988053913654	0.9780387546413377
HMP_2012__SRS023926__bin.17	0.9750175428988057	0.9751616473904051	0.9733563514542771	0.9753197481935655	1.0	0.975040528553513	0.9748558706881432	0.9721204757634256	0.9756448806943033	0.9725490683770516	0.973467333609527	0.9748628578781969	0.9766001597917641	0.9746727866322716	0.974264875301453	0.9753161231100793	0.9733579227213472	0.9753089729338161	0.9747722593998228	0.9767262910827842	0.9729676592381754	0.9747676343186987	0.9743429118342365	0.9748847541534071	0.9749316309384417	0.9756364664513586	0.9746710378587147	0.9773589396024543
HMP_2012__SRS014470__bin.87	0.9738893465999112	0.9747615825296999	0.9727203762706721	0.9756042498553751	0.975040528553513	1.0	0.9750567876959456	0.9773984672759313	0.9750672882411534	0.9747279306687424	0.9803893611351029	0.9753139896246018	0.9759757585708901	0.974893915303209	0.9744862930170215	0.9753769971983117	0.9804573397106103	0.9752711362910862	0.9745698044351354	0.9764633489143604	0.9803963391122076	0.9752437530605058	0.974684693871048	0.9753506679742308	0.975318155797261	0.9761274828602259	0.9755083858111819	0.9755791132733398
HMP_2012__SRS013234__bin.13	0.9752137660676868	0.9752954110921711	0.9730186239586234	0.9755328688593797	0.9748558706881432	0.9750567876959456	1.0	0.9728067967764868	0.9761044279848919	0.9739353074683352	0.974207773289069	0.974975615465647	0.97685464585155	0.9755965190701243	0.9747141694229119	0.9751104953159165	0.9741115547658602	0.976058108936812	0.9749598511949692	0.976567451569995	0.9733866508759226	0.9748297883714651	0.9752155091455215	0.9752693780710318	0.9752658439485792	0.9767418798220271	0.975377114025712	0.976978212055178
CM_cf__CF_TNFC008IS_t1M15__bin.9	0.970884018065833	0.9708022408607098	0.9705138013846805	0.9731801970242117	0.9721204757634256	0.9773984672759313	0.9728067967764868	1.0	0.972148127583344	0.9715070212872109	0.9800290462781405	0.971878772869393	0.9733460849518732	0.9724253710469355	0.971581718925337	0.9734272020212887	0.9800888678009758	0.9724538469752624	0.97058246018616	0.9738442681714113	0.9800730590606379	0.9721410962146272	0.971647368902537	0.9721249603330786	0.9719107930305139	0.9728797793264762	0.9724346987764715	0.9733312880353657
CM_cf__CF_TNFC018IS_t1M15__bin.5	0.97739002339997	0.9764463522978148	0.9744240985221256	0.9766577340576557	0.9756448806943033	0.9750672882411534	0.9761044279848919	0.972148127583344	1.0	0.9735945613757229	0.9739834068059103	0.9769464564444389	0.9782105526605221	0.9767776472536049	0.9753619412932623	0.9770921769934485	0.9737926460388664	0.9770482046886723	0.9756973879192089	0.9776121611198456	0.9734740582266174	0.9762924616899924	0.975484805804222	0.9762216182199782	0.9766844241913022	0.9774887831480733	0.9754050467635522	0.9788204519682641
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	0.9729864635645081	0.9736061728526093	0.9720914977726978	0.9748691337230424	0.9725490683770516	0.9747279306687424	0.9739353074683352	0.9715070212872109	0.9735945613757229	1.0	0.9742883689738805	0.9725365499997146	0.9750010357256294	0.9734555872486907	0.973132150244673	0.9746956924452488	0.9738140290359852	0.9739172393537153	0.9719539590586672	0.9746710953849447	0.9733533595964221	0.9730231795259222	0.9725489037087847	0.9733736705166638	0.9724824255341091	0.9744705653514625	0.9733550551441035	0.9744402864768054
