	FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	Castro-NallarE_2015__ES_107__bin.32	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.21	HMP_2012__SRS023926__bin.17	HMP_2012__SRS014470__bin.87	HMP_2012__SRS013234__bin.13	CM_cf__CF_TNFC008IS_t1M15__bin.9	CM_cf__CF_TNFC018IS_t1M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	HMP_2012__SRS065278__bin.18	HMP_2012__SRS044486__bin.15	HMP_2012__SRS012279__bin.50	HMP_2012__SRS057791__bin.55	HMP_2012__SRS015762__bin.48	HMP_2012__SRS047210__bin.21	HMP_2012__SRS062544__bin.18	BritoIL_2016__W2.68.SA__bin.22	HMP_2012__SRS019607__bin.19	HMP_2012__SRS016342__bin.52	HMP_2012__SRS015038__bin.37	HMP_2012__SRS015893__bin.70	FerrettiP_2018__CA_C10055MS2957SA_t0M16__bin.43	HMP_2012__SRS042643__bin.34	HMP_2012__SRS015272__bin.16	HMP_2012__SRS020220__bin.52	HMP_2012__SRS018357__bin.42	Castro-NallarE_2015__ES_110__bin.12
FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	1.0	0.5840525903657341	0.6559821267228492	0.6736593673166538	0.7798821590305499	0.6563533914871946	0.663128699642425	0.863658217381543	0.8211095231054819	0.7183617257788072	0.7078945783297466	0.8155865490447325	0.7378268416758388	0.810575569902365	0.7348189399788632	0.75001779661481	0.7075309797994732	0.8288453008723079	0.8491405604017106	0.7033966892820571	0.7796532671846852	0.7643531067413577	0.6673725077894415	0.826565143824027	0.8689742031223476	0.7680350894485239	0.6567471073656082	0.5022549679934727
Castro-NallarE_2015__ES_107__bin.32	0.7658929880634291	1.0	0.6003191128032164	0.6020080266492223	0.745844316898258	0.6547628878416155	0.5809439965647262	0.8545020827783207	0.7882761230523097	0.6587065591180882	0.6648870359346579	0.7717661285168651	0.6832065810193946	0.785329140729177	0.7029033951333143	0.6792191071304191	0.6647261869969432	0.7860292644536055	0.8074860818993962	0.6434711487989108	0.736117264620199	0.7606050792360537	0.6192798994119678	0.7712577309815879	0.8316091141029333	0.7386247846670749	0.6586024381539425	0.5101999050704037
FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	0.7114892686962611	0.49652643938804514	1.0	0.7702841151047176	0.7772241092486335	0.7044358351957779	0.7222505655634937	0.8566150289923675	0.8184798057157993	0.7622186362451217	0.7412192889668644	0.8416974566421119	0.7483071700206507	0.8115035822485818	0.7654442338656272	0.7657952425553195	0.7303855334530287	0.8355503501475008	0.8200394483877653	0.7532925624762803	0.7858247130310937	0.7913327580195982	0.7174688888110189	0.8328818526131736	0.8654638927279433	0.7858692572810546	0.6872797658041514	0.5232226992746414
CM_cf__CF_TNFC041SA_t1M15__bin.21	0.6925446030744358	0.4719473359187251	0.7300993981617787	1.0	0.7976875586512203	0.7006295348265106	0.7544898617477797	0.8717112392485663	0.8376905760049448	0.7976098730515974	0.757839912496742	0.8739838245071045	0.7585480899193927	0.8524412699681545	0.7639320397367472	0.7765216103887038	0.750438388845699	0.8593930052561627	0.8175176523636969	0.754164482931967	0.7980833048579957	0.8217813533169218	0.7550494232407167	0.849180726540497	0.8815063800706038	0.7813516281043982	0.7062831324860349	0.5207614764992616
HMP_2012__SRS023926__bin.17	0.6440069509791375	0.4696708594714778	0.5917407608545743	0.6407476055703696	1.0	0.5909856128478259	0.6233154434097962	0.7612172262373689	0.7171559226891229	0.7072472051610523	0.6332544572950236	0.7570512510360676	0.6450284356182062	0.7037346364685844	0.659645297485357	0.6630204021095307	0.643188044967029	0.7403068614014009	0.7157717861330408	0.6279232028042669	0.6847528382486535	0.723288447999016	0.6062563334082451	0.7207458149200064	0.7684494640936166	0.6646975541796085	0.6182668041910262	0.42711035606358977
HMP_2012__SRS014470__bin.87	0.722956663349317	0.549974365933834	0.7153846617811151	0.7506812630055189	0.7882969932748274	1.0	0.7321897524050784	0.9206357248409179	0.8602593564341506	0.7915335203112277	0.79212823064628	0.8637383515787569	0.7887246298139269	0.8598347356675412	0.8072945504991104	0.8126288488796405	0.7844989294007659	0.8771422539883591	0.8604517627190206	0.7704840314846647	0.8511155342440966	0.8384631623390333	0.7379655598781628	0.8746264965770982	0.9084097831659579	0.8102367381404747	0.7370029252993154	0.5465743840284689
HMP_2012__SRS013234__bin.13	0.679041759700885	0.4536456890625403	0.6818835321863816	0.751527144310231	0.7729385654544088	0.6806874981075409	1.0	0.8409521395720744	0.7991806633867782	0.7757562266106087	0.7192342241815325	0.840742987808639	0.7279086954425101	0.784202481336149	0.7452593201502303	0.762420979323694	0.7187267648091223	0.8157243996559369	0.8003122136779647	0.7266044407461278	0.7650367781881066	0.7975472610090647	0.7278509403979154	0.8083306324906331	0.8419070603579467	0.7455834212742669	0.6739099716607772	0.49549791016455136
CM_cf__CF_TNFC008IS_t1M15__bin.9	0.6774500590168666	0.5111311652008377	0.6195048596566884	0.6651209459192458	0.7230734472207093	0.655614677417415	0.6441811259421651	1.0	0.7941406645969242	0.7193026388356755	0.706935297927795	0.809087738408383	0.6985651255847996	0.7764974563472768	0.7043611488616703	0.7228316241063711	0.6955923764296771	0.8057846837915803	0.798308354967124	0.6692315093370352	0.768651735198965	0.7374582715531831	0.6751868867443135	0.7776434316031455	0.8441598214546499	0.7403391021532996	0.6455461594365993	0.46604554349637567
CM_cf__CF_TNFC018IS_t1M15__bin.5	0.7079778301016003	0.5182995145908394	0.6506541290940021	0.7025784145189321	0.7488081956291929	0.6734005128406092	0.6729222330237814	0.8729324312903594	1.0	0.7633208955400053	0.7117426901799664	0.8448617025345053	0.7436911209453038	0.8189344983279091	0.756591928166432	0.7532354708931557	0.6973711607185434	0.8417814483143824	0.8368655061102254	0.7019495214132909	0.7828562417404664	0.784821768766581	0.7158040554162475	0.8217758487106039	0.8817987853675648	0.768067810918472	0.6920222643267939	0.49150026416343284
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	0.6005627192542734	0.4199436639835414	0.5875142430872101	0.6486319082692538	0.7160195074787367	0.6007723884850391	0.6333471129050496	0.7666399773300867	0.7401227709482681	1.0	0.6331694891899031	0.7798972071417551	0.646429007966973	0.7100869669514598	0.6654910540365218	0.6667307576979051	0.6655762035494529	0.7438180766922435	0.7392035224430769	0.6419852105367486	0.6773053200591651	0.7169708014995471	0.6477822443122643	0.7292474385332676	0.7770579744578929	0.6559282143826684	0.6236171787768959	0.4289058791160748
