	FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	Castro-NallarE_2015__ES_107__bin.32	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.21	HMP_2012__SRS023926__bin.17	HMP_2012__SRS014470__bin.87	HMP_2012__SRS013234__bin.13	CM_cf__CF_TNFC008IS_t1M15__bin.9	CM_cf__CF_TNFC018IS_t1M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	HMP_2012__SRS065278__bin.18	HMP_2012__SRS044486__bin.15	HMP_2012__SRS012279__bin.50	HMP_2012__SRS057791__bin.55	HMP_2012__SRS015762__bin.48	HMP_2012__SRS047210__bin.21	HMP_2012__SRS062544__bin.18	BritoIL_2016__W2.68.SA__bin.22	HMP_2012__SRS019607__bin.19	HMP_2012__SRS016342__bin.52	HMP_2012__SRS015038__bin.37	HMP_2012__SRS015893__bin.70	FerrettiP_2018__CA_C10055MS2957SA_t0M16__bin.43	HMP_2012__SRS042643__bin.34	HMP_2012__SRS015272__bin.16	HMP_2012__SRS020220__bin.52	HMP_2012__SRS018357__bin.42	Castro-NallarE_2015__ES_110__bin.12
FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.5	1.0	0.5980232067857123	0.6729973332457192	0.6902315750277901	0.7998647457274435	0.6739506842113909	0.6799829152497824	0.8895585891938955	0.8401042607833796	0.7383059813053406	0.7275206851422907	0.8356299180260542	0.7553157119467306	0.829907621879432	0.753862413001933	0.7682913607017889	0.7269845963453967	0.8482299213115831	0.8694051549948253	0.7198851160065491	0.801528318521074	0.7832859669585311	0.6841779880516267	0.8470701296141147	0.8900503233508014	0.7863612219977111	0.6735668249196415	0.5140133282955224
Castro-NallarE_2015__ES_107__bin.32	0.7842132512237804	1.0	0.6160823086992706	0.6166718487790201	0.7648417253633643	0.6717159350313907	0.5956595201387896	0.8802020090319551	0.807290765332171	0.6765636635068946	0.6836797928495466	0.7910593841352682	0.6997323732183647	0.8041829340713236	0.719964871740924	0.6952688151967779	0.6830600935939757	0.804797606797591	0.8268978199942411	0.6588903864754766	0.7573471701717134	0.7693268256533949	0.6345131555043009	0.7899513934616343	0.8519600951019344	0.7559533854033897	0.6750025671203229	0.5210112515268083
FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.5	0.7299442484167489	0.5095642443899486	1.0	0.7914260039828499	0.7984990369533158	0.7241915070151255	0.7422782542692694	0.8826407494362183	0.8399626065869661	0.7841017414426041	0.7631208057876641	0.8644518473688305	0.7678175515035466	0.8336480137125019	0.7871289686699503	0.7856566327279076	0.7518202265342376	0.8574037591783427	0.8421393356017245	0.7730541735289559	0.8086836342643874	0.8128292191274197	0.7371586351404242	0.8556237709499032	0.8888062675541465	0.8064896814729774	0.7063286688574518	0.5361726036232887
CM_cf__CF_TNFC041SA_t1M15__bin.21	0.7095813928352486	0.48344311584555427	0.7501383422906331	1.0	0.8178728669532778	0.7181493263588928	0.7734130605255262	0.8957346665233048	0.8577115060817129	0.8181712246909605	0.7778653460865316	0.8949499293792864	0.7759935734869181	0.859839978923559	0.7832346594865658	0.7946082816226833	0.7703945809227811	0.8774031167687745	0.8373854629977296	0.771874547889513	0.8186778699058934	0.8419722910102562	0.7718734220112576	0.8696187945108932	0.9027145487676981	0.8004228798727308	0.7240967782430783	0.5324548480599147
HMP_2012__SRS023926__bin.17	0.660508065387678	0.48163385088856503	0.6079384595071099	0.6569615828625717	1.0	0.6061138953111639	0.6393924088181391	0.7830482385833605	0.735058356662282	0.7272097914208856	0.650514337185794	0.7765720531027314	0.6604836474281784	0.7220214272116454	0.6770697725105325	0.6798005143145766	0.6607929415818407	0.7590485496862518	0.7342964258890059	0.6428855335798944	0.7037775939899262	0.7420111445375894	0.6222207048922286	0.7393138643817486	0.7882085673576196	0.6812963404261476	0.6343338215417952	0.43700460368973454
HMP_2012__SRS014470__bin.87	0.7423396362978377	0.5642142404776984	0.7354473898489098	0.7694526372930426	0.8084761301607407	1.0	0.7509201121867366	0.9419246660031967	0.8822564009771103	0.8120558521065171	0.8079730993093881	0.885600289514159	0.8081395699508429	0.8819777435990229	0.8284308935733888	0.8331433396664556	0.8001357097620555	0.8993829729485208	0.8829041889079888	0.7890557616333423	0.8681341415603607	0.8597472782653277	0.7571326035163908	0.8967302994662083	0.9313984137036702	0.8300521728640792	0.7555064989897162	0.5602563406616605
HMP_2012__SRS013234__bin.13	0.6963004249201242	0.4651367000225413	0.7007918609123951	0.7703760358058848	0.7928747096827734	0.6981003636885623	1.0	0.864459564179312	0.8187450445611009	0.7965172025923604	0.738276006311561	0.8623220668007182	0.7451555853613951	0.8038184495405951	0.7645926811461741	0.7818816257091815	0.7378279841695105	0.8357334386007803	0.8208668415392224	0.7440391747420929	0.7859536367174051	0.8181400184143268	0.7463488157972944	0.8288280660358844	0.8632590442717649	0.7633372098369737	0.6909224770297534	0.5071739615586909
CM_cf__CF_TNFC008IS_t1M15__bin.9	0.6977662073029721	0.5265038992366464	0.6383266871350103	0.6834509661756899	0.7438105309456272	0.6707752256299857	0.6621881426782146	1.0	0.8168926545906875	0.7403988062614576	0.7213411690322092	0.832498621221675	0.7176944936490292	0.7985162455307824	0.724963361435785	0.7425636170896351	0.7097237804469475	0.8286096931981988	0.8225044112315884	0.6872058821002789	0.7842800371797669	0.7585918077373088	0.6948888129105194	0.7999418421852906	0.8685568958674449	0.7609769653819259	0.6638452538240696	0.47881492070091763
CM_cf__CF_TNFC018IS_t1M15__bin.5	0.7243554907986612	0.530801833988273	0.6677319763343559	0.7193701437247374	0.7675007684110581	0.6906195305303524	0.6893957385409963	0.8979417915049384	1.0	0.7840233766932782	0.7307544309343642	0.8647983694104883	0.7602566941469032	0.8384042167943732	0.7757037630187247	0.7708949970420306	0.716139276215801	0.8615556983522717	0.8577101019968301	0.7180245391068113	0.8041880881413518	0.8038797794341568	0.7337931366610214	0.84179230757972	0.9028492351536137	0.7857561377275901	0.7094716872984839	0.5021352620647618
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.2	0.6172364588240303	0.43132806230380705	0.6043816291299231	0.6653528005262789	0.7362296985936139	0.6163487980413781	0.650296901702212	0.7891244844677675	0.7601960819321432	1.0	0.6498789366199215	0.8019207166475996	0.6630034064383103	0.729449783074749	0.6838650371064181	0.684039914063083	0.6834736240227834	0.763738484787307	0.7605334754323054	0.6586685637611913	0.6958473131895222	0.736848634838145	0.6660664999384268	0.7491957720062278	0.7990457761034759	0.6731123932369313	0.6406882827403311	0.44015614406382003
