	HMP_2012__SRS045313__bin.2	CM_periimplantitis__SP_283SPT_T016__bin.32	HMP_2012__SRS045197__bin.11	HMP_2012__SRS011255__bin.40	CM_periimplantitis__SP_282SPT_T016_R__bin.22	HMP_2012__SRS012285__bin.21	HMP_2012__SRS017691__bin.67	CM_periimplantitis__SP_281SPI_T016__bin.22	HMP_2012__SRS013950__bin.8	HMP_2012__SRS019980__bin.28	CM_periimplantitis__SP_403SPT_T016__bin.9	HMP_2012__SRS014691__bin.31	HMP_2012__SRS013836__bin.14	CM_periimplantitis__SP_285SPI_T016__bin.4	ZellerG_2014__CCMD50071957ST-21-0__bin.41	HMP_2012__SRS051930__bin.50	HMP_2012__SRS049268__bin.17	HMP_2012__SRS024087__bin.10	CM_periimplantitis__SP_287SPT_T016__bin.22	HMP_2012__SRS063932__bin.88	HMP_2012__SRS058053__bin.57	CM_periimplantitis__SP_189SPI_T016__bin.28	HMP_2012__SRS022536__bin.36	ZellerG_2014__CCMD11006829ST-21-0__bin.60	HMP_2012__SRS014476__bin.30	CM_periimplantitis__SP_162SPI_T016__bin.17	CM_periimplantitis__SP_123SPT_T016__bin.4	HMP_2012__SRS015215__bin.20	HMP_2012__SRS022725__bin.36	HMP_2012__SRS017227__bin.23	HMP_2012__SRS058808__bin.49	HMP_2012__SRS019029__bin.2	CM_periimplantitis__SP_143SPI_T016__bin.7	CM_periimplantitis__SP_381SPT_T016__bin.14	HMP_2012__SRS023964__bin.1	HMP_2012__SRS023938__bin.18	HMP_2012__SRS058053__bin.56	HMP_2012__SRS047113__bin.6	HMP_2012__SRS013533__bin.55
HMP_2012__SRS045313__bin.2	2443917.0	1785586.0	1987731.0	1888189.0	1039631.0	1946962.0	2071090.0	1982770.0	2052883.0	1810180.0	1820253.0	1216262.0	1557673.0	1855140.0	1945937.0	2050673.0	1305040.0	1803587.0	1848554.0	1767002.0	1103189.0	1882824.0	2068566.0	2140377.0	1981209.0	1867659.0	2070613.0	1725990.0	1741252.0	1146330.0	1430703.0	1569673.0	1924366.0	1933035.0	2015663.0	1996355.0	918377.0	2034551.0	1964580.0
CM_periimplantitis__SP_283SPT_T016__bin.32	1785586.0	2334376.0	1819767.0	1733998.0	1071945.0	1769989.0	1893246.0	1826077.0	1825147.0	1575109.0	1731178.0	1024059.0	1347890.0	1602749.0	1733328.0	1869906.0	1252868.0	1608858.0	1592790.0	1574088.0	1112320.0	1668966.0	1874123.0	1917674.0	1792213.0	1662281.0	1912118.0	1490149.0	1491033.0	1136259.0	1365640.0	1358627.0	1721098.0	1795471.0	1822262.0	1823463.0	755807.0	1868465.0	1736320.0
HMP_2012__SRS045197__bin.11	1987731.0	1819767.0	2402387.0	1899942.0	1131256.0	2029519.0	2157905.0	2054747.0	2110528.0	1798224.0	1919990.0	1209714.0	1513542.0	1829256.0	1959481.0	2126431.0	1336966.0	1806614.0	1766127.0	1782964.0	1182087.0	1906332.0	2124135.0	2189383.0	2050804.0	1906340.0	2135719.0	1724890.0	1701476.0	1296492.0	1518991.0	1573022.0	1958963.0	2017628.0	2046835.0	2014943.0	898983.0	2232160.0	1999174.0
HMP_2012__SRS011255__bin.40	1888189.0	1733998.0	1899942.0	2216696.0	1216926.0	1850635.0	1996615.0	1917427.0	1888790.0	1660200.0	1830954.0	978187.0	1351280.0	1648029.0	1768119.0	1939980.0	1379406.0	1609179.0	1695990.0	1584413.0	1251237.0	1694441.0	2031798.0	2001925.0	1884031.0	1715974.0	1979927.0	1502105.0	1515376.0	1299356.0	1483003.0	1343039.0	1779586.0	1971136.0	1970526.0	2020422.0	692412.0	1962904.0	1777437.0
CM_periimplantitis__SP_282SPT_T016_R__bin.22	1039631.0	1071945.0	1131256.0	1216926.0	1308633.0	1103009.0	1222500.0	1175735.0	1098903.0	898821.0	1145251.0	377659.0	687699.0	921564.0	1035602.0	1177720.0	925796.0	866350.0	914913.0	868761.0	980308.0	924941.0	1227355.0	1210873.0	1127493.0	948998.0	1204665.0	734179.0	808996.0	1039402.0	960051.0	662484.0	1039371.0	1230072.0	1180620.0	1196853.0	228413.0	1186250.0	999572.0
HMP_2012__SRS012285__bin.21	1946962.0	1769989.0	2029519.0	1850635.0	1103009.0	2206492.0	2058929.0	1958677.0	2034277.0	1797169.0	1851755.0	1158672.0	1504388.0	1815453.0	1937986.0	2039191.0	1324153.0	1781575.0	1809795.0	1767556.0	1139300.0	1885302.0	2057396.0	2096739.0	1959233.0	1874141.0	2056727.0	1698514.0	1692662.0	1227081.0	1466197.0	1526293.0	1932224.0	1970900.0	1969166.0	1964289.0	881281.0	2050589.0	1969131.0
HMP_2012__SRS017691__bin.67	2071090.0	1893246.0	2157905.0	1996615.0	1222500.0	2058929.0	2601642.0	2142047.0	2155548.0	1818700.0	1988387.0	1227233.0	1566596.0	1884430.0	2075314.0	2209237.0	1404465.0	1832098.0	1834159.0	1818083.0	1264041.0	1957477.0	2202083.0	2258441.0	2135197.0	1925870.0	2239481.0	1767582.0	1768115.0	1345650.0	1545597.0	1594792.0	2017007.0	2118999.0	2139333.0	2116319.0	916947.0	2225690.0	2027566.0
CM_periimplantitis__SP_281SPI_T016__bin.22	1982770.0	1826077.0	2054747.0	1917427.0	1175735.0	1958677.0	2142047.0	2329799.0	2038322.0	1723097.0	1911469.0	1198694.0	1537514.0	1797089.0	1915190.0	2087159.0	1379370.0	1752753.0	1736733.0	1749526.0	1216946.0	1840801.0	2101719.0	2163651.0	2039082.0	1823941.0	2125316.0	1659403.0	1677592.0	1280231.0	1496112.0	1530556.0	1906513.0	2017504.0	2044508.0	2031321.0	876761.0	2116156.0	1945374.0
HMP_2012__SRS013950__bin.8	2052883.0	1825147.0	2110528.0	1888790.0	1098903.0	2034277.0	2155548.0	2038322.0	2381490.0	1860657.0	1894648.0	1258917.0	1583029.0	1898846.0	2039963.0	2140649.0	1349882.0	1887275.0	1860517.0	1869236.0	1135150.0	2024526.0	2117431.0	2207864.0	2039646.0	1971645.0	2240776.0	1819260.0	1805904.0	1221634.0	1458541.0	1629938.0	2015470.0	2008451.0	2052732.0	2013102.0	961211.0	2165717.0	2114858.0
HMP_2012__SRS019980__bin.28	1810180.0	1575109.0	1798224.0	1660200.0	898821.0	1797169.0	1818700.0	1723097.0	1860657.0	2080371.0	1651101.0	1125330.0	1454789.0	1753970.0	1781297.0	1817011.0	1127385.0	1740783.0	1819361.0	1720990.0	922854.0	1804155.0	1835137.0	1878922.0	1723981.0	1810802.0	1802808.0	1679514.0	1678828.0	999521.0	1296660.0	1500418.0	1761959.0	1743129.0	1739166.0	1744357.0	841649.0	1820456.0	1842569.0
