	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.58	XieH_2016__YSZC12003_35541__bin.76	XieH_2016__YSZC12003_36058__bin.56	XieH_2016__YSZC12003_37878__bin.38	KarlssonFH_2013__S263__bin.7	ZeeviD_2015__PNP_Main_25__bin.71	XieH_2016__YSZC12003_35999__bin.85	XieH_2016__YSZC12003_35989__bin.123	XieH_2016__YSZC12003_37405__bin.99	XieH_2016__YSZC12003_36587__bin.73	FengQ_2015__SID530177__bin.8	XieH_2016__YSZC12003_36049__bin.130	ZellerG_2014__CCIS23164343ST-4-0__bin.33	XieH_2016__YSZC12003_35636__bin.60	XieH_2016__YSZC12003_37830__bin.24	XieH_2016__YSZC12003_36534__bin.20	FengQ_2015__SID31188__bin.73	CosteaPI_2017__alien3-11-0-0__bin.61	FengQ_2015__SID530705__bin.5	ZellerG_2014__MMPU68403337ST__bin.48	XieH_2016__YSZC12003_35992__bin.44	XieH_2016__YSZC12003_37798__bin.88	XieH_2016__YSZC12003_36667__bin.29	FengQ_2015__SID31879__bin.21	FengQ_2015__SID31884__bin.15	XieH_2016__YSZC12003_36588__bin.103
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.58	1.0	0.7951459727042466	0.7234693608377958	0.8565880457520666	0.8514327010512265	0.44987674057586763	0.7984338861135679	0.5534908074301069	0.8234500992197302	0.7785750085731621	0.8490232567862364	0.8456611836587817	0.8391062609217605	0.8018531966073671	0.8288095075744945	0.8420363163623713	0.7118795407273725	0.6223777198325483	0.8535474973085995	0.6022510709608959	0.8519811843356757	0.6293014502953199	0.6537293628187064	0.72758597176854	0.8707903783489459	0.5930861243185642
XieH_2016__YSZC12003_35541__bin.76	0.8053995819717503	1.0	0.7643020410385573	0.8740647046427754	0.8701511092469341	0.4659129521203389	0.8049635057103304	0.57225556791245	0.8705544167719468	0.7888816181504519	0.8883740556302234	0.858449645543099	0.8525502647209767	0.8279853075068638	0.8494921854125684	0.8756512156192938	0.7225980264146263	0.6386389782607161	0.8708367320394556	0.6213143993893924	0.8647296478419518	0.6326196134499027	0.6784620674148694	0.7711229795553333	0.8873249519307843	0.5947253425341223
XieH_2016__YSZC12003_36058__bin.56	0.757070297770213	0.7896171049643647	1.0	0.8180029833271181	0.8068071733183889	0.43727460984456284	0.7508447899066877	0.5326780569207148	0.8015051010310396	0.7388140858039879	0.820122249745313	0.8017915587675859	0.7894098137295548	0.767962462578203	0.7910790810852477	0.8139660125708071	0.6778616086216487	0.5994586469611521	0.8046160320499333	0.569556625923696	0.8023780158791336	0.5929404313741014	0.6458278211920392	0.7124365365905487	0.8223363076326924	0.5719482876077342
XieH_2016__YSZC12003_37878__bin.38	0.8335914133696276	0.8397698349078879	0.7607116131172791	1.0	0.9104288713821772	0.4805621414265683	0.8305700121815068	0.5943320877359107	0.8744181090329627	0.8228227675511781	0.9104264496114269	0.9026055831502878	0.8862721925017134	0.8489580331346674	0.913163534913458	0.896926530740747	0.746097195347294	0.6525940797392237	0.8975058183042277	0.6242845483760816	0.8978623029586773	0.6505612453713907	0.7070010970621499	0.7715858481404433	0.9272698651800223	0.6230538044807602
KarlssonFH_2013__S263__bin.7	0.8446742209491851	0.8522540146835975	0.7648787583575978	0.9281191041316813	1.0	0.4749317739561428	0.8399745612029706	0.5846918878777121	0.876819340595965	0.8262715818714995	0.9143958804159282	0.8959680592992579	0.8898591929008376	0.8548378893896219	0.8760456101040216	0.9027864666784842	0.7490432059599468	0.6463469008563375	0.9104610633831921	0.6335919512278219	0.9081161711647878	0.6582318357262031	0.6914652144695008	0.77941965769215	0.9260689898990397	0.6186886280380772
ZeeviD_2015__PNP_Main_25__bin.71	0.8471317939888903	0.8661591334884736	0.7868566838895549	0.9298775716008851	0.9014668352404097	1.0	0.8702341444304591	0.6449510820616107	0.8849090573397527	0.8247998343003831	0.9065887153687332	0.9053131657155497	0.8999026233585851	0.8689286038963777	0.896089095409427	0.9116937256265517	0.7472893398351064	0.708279638722351	0.908475329220209	0.6436389810223329	0.9135316042965685	0.7045035993743153	0.7188055007024426	0.7798125757386895	0.9261324603487752	0.6513710050037911
XieH_2016__YSZC12003_35999__bin.85	0.7331793721932104	0.7297648352512205	0.658878573015149	0.7837296926231194	0.777496597346067	0.42437515939228465	1.0	0.5139355703250186	0.7488690574671457	0.7068201159233235	0.7775852628750117	0.7741067404997628	0.7634746466861487	0.737799120474516	0.7551021527441981	0.7742155157363032	0.6496742684408304	0.5682413786484265	0.7717703581081884	0.5517916378351352	0.7761501610147724	0.5808835291439938	0.5996047528379825	0.6632314106320024	0.7906995344602692	0.5669369898875594
XieH_2016__YSZC12003_35989__bin.123	0.7995992156879663	0.8161827990621043	0.735378095490781	0.8822870446866599	0.8514322610519474	0.49480181165438214	0.8085359724412251	1.0	0.821833613393415	0.7826086643902348	0.8543522199525012	0.8572419798198556	0.8375004404025675	0.8193263746132546	0.8621155285585785	0.8492183843085823	0.7185881520564463	0.6448040046794121	0.8449898006360491	0.5892881153142893	0.8352117851008036	0.6434249154966338	0.6837147399323973	0.744427739106238	0.8684314406448788	0.6252637921501208
XieH_2016__YSZC12003_37405__bin.99	0.8456747811641429	0.8826682001150086	0.7866043064340936	0.9227924094307073	0.9076894767107533	0.48262219666474987	0.8375306370199987	0.5842356398952143	1.0	0.8194175452047793	0.91060405085937	0.901694204843141	0.8856088428854386	0.8543924349881796	0.9014810555236087	0.9118982812599834	0.7507819308670373	0.6442737205290396	0.9043204907034694	0.6369366813622133	0.8916552296977829	0.6565188166890294	0.694156283943518	0.7875315315315315	0.9238075522330842	0.621171298958533
XieH_2016__YSZC12003_36587__bin.73	0.8461347480519312	0.8464208867161342	0.7672875893710034	0.9188913181526585	0.9051550395563714	0.4760254744546868	0.8365207052966485	0.5887376038131628	0.8671180697918707	1.0	0.9057613938901552	0.8958260536555972	0.8911845491612188	0.8526926784201684	0.8759926956209425	0.9079509767118827	0.7507624053822196	0.6582238632073277	0.9065835692579975	0.629666791795988	0.895439306689803	0.6661529873633809	0.7049585829158449	0.7791588280539217	0.9184180264113019	0.6244064921563388
FengQ_2015__SID530177__bin.8	0.8356760776517722	0.8632760927404401	0.7714022712364429	0.9208354419093632	0.9072223280932872	0.4738831323878748	0.8334798926353093	0.5820943561033417	0.8727339441631105	0.8203385446391873	1.0	0.8911416291940251	0.8805398803782161	0.8592139097923006	0.8733467988264152	0.892989991020283	0.7458490241599948	0.648185661160446	0.8972309844816969	0.6326188587774162	0.8937125814506383	0.6575832558896019	0.7025930463775685	0.7819672781659626	0.9196964434343964	0.6131294926141461
XieH_2016__YSZC12003_36049__bin.130	0.8240179558272295	0.8258298338125725	0.7465960603293292	0.9037682309310269	0.8800227357708653	0.4684698797108949	0.8214286580317942	0.5782048925555384	0.8555264945932223	0.8032022130518263	0.8822031970722846	1.0	0.870504556611245	0.8325380501651592	0.8712179593190714	0.8824932139446708	0.7360269337408443	0.645231768583995	0.8729920090167118	0.6116339443895072	0.878116287066266	0.6489539750983172	0.691153854920757	0.7554396350249206	0.9123916255930675	0.6136000453939452
ZellerG_2014__CCIS23164343ST-4-0__bin.33	0.8514733623064704	0.8541016517718479	0.765491832050081	0.9241447579413079	0.9101992681799701	0.48494465895115896	0.8436794032308162	0.5882706774512056	0.8750441288993154	0.8321137174588825	0.9077886560319597	0.9065356225647034	1.0	0.8596718678582521	0.8837002113641701	0.9031386442895057	0.7528902850764775	0.6609557094841149	0.9065644105161882	0.6397213124275566	0.9026467238553633	0.6598511612403062	0.6968714567461028	0.7789797448983456	0.9272422405107084	0.6196561102427026
XieH_2016__YSZC12003_35636__bin.60	0.8032124209221663	0.8188298100935448	0.7351220998146852	0.8738573630069544	0.8631383249483866	0.46223433612011705	0.8048267579097776	0.5681075214243657	0.8333488717838523	0.7859393142906714	0.8744167472256388	0.855853367547838	0.8486217560576276	1.0	0.8389676419661807	0.8513269421276642	0.7175358975598982	0.6193330564663968	0.8634868183252674	0.6054007997898071	0.8605876924503572	0.6303492362311464	0.6674944423034066	0.7548436341627209	0.880933922365248	0.5952366589107363
XieH_2016__YSZC12003_37830__bin.24	0.8210132251550101	0.8307881253648455	0.74885763927236	0.9295286196614234	0.8747485524509726	0.4713995669185744	0.8145727166590411	0.5911517086600508	0.8695327414290899	0.7984667615922251	0.8789492056229589	0.8856904651089409	0.862673153684742	0.8296694302888787	1.0	0.874131273369831	0.7346326104791505	0.6402998438066989	0.8747194634207911	0.6150535238155341	0.8723040878468991	0.6444013970623038	0.6964244158528312	0.7635214686903429	0.8997616671662748	0.6166869468153922
XieH_2016__YSZC12003_36534__bin.20	0.8061111592886705	0.8276195277307384	0.744653640936991	0.8823476998815467	0.8711846946564522	0.46350629288927814	0.8071508416090204	0.5627578359741519	0.850049887598048	0.7998111227901986	0.8685449879402568	0.8670321596326901	0.852048726889463	0.813626223246763	0.8447833391622886	1.0	0.7192243074105239	0.6290454458388407	0.856979355968739	0.606220559408172	0.8545878960393917	0.6281182131186753	0.6689236000263018	0.7577564017652682	0.88382479208736	0.5975795700041644
FengQ_2015__SID31188__bin.73	0.7790588167368675	0.7807211958235721	0.7089060924668409	0.8390308308137105	0.8262884663463554	0.4343052513640278	0.7742623192802748	0.5443545290298123	0.8000395441421018	0.756009375120852	0.8292706175585796	0.8266414223254461	0.8119725064722213	0.7839201317266574	0.8115934056057906	0.8221744593863686	1.0	0.5995316797055215	0.8261800740009249	0.5775808680429408	0.8129921570784832	0.6172524664705437	0.6532398145238117	0.7188640264324812	0.8391686361573988	0.5761859293663187
CosteaPI_2017__alien3-11-0-0__bin.61	0.8665300601355163	0.877850338929258	0.797577255220453	0.9336659104106927	0.9071024770732478	0.5236931716599426	0.8615712014768473	0.6214345210294135	0.8734416946047119	0.8432651409421832	0.9168760576380699	0.9219450977565946	0.9068758774671292	0.8608318076550475	0.8999483047993381	0.9148449767648783	0.7627425897771009	1.0	0.9109068557814776	0.653036504018505	0.9009877525338271	0.6852004817493766	0.7404817770952841	0.7914763899841588	0.9316022601751539	0.662782365977074
FengQ_2015__SID530705__bin.5	0.8458646579455921	0.8520113681091196	0.7619839145793731	0.9139643074519119	0.9094852290539828	0.47811116164042483	0.8328945174817725	0.5796458169126765	0.8726286434128792	0.8266886189680905	0.9033562753955015	0.8878573126713379	0.8853556184048148	0.8542664442499998	0.8750775614005147	0.8871140056406498	0.7481422256595308	0.6483620117331039	1.0	0.6509519952886074	0.9125467464657157	0.6538867509837597	0.6906239734520521	0.7746946127750162	0.9249279628454997	0.6136815844326747
ZellerG_2014__MMPU68403337ST__bin.48	0.8207331209426403	0.835932598399134	0.7417289380171428	0.8742300724330491	0.8703523709462012	0.4658105020121045	0.8188949941227421	0.5558916034231212	0.8451903817809753	0.7895799235854732	0.8758870996732746	0.8554126730365788	0.859134371140188	0.8236293576662437	0.8461392893164135	0.8629605236830092	0.7192393546343518	0.6391933404190522	0.8951589437078749	1.0	0.8743636927221708	0.644703651225271	0.685364237377461	0.7535628120491586	0.8881170866436008	0.5983577591674032
XieH_2016__YSZC12003_35992__bin.44	0.8116360446646594	0.8132931888765084	0.7304563666105592	0.8789412294635025	0.8720348023991845	0.46216542993290816	0.8052037647281951	0.5507645622436642	0.8271079395936559	0.784925440364145	0.8649894502264053	0.8585054882530049	0.8474128161968659	0.8184476423034067	0.838887650838055	0.8504013655437282	0.7077077357103909	0.6164823024584528	0.8772295583319504	0.6112221142220431	1.0	0.6254569592944691	0.6734548730471065	0.7431416988691592	0.8952068466845262	0.5989990754131007
XieH_2016__YSZC12003_37798__bin.88	0.805582085234922	0.7995197260820339	0.7253474149119381	0.8557719202227941	0.8493584985482832	0.4789352929970354	0.809783367027265	0.5701471977756271	0.8183369320958432	0.7846680611473182	0.855230990856446	0.8525594751519732	0.8324208468698412	0.8055578740265342	0.8327451496348249	0.839901473124603	0.7220215594439322	0.629997942047287	0.8446570641616137	0.6056013267742196	0.8404602423287105	1.0	0.6769224495881228	0.7326267058548436	0.8622860095532331	0.6120689050990716
XieH_2016__YSZC12003_36667__bin.29	0.7627518947455835	0.7815312320158142	0.7200886876240927	0.8476648360422974	0.8132362446203512	0.4453887603883626	0.761866876810033	0.55220241126737	0.7886357657582844	0.7568500330139565	0.8328576265143011	0.8275986222988515	0.8012792109635372	0.7774946443058329	0.8202832870402363	0.815262958921579	0.6964568504395182	0.6205404300467073	0.8131183583730304	0.5867895393667476	0.8248262629653095	0.6169829366916009	1.0	0.7233778881404693	0.8440823717086944	0.598198953657929
FengQ_2015__SID31879__bin.21	0.7530925317650355	0.7879944032541903	0.704683565432058	0.8206671584769268	0.8131983053152599	0.4286440667488182	0.7475802729134813	0.533365136147642	0.7937173643366126	0.7420803780070144	0.8223074418585482	0.8024602190066806	0.7945771736845793	0.7799835971661838	0.7977923145717335	0.819274669161436	0.6799031284902387	0.5883996315544364	0.8091357190252265	0.5723465943513256	0.8074289794387594	0.592373609571342	0.6417175992515692	1.0	0.8272365346334708	0.5653980572120952
FengQ_2015__SID31884__bin.15	0.8190182297201268	0.8239447762409757	0.7391172662254434	0.8961998556302787	0.8779794980015748	0.46258932993537066	0.8098790271615434	0.5653970495023364	0.8460486980978212	0.7948428551499825	0.8788324215820562	0.8806857280887116	0.8594469010599284	0.8271565812276295	0.85430314458225	0.8683244217955212	0.7212161697832863	0.6293335492949571	0.8778385924045797	0.6129510500509788	0.8838366768374605	0.6335490140821335	0.6804237653907766	0.7517018680992538	1.0	0.6006782193652039
