	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.58	XieH_2016__YSZC12003_35541__bin.76	XieH_2016__YSZC12003_36058__bin.56	XieH_2016__YSZC12003_37878__bin.38	KarlssonFH_2013__S263__bin.7	ZeeviD_2015__PNP_Main_25__bin.71	XieH_2016__YSZC12003_35999__bin.85	XieH_2016__YSZC12003_35989__bin.123	XieH_2016__YSZC12003_37405__bin.99	XieH_2016__YSZC12003_36587__bin.73	FengQ_2015__SID530177__bin.8	XieH_2016__YSZC12003_36049__bin.130	ZellerG_2014__CCIS23164343ST-4-0__bin.33	XieH_2016__YSZC12003_35636__bin.60	XieH_2016__YSZC12003_37830__bin.24	XieH_2016__YSZC12003_36534__bin.20	FengQ_2015__SID31188__bin.73	CosteaPI_2017__alien3-11-0-0__bin.61	FengQ_2015__SID530705__bin.5	ZellerG_2014__MMPU68403337ST__bin.48	XieH_2016__YSZC12003_35992__bin.44	XieH_2016__YSZC12003_37798__bin.88	XieH_2016__YSZC12003_36667__bin.29	FengQ_2015__SID31879__bin.21	FengQ_2015__SID31884__bin.15	XieH_2016__YSZC12003_36588__bin.103
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.58	2009177.0	1597589.0	1453578.0	1721037.0	1710679.0	903882.0	1604195.0	1112061.0	1654457.0	1564295.0	1705838.0	1699083.0	1685913.0	1611065.0	1665225.0	1691800.0	1430292.0	1250467.0	1714928.0	1210029.0	1711781.0	1264378.0	1313458.0	1461849.0	1749572.0	1191615.0
XieH_2016__YSZC12003_35541__bin.76	1597589.0	1983598.0	1516068.0	1733793.0	1726030.0	924184.0	1596724.0	1135125.0	1726830.0	1564824.0	1762177.0	1702819.0	1691117.0	1642390.0	1685051.0	1736940.0	1433344.0	1266803.0	1727390.0	1232438.0	1715276.0	1254863.0	1345796.0	1529598.0	1760096.0	1179696.0
XieH_2016__YSZC12003_36058__bin.56	1453578.0	1516068.0	1920004.0	1570569.0	1549073.0	839569.0	1441625.0	1022744.0	1538893.0	1418526.0	1574638.0	1539443.0	1515670.0	1474491.0	1518875.0	1562818.0	1301497.0	1150963.0	1544866.0	1093551.0	1540569.0	1138448.0	1239992.0	1367881.0	1578889.0	1098143.0
XieH_2016__YSZC12003_37878__bin.38	1721037.0	1733793.0	1570569.0	2064605.0	1879676.0	992171.0	1714799.0	1227061.0	1805328.0	1698804.0	1879671.0	1863524.0	1829802.0	1752763.0	1885322.0	1851799.0	1540396.0	1347349.0	1852995.0	1288901.0	1853731.0	1343152.0	1459678.0	1593020.0	1914446.0	1286360.0
KarlssonFH_2013__S263__bin.7	1710679.0	1726030.0	1549073.0	1879676.0	2025253.0	961857.0	1701161.0	1184149.0	1775781.0	1673409.0	1851883.0	1814562.0	1802190.0	1731263.0	1774214.0	1828371.0	1517002.0	1309016.0	1843914.0	1283184.0	1839165.0	1333086.0	1400392.0	1578522.0	1875524.0	1253001.0
ZeeviD_2015__PNP_Main_25__bin.71	903882.0	924184.0	839569.0	992171.0	961857.0	1066991.0	928532.0	688157.0	944190.0	880054.0	967322.0	965961.0	960188.0	927139.0	956119.0	972769.0	797351.0	755728.0	969335.0	686757.0	974730.0	751699.0	766959.0	832053.0	988175.0	695007.0
XieH_2016__YSZC12003_35999__bin.85	1604195.0	1596724.0	1441625.0	1714799.0	1701161.0	928532.0	2187998.0	1124490.0	1638524.0	1546521.0	1701355.0	1693744.0	1670481.0	1614303.0	1652162.0	1693982.0	1421486.0	1243311.0	1688632.0	1207319.0	1698215.0	1270972.0	1311934.0	1451149.0	1730049.0	1240457.0
XieH_2016__YSZC12003_35989__bin.123	1112061.0	1135125.0	1022744.0	1227061.0	1184149.0	688157.0	1124490.0	1390773.0	1142984.0	1088431.0	1188210.0	1192229.0	1164773.0	1139497.0	1199007.0	1181070.0	999393.0	896776.0	1175189.0	819566.0	1161590.0	894858.0	950892.0	1035330.0	1207791.0	869600.0
XieH_2016__YSZC12003_37405__bin.99	1654457.0	1726830.0	1538893.0	1805328.0	1775781.0	944190.0	1638524.0	1142984.0	1956375.0	1603088.0	1781483.0	1764052.0	1732583.0	1671512.0	1763635.0	1784015.0	1468811.0	1260441.0	1769190.0	1246087.0	1744412.0	1284397.0	1358030.0	1540707.0	1807314.0	1215244.0
XieH_2016__YSZC12003_36587__bin.73	1564295.0	1564824.0	1418526.0	1698804.0	1673409.0	880054.0	1546521.0	1088431.0	1603088.0	1848754.0	1674530.0	1656162.0	1647581.0	1576419.0	1619495.0	1678578.0	1387975.0	1216894.0	1676050.0	1164099.0	1655447.0	1231553.0	1303295.0	1440473.0	1697929.0	1154374.0
