	QinN_2014__LV-6__bin.12	NielsenHB_2014__O2_UC4_2__bin.40	QinN_2014__LD-79__bin.10	QinN_2014__LD-86__bin.44	QinJ_2012__DOM022__bin.32	HeQ_2017__SZAXPI029503-106__bin.14	QinN_2014__LD-53__bin.41	QinN_2014__LD-39__bin.12	QinN_2014__LD-3__bin.24	ZellerG_2014__CCIS07539127ST-4-0__bin.15	QinN_2014__LD-44__bin.54	YuJ_2015__SZAXPI017593-158__bin.24	CM_madagascar__A11_01_1FE__bin.25	QinN_2014__LD-27__bin.7	QinN_2014__LD-22__bin.78	QinN_2014__LD-60__bin.38	QinN_2014__LV-20__bin.9	QinN_2014__LV-12__bin.14	CosteaPI_2017__SID713A062-11-0-0__bin.66	QinN_2014__LD-24__bin.31	QinN_2014__LD-65__bin.37	ZeeviD_2015__PNP_Main_636__bin.23	ZeeviD_2015__PNP_Main_44__bin.25	QinN_2014__LD-38__bin.2	QinN_2014__LD-48__bin.15	QinN_2014__LD-77__bin.38	QinJ_2012__T2D-029__bin.48	QinN_2014__LD-91__bin.8	ZellerG_2014__CCIS82146115ST-4-0__bin.54	QinN_2014__LD-45__bin.24	QinN_2014__LD-87__bin.15	QinN_2014__LD-63__bin.5	WenC_2017__N227__bin.1	QinN_2014__HD-56__bin.17	QinJ_2012__T2D-056__bin.52	QinN_2014__LD-40__bin.12	QinN_2014__LD-5__bin.25	QinN_2014__LV-16__bin.4	WenC_2017__N237__bin.61	WenC_2017__N018__bin.23	LiJ_2014__V1.CD40-0__bin.27	FengQ_2015__SID530163__bin.14
QinN_2014__LV-6__bin.12	2004211.0	1478620.0	1139667.0	1506571.0	980008.0	901967.0	999355.0	1473659.0	1422686.0	1218332.0	1605740.0	1198812.0	1604682.0	1477128.0	1489670.0	817583.0	825683.0	1512213.0	1189423.0	1145724.0	1529456.0	1419786.0	1324400.0	1036638.0	922075.0	1546509.0	718089.0	773448.0	1530519.0	1245487.0	1431600.0	1512521.0	882174.0	1294031.0	1062524.0	835833.0	860169.0	1229584.0	1430820.0	1270041.0	1382280.0	1508045.0
NielsenHB_2014__O2_UC4_2__bin.40	1478620.0	1882803.0	1209259.0	1720991.0	1086463.0	970958.0	1100396.0	1585599.0	1412151.0	1305674.0	1600362.0	1263086.0	1628802.0	1579496.0	1609402.0	933724.0	955625.0	1619583.0	1275379.0	1171036.0	1579170.0	1538241.0	1469977.0	1134729.0	983696.0	1564069.0	818490.0	853713.0	1646117.0	1269928.0	1610744.0	1639310.0	963454.0	1461862.0	1105679.0	908961.0	1002636.0	1467514.0	1486747.0	1414581.0	1534107.0	1753341.0
QinN_2014__LD-79__bin.10	1139667.0	1209259.0	2485345.0	1228481.0	844826.0	657469.0	787910.0	1324549.0	1110047.0	1042045.0	1226967.0	993961.0	1243353.0	1287540.0	1331964.0	629636.0	641038.0	1336715.0	1021279.0	1056816.0	1257889.0	1239513.0	1095026.0	979233.0	800642.0	1190216.0	524926.0	553167.0	1312056.0	897471.0	1288548.0	1332710.0	635165.0	1075406.0	975016.0	631392.0	705190.0	1080705.0	1079959.0	1124636.0	1133377.0	1222158.0
QinN_2014__LD-86__bin.44	1506571.0	1720991.0	1228481.0	1949939.0	1120861.0	1023463.0	1131461.0	1643026.0	1454333.0	1352593.0	1663678.0	1279097.0	1672569.0	1603815.0	1648865.0	998125.0	999191.0	1704663.0	1329611.0	1205282.0	1617927.0	1547354.0	1454804.0	1126231.0	1022169.0	1602056.0	873531.0	881934.0	1682591.0	1306378.0	1602482.0	1664970.0	1016965.0	1575084.0	1140347.0	949904.0	1032458.0	1455846.0	1472813.0	1418888.0	1595862.0	1751047.0
QinJ_2012__DOM022__bin.32	980008.0	1086463.0	844826.0	1120861.0	1750361.0	498788.0	626605.0	1030722.0	952204.0	785083.0	1020064.0	854501.0	1044961.0	1024487.0	1047240.0	468245.0	465697.0	1051298.0	889587.0	871722.0	987473.0	965330.0	942310.0	777281.0	581317.0	1007532.0	391957.0	398466.0	1030686.0	708041.0	1026336.0	1045842.0	473082.0	965795.0	787304.0	461104.0	518175.0	1011859.0	919845.0	948428.0	1002990.0	1104201.0
HeQ_2017__SZAXPI029503-106__bin.14	901967.0	970958.0	657469.0	1023463.0	498788.0	1116822.0	972372.0	993703.0	876432.0	984333.0	1032442.0	676231.0	1066648.0	969724.0	992899.0	927777.0	932784.0	1027849.0	718166.0	560945.0	985436.0	911085.0	883568.0	557118.0	777679.0	1022431.0	821156.0	891289.0	1023872.0	1070153.0	943681.0	1015448.0	976010.0	825023.0	592960.0	890117.0	932364.0	716176.0	965314.0	784726.0	936699.0	1002063.0
QinN_2014__LD-53__bin.41	999355.0	1100396.0	787910.0	1131461.0	626605.0	972372.0	1893983.0	1103984.0	968267.0	1079045.0	1148348.0	772982.0	1133194.0	1139151.0	1122934.0	946929.0	899873.0	1127706.0	802425.0	682762.0	1095982.0	1010429.0	1005537.0	684846.0	859644.0	1107938.0	826395.0	869166.0	1145622.0	1099821.0	1087012.0	1130899.0	936547.0	926061.0	669097.0	923827.0	946655.0	850515.0	1002450.0	919564.0	1015420.0	1139678.0
QinN_2014__LD-39__bin.12	1473659.0	1585599.0	1324549.0	1643026.0	1030722.0	993703.0	1103984.0	2151021.0	1480914.0	1407326.0	1626676.0	1272492.0	1656587.0	1670082.0	1768813.0	953484.0	989881.0	1797918.0	1305444.0	1306167.0	1672492.0	1625559.0	1410051.0	1188870.0	1080212.0	1577474.0	817099.0	851224.0	1729146.0	1271513.0	1652352.0	1769246.0	961341.0	1405449.0	1205428.0	949367.0	1030186.0	1345993.0	1440299.0	1460865.0	1523211.0	1623559.0
QinN_2014__LD-3__bin.24	1422686.0	1412151.0	1110047.0	1454333.0	952204.0	876432.0	968267.0	1480914.0	3202661.0	1157778.0	1511296.0	1117931.0	1548687.0	1445170.0	1445658.0	783369.0	797640.0	1476714.0	1149993.0	1123391.0	1431980.0	1355134.0	1282266.0	1003968.0	885231.0	1483525.0	684039.0	745001.0	1468826.0	1180109.0	1380932.0	1449382.0	839933.0	1250189.0	1054458.0	774712.0	816402.0	1223108.0	1350186.0	1240913.0	1350445.0	1454641.0
ZellerG_2014__CCIS07539127ST-4-0__bin.15	1218332.0	1305674.0	1042045.0	1352593.0	785083.0	984333.0	1079045.0	1407326.0	1157778.0	1643401.0	1358342.0	1017481.0	1358864.0	1387464.0	1448252.0	977543.0	975284.0	1455272.0	1042408.0	985988.0	1368063.0	1314715.0	1178348.0	908133.0	1048393.0	1333257.0	822706.0	869645.0	1426413.0	1267130.0	1348112.0	1433419.0	968690.0	1123251.0	909502.0	988300.0	1033164.0	1036978.0	1239057.0	1163796.0	1218571.0	1324809.0
