	QinN_2014__LV-6__bin.12	NielsenHB_2014__O2_UC4_2__bin.40	QinN_2014__LD-79__bin.10	QinN_2014__LD-86__bin.44	QinJ_2012__DOM022__bin.32	HeQ_2017__SZAXPI029503-106__bin.14	QinN_2014__LD-53__bin.41	QinN_2014__LD-39__bin.12	QinN_2014__LD-3__bin.24	ZellerG_2014__CCIS07539127ST-4-0__bin.15	QinN_2014__LD-44__bin.54	YuJ_2015__SZAXPI017593-158__bin.24	CM_madagascar__A11_01_1FE__bin.25	QinN_2014__LD-27__bin.7	QinN_2014__LD-22__bin.78	QinN_2014__LD-60__bin.38	QinN_2014__LV-20__bin.9	QinN_2014__LV-12__bin.14	CosteaPI_2017__SID713A062-11-0-0__bin.66	QinN_2014__LD-24__bin.31	QinN_2014__LD-65__bin.37	ZeeviD_2015__PNP_Main_636__bin.23	ZeeviD_2015__PNP_Main_44__bin.25	QinN_2014__LD-38__bin.2	QinN_2014__LD-48__bin.15	QinN_2014__LD-77__bin.38	QinJ_2012__T2D-029__bin.48	QinN_2014__LD-91__bin.8	ZellerG_2014__CCIS82146115ST-4-0__bin.54	QinN_2014__LD-45__bin.24	QinN_2014__LD-87__bin.15	QinN_2014__LD-63__bin.5	WenC_2017__N227__bin.1	QinN_2014__HD-56__bin.17	QinJ_2012__T2D-056__bin.52	QinN_2014__LD-40__bin.12	QinN_2014__LD-5__bin.25	QinN_2014__LV-16__bin.4	WenC_2017__N237__bin.61	WenC_2017__N018__bin.23	LiJ_2014__V1.CD40-0__bin.27	FengQ_2015__SID530163__bin.14
QinN_2014__LV-6__bin.12	1.0	0.7377566533663372	0.5686362364042509	0.7517027897761264	0.488974464265489	0.4500359493087305	0.4986276395050222	0.7352813650858119	0.7098484141639777	0.60788609582524	0.8011831089640762	0.5981466023287967	0.8006552204333776	0.7370122207691705	0.74327004492042	0.4079325979150898	0.4119740885565442	0.754517862640211	0.5934619658309429	0.5716583732950273	0.7631212482118899	0.7084014607244447	0.6608086673508927	0.5172299722933363	0.46006882508877556	0.7716298333858062	0.35829012015201994	0.3859114634137823	0.763651631489898	0.6214350684633504	0.7142960496674252	0.7546715390744787	0.44016024260918635	0.6456560711422101	0.5301457780642856	0.4170384255949099	0.4291808596999019	0.6135002751706282	0.7139068690871371	0.6336862735510382	0.689687862206125	0.7524382412829786
NielsenHB_2014__O2_UC4_2__bin.40	0.7853291077186514	1.0	0.6422652821351995	0.9140579232134217	0.5770455007772985	0.5156981372984852	0.5844456377008109	0.8421481163987947	0.7500258922468256	0.6934735073186096	0.8499890854221074	0.6708540404917561	0.8650942238779097	0.8389066726577342	0.8547904374488462	0.4959223030768487	0.5075544281584425	0.8601978008320573	0.6773831356759045	0.6219641672548853	0.8387335265558851	0.8169951928056202	0.7807386115276	0.6026806840651943	0.5224635822228879	0.8307130379545815	0.4347188739342353	0.4534266197791272	0.8742906188273547	0.6744879841385424	0.8555032045306917	0.8706752644859818	0.5117125902178826	0.7764285482867831	0.5872515605721894	0.48277010393546216	0.53252305206652	0.7794304555495185	0.7896455444356101	0.7513165211655176	0.8147995302748083	0.9312397526453909
QinN_2014__LD-79__bin.10	0.45855484852203615	0.4865557900412216	1.0	0.49428992755532936	0.3399230287947951	0.26453832365325536	0.31702238522217235	0.5329437160635646	0.44663698601200236	0.41927579470858173	0.4936807565951608	0.3999287825231507	0.5002738050451748	0.5180528256640426	0.5359272052773357	0.253339476008361	0.25792716906505936	0.5378388111107311	0.4109204154755175	0.4252190339771742	0.5061224900365945	0.49872874792030886	0.4405931570868431	0.3940028446754877	0.32214521525180606	0.47889367472121575	0.21120850425192478	0.22257151421633617	0.5279170497456087	0.3611051986746307	0.5184584031593199	0.5362273648125311	0.25556411685299224	0.43269888083948105	0.39230609834851904	0.25404601775608615	0.2837392796573514	0.4348309792000708	0.4345308196648755	0.4525069960106142	0.4560240127628156	0.49174581396144196
QinN_2014__LD-86__bin.44	0.7726246821054402	0.882587096314295	0.6300099644142714	1.0	0.5748184943221301	0.5248692394992869	0.5802545618093694	0.8426037942725387	0.7458351261244582	0.6936591349780685	0.8531948948146583	0.6559676995023946	0.8577545246287192	0.8224949600987518	0.845598246919519	0.5118749868585633	0.5124216706266196	0.8742135010377248	0.6818731252618672	0.6181126691655483	0.8297321095685557	0.7935396953443159	0.7460766721420516	0.5775724266246277	0.5242056289965994	0.8215928805978033	0.44797862907506336	0.45228799465008906	0.8628941725869373	0.6699583935702604	0.8218113489704036	0.853857479644235	0.5215368275622981	0.8077606530255562	0.5848116274406533	0.48714549532062285	0.5294822043151094	0.7466110478327783	0.7553123456682491	0.7276576344183074	0.818416370973656	0.8980009118233955
QinJ_2012__DOM022__bin.32	0.5598890743109565	0.6207079568157654	0.4826581488047323	0.6403599029000303	1.0	0.2849629305040503	0.3579861525708125	0.5888625260731929	0.5440043511024297	0.4485263325679674	0.5827734964387347	0.4881855800032108	0.5969974193894859	0.5853004037452846	0.5982994365162386	0.26751338723840395	0.26605768752845843	0.6006178154106496	0.5082305878615897	0.49802412188114337	0.5641539088222373	0.5515033755893785	0.5383518028566678	0.4440689663446569	0.33211263276546954	0.5756138305183902	0.22392923516920224	0.22764789663389437	0.5888419588873381	0.4045114122172512	0.586356757263216	0.5975007441322104	0.27027681718228413	0.5517690350733363	0.44979521367306513	0.2634336573998164	0.29603893139758025	0.5780858919959939	0.5255173075725522	0.5418470818305481	0.5730189372363758	0.6308418663350017
HeQ_2017__SZAXPI029503-106__bin.14	0.8076192983304412	0.8693936903105419	0.5886963186613444	0.9164065535958281	0.4466136949307947	1.0	0.8706597828481173	0.8897595140496874	0.784755314633845	0.8813696363431236	0.9244463307492152	0.6054957728268247	0.9550743090662612	0.8682887693831246	0.8890396141909812	0.8307295164314457	0.8352127733873437	0.9203337684966808	0.6430442810044931	0.5022689381118925	0.8823572601542592	0.8157835357827836	0.7911448735787798	0.49884225060036425	0.6963320923119352	0.9154825030309217	0.735261303949958	0.7980582402567284	0.9167727713100208	0.9582126784751733	0.8449699235867488	0.9092299399546212	0.8739172401689794	0.7387238073748548	0.5309350997741806	0.7970088339950323	0.8348367062969748	0.6412624393144117	0.864340064934251	0.702641960849625	0.8387182559082826	0.8972450399436974
QinN_2014__LD-53__bin.41	0.5276472914487617	0.5809957111547464	0.41600690185709166	0.5973976535164255	0.33083982274392115	0.51340059546469	1.0	0.5828901315376115	0.5112332053666796	0.5697226427058744	0.6063137842314319	0.40812509932771307	0.5983126564493979	0.6014578800337701	0.5928955011739809	0.4999670007597745	0.47512200479096167	0.5954150591636778	0.4236706454070601	0.36049003607740937	0.5786651728130612	0.5334942288288754	0.5309113122979456	0.3615903627434882	0.45388158183045996	0.5849777954712371	0.4363265140183412	0.45890908207729425	0.6048744893697567	0.5806921181446718	0.5739291218558984	0.5971009243483179	0.4944854309674374	0.4889489504393651	0.35327508219450754	0.4877694255967451	0.49982233209062593	0.44906158080616354	0.5292814138247282	0.48551861341944463	0.5361294161563224	0.6017361296273515
QinN_2014__LD-39__bin.12	0.6850974490718593	0.7371378522106479	0.6157768799095871	0.7638354065348502	0.4791780275506376	0.4619680607488258	0.5132372022402385	1.0	0.6884702659806669	0.6542595353555358	0.7562343649829546	0.5915758144620624	0.7701398545155999	0.7764136193928372	0.822313217769608	0.44327042832217817	0.4601912301181625	0.8358440015229976	0.6068950512338094	0.6072311706859208	0.7775340175665416	0.7557150767007853	0.655526375614185	0.5527003223120556	0.5021857062297392	0.7333605762100881	0.37986565449616716	0.3957302136985181	0.8038722076632445	0.5911206817599642	0.7681710220402311	0.8225145175244686	0.4469231123266579	0.653386926487468	0.5603980621295654	0.4413564535167253	0.4789288435584776	0.6257460991780183	0.6695885349329458	0.6791495759455626	0.7081339512724423	0.7547852856852629
QinN_2014__LD-3__bin.24	0.44421997832427473	0.44093052620929907	0.34660146671783243	0.45410144876401215	0.2973165127373768	0.27365743673776277	0.30233202952170085	0.4624011095773171	1.0	0.3615050109892992	0.4718875959709754	0.3490631696579813	0.4835625749962297	0.4512403904128473	0.45139276370493164	0.24459941280079284	0.24905539487320075	0.4610897000962637	0.3590742198440609	0.35076800198335073	0.44712194016163437	0.42312751802329374	0.4003751880077223	0.3134793223510075	0.27640483960056966	0.46321636913803865	0.21358457857387966	0.23261937495101728	0.45862674819470434	0.36847765030391916	0.43118269464048803	0.4525555467781323	0.26226097610705595	0.3903594542163532	0.3292443377553853	0.24189634806805965	0.25491364836927793	0.3819036732267324	0.4215825527584718	0.38746311270534095	0.4216634230098034	0.45419761879262277
ZellerG_2014__CCIS07539127ST-4-0__bin.15	0.7413479728927997	0.7944950745435837	0.6340783533659771	0.8230450145764789	0.47771846311399346	0.5989609352799469	0.6565926392888893	0.8563497283986076	0.7045012142502043	1.0	0.8265432478135282	0.6191313014900198	0.8268608817933054	0.8442638163175026	0.881252962606205	0.5948292595659854	0.5934546711362595	0.885524591989417	0.6342992367657072	0.5999679932043366	0.8324584200691127	0.7999964707335581	0.7170179402349153	0.5525936761630302	0.6379410746372918	0.8112791704520077	0.5006118409323105	0.5291739508494884	0.8679640574637596	0.7710412735540504	0.82031835200295	0.8722271679279737	0.5894422602882681	0.6834917345188424	0.5534267047421779	0.6013748318274116	0.6286743162502639	0.6309951131829663	0.7539590154807013	0.7081631324308553	0.7414934030099775	0.8061386113310142
QinN_2014__LD-44__bin.54	0.7525718597533827	0.7500513200260583	0.5750500311669564	0.779726011988733	0.47807955307053107	0.4838808250572956	0.5382031898091082	0.7623840612653315	0.7083082201090141	0.6366223455360951	1.0	0.5948909625199773	0.8265153467968336	0.7448565148312531	0.773496370104093	0.4432573921927946	0.4373548861820244	0.7883773029568771	0.6029236011191984	0.5555488899408062	0.787176554949922	0.7318362258456087	0.6730239446587335	0.5169051446568589	0.4771197045466262	0.7850117403347284	0.4050115528643136	0.4259510608482099	0.7734462217681272	0.6546926188210923	0.729826074322646	0.7754160671519026	0.49100563817272586	0.6660894140143508	0.5253938050401421	0.4453898681614308	0.4637165072387014	0.612689403703478	0.72203995931892	0.6507426171807261	0.7056011473189387	0.7676744763716976
YuJ_2015__SZAXPI017593-158__bin.24	0.7734939665751749	0.8149646485567139	0.641320604490969	0.8252952190705519	0.5513386318559153	0.43631578471945315	0.4987411814956906	0.8210335603206987	0.721308164705852	0.6564961099862827	0.8189746726491194	1.0	0.8195540775783197	0.8177229515325841	0.8337688548558392	0.4254600075103267	0.4404813061258199	0.8444007417415441	0.6829745281204955	0.6448357470903936	0.8284735583592387	0.7989277782724442	0.7125190177731494	0.6071641032192461	0.5104221913378317	0.7928382195622073	0.36699624354621624	0.36685171492245133	0.8511432601270045	0.6156545146483632	0.8200708964516933	0.8404242689367984	0.42572906302867475	0.7081367034311353	0.606415006200536	0.4251593363555301	0.46781915339777763	0.6902087019135847	0.7424228933340044	0.729481774553413	0.7485421320294787	0.8237402459309385
