	KarlssonFH_2013__S526__bin.12	LiJ_2014__O2.UC7-0__bin.8	ZeeviD_2015__PNP_Main_146__bin.45	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.69	HanniganGD_2017__MG100203__bin.10	BackhedF_2015__SID521_12M__bin.4	KarlssonFH_2013__S229__bin.23	LeChatelierE_2013__MH0409__bin.57	AsnicarF_2017__MV_FEM2_t1Q14__bin.17	ZeeviD_2015__PNP_Main_120__bin.5	XieH_2016__YSZC12003_37192R1__bin.23	FerrettiP_2018__CA_C10020IS2339FE_t2M15__bin.5	XieH_2016__YSZC12003_36522__bin.85	XieH_2016__YSZC12003_35542__bin.22	ZellerG_2014__CCMD63399960ST-21-0__bin.74	VogtmannE_2016__MMRS25641480ST-27-0-0__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.98	XieH_2016__YSZC12003_35665__bin.48	XieH_2016__YSZC12003_37097__bin.56	FerrettiP_2018__CA_C10020MS2332FE_t0M15__bin.8	LeChatelierE_2013__MH0230__bin.16	HMP_2012__SRS018656__bin.25	KarlssonFH_2013__S193__bin.9	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.47	XieH_2016__YSZC12003_35583__bin.69	FengQ_2015__SID31685__bin.47	XieH_2016__YSZC12003_37798__bin.28	ZeeviD_2015__PNP_Main_139__bin.1
KarlssonFH_2013__S526__bin.12	1.0	0.9917511748789266	0.9934811153353978	0.9917986952469711	0.9929801320030431	0.9924931684081182	0.9934735468361756	0.9933400431839101	0.9936364120787443	0.9914670361556805	0.9934760451037639	0.9936817315208885	0.9928487585439586	0.9923829460899123	0.9926381741068484	0.9922890265799006	0.993614578508608	0.9935831979673259	0.9923625819236258	0.9936138309639887	0.9927356610623208	0.9927464915707546	0.993632487369663	0.9922647599224272	0.992717346758582	0.9935372302825285	0.9926988113039782	0.993691019790053
LiJ_2014__O2.UC7-0__bin.8	0.9917511748789266	1.0	0.9925248162426626	0.9903298793106871	0.9986552550014088	0.99846280739194	0.99177289670628	0.9918855430396892	0.9919567868654208	0.9918498356811409	0.9919245437072424	0.9922583941522731	0.9985271327672195	0.9982416661641345	0.9985647092448879	0.9928276677030535	0.9921426649711313	0.9919117539834152	0.99819920911211	0.991999640005983	0.998581652812465	0.9985917384475922	0.9919245368670855	0.9929093621662206	0.9985855261724351	0.9919379605421044	0.9985361906994193	0.9919168693850396
ZeeviD_2015__PNP_Main_146__bin.45	0.9934811153353978	0.9925248162426626	1.0	0.9983319524906015	0.9934985073337335	0.9933753082166893	0.9993623674183953	0.9996282591272616	0.9996875815034932	0.992079775127733	0.9996993118378998	0.9997254218377852	0.9934374328443139	0.9929206031003058	0.9934544730627711	0.9931354599547727	0.998399018736606	0.9997414266604063	0.9931246143613824	0.9997463550226382	0.9934907499230585	0.9934819916643385	0.9997202445987382	0.9931711476022518	0.9934431985981655	0.99970973383088	0.9934868379605124	0.9997801606865598
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.69	0.9917986952469711	0.9903298793106871	0.9983319524906015	1.0	0.9914460509160554	0.9908995392092629	0.9978183034916941	0.9979325441183834	0.9981233979975209	0.9898107074405944	0.998090927528651	0.9981927156870902	0.9908596250127473	0.9905554554188446	0.9908535741656816	0.9909065168086456	0.9968209601487459	0.9981033524970334	0.9908021673376342	0.9980718182558423	0.9909699761063367	0.9909333203174218	0.9980690532219584	0.9907608756160833	0.9909308502178823	0.9980587556477009	0.9908644504934169	0.9980557476040622
HanniganGD_2017__MG100203__bin.10	0.9929801320030431	0.9986552550014088	0.9934985073337335	0.9914460509160554	1.0	0.9996301282167325	0.9926911252430949	0.9926619812295027	0.9928936782631697	0.9928910801107963	0.992947240044541	0.9931027052420799	0.999815592467237	0.9994161408875939	0.9997678086873709	0.9937883301209042	0.9930399281342519	0.9929924207107342	0.9992213851120518	0.9930053396605713	0.9998214157278392	0.9998128618428145	0.9930075528204472	0.9937664460638082	0.9998242406911069	0.9929107067672596	0.9997566379319782	0.992976140233123
BackhedF_2015__SID521_12M__bin.4	0.9924931684081182	0.99846280739194	0.9933753082166893	0.9908995392092629	0.9996301282167325	1.0	0.9922966928483284	0.9921186057159995	0.9923405880050732	0.9925640130041108	0.992147841008125	0.992871194156697	0.9996785835867417	0.9991630184929807	0.9995505948871091	0.9928110764334422	0.9927323544742728	0.9923620810369926	0.9990483283206093	0.9922919810282803	0.999616528637859	0.9996216821524773	0.9922808566031829	0.9933357036445003	0.9996005026545505	0.9922416454336455	0.9996562357229006	0.9923613667759119
KarlssonFH_2013__S229__bin.23	0.9934735468361756	0.99177289670628	0.9993623674183953	0.9978183034916941	0.9926911252430949	0.9922966928483284	1.0	0.9991017372023847	0.9991997242634728	0.9908821604583762	0.9991475658751207	0.9991372351401441	0.9922381138019384	0.9919686192179666	0.9923210308605536	0.9924698795180723	0.997851311058092	0.999128887467034	0.992056903012003	0.9991962590616983	0.9923590507192025	0.9924791198712587	0.9990866738889426	0.9924002747467077	0.9923315623752434	0.9991219120150778	0.9922840254218134	0.9990925437514465
LeChatelierE_2013__MH0409__bin.57	0.9933400431839101	0.9918855430396892	0.9996282591272616	0.9979325441183834	0.9926619812295027	0.9921186057159995	0.9991017372023847	1.0	0.9994773748565007	0.9913840706440067	0.9993781772165875	0.9996229424675557	0.9924298949327224	0.9919852682921021	0.9923935164911589	0.9921830535374264	0.9981236593122739	0.999392347663163	0.9920959149270515	0.9995753934412965	0.9924002598162837	0.9924496503485833	0.9994073229268695	0.9921751229307318	0.9923848549941395	0.9994714764347116	0.992435031407396	0.9995016609480317
AsnicarF_2017__MV_FEM2_t1Q14__bin.17	0.9936364120787443	0.9919567868654208	0.9996875815034932	0.9981233979975209	0.9928936782631697	0.9923405880050732	0.9991997242634728	0.9994773748565007	1.0	0.991291469457263	0.9997726723180893	0.9997485883066923	0.9925590633566677	0.9920632304786666	0.9925904748115464	0.9924321180937324	0.9983362909030676	0.999822695783959	0.9923190547720752	0.9997561468682566	0.9925610492042295	0.992644945028922	0.9998251806815232	0.9924361952484326	0.9925720854094718	0.9998027794066608	0.9925409548269518	0.9997170279076356
ZeeviD_2015__PNP_Main_120__bin.5	0.9914670361556805	0.9918498356811409	0.992079775127733	0.9898107074405944	0.9928910801107963	0.9925640130041108	0.9908821604583762	0.9913840706440067	0.991291469457263	1.0	0.9912093534971973	0.9913224076408623	0.9927145797229083	0.9926965758559422	0.9926872400988145	0.9920320658432249	0.9916700125470514	0.991296184196695	0.9922067200267721	0.991308367377384	0.9927325778072461	0.9927558079898542	0.9912222056657165	0.9919744689524383	0.9926692352690841	0.9912252994321998	0.9927046780734579	0.9904668760455874
XieH_2016__YSZC12003_37192R1__bin.23	0.9934760451037639	0.9919245437072424	0.9996993118378998	0.998090927528651	0.992947240044541	0.992147841008125	0.9991475658751207	0.9993781772165875	0.9997726723180893	0.9912093534971973	1.0	0.9997476925846809	0.9925219895356052	0.9921810777607571	0.9925110532251826	0.9922724209035192	0.9982791784207888	0.9997386864617454	0.9921911215956754	0.9997564000797114	0.992381183727226	0.9925529763035807	0.9997662850100881	0.9920859710952329	0.9923624891454597	0.9997486754937744	0.9923690896236328	0.9997734946505568
FerrettiP_2018__CA_C10020IS2339FE_t2M15__bin.5	0.9936817315208885	0.9922583941522731	0.9997254218377852	0.9981927156870902	0.9931027052420799	0.992871194156697	0.9991372351401441	0.9996229424675557	0.9997485883066923	0.9913224076408623	0.9997476925846809	1.0	0.9929781597945273	0.9924871881103196	0.99303584480416	0.9929213835297412	0.9982634926418549	0.9997964265410139	0.9926057213357763	0.9997816982394169	0.9930401210325366	0.9930824499255626	0.9997682283074892	0.9929191753496883	0.9930124529827062	0.9997184407305371	0.9929729797914991	0.9998205304112046
XieH_2016__YSZC12003_36522__bin.85	0.9928487585439586	0.9985271327672195	0.9934374328443139	0.9908596250127473	0.999815592467237	0.9996785835867417	0.9922381138019384	0.9924298949327224	0.9925590633566677	0.9927145797229083	0.9925219895356052	0.9929781597945273	1.0	0.9993412675871753	0.9997728169417315	0.9935260785868639	0.9927526553116919	0.9925859709446607	0.9992037882068551	0.9925235616504648	0.9998662694585051	0.999845225645098	0.9925331918160022	0.9937272139526165	0.9998116873486109	0.9923688364224077	0.9998824238222163	0.9925300078727952
XieH_2016__YSZC12003_35542__bin.22	0.9923829460899123	0.9982416661641345	0.9929206031003058	0.9905554554188446	0.9994161408875939	0.9991630184929807	0.9919686192179666	0.9919852682921021	0.9920632304786666	0.9926965758559422	0.9921810777607571	0.9924871881103196	0.9993412675871753	1.0	0.9993268244251904	0.9931530919658605	0.9923891919400754	0.9922082397750265	0.9987843801859975	0.9922231182460315	0.9993547374042345	0.9993592092442273	0.9921669507058105	0.9934547794228263	0.9993834109905105	0.9921067836390343	0.999300486925509	0.9920918773302889
