	KarlssonFH_2013__S526__bin.12	LiJ_2014__O2.UC7-0__bin.8	ZeeviD_2015__PNP_Main_146__bin.45	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.69	HanniganGD_2017__MG100203__bin.10	BackhedF_2015__SID521_12M__bin.4	KarlssonFH_2013__S229__bin.23	LeChatelierE_2013__MH0409__bin.57	AsnicarF_2017__MV_FEM2_t1Q14__bin.17	ZeeviD_2015__PNP_Main_120__bin.5	XieH_2016__YSZC12003_37192R1__bin.23	FerrettiP_2018__CA_C10020IS2339FE_t2M15__bin.5	XieH_2016__YSZC12003_36522__bin.85	XieH_2016__YSZC12003_35542__bin.22	ZellerG_2014__CCMD63399960ST-21-0__bin.74	VogtmannE_2016__MMRS25641480ST-27-0-0__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.98	XieH_2016__YSZC12003_35665__bin.48	XieH_2016__YSZC12003_37097__bin.56	FerrettiP_2018__CA_C10020MS2332FE_t0M15__bin.8	LeChatelierE_2013__MH0230__bin.16	HMP_2012__SRS018656__bin.25	KarlssonFH_2013__S193__bin.9	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.47	XieH_2016__YSZC12003_35583__bin.69	FengQ_2015__SID31685__bin.47	XieH_2016__YSZC12003_37798__bin.28	ZeeviD_2015__PNP_Main_139__bin.1
KarlssonFH_2013__S526__bin.12	1.0	0.5666796082158959	0.6516621776935563	0.6497635428850079	0.8350260798586896	0.9660067287942168	0.6880782367362305	0.936925972309953	0.9683110548011727	0.9585574270090539	0.9798793393237696	0.8565626028173632	0.9213559498062621	0.9323660032398499	0.9645008030657274	0.9696835081253862	0.5944159040686364	0.9781953151591789	0.8857926536626409	0.9839277317926803	0.9695013527773012	0.9649628853407136	0.9818911619766736	0.9318020924740632	0.9669901242591571	0.983603990216351	0.9407435264869698	0.9761709160791244
LiJ_2014__O2.UC7-0__bin.8	0.864853033958867	1.0	0.6741144981025954	0.6796769985282655	0.8777723498406601	0.9953575658735894	0.7039200644417903	0.9471816313654687	0.9588471556887155	0.9616092120554689	0.9688291939637211	0.8633422925253591	0.9251415236570345	0.9736759496774505	0.9950585133685138	0.9800538789834197	0.6347485389458616	0.9686514960983865	0.9142994772463146	0.9690917162456094	0.9951928702910839	0.9944275930731268	0.9686762623513948	0.9498105691223027	0.9931137433510351	0.9699213857213883	0.957483154304282	0.9674459987332061
ZeeviD_2015__PNP_Main_146__bin.45	0.8800815046025774	0.5965259183649988	1.0	0.693870115326054	0.8316307550024026	0.9511295641563842	0.7324828934024336	0.9635448256137912	0.9870335579147841	0.9450156231765428	0.992762877820349	0.8817246365139085	0.8991498340157345	0.9237507896511727	0.9514835032076411	0.9605588073021023	0.6297079783669821	0.989274441381721	0.8827409785264191	0.9955439840497312	0.9550650815018631	0.954691966186219	0.9946257149322283	0.9318272843177058	0.9517459440831088	0.9944525806594772	0.9244849666305605	0.9941868524244003
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.69	0.8529909413507182	0.584637843094544	0.6744765939180456	1.0	0.8160533389289714	0.9287051441347256	0.7051643727568405	0.9447283390488018	0.9662253888231743	0.9227631516579474	0.9776044881562248	0.8498066469150583	0.8693608456940659	0.9043907473851664	0.9343803141475022	0.9374911125751137	0.6070301594597085	0.9702879072970352	0.8654863278784738	0.9792000971425497	0.9305803574994954	0.9298688309288244	0.9780704954536328	0.9004752209274025	0.9291477179223211	0.9783485020927722	0.9009018173219439	0.974097982960643
HanniganGD_2017__MG100203__bin.10	0.8185740931488543	0.5638130500662167	0.6036540503565364	0.6093789148409008	1.0	0.966276392241705	0.6465636893659499	0.8880101969798805	0.9210668649854641	0.926337955911186	0.9309114843287054	0.8138120558209085	0.9077722144229201	0.9312749804133674	0.9777837874383071	0.9473372122156956	0.5649258094151053	0.9318277808047023	0.8793825338938225	0.9370614881068376	0.9730030582985679	0.9773896685981539	0.9373036862639045	0.9167912124622684	0.9705460792930517	0.9369417809717355	0.9443278305169678	0.9319578280910092
BackhedF_2015__SID521_12M__bin.4	0.7810482299671592	0.5273173909449578	0.5694256200461582	0.5719874147325827	0.7969684226823466	1.0	0.6114010032001113	0.8550096370714324	0.8849157199069488	0.9088197900443608	0.9018193006464513	0.7671807531479569	0.9140998424217455	0.9123672688578923	0.9841742755139662	0.9299137583791351	0.5228806643215803	0.9047278068544573	0.8567281060038495	0.9126516575894069	0.9944283425680401	0.9750449708132534	0.9086275734392077	0.8870907852802754	1.003765608578765	0.9098727171818027	0.9567184623721235	0.9027249491905254
KarlssonFH_2013__S229__bin.23	0.8540844695937764	0.5725080784982781	0.6732248075990507	0.6667519376058438	0.8186841049094408	0.9386235558283779	1.0	0.956649295230652	0.9751760853286817	0.9339977752341971	0.9874686969207287	0.8426731029440128	0.8869382881791817	0.9041512679604015	0.9463719649294727	0.9510868771549585	0.6038194666504182	0.9876474637518776	0.865287862437161	0.9941314122529303	0.9467355414142319	0.9416318742770644	0.9942900363425414	0.9160067820610758	0.9425337655294243	0.9941193266080076	0.9174484987866517	0.9890846483606075
LeChatelierE_2013__MH0409__bin.57	0.8242640550495388	0.545996202495503	0.6276718156639922	0.6331096707877681	0.7969316591953859	0.9303243582788453	0.6780330068811923	1.0	0.9617237244096737	0.920154612683094	0.9820275247694371	0.8298218313679583	0.8725430431430774	0.8921066156525711	0.926916597664392	0.9326646061159809	0.5726122833566514	0.9785276818090968	0.8517445678554093	0.9964837392570596	0.9330118779088029	0.9285594466493448	0.9858139651086429	0.8958698569511463	0.931947220398024	0.9928311395368759	0.9065710390314936	0.9792675527510494
AsnicarF_2017__MV_FEM2_t1Q14__bin.17	0.8333876281208592	0.5407254551771215	0.6290189054101003	0.6334633964095608	0.8086588838318503	0.9419684741069729	0.676164239113546	0.9408522012084519	1.0	0.9357600135475097	0.9889231650194921	0.83862925738348	0.8926639187568415	0.9038210611401206	0.9431105850394292	0.9486413209520268	0.5724109155218498	0.9923439112149287	0.8587424209888634	0.9963289042054893	0.9469925750568698	0.9440212011543316	1.0004608946593831	0.9114523593791191	0.9455173629842232	0.9947779238441408	0.9218884809505603	0.9856165950010387
ZeeviD_2015__PNP_Main_120__bin.5	0.805612202277954	0.5295436761288761	0.588093675361716	0.5907572552034766	0.7941808349770448	0.9446870753981987	0.6323983640737224	0.879037947147784	0.9137770019042618	1.0	0.9326164080200621	0.7909400097855532	0.895504271376916	0.901622458355993	0.9431834416165598	0.9549254235149911	0.538963038226735	0.9324500195199623	0.8572519643560373	0.942518228576202	0.9505546567470026	0.9576435569633416	0.9367277041967067	0.9159881277713658	0.9511919110639828	0.9383704496751503	0.9242516353295976	0.936456300003921
