	KarlssonFH_2013__S526__bin.12	LiJ_2014__O2.UC7-0__bin.8	ZeeviD_2015__PNP_Main_146__bin.45	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.69	HanniganGD_2017__MG100203__bin.10	BackhedF_2015__SID521_12M__bin.4	KarlssonFH_2013__S229__bin.23	LeChatelierE_2013__MH0409__bin.57	AsnicarF_2017__MV_FEM2_t1Q14__bin.17	ZeeviD_2015__PNP_Main_120__bin.5	XieH_2016__YSZC12003_37192R1__bin.23	FerrettiP_2018__CA_C10020IS2339FE_t2M15__bin.5	XieH_2016__YSZC12003_36522__bin.85	XieH_2016__YSZC12003_35542__bin.22	ZellerG_2014__CCMD63399960ST-21-0__bin.74	VogtmannE_2016__MMRS25641480ST-27-0-0__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.98	XieH_2016__YSZC12003_35665__bin.48	XieH_2016__YSZC12003_37097__bin.56	FerrettiP_2018__CA_C10020MS2332FE_t0M15__bin.8	LeChatelierE_2013__MH0230__bin.16	HMP_2012__SRS018656__bin.25	KarlssonFH_2013__S193__bin.9	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.47	XieH_2016__YSZC12003_35583__bin.69	FengQ_2015__SID31685__bin.47	XieH_2016__YSZC12003_37798__bin.28	ZeeviD_2015__PNP_Main_139__bin.1
KarlssonFH_2013__S526__bin.12	2464929.0	1408443.0	1616841.0	1614865.0	2072831.0	2399148.0	1707206.0	2324940.0	2402104.0	2383111.0	2431194.0	2124791.0	2287435.0	2315856.0	2395058.0	2408775.0	1474609.0	2426754.0	2200220.0	2440900.0	2407239.0	2395944.0	2435802.0	2314731.0	2401048.0	2440285.0	2335921.0	2421469.0
LiJ_2014__O2.UC7-0__bin.8	1408443.0	1615101.0	1096963.0	1108466.0	1419600.0	1610078.0	1146333.0	1542309.0	1561192.0	1565858.0	1577496.0	1405264.0	1496401.0	1575355.0	1609430.0	1594321.0	1033302.0	1577227.0	1479350.0	1577804.0	1609620.0	1608366.0	1577247.0	1544995.0	1606251.0	1579253.0	1548699.0	1575256.0
ZeeviD_2015__PNP_Main_146__bin.45	1616841.0	1096963.0	1825173.0	1268549.0	1527803.0	1747553.0	1337761.0	1759290.0	1802070.0	1738587.0	1812509.0	1609742.0	1651945.0	1698026.0	1748064.0	1765304.0	1151169.0	1806064.0	1622309.0	1817501.0	1754580.0	1753910.0	1815872.0	1712440.0	1748566.0	1815575.0	1698407.0	1814962.0
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.69	1614865.0	1108466.0	1268549.0	1877653.0	1545485.0	1759801.0	1326949.0	1777547.0	1817647.0	1750465.0	1839113.0	1598531.0	1647416.0	1714323.0	1770637.0	1776437.0	1143427.0	1825326.0	1640169.0	1842150.0	1763229.0	1761946.0	1840030.0	1706547.0	1760584.0	1840572.0	1707177.0	1832581.0
HanniganGD_2017__MG100203__bin.10	2072831.0	1419600.0	1527803.0	1545485.0	2514470.0	2430572.0	1637735.0	2249381.0	2332571.0	2345926.0	2357375.0	2060518.0	2282987.0	2343031.0	2459179.0	2396940.0	1430445.0	2359588.0	2212904.0	2372810.0	2447024.0	2458077.0	2373418.0	2319704.0	2440838.0	2372733.0	2375062.0	2359956.0
BackhedF_2015__SID521_12M__bin.4	2399148.0	1610078.0	1747553.0	1759801.0	2430572.0	3048644.0	1878414.0	2627327.0	2718616.0	2791425.0	2771085.0	2355654.0	2787661.0	2783813.0	3001746.0	2855504.0	1605747.0	2779422.0	2614347.0	2803963.0	3032821.0	2973690.0	2791631.0	2722568.0	3061347.0	2795567.0	2917697.0	2773271.0
KarlssonFH_2013__S229__bin.23	1707206.0	1146333.0	1337761.0	1326949.0	1637735.0	1878414.0	1985827.0	1901448.0	1938082.0	1871825.0	1962615.0	1674848.0	1775084.0	1810025.0	1893874.0	1903024.0	1201663.0	1963007.0	1732070.0	1975761.0	1894529.0	1884088.0	1976293.0	1832961.0	1886173.0	1975884.0	1836061.0	1965935.0
LeChatelierE_2013__MH0409__bin.57	2324940.0	1542309.0	1759290.0	1777547.0	2249381.0	2627327.0	1901448.0	2801840.0	2696005.0	2600532.0	2753196.0	2325905.0	2463374.0	2519735.0	2616978.0	2633765.0	1607384.0	2743345.0	2405465.0	2793174.0	2634169.0	2621468.0	2763731.0	2529880.0	2631204.0	2783225.0	2559429.0	2745119.0
AsnicarF_2017__MV_FEM2_t1Q14__bin.17	2402104.0	1561192.0	1802070.0	1817647.0	2332571.0	2718616.0	1938082.0	2696005.0	2863995.0	2703556.0	2832915.0	2402434.0	2575751.0	2609248.0	2721227.0	2737622.0	1642114.0	2842572.0	2478471.0	2854177.0	2732509.0	2723705.0	2865816.0	2630290.0	2728222.0	2849601.0	2660126.0	2823600.0
ZeeviD_2015__PNP_Main_120__bin.5	2383111.0	1565858.0	1738587.0	1750465.0	2345926.0	2791425.0	1871825.0	2600532.0	2703556.0	2932895.0	2759524.0	2340050.0	2645695.0	2663819.0	2786636.0	2823191.0	1594000.0	2758790.0	2533978.0	2788544.0	2808286.0	2829163.0	2771653.0	2708232.0	2810348.0	2776505.0	2730654.0	2772963.0
