	SchirmerM_2016__G88801__bin.10	ZeeviD_2015__PNP_Main_131__bin.32	LiJ_2014__MH0357__bin.72	LiuW_2016__SRR3992993__bin.100	CosteaPI_2017__SID713A002-11-90-0__bin.13	ZeeviD_2015__PNP_Main_37__bin.27	LiJ_2014__MH0374__bin.7	BritoIL_2016__W1.3.ST__bin.19	ZeeviD_2015__PNP_Main_643__bin.8	BritoIL_2016__M1.27.ST__bin.3	ZeeviD_2015__PNP_Main_113__bin.8	LiJ_2017__H3M516751__bin.15	ZellerG_2014__CCIS56503244ST-3-0__bin.3	CosteaPI_2017__SID713B051-11-90-0__bin.31	BritoIL_2016__W2.6.ST__bin.57	ZeeviD_2015__PNP_Main_81__bin.14	BritoIL_2016__W2.40.ST__bin.16	CosteaPI_2017__SID713B040-11-90-0__bin.117	ZellerG_2014__CCIS48579360ST-4-0__bin.19	BritoIL_2016__M2.39.ST__bin.97	Obregon-TitoAJ_2015__SM28__bin.26	LiJ_2014__MH0390__bin.76	ZeeviD_2015__PNP_Main_134__bin.24	BritoIL_2016__M1.64.ST__bin.10	CM_madagascar__A32_01_1FE__bin.38	ZeeviD_2015__PNP_Main_609__bin.34	NielsenHB_2014__MH0065__bin.3	LeChatelierE_2013__MH0318__bin.72	LiJ_2014__MH0329__bin.68	BritoIL_2016__W1.55.ST__bin.81	LeChatelierE_2013__MH0065__bin.24	LiuW_2016__SRR3993057__bin.3	ZeeviD_2015__PNP_Main_172__bin.62	KarlssonFH_2013__S239__bin.11	BritoIL_2016__W1.11.ST__bin.49	ZeeviD_2015__PNP_Main_80__bin.57	QinJ_2012__T2D-082__bin.3	NielsenHB_2014__MH0053__bin.26	CosteaPI_2017__SID713A084-11-0-0__bin.29	BritoIL_2016__M1.57.ST__bin.60	ZeeviD_2015__PNP_Main_404__bin.46	CM_madagascar__A73_01_1FE__bin.11	LiuW_2016__SRR3992995__bin.82	BritoIL_2016__W2.46.ST__bin.13	LeChatelierE_2013__MH0053__bin.29	BritoIL_2016__W2.59.ST__bin.71	CM_madagascar__V07_01_2FE__bin.18
SchirmerM_2016__G88801__bin.10	1.0	0.990567347762662	0.9927619677792198	0.9914385382428887	0.991186511609923	0.9920593474417866	0.992357341115229	0.9886201368826968	0.9918909326473461	0.9891568914835683	0.9921433802962699	0.990834701757928	0.9920869680166817	0.9918042260540657	0.9900156708526388	0.9917020463831351	0.9894654212787634	0.9922658783481143	0.9929272743817724	0.99029700531258	0.9908453282795192	0.9915890553018367	0.9846048287619812	0.9900758112664562	0.9826634026268841	0.992110307782202	0.9919195283040356	0.9923882044080143	0.9927627980394039	0.9880477033330654	0.9916675153860703	0.9921634754859298	0.992280228764573	0.9919491477240423	0.9905348121479589	0.991691736986444	0.9914083618670031	0.9926910989210144	0.992325329058771	0.988512065451975	0.9916683963664262	0.982647021989165	0.9920696694015531	0.9885788606582219	0.9924539588629873	0.9893684298532889	0.9828828228589251
ZeeviD_2015__PNP_Main_131__bin.32	0.990567347762662	1.0	0.9901846287874111	0.9899199482593088	0.9898426498143686	0.9906763986240769	0.9913279792060893	0.9882557823552461	0.9898592116520801	0.9878889957417731	0.9902511926503766	0.9893384803273623	0.9904018279460348	0.9896861793480131	0.9892193336736912	0.9902821471144453	0.9879559117688104	0.9899061509779283	0.9906136295493259	0.9885800949117337	0.989499216112185	0.9900702059974561	0.9831096726769015	0.9889879622424701	0.9823975085904277	0.990341663435149	0.9904116994616965	0.9903404346438924	0.9910881125697746	0.9874536580585482	0.9902946893263646	0.9899721156680652	0.9905099618563145	0.9904045874712178	0.9894657351814239	0.990099925980755	0.9895300011304015	0.9898704735567347	0.9901041822801954	0.9876136842340671	0.9901651947272693	0.9818343320083586	0.9898251772596193	0.9876607658595362	0.9895788104422715	0.9875472574332238	0.9825037931484708
LiJ_2014__MH0357__bin.72	0.9927619677792198	0.9901846287874111	1.0	0.9910295228370629	0.9912590898527915	0.9920156125058388	0.9924983929211751	0.988670366661459	0.9912431178278595	0.9889443174055061	0.9914430077962375	0.990387414495857	0.9912133984810902	0.9911088427708807	0.9897412304343497	0.9909164605190429	0.9882064803910329	0.9916138501049132	0.9930146804943338	0.9895821800746771	0.9904190237963854	0.9917216099139825	0.9833825332396948	0.9892784710107215	0.9822486038556675	0.9918855937530188	0.9919513600373405	0.9924781720127552	0.9927407554122052	0.9878276111420279	0.9915884896413524	0.9917763349044609	0.9914518609149982	0.99131061550069	0.9902245120398473	0.9909291717256825	0.9910616419109984	0.9921437412824876	0.992044160945548	0.9879765663041432	0.9916336623556912	0.9814517824130392	0.9914399970850262	0.9890148980459257	0.9914532038724646	0.9885214880062534	0.9824854097772784
LiuW_2016__SRR3992993__bin.100	0.9914385382428887	0.9899199482593088	0.9910295228370629	1.0	0.991289885070451	0.9918720479314844	0.9908543716571286	0.9885013981557568	0.9913208859607143	0.9887272349926183	0.9913230625293757	0.9905334807981081	0.9913735258855223	0.9917522478716776	0.9898124016005209	0.9915749693453445	0.9891958142540606	0.9917462698195176	0.9918087496714107	0.9891875266915442	0.990306765506938	0.9913379890573386	0.9829518133733552	0.9892627384128811	0.981334905293646	0.9920708157198944	0.9912622509982295	0.9913284361722394	0.9920539340700859	0.987548097949292	0.991140970746299	0.9912576071522128	0.9914391873653516	0.9916804081349492	0.9898761689593045	0.9916892170543073	0.9908671767013518	0.9910804713915469	0.9913314836505781	0.988378409725707	0.9911143967388052	0.9818855475572897	0.9991601851038736	0.9881520776094291	0.990855141772679	0.9887191497047836	0.9814800289198702
CosteaPI_2017__SID713A002-11-90-0__bin.13	0.991186511609923	0.9898426498143686	0.9912590898527915	0.991289885070451	1.0	0.9919157964814368	0.9901600699176935	0.9886490774733862	0.9915142925514779	0.988751620865288	0.9917661096705579	0.9909449182548724	0.9916538015275456	0.9916270448387708	0.9894585464723482	0.9920699798184147	0.9887721805580367	0.9916516494251241	0.9917771447114846	0.9895199028043724	0.9903639527329393	0.9912346545803721	0.9833237690806841	0.9892583435374016	0.9815517186738052	0.9918563249633907	0.9912313076953421	0.9914189807927296	0.9923367030720239	0.9878639479293511	0.9910830647829336	0.9914866191996071	0.9919620283008549	0.9916741266233385	0.9905187719259273	0.9920754110965657	0.991124949271168	0.9916537310631944	0.991421400502763	0.9880226108141302	0.9911668879776616	0.982269084165822	0.9916796125769118	0.9880342655999135	0.9913806234264262	0.9890495618376265	0.9819579862787904
ZeeviD_2015__PNP_Main_37__bin.27	0.9920593474417866	0.9906763986240769	0.9920156125058388	0.9918720479314844	0.9919157964814368	1.0	0.991434114409051	0.9891925873069694	0.9915614567483878	0.9891361417493427	0.9923763517200969	0.9915691720674467	0.9922113831397579	0.9916789530022418	0.990340077091736	0.9923379372341556	0.9895088090743327	0.9917134725477453	0.9924528920592258	0.9900108142138371	0.9905411992414458	0.9919534347357741	0.9837172584814146	0.9904311975336052	0.9824490395541204	0.9916600218059918	0.9914513384355486	0.991731345767614	0.99269139715057	0.9880738704996311	0.9913925120135185	0.9920764962953365	0.9992399635795363	0.9919086018119118	0.9909886628175714	0.9923063662026782	0.9912925320657364	0.9915768287926904	0.9916368534638837	0.9887989460051756	0.9919602322599569	0.9826771417120642	0.9922205303460851	0.9888976455410236	0.9912426101837616	0.9892191391770672	0.9825364413827807
LiJ_2014__MH0374__bin.7	0.992357341115229	0.9913279792060893	0.9924983929211751	0.9908543716571286	0.9901600699176935	0.991434114409051	1.0	0.9884333342149809	0.9917010635202098	0.9881549902419631	0.9918505330795834	0.9903747689361496	0.9916335477593825	0.9911666002654419	0.9900622113092002	0.9909242121019297	0.9872593666689323	0.9915301210836532	0.992227725520029	0.9892607194095929	0.9910798082226654	0.9915975348644094	0.9876281022067839	0.989860164114366	0.9856704870879148	0.991444294655994	0.9923533663915435	0.9921244661139632	0.9918088961853578	0.9875399768017218	0.9923025516898527	0.9915783025104017	0.9914705093658435	0.9915332586427918	0.990046825403723	0.9908664963538171	0.9908981460366968	0.9910452185263092	0.9913255496578429	0.9884246452919798	0.9913462809367788	0.9829282481149271	0.9918096464731647	0.9891029268997996	0.9905945339772461	0.988859406462297	0.9857781484397663
BritoIL_2016__W1.3.ST__bin.19	0.9886201368826968	0.9882557823552461	0.988670366661459	0.9885013981557568	0.9886490774733862	0.9891925873069694	0.9884333342149809	1.0	0.9887580701694375	0.9907336070160527	0.9885440807297705	0.9880278554048908	0.9887056092783861	0.9885038757385819	0.9895256836843501	0.9888128143883844	0.9894193247255103	0.9886820051074849	0.9885139932995058	0.9895651007233812	0.9882905089785538	0.9891640072025281	0.9833978163453675	0.9896261922870399	0.9813927674107441	0.9893477358295142	0.988366949816167	0.9885780743414414	0.9897813402841058	0.9907423031594156	0.9886718615458464	0.9884818166604931	0.9887062349240303	0.9892066429898004	0.9896398994296742	0.9888912540360799	0.9885203107711573	0.9887939430877742	0.9888085914719984	0.9894903507951693	0.9881980262252875	0.9813358467330305	0.98909317871654	0.9900657215360108	0.9883241647224901	0.9897389865107641	0.9816939775083692
ZeeviD_2015__PNP_Main_643__bin.8	0.9918909326473461	0.9898592116520801	0.9912431178278595	0.9913208859607143	0.9915142925514779	0.9915614567483878	0.9917010635202098	0.9887580701694375	1.0	0.9886913457912297	0.9917878126252653	0.9906290209831637	0.9912436107660094	0.9916221352054246	0.9894882511328097	0.991049248456829	0.9883272919358506	0.9915720466739809	0.9922503766777466	0.9895104749142658	0.9906287701596516	0.9915963304373956	0.9836127214600426	0.9894043741771099	0.9822449961363051	0.991743794675723	0.9915453997027794	0.991462360494378	0.9925250628983383	0.9880464515501086	0.9913152360689171	0.991701621259953	0.9916821272206464	0.9913915117293259	0.9906388356891966	0.9911728174425878	0.99132660862474	0.991165402447197	0.9914927347382085	0.988353652838431	0.9909173628631295	0.9818546274342567	0.9916863638177487	0.9883258745669373	0.9908589014234309	0.9890169547046795	0.9825929304499116
BritoIL_2016__M1.27.ST__bin.3	0.9891568914835683	0.9878889957417731	0.9889443174055061	0.9887272349926183	0.988751620865288	0.9891361417493427	0.9881549902419631	0.9907336070160527	0.9886913457912297	1.0	0.9892662013837937	0.9879070596798951	0.9891807545100649	0.988882861980135	0.9897933721313983	0.9887091605279704	0.9897628946719967	0.9891720261087888	0.9891921315062824	0.9949623404751268	0.9887322697950672	0.9890329181339563	0.9826060987446271	0.9898467210614816	0.9811234105901474	0.9892123867235949	0.9888018630593153	0.9894310274564768	0.9892763115648879	0.9932162827836986	0.9887488016910381	0.9886963259914162	0.9891006863988108	0.9890407911946348	0.9894658512663242	0.988793509446293	0.9884643703543645	0.9888968636867735	0.9890001739438858	0.9897622650598029	0.9885510743746042	0.9821972843930173	0.989123390927738	0.9903088603012866	0.9886180325568106	0.9921374158400381	0.9813962651884736
