	SchirmerM_2016__G88801__bin.10	ZeeviD_2015__PNP_Main_131__bin.32	LiJ_2014__MH0357__bin.72	LiuW_2016__SRR3992993__bin.100	CosteaPI_2017__SID713A002-11-90-0__bin.13	ZeeviD_2015__PNP_Main_37__bin.27	LiJ_2014__MH0374__bin.7	BritoIL_2016__W1.3.ST__bin.19	ZeeviD_2015__PNP_Main_643__bin.8	BritoIL_2016__M1.27.ST__bin.3	ZeeviD_2015__PNP_Main_113__bin.8	LiJ_2017__H3M516751__bin.15	ZellerG_2014__CCIS56503244ST-3-0__bin.3	CosteaPI_2017__SID713B051-11-90-0__bin.31	BritoIL_2016__W2.6.ST__bin.57	ZeeviD_2015__PNP_Main_81__bin.14	BritoIL_2016__W2.40.ST__bin.16	CosteaPI_2017__SID713B040-11-90-0__bin.117	ZellerG_2014__CCIS48579360ST-4-0__bin.19	BritoIL_2016__M2.39.ST__bin.97	Obregon-TitoAJ_2015__SM28__bin.26	LiJ_2014__MH0390__bin.76	ZeeviD_2015__PNP_Main_134__bin.24	BritoIL_2016__M1.64.ST__bin.10	CM_madagascar__A32_01_1FE__bin.38	ZeeviD_2015__PNP_Main_609__bin.34	NielsenHB_2014__MH0065__bin.3	LeChatelierE_2013__MH0318__bin.72	LiJ_2014__MH0329__bin.68	BritoIL_2016__W1.55.ST__bin.81	LeChatelierE_2013__MH0065__bin.24	LiuW_2016__SRR3993057__bin.3	ZeeviD_2015__PNP_Main_172__bin.62	KarlssonFH_2013__S239__bin.11	BritoIL_2016__W1.11.ST__bin.49	ZeeviD_2015__PNP_Main_80__bin.57	QinJ_2012__T2D-082__bin.3	NielsenHB_2014__MH0053__bin.26	CosteaPI_2017__SID713A084-11-0-0__bin.29	BritoIL_2016__M1.57.ST__bin.60	ZeeviD_2015__PNP_Main_404__bin.46	CM_madagascar__A73_01_1FE__bin.11	LiuW_2016__SRR3992995__bin.82	BritoIL_2016__W2.46.ST__bin.13	LeChatelierE_2013__MH0053__bin.29	BritoIL_2016__W2.59.ST__bin.71	CM_madagascar__V07_01_2FE__bin.18
SchirmerM_2016__G88801__bin.10	0.0	13178.0	10195.0	10789.0	11625.0	9397.0	5306.0	15859.0	11241.0	13213.0	11081.0	11894.0	11134.0	11133.0	14106.0	11426.0	10092.0	10792.0	9871.0	11974.0	12226.0	11809.0	16200.0	13863.0	23186.0	10775.0	10288.0	10748.0	4750.0	11743.0	11454.0	10805.0	10835.0	10620.0	7172.0	11494.0	11442.0	9921.0	10447.0	15277.0	11761.0	21477.0	11014.0	15903.0	10344.0	14878.0	23379.0
ZeeviD_2015__PNP_Main_131__bin.32	13178.0	0.0	22894.0	18048.0	20946.0	16675.0	10623.0	27184.0	23065.0	22190.0	22681.0	22907.0	22423.0	23385.0	25593.0	21685.0	17606.0	23649.0	21507.0	22168.0	23456.0	22780.0	28630.0	25530.0	37949.0	21868.0	19563.0	22465.0	10459.0	18948.0	21995.0	21635.0	21924.0	21278.0	14159.0	22577.0	22785.0	22124.0	22447.0	27139.0	23078.0	33069.0	22359.0	28766.0	23233.0	29121.0	38861.0
LiJ_2014__MH0357__bin.72	10195.0	22894.0	0.0	16200.0	18017.0	14119.0	9184.0	26542.0	20026.0	20132.0	19999.0	20704.0	20425.0	20121.0	23904.0	20427.0	16974.0	19416.0	16286.0	20231.0	21304.0	19124.0	27921.0	24804.0	37899.0	18396.0	16554.0	17670.0	8503.0	18264.0	19187.0	17690.0	19646.0	19337.0	12906.0	20627.0	19563.0	17213.0	18115.0	26001.0	19671.0	33621.0	18794.0	25199.0	19258.0	26344.0	38780.0
LiuW_2016__SRR3992993__bin.100	10789.0	18048.0	16200.0	0.0	14501.0	12383.0	8211.0	20696.0	15397.0	17707.0	15655.0	15792.0	15556.0	14350.0	18403.0	14745.0	13258.0	14726.0	14739.0	17191.0	16681.0	15534.0	23400.0	19324.0	32170.0	13903.0	14154.0	15658.0	6730.0	15517.0	15652.0	15552.0	15255.0	14031.0	9912.0	14711.0	15514.0	15456.0	15053.0	19639.0	16034.0	29080.0	1511.0	21182.0	16034.0	20048.0	32583.0
CosteaPI_2017__SID713A002-11-90-0__bin.13	11625.0	20946.0	18017.0	14501.0	0.0	13309.0	10786.0	23365.0	17411.0	19145.0	17141.0	17646.0	17235.0	16867.0	21844.0	16181.0	15398.0	17340.0	16952.0	18658.0	19089.0	18065.0	26154.0	21966.0	36091.0	16628.0	16227.0	17823.0	7886.0	16574.0	18193.0	16644.0	16535.0	16304.0	11097.0	16284.0	17342.0	16367.0	17196.0	23795.0	18433.0	29985.0	16480.0	24788.0	17316.0	22680.0	36165.0
ZeeviD_2015__PNP_Main_37__bin.27	9397.0	16675.0	14119.0	12383.0	13309.0	0.0	7846.0	19220.0	15002.0	16698.0	13648.0	13823.0	13949.0	14420.0	17297.0	13339.0	13032.0	14715.0	13349.0	15740.0	15951.0	14402.0	22338.0	17024.0	29270.0	14350.0	13835.0	14706.0	6162.0	14711.0	15159.0	13453.0	1389.0	13489.0	8578.0	13567.0	14790.0	14514.0	14435.0	18993.0	14472.0	26539.0	13401.0	19638.0	15311.0	19257.0	29985.0
LiJ_2014__MH0374__bin.7	5306.0	10623.0	9184.0	8211.0	10786.0	7846.0	0.0	13994.0	10067.0	11113.0	9956.0	11721.0	10250.0	10842.0	12158.0	11011.0	8435.0	10345.0	9522.0	10809.0	10512.0	10321.0	10888.0	12425.0	15877.0	10275.0	8452.0	9640.0	8462.0	9292.0	9445.0	9568.0	10433.0	10376.0	10307.0	11008.0	11136.0	10332.0	10634.0	13600.0	10541.0	15407.0	9615.0	13189.0	11440.0	13616.0	16473.0
BritoIL_2016__W1.3.ST__bin.19	15859.0	27184.0	26542.0	20696.0	23365.0	19220.0	13994.0	0.0	25306.0	17139.0	26728.0	25970.0	26451.0	25914.0	24793.0	25189.0	15596.0	26432.0	26625.0	20377.0	25975.0	24902.0	27772.0	24497.0	40399.0	24066.0	24170.0	26556.0	11573.0	14045.0	25983.0	24503.0	26018.0	23723.0	13742.0	25363.0	24807.0	24472.0	24756.0	23378.0	27797.0	34555.0	23888.0	23579.0	26004.0	24017.0	41094.0
ZeeviD_2015__PNP_Main_643__bin.8	11241.0	23065.0	20026.0	15397.0	17411.0	15002.0	10067.0	25306.0	0.0	20451.0	18889.0	19773.0	20052.0	18539.0	23783.0	19918.0	16993.0	19212.0	17467.0	20102.0	20522.0	19017.0	27326.0	23853.0	37498.0	18493.0	17238.0	19596.0	8720.0	17685.0	19691.0	17562.0	19023.0	18575.0	12073.0	19757.0	18719.0	19023.0	19018.0	25050.0	20902.0	32380.0	17917.0	26172.0	20008.0	24945.0	38069.0
BritoIL_2016__M1.27.ST__bin.3	13213.0	22190.0	20132.0	17707.0	19145.0	16698.0	11113.0	17139.0	20451.0	0.0	19589.0	20617.0	19830.0	19942.0	19020.0	20364.0	13045.0	19653.0	19637.0	8299.0	19874.0	20131.0	24462.0	18809.0	33171.0	19187.0	18455.0	19425.0	9352.0	8742.0	20269.0	19766.0	19944.0	18920.0	10504.0	20440.0	19913.0	19693.0	19414.0	18023.0	21098.0	28457.0	19503.0	17991.0	20356.0	14552.0	33333.0
ZeeviD_2015__PNP_Main_113__bin.8	11081.0	22681.0	19999.0	15655.0	17141.0	13648.0	9956.0	26728.0	18889.0	19589.0	0.0	19786.0	18534.0	18241.0	24354.0	18304.0	16439.0	18481.0	17515.0	19993.0	20490.0	18989.0	26997.0	24695.0	38655.0	15309.0	17312.0	18919.0	8444.0	17071.0	19810.0	17192.0	17941.0	14113.0	12388.0	18347.0	18550.0	18299.0	17565.0	26103.0	20913.0	33201.0	18243.0	25963.0	19599.0	25203.0	39125.0
