	SchirmerM_2016__G88801__bin.10	ZeeviD_2015__PNP_Main_131__bin.32	LiJ_2014__MH0357__bin.72	LiuW_2016__SRR3992993__bin.100	CosteaPI_2017__SID713A002-11-90-0__bin.13	ZeeviD_2015__PNP_Main_37__bin.27	LiJ_2014__MH0374__bin.7	BritoIL_2016__W1.3.ST__bin.19	ZeeviD_2015__PNP_Main_643__bin.8	BritoIL_2016__M1.27.ST__bin.3	ZeeviD_2015__PNP_Main_113__bin.8	LiJ_2017__H3M516751__bin.15	ZellerG_2014__CCIS56503244ST-3-0__bin.3	CosteaPI_2017__SID713B051-11-90-0__bin.31	BritoIL_2016__W2.6.ST__bin.57	ZeeviD_2015__PNP_Main_81__bin.14	BritoIL_2016__W2.40.ST__bin.16	CosteaPI_2017__SID713B040-11-90-0__bin.117	ZellerG_2014__CCIS48579360ST-4-0__bin.19	BritoIL_2016__M2.39.ST__bin.97	Obregon-TitoAJ_2015__SM28__bin.26	LiJ_2014__MH0390__bin.76	ZeeviD_2015__PNP_Main_134__bin.24	BritoIL_2016__M1.64.ST__bin.10	CM_madagascar__A32_01_1FE__bin.38	ZeeviD_2015__PNP_Main_609__bin.34	NielsenHB_2014__MH0065__bin.3	LeChatelierE_2013__MH0318__bin.72	LiJ_2014__MH0329__bin.68	BritoIL_2016__W1.55.ST__bin.81	LeChatelierE_2013__MH0065__bin.24	LiuW_2016__SRR3993057__bin.3	ZeeviD_2015__PNP_Main_172__bin.62	KarlssonFH_2013__S239__bin.11	BritoIL_2016__W1.11.ST__bin.49	ZeeviD_2015__PNP_Main_80__bin.57	QinJ_2012__T2D-082__bin.3	NielsenHB_2014__MH0053__bin.26	CosteaPI_2017__SID713A084-11-0-0__bin.29	BritoIL_2016__M1.57.ST__bin.60	ZeeviD_2015__PNP_Main_404__bin.46	CM_madagascar__A73_01_1FE__bin.11	LiuW_2016__SRR3992995__bin.82	BritoIL_2016__W2.46.ST__bin.13	LeChatelierE_2013__MH0053__bin.29	BritoIL_2016__W2.59.ST__bin.71	CM_madagascar__V07_01_2FE__bin.18
SchirmerM_2016__G88801__bin.10	1533614.0	1397062.0	1408532.0	1260182.0	1319001.0	1183404.0	694261.0	1393602.0	1386226.0	1218562.0	1410403.0	1297721.0	1407046.0	1358383.0	1412814.0	1376966.0	957988.0	1395375.0	1395643.0	1234052.0	1335493.0	1404004.0	1052278.0	1396890.0	1337402.0	1365706.0	1273193.0	1412019.0	656331.0	982489.0	1374620.0	1378800.0	1403539.0	1319115.0	757724.0	1383442.0	1331760.0	1357386.0	1361231.0	1329830.0	1411613.0	1237655.0	1388845.0	1392418.0	1370785.0	1399417.0	1365821.0
ZeeviD_2015__PNP_Main_131__bin.32	1397062.0	2507642.0	2332464.0	1790467.0	2062152.0	1788472.0	1224974.0	2314671.0	2274478.0	1832218.0	2326541.0	2148568.0	2336174.0	2267346.0	2373972.0	2231460.0	1461796.0	2342912.0	2291301.0	1941172.0	2233738.0	2294106.0	1695053.0	2318372.0	2155888.0	2264158.0	2040299.0	2325674.0	1173601.0	1510241.0	2266285.0	2157484.0	2310212.0	2217518.0	1344090.0	2280488.0	2176218.0	2184110.0	2268332.0	2191047.0	2346564.0	1820412.0	2197483.0	2331263.0	2229400.0	2338521.0	2221110.0
LiJ_2014__MH0357__bin.72	1408532.0	2332464.0	2520046.0	1805924.0	2061227.0	1768326.0	1224271.0	2342706.0	2286887.0	1820964.0	2337153.0	2153843.0	2324562.0	2263035.0	2330104.0	2248793.0	1439265.0	2315246.0	2331461.0	1941961.0	2223573.0	2310111.0	1680220.0	2313476.0	2134987.0	2267079.0	2056745.0	2349163.0	1171334.0	1500445.0	2281041.0	2151109.0	2298278.0	2225359.0	1320241.0	2273993.0	2188657.0	2190992.0	2276944.0	2162527.0	2351208.0	1812627.0	2195560.0	2293925.0	2253242.0	2295071.0	2214154.0
LiuW_2016__SRR3992993__bin.100	1260182.0	1790467.0	1805924.0	1870155.0	1664846.0	1523508.0	897806.0	1799871.0	1774029.0	1570777.0	1804208.0	1668195.0	1803286.0	1739868.0	1806412.0	1750142.0	1227117.0	1784163.0	1799359.0	1589923.0	1720891.0	1793348.0	1372580.0	1799714.0	1723538.0	1753396.0	1619868.0	1805672.0	846960.0	1246155.0	1766785.0	1778918.0	1781957.0	1686501.0	979076.0	1770110.0	1698708.0	1732827.0	1736514.0	1689872.0	1804492.0	1605348.0	1799206.0	1787824.0	1753335.0	1777171.0	1759344.0
CosteaPI_2017__SID713A002-11-90-0__bin.13	1319001.0	2062152.0	2061227.0	1664846.0	2178594.0	1646297.0	1096146.0	2058423.0	2051803.0	1702023.0	2081762.0	1948740.0	2065012.0	2014462.0	2072200.0	2040474.0	1371415.0	2077057.0	2061571.0	1780327.0	1980999.0	2060957.0	1568340.0	2044936.0	1956334.0	2041830.0	1850561.0	2077026.0	1029061.0	1365683.0	2040275.0	1955040.0	2057111.0	1958233.0	1170418.0	2054870.0	1954017.0	1960996.0	2004523.0	1986660.0	2086807.0	1691114.0	1980677.0	2071582.0	2008962.0	2071150.0	2004488.0
ZeeviD_2015__PNP_Main_37__bin.27	1183404.0	1788472.0	1768326.0	1523508.0	1646297.0	1946063.0	915959.0	1778409.0	1777795.0	1537023.0	1790219.0	1639578.0	1790947.0	1732955.0	1790594.0	1740915.0	1242185.0	1775774.0	1768757.0	1575704.0	1686366.0	1789832.0	1371882.0	1779115.0	1667715.0	1720628.0	1618382.0	1778524.0	843116.0	1233510.0	1761141.0	1697860.0	1827544.0	1667079.0	951912.0	1763406.0	1698542.0	1723104.0	1726025.0	1695644.0	1800052.0	1532022.0	1722611.0	1768814.0	1748352.0	1786221.0	1717004.0
LiJ_2014__MH0374__bin.7	694261.0	1224974.0	1224271.0	897806.0	1096146.0	915959.0	1248777.0	1209856.0	1213047.0	938201.0	1221675.0	1217737.0	1225131.0	1227387.0	1223411.0	1213228.0	662055.0	1221387.0	1225124.0	1006492.0	1178450.0	1228330.0	880059.0	1225365.0	1107993.0	1200953.0	1105323.0	1224044.0	1033072.0	745745.0	1227030.0	1136113.0	1223168.0	1225501.0	1035549.0	1205233.0	1223487.0	1153797.0	1225899.0	1174910.0	1218089.0	902485.0	1173942.0	1210325.0	1216314.0	1222197.0	1158288.0
BritoIL_2016__W1.3.ST__bin.19	1393602.0	2314671.0	2342706.0	1799871.0	2058423.0	1778409.0	1209856.0	2600952.0	2251037.0	1849587.0	2333117.0	2169202.0	2341959.0	2254151.0	2367028.0	2251594.0	1474008.0	2335396.0	2318038.0	1952774.0	2218286.0	2298082.0	1672792.0	2361428.0	2171145.0	2259238.0	2077701.0	2325002.0	1132536.0	1517116.0	2293669.0	2127332.0	2303749.0	2197926.0	1326435.0	2283156.0	2160947.0	2183819.0	2212054.0	2224432.0	2355284.0	1851410.0	2190189.0	2373499.0	2227164.0	2340607.0	2244835.0
ZeeviD_2015__PNP_Main_643__bin.8	1386226.0	2274478.0	2286887.0	1774029.0	2051803.0	1777795.0	1213047.0	2251037.0	2447309.0	1808438.0	2300118.0	2110025.0	2289985.0	2212855.0	2262516.0	2225288.0	1455789.0	2279557.0	2253916.0	1916388.0	2189894.0	2262940.0	1667513.0	2251212.0	2111968.0	2239891.0	2038890.0	2295248.0	1166565.0	1479477.0	2267304.0	2116317.0	2287003.0	2157754.0	1289690.0	2238200.0	2158210.0	2153239.0	2235501.0	2150889.0	2301314.0	1784477.0	2155134.0	2241881.0	2188796.0	2271228.0	2186985.0
BritoIL_2016__M1.27.ST__bin.3	1218562.0	1832218.0	1820964.0	1570777.0	1702023.0	1537023.0	938201.0	1849587.0	1808438.0	2094662.0	1824983.0	1704879.0	1832845.0	1793807.0	1863495.0	1803586.0	1274286.0	1815021.0	1816917.0	1647392.0	1763798.0	1835584.0	1406355.0	1852505.0	1757256.0	1778614.0	1648042.0	1837927.0	872088.0	1288674.0	1801497.0	1748635.0	1829840.0	1726402.0	997138.0	1823943.0	1726217.0	1773643.0	1764937.0	1760448.0	1842793.0	1598464.0	1793114.0	1856438.0	1788443.0	1850791.0	1791737.0
