	ZeeviD_2015__PNP_Main_533__bin.10	QinN_2014__HV-30__bin.15	WenC_2017__N263__bin.18	ChengpingW_2017__AS131raw__bin.34	CosteaPI_2017__SID713A029-11-90-0__bin.38	QinN_2014__HV-25__bin.3	WenC_2017__RA074__bin.44	VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	HeQ_2017__SZAXPI029592-129__bin.39	QinJ_2012__DOM010__bin.24	ChengpingW_2017__AS101raw__bin.19	QinJ_2012__T2D-035__bin.12	ZeeviD_2015__PNP_Main_705__bin.23	QinN_2014__LD-68__bin.49	QinN_2014__LD-84__bin.26	QinN_2014__HD-65__bin.28	QinJ_2012__DOM022__bin.5	WenC_2017__N023__bin.5	ZellerG_2014__CCIS11558985ST-4-0__bin.5	WenC_2017__N024__bin.4	QinN_2014__HD-19__bin.31	LiJ_2017__H2M514107__bin.40	NielsenHB_2014__V1_UC4_5__bin.52	LiJ_2014__O2.UC8-0__bin.38	ChengpingW_2017__AS40raw__bin.68	LiJ_2014__V1.FI25__bin.79	ChengpingW_2017__AS92raw__bin.7	ChengpingW_2017__AS61raw__bin.47	HeQ_2017__SZAXPI029552-169__bin.39	NielsenHB_2014__V1_UC32_0__bin.67	GeversD_2014__SKBSTL033__bin.78	ZeeviD_2015__PNP_Validation_59__bin.24	QinN_2014__LD-40__bin.7
ZeeviD_2015__PNP_Main_533__bin.10	1.0	0.9738376383763838	0.9735856456209355	0.9731276857048952	0.9729859375250135	0.9735741067007132	0.9730034344135505	0.9756828176586498	0.9738756879550233	0.9744667591949048	0.9711960739810778	0.9749841827141571	0.9801613822149416	0.9739277385303232	0.9752443290631019	0.9739736757503374	0.9750035554797053	0.9771662132723159	0.9767632066257909	0.9732578753579708	0.9885685782193327	0.9746398831797224	0.972541879442208	0.9762417766894405	0.9749832163894664	0.9752191459965377	0.9777772523124988	0.9715604580122826	0.9730297395206002	0.9762000063009402	0.9738279440937497	0.9793807379985443	0.9856307826623937
QinN_2014__HV-30__bin.15	0.9738376383763838	1.0	0.975337455742935	0.9767003463576778	0.9731070049863279	0.9759046221757771	0.9763563107973251	0.9746956756249978	0.9777655037270422	0.9757812900908298	0.974650130205894	0.9738861398030266	0.9765324336517526	0.9741608244758182	0.9765654984605654	0.9772214553644146	0.9775447108066971	0.9786008184565292	0.9770043066607113	0.9758383799063085	0.9904139934296822	0.9724139180897203	0.973652646813552	0.9753236549668335	0.9751212917672468	0.9731521249035177	0.9767801764586435	0.972588088584666	0.9763890464460506	0.9744302620799146	0.9725794616305565	0.9750479954067948	0.9850371991175909
WenC_2017__N263__bin.18	0.9735856456209355	0.975337455742935	1.0	0.9758031839083009	0.9715866903003253	0.9761627509099696	0.9758088251270595	0.9747662088289515	0.9747159989539098	0.9760079604923712	0.9708917636899518	0.9746912012904575	0.9772075722857945	0.9757028910785863	0.9767475397644907	0.9764601658560388	0.9766872059969611	0.9781233285777118	0.9766070078753468	0.9764536538555373	0.9918378272457502	0.9726897496663717	0.9702521087634022	0.9751008760111302	0.9750628255089777	0.9719512023427381	0.9805851106185401	0.9751015483009988	0.9748836021452567	0.9732742116000376	0.9704150572604503	0.9747776135200514	0.9898130121791099
ChengpingW_2017__AS131raw__bin.34	0.9731276857048952	0.9767003463576778	0.9758031839083009	1.0	0.9721578307876665	0.9759576400954172	0.9760868139463316	0.9746848956248287	0.9757205080202549	0.9761371673094209	0.9738646120578041	0.9729824952413757	0.9771754839860826	0.9754760056962455	0.9773676184093912	0.9771012634661115	0.9769379970622367	0.979901472847025	0.9752577115118579	0.9770882231878203	0.9920965896242899	0.972729133635349	0.9729034237120605	0.9739799811900667	0.9740877207632249	0.9744537119938292	0.9822192125515901	0.9760654597899822	0.9748390363402721	0.9749230135434368	0.9718843026523784	0.9774234553597234	0.990526491367069
CosteaPI_2017__SID713A029-11-90-0__bin.38	0.9729859375250135	0.9731070049863279	0.9715866903003253	0.9721578307876665	1.0	0.9719206576028364	0.9720110510302471	0.9734565183524455	0.9712148237597659	0.9724725414972932	0.9678431690397307	0.970028762122063	0.9759568599497939	0.9704650634603266	0.9730032025826774	0.9717761411649994	0.9730969387783841	0.9752706384958882	0.9771098587184057	0.9718494830886023	0.9879165571063805	0.9712664903337338	0.9711384479191534	0.9750636028688087	0.9720791254255793	0.9722802316549884	0.9742066495710028	0.970559467970928	0.970875135984528	0.9744460723234702	0.9698793144997105	0.9735507487249899	0.9827863354425133
QinN_2014__HV-25__bin.3	0.9735741067007132	0.9759046221757771	0.9761627509099696	0.9759576400954172	0.9719206576028364	1.0	0.9764431192328099	0.9745047050961834	0.9745816058163218	0.9752809514855066	0.9726831811354907	0.9726223577000799	0.9762305306923622	0.9754331040050848	0.9771163954188621	0.9756037447427529	0.9758176985454242	0.9789226290172688	0.9769520128424536	0.9759803814236605	0.9906325933941097	0.974204479473048	0.9716622253350187	0.9753656521310181	0.9746215285594944	0.9729935225636663	0.9789801671325026	0.9757195886966851	0.9737776517065904	0.9734033194219442	0.9718049652636997	0.9756177062784152	0.9865377517677454
WenC_2017__RA074__bin.44	0.9730034344135505	0.9763563107973251	0.9758088251270595	0.9760868139463316	0.9720110510302471	0.9764431192328099	1.0	0.9737792038825125	0.9750261246368739	0.9756192451438236	0.971784041272623	0.973759219696512	0.9765043381730011	0.9748714188055435	0.9759474021366883	0.9758454688697413	0.9752172953536351	0.9792033421219408	0.9764086706759904	0.9754601328532498	0.9915195607165823	0.9733778591802659	0.9711095830063978	0.973762801733882	0.9750184580482562	0.9726123303540769	0.9802388210250438	0.9773444701400126	0.9746926946738824	0.973582245661365	0.9708885275154991	0.9752026101042286	0.987959970315446
VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	0.9756828176586498	0.9746956756249978	0.9747662088289515	0.9746848956248287	0.9734565183524455	0.9745047050961834	0.9737792038825125	1.0	0.9730176570549582	0.9733213606646375	0.9706331349402414	0.9741261540278607	0.9784911681767784	0.973188189154175	0.977361578688241	0.9739827051680167	0.975311611549789	0.97777884885979	0.9779883707679763	0.9741305510157259	0.9892393679942657	0.973039025910727	0.9726941564399627	0.9779104490512059	0.9750679997482368	0.9742796806778206	0.9784054654395484	0.9724723554792396	0.9738345266398793	0.9754917602688672	0.9743977081342542	0.9768503222486301	0.9824889797851997
HeQ_2017__SZAXPI029592-129__bin.39	0.9738756879550233	0.9777655037270422	0.9747159989539098	0.9757205080202549	0.9712148237597659	0.9745816058163218	0.9750261246368739	0.9730176570549582	1.0	0.9744127303806251	0.9719825533589073	0.9727136534027913	0.9766891725395496	0.9731658022735048	0.975456831327108	0.974947757103946	0.9750798712320512	0.9778659771033292	0.9755214386276133	0.9743818950133671	0.9901405448307576	0.9727635771751597	0.9712680263378318	0.9740102143262473	0.9735128381624707	0.9732248495082458	0.9779692387962694	0.9719352833810617	0.9731822737011072	0.9735413921954239	0.9707263680166368	0.9757085404617143	0.9851961118924568
QinJ_2012__DOM010__bin.24	0.9744667591949048	0.9757812900908298	0.9760079604923712	0.9761371673094209	0.9724725414972932	0.9752809514855066	0.9756192451438236	0.9733213606646375	0.9744127303806251	1.0	0.9747944485842288	0.9739510285826368	0.9756238977968739	0.9744146824357591	0.9757074798173763	0.9764875215953861	0.975659670540897	0.9790621692122381	0.9770582034086253	0.9761670167871949	0.9904504390593415	0.9735019280781992	0.9731781790924438	0.974552588362632	0.9758206169722252	0.9736418932585893	0.9796691490637246	0.9745808813301621	0.9750356136150092	0.9745095607642975	0.9722495674375874	0.9748444009647983	0.9857197453416728
