	ZeeviD_2015__PNP_Main_533__bin.10	QinN_2014__HV-30__bin.15	WenC_2017__N263__bin.18	ChengpingW_2017__AS131raw__bin.34	CosteaPI_2017__SID713A029-11-90-0__bin.38	QinN_2014__HV-25__bin.3	WenC_2017__RA074__bin.44	VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	HeQ_2017__SZAXPI029592-129__bin.39	QinJ_2012__DOM010__bin.24	ChengpingW_2017__AS101raw__bin.19	QinJ_2012__T2D-035__bin.12	ZeeviD_2015__PNP_Main_705__bin.23	QinN_2014__LD-68__bin.49	QinN_2014__LD-84__bin.26	QinN_2014__HD-65__bin.28	QinJ_2012__DOM022__bin.5	WenC_2017__N023__bin.5	ZellerG_2014__CCIS11558985ST-4-0__bin.5	WenC_2017__N024__bin.4	QinN_2014__HD-19__bin.31	LiJ_2017__H2M514107__bin.40	NielsenHB_2014__V1_UC4_5__bin.52	LiJ_2014__O2.UC8-0__bin.38	ChengpingW_2017__AS40raw__bin.68	LiJ_2014__V1.FI25__bin.79	ChengpingW_2017__AS92raw__bin.7	ChengpingW_2017__AS61raw__bin.47	HeQ_2017__SZAXPI029552-169__bin.39	NielsenHB_2014__V1_UC32_0__bin.67	GeversD_2014__SKBSTL033__bin.78	ZeeviD_2015__PNP_Validation_59__bin.24	QinN_2014__LD-40__bin.7
ZeeviD_2015__PNP_Main_533__bin.10	0.0	26942.0	50784.0	50610.0	47249.0	47067.0	51259.0	37269.0	49404.0	35892.0	54444.0	22458.0	17306.0	50465.0	46096.0	49707.0	48334.0	35396.0	37758.0	31376.0	8869.0	46526.0	46328.0	39740.0	46207.0	46795.0	30074.0	55283.0	46933.0	46082.0	49844.0	32550.0	13496.0
QinN_2014__HV-30__bin.15	26942.0	0.0	26407.0	24695.0	26751.0	24487.0	25351.0	21862.0	23147.0	18878.0	27062.0	13589.0	11964.0	27993.0	24973.0	23829.0	23605.0	19191.0	20851.0	16386.0	4838.0	28921.0	25086.0	23336.0	25065.0	28105.0	19325.0	30115.0	23311.0	27122.0	29110.0	22251.0	9177.0
WenC_2017__N263__bin.18	50784.0	26407.0	0.0	48012.0	52081.0	44585.0	48988.0	39490.0	50757.0	34503.0	58180.0	23723.0	19725.0	49930.0	46276.0	46022.0	45738.0	35912.0	38746.0	28954.0	6373.0	52860.0	52375.0	43337.0	47929.0	55783.0	26820.0	51606.0	46026.0	53227.0	58893.0	40487.0	9900.0
ChengpingW_2017__AS131raw__bin.34	50610.0	24695.0	48012.0	0.0	49977.0	43853.0	47400.0	38890.0	47454.0	33370.0	51777.0	24002.0	19188.0	48822.0	44715.0	43294.0	45170.0	32569.0	39920.0	27108.0	5767.0	51824.0	47700.0	44598.0	49650.0	48420.0	24393.0	49089.0	45171.0	48697.0	55422.0	35308.0	8633.0
CosteaPI_2017__SID713A029-11-90-0__bin.38	47249.0	26751.0	52081.0	49977.0	0.0	47376.0	50421.0	39188.0	52013.0	36128.0	57925.0	25457.0	19395.0	54227.0	48201.0	50019.0	47762.0	36456.0	35746.0	31638.0	9053.0	50960.0	46426.0	40412.0	48590.0	50214.0	33736.0	55053.0	48190.0	46657.0	54371.0	38989.0	15988.0
QinN_2014__HV-25__bin.3	47067.0	24487.0	44585.0	43853.0	47376.0	0.0	43555.0	37237.0	46275.0	32732.0	50617.0	23208.0	19569.0	45764.0	42483.0	44543.0	44407.0	32115.0	35635.0	27425.0	6943.0	46070.0	47258.0	39951.0	44414.0	49052.0	28104.0	46133.0	44465.0	49581.0	51599.0	35905.0	12438.0
WenC_2017__RA074__bin.44	51259.0	25351.0	48988.0	47400.0	50421.0	43555.0	0.0	40932.0	48873.0	35031.0	55999.0	23890.0	20107.0	50543.0	48173.0	46081.0	48962.0	33373.0	39047.0	29654.0	6607.0	51324.0	50038.0	45148.0	47945.0	53358.0	27506.0	47239.0	46492.0	52056.0	58306.0	38975.0	11373.0
VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	37269.0	21862.0	39490.0	38890.0	39188.0	37237.0	40932.0	0.0	42204.0	31107.0	46361.0	19716.0	15461.0	42509.0	34026.0	41255.0	38695.0	28584.0	29747.0	25595.0	7341.0	40740.0	38896.0	30669.0	36839.0	40022.0	24421.0	43926.0	38277.0	39094.0	40269.0	30409.0	15155.0
HeQ_2017__SZAXPI029592-129__bin.39	49404.0	23147.0	50757.0	47454.0	52013.0	46275.0	48873.0	42204.0	0.0	36285.0	56187.0	24807.0	19866.0	54596.0	47623.0	48361.0	49125.0	35959.0	39851.0	30894.0	7354.0	51438.0	50596.0	44655.0	49947.0	52548.0	29388.0	57076.0	48918.0	52497.0	57207.0	38379.0	14010.0
QinJ_2012__DOM010__bin.24	35892.0	18878.0	34503.0	33370.0	36128.0	32732.0	35031.0	31107.0	36285.0	0.0	35889.0	17663.0	16186.0	36636.0	33771.0	32949.0	34456.0	24666.0	27268.0	21794.0	5891.0	36935.0	34065.0	32727.0	32597.0	36487.0	21365.0	36914.0	32946.0	36177.0	38845.0	29828.0	10724.0
ChengpingW_2017__AS101raw__bin.19	54444.0	27062.0	58180.0	51777.0	57925.0	50617.0	55999.0	46361.0	56187.0	35889.0	0.0	24520.0	21965.0	56323.0	57074.0	50221.0	53336.0	40709.0	45553.0	33496.0	8832.0	55514.0	56377.0	51656.0	56441.0	58739.0	33454.0	61320.0	51819.0	61106.0	61801.0	41252.0	16796.0
QinJ_2012__T2D-035__bin.12	22458.0	13589.0	23723.0	24002.0	25457.0	23208.0	23890.0	19716.0	24807.0	17663.0	24520.0	0.0	11969.0	23814.0	22372.0	23162.0	21396.0	18371.0	19038.0	16336.0	6505.0	24196.0	25833.0	22110.0	21518.0	26819.0	15232.0	24773.0	22515.0	25438.0	24406.0	18646.0	10755.0
ZeeviD_2015__PNP_Main_705__bin.23	17306.0	11964.0	19725.0	19188.0	19395.0	19569.0	20107.0	15461.0	19866.0	16186.0	21965.0	11969.0	0.0	22013.0	17073.0	19862.0	18566.0	16382.0	15903.0	13368.0	5851.0	21531.0	19111.0	17050.0	18733.0	19254.0	14922.0	20458.0	19904.0	19289.0	20485.0	13115.0	9231.0
QinN_2014__LD-68__bin.49	50465.0	27993.0	49930.0	48822.0	54227.0	45764.0	50543.0	42509.0	54596.0	36636.0	56323.0	23814.0	22013.0	0.0	45213.0	47444.0	46145.0	36742.0	42737.0	32503.0	8887.0	54140.0	53426.0	46920.0	49895.0	56805.0	27791.0	54864.0	49456.0	55281.0	58266.0	39836.0	16149.0
QinN_2014__LD-84__bin.26	46096.0	24973.0	46276.0	44715.0	48201.0	42483.0	48173.0	34026.0	47623.0	33771.0	57074.0	22372.0	17073.0	45213.0	0.0	40898.0	40715.0	31096.0	36838.0	25504.0	6464.0	49907.0	44800.0	37422.0	44803.0	51112.0	24975.0	47453.0	44328.0	46922.0	55032.0	36035.0	12323.0
