	ZeeviD_2015__PNP_Main_533__bin.10	QinN_2014__HV-30__bin.15	WenC_2017__N263__bin.18	ChengpingW_2017__AS131raw__bin.34	CosteaPI_2017__SID713A029-11-90-0__bin.38	QinN_2014__HV-25__bin.3	WenC_2017__RA074__bin.44	VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	HeQ_2017__SZAXPI029592-129__bin.39	QinJ_2012__DOM010__bin.24	ChengpingW_2017__AS101raw__bin.19	QinJ_2012__T2D-035__bin.12	ZeeviD_2015__PNP_Main_705__bin.23	QinN_2014__LD-68__bin.49	QinN_2014__LD-84__bin.26	QinN_2014__HD-65__bin.28	QinJ_2012__DOM022__bin.5	WenC_2017__N023__bin.5	ZellerG_2014__CCIS11558985ST-4-0__bin.5	WenC_2017__N024__bin.4	QinN_2014__HD-19__bin.31	LiJ_2017__H2M514107__bin.40	NielsenHB_2014__V1_UC4_5__bin.52	LiJ_2014__O2.UC8-0__bin.38	ChengpingW_2017__AS40raw__bin.68	LiJ_2014__V1.FI25__bin.79	ChengpingW_2017__AS92raw__bin.7	ChengpingW_2017__AS61raw__bin.47	HeQ_2017__SZAXPI029552-169__bin.39	NielsenHB_2014__V1_UC32_0__bin.67	GeversD_2014__SKBSTL033__bin.78	ZeeviD_2015__PNP_Validation_59__bin.24	QinN_2014__LD-40__bin.7
ZeeviD_2015__PNP_Main_533__bin.10	2144206.0	1029800.0	1922591.0	1883351.0	1749052.0	1781094.0	1898723.0	1532620.0	1891112.0	1405697.0	1890159.0	897752.0	872339.0	1935582.0	1862038.0	1909874.0	1933635.0	1550159.0	1624923.0	1173280.0	775844.0	1834613.0	1687224.0	1672684.0	1847040.0	1888353.0	1353298.0	1943878.0	1740176.0	1936219.0	1904474.0	1578621.0	939230.0
QinN_2014__HV-30__bin.15	1029800.0	1189548.0	1070733.0	1059887.0	994720.0	1016253.0	1072210.0	863963.0	1041040.0	779480.0	1067540.0	520375.0	509810.0	1083355.0	1065651.0	1046116.0	1051200.0	896810.0	906735.0	678183.0	504694.0	1048391.0	952126.0	945683.0	1007488.0	1046824.0	832263.0	1098610.0	987296.0	1060707.0	1061613.0	891752.0	613321.0
WenC_2017__N263__bin.18	1922591.0	1070733.0	2289803.0	1984228.0	1832979.0	1870392.0	2025036.0	1564965.0	2007475.0	1438102.0	1998747.0	937342.0	865419.0	2054977.0	1990155.0	1955069.0	1961927.0	1641566.0	1656308.0	1229660.0	780797.0	1935537.0	1760629.0	1740503.0	1921990.0	1988784.0	1381414.0	2072659.0	1832508.0	1991597.0	1990641.0	1605201.0	971828.0
ChengpingW_2017__AS131raw__bin.34	1883351.0	1059887.0	1984228.0	2263037.0	1795011.0	1823989.0	1982170.0	1536237.0	1954489.0	1398409.0	1981107.0	888387.0	840675.0	1990785.0	1975709.0	1890672.0	1958633.0	1620467.0	1613432.0	1183147.0	729685.0	1900343.0	1760370.0	1713988.0	1916080.0	1895383.0	1371874.0	2050969.0	1795281.0	1941900.0	1971212.0	1563924.0	911278.0
CosteaPI_2017__SID713A029-11-90-0__bin.38	1749052.0	994720.0	1832979.0	1795011.0	2234408.0	1687219.0	1801461.0	1476370.0	1806937.0	1312435.0	1801328.0	849381.0	806675.0	1836029.0	1785434.0	1772224.0	1775337.0	1474199.0	1561633.0	1123887.0	749207.0	1773539.0	1608576.0	1620603.0	1740275.0	1811487.0	1307934.0	1869973.0	1654600.0	1825825.0	1805105.0	1474106.0	928797.0
QinN_2014__HV-25__bin.3	1781094.0	1016253.0	1870392.0	1823989.0	1687219.0	2123419.0	1848929.0	1460544.0	1820532.0	1324161.0	1852961.0	847699.0	823283.0	1862832.0	1856482.0	1825813.0	1836343.0	1523672.0	1546122.0	1141775.0	741187.0	1785969.0	1667668.0	1621760.0	1750066.0	1816305.0	1337023.0	1900009.0	1695691.0	1864180.0	1830074.0	1472585.0	923917.0
WenC_2017__RA074__bin.44	1898723.0	1072210.0	2025036.0	1982170.0	1801461.0	1848929.0	2322688.0	1561051.0	1956965.0	1436830.0	1984657.0	910415.0	855775.0	2011375.0	2002819.0	1907758.0	1975652.0	1604729.0	1655142.0	1208401.0	779087.0	1927869.0	1731993.0	1720763.0	1919217.0	1948249.0	1391921.0	2085098.0	1837098.0	1970493.0	2002853.0	1571738.0	944599.0
VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	1532620.0	863963.0	1564965.0	1536237.0	1476370.0	1460544.0	1561051.0	1784313.0	1564134.0	1165989.0	1578684.0	762005.0	718821.0	1585458.0	1503020.0	1585676.0	1567336.0	1286342.0	1351422.0	989391.0	682209.0	1511073.0	1424457.0	1388394.0	1477579.0	1556046.0	1130888.0	1595705.0	1462882.0	1595137.0	1572867.0	1313582.0	865455.0
HeQ_2017__SZAXPI029592-129__bin.39	1891112.0	1041040.0	2007475.0	1954489.0	1806937.0	1820532.0	1956965.0	1564134.0	2270143.0	1418088.0	2005429.0	909136.0	852222.0	2034568.0	1940377.0	1930406.0	1971298.0	1624603.0	1627996.0	1205944.0	745883.0	1888574.0	1760965.0	1718175.0	1885706.0	1962566.0	1333953.0	2033728.0	1824092.0	1984118.0	1954216.0	1579938.0	946373.0
QinJ_2012__DOM010__bin.24	1405697.0	779480.0	1438102.0	1398409.0	1312435.0	1324161.0	1436830.0	1165989.0	1418088.0	1596119.0	1423853.0	678069.0	664011.0	1431915.0	1390181.0	1401341.0	1415593.0	1178059.0	1188573.0	914447.0	616887.0	1393875.0	1270048.0	1286064.0	1348132.0	1384280.0	1050866.0	1452214.0	1319720.0	1419238.0	1399798.0	1185740.0	750967.0
ChengpingW_2017__AS101raw__bin.19	1890159.0	1067540.0	1998747.0	1981107.0	1801328.0	1852961.0	1984657.0	1578684.0	2005429.0	1423853.0	2316299.0	925191.0	868976.0	2022128.0	1995439.0	1963513.0	1961584.0	1633339.0	1628595.0	1198170.0	742369.0	1914751.0	1786092.0	1726026.0	1900950.0	1945092.0	1355046.0	2063191.0	1834212.0	1989921.0	1941505.0	1592427.0	945057.0
QinJ_2012__T2D-035__bin.12	897752.0	520375.0	937342.0	888387.0	849381.0	847699.0	910415.0	762005.0	909136.0	678069.0	925191.0	1046957.0	443334.0	944526.0	877613.0	936844.0	908850.0	771547.0	782593.0	598947.0	436973.0	895605.0	847869.0	808072.0	847274.0	907124.0	690193.0	945003.0	852059.0	924016.0	885337.0	771392.0	546196.0
ZeeviD_2015__PNP_Main_705__bin.23	872339.0	509810.0	865419.0	840675.0	806675.0	823283.0	855775.0	718821.0	852222.0	664011.0	868976.0	443334.0	949508.0	872766.0	829093.0	869245.0	859700.0	745413.0	730527.0	572241.0	477143.0	850791.0	767905.0	779976.0	818931.0	844802.0	744519.0	868357.0	823797.0	871369.0	859316.0	758886.0	577366.0
QinN_2014__LD-68__bin.49	1935582.0	1083355.0	2054977.0	1990785.0	1836029.0	1862832.0	2011375.0	1585458.0	2034568.0	1431915.0	2022128.0	944526.0	872766.0	2436024.0	1982583.0	2009512.0	1993888.0	1647105.0	1640948.0	1227632.0	768922.0	1958121.0	1791578.0	1733139.0	1896938.0	1993348.0	1365552.0	2063082.0	1843067.0	2025491.0	1987983.0	1619257.0	987439.0
QinN_2014__LD-84__bin.26	1862038.0	1065651.0	1990155.0	1975709.0	1785434.0	1856482.0	2002819.0	1503020.0	1940377.0	1390181.0	1995439.0	877613.0	829093.0	1982583.0	2254201.0	1867204.0	1939746.0	1601640.0	1638387.0	1176217.0	750941.0	1894416.0	1735668.0	1705537.0	1885840.0	1931522.0	1366333.0	2071566.0	1774718.0	1963080.0	1991583.0	1557432.0	928836.0
QinN_2014__HD-65__bin.28	1909874.0	1046116.0	1955069.0	1890672.0	1772224.0	1825813.0	1907758.0	1585676.0	1930406.0	1401341.0	1963513.0	936844.0	869245.0	2009512.0	1867204.0	2249736.0	1942071.0	1594554.0	1623267.0	1184479.0	783868.0	1865373.0	1752713.0	1680298.0	1846133.0	1931829.0	1355328.0	1972826.0	1807892.0	1979014.0	1898848.0	1582974.0	985805.0
QinJ_2012__DOM022__bin.5	1933635.0	1051200.0	1961927.0	1958633.0	1775337.0	1836343.0	1975652.0	1567336.0	1971298.0	1415593.0	1961584.0	908850.0	859700.0	1993888.0	1939746.0	1942071.0	2269010.0	1609664.0	1651266.0	1189543.0	778184.0	1874200.0	1768890.0	1701102.0	1889781.0	1917257.0	1366737.0	2038749.0	1834852.0	1977617.0	1984755.0	1600597.0	919508.0
WenC_2017__N023__bin.5	1550159.0	896810.0	1641566.0	1620467.0	1474199.0	1523672.0	1604729.0	1286342.0	1624603.0	1178059.0	1633339.0	771547.0	745413.0	1647105.0	1601640.0	1594554.0	1609664.0	1833984.0	1359194.0	1011903.0	691094.0	1568412.0	1459186.0	1429669.0	1539181.0	1576432.0	1195895.0	1659407.0	1514872.0	1618912.0	1616101.0	1331457.0	847961.0
ZellerG_2014__CCIS11558985ST-4-0__bin.5	1624923.0	906735.0	1656308.0	1613432.0	1561633.0	1546122.0	1655142.0	1351422.0	1627996.0	1188573.0	1628595.0	782593.0	730527.0	1640948.0	1638387.0	1623267.0	1651266.0	1359194.0	1895632.0	1004935.0	713407.0	1593899.0	1470294.0	1460826.0	1617785.0	1623143.0	1212650.0	1703912.0	1513098.0	1665306.0	1651559.0	1331476.0	843218.0
WenC_2017__N024__bin.4	1173280.0	678183.0	1229660.0	1183147.0	1123887.0	1141775.0	1208401.0	989391.0	1205944.0	914447.0	1198170.0	598947.0	572241.0	1227632.0	1176217.0	1184479.0	1189543.0	1011903.0	1004935.0	1349717.0	603542.0	1153858.0	1085274.0	1066925.0	1132219.0	1162230.0	940895.0	1232065.0	1124300.0	1202314.0	1175731.0	1026312.0	738064.0
QinN_2014__HD-19__bin.31	775844.0	504694.0	780797.0	729685.0	749207.0	741187.0	779087.0	682209.0	745883.0	616887.0	742369.0	436973.0	477143.0	768922.0	750941.0	783868.0	778184.0	691094.0	713407.0	603542.0	795785.0	757788.0	663759.0	699891.0	717591.0	726923.0	755636.0	786098.0	744313.0	776654.0	755979.0	719139.0	781471.0
LiJ_2017__H2M514107__bin.40	1834613.0	1048391.0	1935537.0	1900343.0	1773539.0	1785969.0	1927869.0	1511073.0	1888574.0	1393875.0	1914751.0	895605.0	850791.0	1958121.0	1894416.0	1865373.0	1874200.0	1568412.0	1593899.0	1153858.0	757788.0	2313580.0	1701477.0	1683719.0	1817538.0	1890926.0	1322598.0	1983330.0	1745679.0	1928495.0	1958076.0	1552178.0	950623.0
NielsenHB_2014__V1_UC4_5__bin.52	1687224.0	952126.0	1760629.0	1760370.0	1608576.0	1667668.0	1731993.0	1424457.0	1760965.0	1270048.0	1786092.0	847869.0	767905.0	1791578.0	1735668.0	1752713.0	1768890.0	1459186.0	1470294.0	1085274.0	663759.0	1701477.0	2103766.0	1563608.0	1671839.0	1743921.0	1213578.0	1826534.0	1623254.0	1773497.0	1749161.0	1416901.0	845579.0
LiJ_2014__O2.UC8-0__bin.38	1672684.0	945683.0	1740503.0	1713988.0	1620603.0	1621760.0	1720763.0	1388394.0	1718175.0	1286064.0	1726026.0	808072.0	779976.0	1733139.0	1705537.0	1680298.0	1701102.0	1429669.0	1460826.0	1066925.0	699891.0	1683719.0	1563608.0	1932678.0	1679264.0	1709400.0	1234070.0	1771801.0	1578572.0	1750935.0	1719698.0	1401941.0	867224.0
