	ZeeviD_2015__PNP_Main_533__bin.10	QinN_2014__HV-30__bin.15	WenC_2017__N263__bin.18	ChengpingW_2017__AS131raw__bin.34	CosteaPI_2017__SID713A029-11-90-0__bin.38	QinN_2014__HV-25__bin.3	WenC_2017__RA074__bin.44	VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	HeQ_2017__SZAXPI029592-129__bin.39	QinJ_2012__DOM010__bin.24	ChengpingW_2017__AS101raw__bin.19	QinJ_2012__T2D-035__bin.12	ZeeviD_2015__PNP_Main_705__bin.23	QinN_2014__LD-68__bin.49	QinN_2014__LD-84__bin.26	QinN_2014__HD-65__bin.28	QinJ_2012__DOM022__bin.5	WenC_2017__N023__bin.5	ZellerG_2014__CCIS11558985ST-4-0__bin.5	WenC_2017__N024__bin.4	QinN_2014__HD-19__bin.31	LiJ_2017__H2M514107__bin.40	NielsenHB_2014__V1_UC4_5__bin.52	LiJ_2014__O2.UC8-0__bin.38	ChengpingW_2017__AS40raw__bin.68	LiJ_2014__V1.FI25__bin.79	ChengpingW_2017__AS92raw__bin.7	ChengpingW_2017__AS61raw__bin.47	HeQ_2017__SZAXPI029552-169__bin.39	NielsenHB_2014__V1_UC32_0__bin.67	GeversD_2014__SKBSTL033__bin.78	ZeeviD_2015__PNP_Validation_59__bin.24	QinN_2014__LD-40__bin.7
ZeeviD_2015__PNP_Main_533__bin.10	1.0	0.4677059946665572	0.872960433838913	0.854741102300805	0.7936751412877306	0.8087035480732728	0.8616075134571958	0.697391481975146	0.8589230698916056	0.6388402047191362	0.8561280959012334	0.40821357649404955	0.3987643911079439	0.8791678598045151	0.8469065005880965	0.8675318509508881	0.8792536724549787	0.706444716599058	0.7402110618102924	0.5325533087772351	0.3576965086376962	0.8339156778779652	0.7652697548649711	0.7615611559710215	0.8398600694149723	0.8588531139265536	0.6171160793319298	0.8807899054475177	0.789682987548771	0.8815090527682509	0.8649495430942735	0.7210459256246835	0.4317374356754901
QinN_2014__HV-30__bin.15	0.8430580354891102	1.0	0.8779183353677196	0.8702397885583432	0.8137284077649662	0.8337334853238373	0.8800477156029013	0.7079167885617057	0.8556972900631163	0.6394042106749791	0.8746834932259986	0.42603240894860905	0.4185169492950263	0.8871958088282271	0.8748516243144455	0.8593911300762979	0.8638533291636823	0.7377751885590157	0.7447232057890896	0.5563432497049299	0.4202066667339191	0.8570230036955213	0.7793212211697216	0.7753760251793118	0.8258792415270337	0.8563916714584027	0.6834007538998006	0.898236136751102	0.8103792364831012	0.8688888552626711	0.8679792660741726	0.7309507476789504	0.5078769414937437
WenC_2017__N263__bin.18	0.8174532918334023	0.456076789138629	1.0	0.8455819125051369	0.77775162317457	0.7973642274029688	0.8629772954267244	0.6662035991742522	0.8545355211780228	0.6129780596846104	0.8474820759689807	0.398994585997136	0.3693304620528491	0.875641703674945	0.848928488607972	0.833716699646214	0.8368357452584348	0.7012192751952897	0.7064197225700202	0.5243708738262636	0.3382055137494361	0.8222004251020721	0.7460266232509958	0.7411842852856775	0.8184376559904936	0.8441778615889665	0.5915766552843192	0.8826318246591518	0.780190260908908	0.8465226047830315	0.8436306529426331	0.6833400078522038	0.4200920341182189
ChengpingW_2017__AS131raw__bin.34	0.8098590522382091	0.45743485413627794	0.8555830063759453	1.0	0.7711027261153928	0.7866137407386622	0.8549440420108023	0.6616537864825012	0.8426883873308302	0.6031889889559914	0.8525401926702921	0.3819579618008897	0.3630020189683156	0.8581225141259291	0.8532754877626835	0.8163269093700191	0.8455288181324476	0.7016668309002461	0.6953098866699925	0.5108352183371284	0.3198878321476847	0.8168310990938282	0.7568015900756373	0.7376768475283436	0.8247456846706439	0.8161435274809913	0.5954303884558672	0.8845988819449262	0.7733457296544423	0.8365762468753272	0.8465570823632137	0.675471059465665	0.3988644463170509
CosteaPI_2017__SID713A029-11-90-0__bin.38	0.761634849141249	0.43321049691909447	0.797033487169756	0.7809827032484667	1.0	0.733904909040784	0.7836706635493607	0.6432048220378731	0.7854089315827727	0.5712058854067834	0.7802527559872682	0.36874375673556486	0.3523438870609128	0.7974380686069867	0.7774913981690005	0.770765679320876	0.773169000469028	0.6434558952527918	0.6829043755661455	0.4888314936215767	0.331252841916069	0.7709330614641552	0.6991337302766549	0.7072079047336028	0.75710658035596	0.7882504001059789	0.5702620112351907	0.8122598916581036	0.7189421090508089	0.7962592328706306	0.7835337145230415	0.6422806398831369	0.4085238685146133
QinN_2014__HV-25__bin.3	0.816620271364248	0.467060905078084	0.8598430173225349	0.8383347798997748	0.772265388978812	1.0	0.8502203286303833	0.6702902253394172	0.8355661317902873	0.6081837828520891	0.8487933846311068	0.38828464848435473	0.3784999569091169	0.8557274847780867	0.8542821741728787	0.8388688242876229	0.843891855540522	0.7024317857191633	0.7113466536750401	0.5247904440904032	0.34578385142075113	0.8193856229034402	0.7631136389002829	0.744934937475835	0.8032573882027052	0.8322676777404742	0.6164204992043492	0.8730617932683092	0.7776260832176787	0.8545647373410523	0.8375525508625477	0.6765880874193929	0.4292506566061621
WenC_2017__RA074__bin.44	0.7953991237738345	0.45071012550975414	0.8507591204673206	0.8329874696902899	0.7538851537528932	0.7772778780447481	1.0	0.6544654297090268	0.8215016394797751	0.6035244509809324	0.830356035765458	0.3816806217623719	0.3597848699437893	0.8442080899371762	0.8415447963738565	0.8015183270417723	0.8295087415959439	0.676524785076601	0.6957865197564201	0.5074926120081561	0.332580182960432	0.8079195311638928	0.7241415980105809	0.721412001956354	0.805649316653808	0.815818138294941	0.5874293060454094	0.8773709598534112	0.7709197274881516	0.8259555308332416	0.8371968167915794	0.6599091225338918	0.40178706739777365
VogtmannE_2016__MMRS51737257ST-27-0-0__bin.67	0.8380541978901683	0.4719469061762146	0.8549368860732395	0.8391728357076366	0.8054539758439242	0.7976778737811135	0.8519351705670474	1.0	0.852950127023678	0.6360330278376047	0.8587747777435909	0.41600829002534867	0.3941909295062021	0.8647300109341803	0.8232826863896637	0.8655549783025737	0.8567112384430311	0.7048976272660682	0.7407192572155221	0.5401496262146832	0.3782228790576541	0.8240331152662117	0.7765235135315385	0.7609231115841223	0.8074480206107336	0.8496401696339151	0.6201081312527568	0.8696786942649636	0.7984053246263407	0.8720684095223203	0.8589288986853764	0.7191412044859843	0.47654195200057387
HeQ_2017__SZAXPI029592-129__bin.39	0.8112740034438359	0.44838276707678765	0.8619360101984765	0.8400506047416396	0.7730455746620367	0.7815617782668316	0.8405162141768161	0.6704115115215209	1.0	0.6086854440447144	0.8586428255841152	0.38954770690656937	0.36665355442366404	0.8721794177723607	0.8337598116065815	0.8290424876318364	0.846718907134925	0.6997990875464674	0.6995792776049791	0.5176105646208191	0.32532267791059855	0.8092600333987772	0.7534190577421775	0.7371870406401712	0.8086534636804817	0.841364618880837	0.5746620367087008	0.8707169548350038	0.7819657175781438	0.8508807594940055	0.8356341428711759	0.6790581033882007	0.41070672640446
QinJ_2012__DOM010__bin.24	0.8582098201951108	0.47653213826788604	0.8793824269994907	0.855223827296085	0.7996314811113708	0.8091057120427738	0.8782546915361573	0.7110259322769793	0.8657268035779286	1.0	0.8695867914610377	0.4137573702211427	0.40587512585214514	0.8741697830800836	0.8498175887888058	0.8573245478563941	0.8653095414564954	0.7226234384779581	0.7275804623590095	0.5592646914171187	0.382801031752645	0.8501496442307872	0.7743677006538986	0.7852403235598349	0.8242085959756132	0.8444188685179488	0.6450026595761345	0.8867133340308586	0.8061892628306535	0.8665149653628583	0.8526638677943186	0.7242016416069227	0.4637768236578852
ChengpingW_2017__AS101raw__bin.19	0.7925207410614951	0.4491984843062144	0.8377877812838498	0.8329365077651891	0.7526675096781547	0.7781137063911007	0.8326463897795578	0.6615393781200096	0.8415329799822908	0.5992162497156023	1.0	0.3888405598759055	0.3656742933446848	0.8486836112263572	0.8368371268130756	0.8260125311973973	0.8238349194123902	0.6875753087144622	0.6834359467409	0.5028167779721011	0.3166849357531131	0.8026757340049795	0.7467580826136868	0.722864362502423	0.7963173148198915	0.8143823401037603	0.5705619179561878	0.8642541399016275	0.7695003969694759	0.8327141703208437	0.8115118125941426	0.669678223752633	0.4007518027681228
QinJ_2012__T2D-035__bin.12	0.8360362459967314	0.4840561742268307	0.8726423339258442	0.8256165248429497	0.7869702385102731	0.7875118080303202	0.8467635251495524	0.7089966445613335	0.8446660178020683	0.6307861736441898	0.8602750638278364	1.0	0.4120178765699069	0.8794172062462928	0.8168826417894909	0.8727025083169605	0.8476508586312523	0.7193953524356778	0.7293088445848301	0.5564803521061514	0.4111611078582979	0.83232549187789	0.7851669170749133	0.7507108696918785	0.788720071597974	0.8408224979631447	0.6446883682901972	0.8789568243967995	0.7923381762574777	0.8582759368340821	0.8223174399712692	0.7189846383375821	0.5114259706941163
ZeeviD_2015__PNP_Main_705__bin.23	0.9005011016231564	0.5243199636022025	0.8906654814914672	0.8651712255189004	0.8291451994085358	0.8464531104529925	0.8801063287513111	0.7407625844121377	0.8766182064816727	0.6822743989518782	0.8920525156186152	0.4543037025491097	1.0	0.895993504004179	0.8552007987294472	0.8945506514953007	0.8858629943086314	0.767798691532878	0.7526255702953529	0.5885921972221403	0.4963539011782945	0.8733575704470105	0.7886126288562076	0.8034961264149434	0.8427501400725429	0.86944817737186	0.7683947897226775	0.8929877368068515	0.8466416291384591	0.8973910699014648	0.8834375276458966	0.7854288747435514	0.5983467227237685
QinN_2014__LD-68__bin.49	0.7738499292289404	0.4332313638946086	0.8230817922976128	0.7971854957094019	0.731438606516192	0.745915475381195	0.8049313143056062	0.6333882589005692	0.8127883797532373	0.5727689874976601	0.8069727556050351	0.3779568674200254	0.3492383490474642	1.0	0.7953000463049625	0.8054386984693089	0.7995582145331901	0.6610620420816872	0.6560735854819164	0.490606414386722	0.31199815765361916	0.7815936953002105	0.7135200638417355	0.692201308361494	0.758220362360962	0.7949605586808669	0.549157561666059	0.8243835036108018	0.7362862599054854	0.8087810300719533	0.7921584516408705	0.6483601967796705	0.3987193886431333
QinN_2014__LD-84__bin.26	0.8055812236796985	0.4616615820860695	0.8623361448247073	0.8566201505544536	0.7706646390450541	0.8047192774734817	0.8671125600600833	0.6516694828899463	0.8396562684516599	0.6017254007073903	0.8598900452976466	0.37939873152394127	0.3602251973093792	0.8594486472146893	1.0	0.8101788616010729	0.8424408471116818	0.6967187043213982	0.7104730234792728	0.5104748866671606	0.33026203075945754	0.8182540066302872	0.7500963756115804	0.7400027770371852	0.8167137713096569	0.8341802705260091	0.5950480902102341	0.89792924410911	0.767628973636335	0.8500386611486731	0.8590853255765568	0.6749163007202995	0.4065799811108237
QinN_2014__HD-65__bin.28	0.8268379045363545	0.45440309440752163	0.8485648982813982	0.8211532375354264	0.7655142647848459	0.7917684563877717	0.8275090944004097	0.6864898814794269	0.8365626011229762	0.6082455897047475	0.850451786342931	0.40612854130440196	0.3775478545038173	0.8721325524417086	0.8117868052073666	1.0	0.8446382153283762	0.6931808887798391	0.7041679557068029	0.5142687853152548	0.3448297933624212	0.8079556890230676	0.758058723334649	0.7275520327718452	0.8008152956613576	0.8361265499596398	0.5902354765181336	0.8549354235341391	0.782952755345516	0.8574046021399844	0.8199424288005348	0.6878349281871295	0.4313239420091957
