	BackhedF_2015__SID567_4M__bin.10	FengQ_2015__SID531274__bin.2	ZeeviD_2015__PNP_Main_229__bin.18	ZeeviD_2015__PNP_Main_217__bin.18	BackhedF_2015__SID637_B__bin.10	BackhedF_2015__SID589_B__bin.1	HeQ_2017__SZAXPI029601-32__bin.19	HMP_2012__SRS019974__bin.30	VogtmannE_2016__MMRS17603756ST-27-0-0__bin.30	BackhedF_2015__SID544_4M__bin.5	HMP_2012__SRS064329__bin.52	QinJ_2012__CON-015__bin.17	GeversD_2014__SKBSTL041__bin.16	XieH_2016__YSZC12003_35733__bin.5	HMP_2012__SRS022077__bin.8	HMP_2012__SRS018791__bin.29	FengQ_2015__SID530451__bin.60	CM_cf__CF_TNFC017IS_t4M16__bin.11	XieH_2016__YSZC12003_35551__bin.43	FengQ_2015__SID530705__bin.47	QinN_2014__LD-30__bin.25	HMP_2012__SRS013502__bin.28	BackhedF_2015__SID256_12M__bin.14	XieH_2016__YSZC12003_36119__bin.73	FengQ_2015__SID530185__bin.38	SchirmerM_2016__G89165__bin.13	BackhedF_2015__SID105_B__bin.3	FengQ_2015__SID31004__bin.5	XieH_2016__YSZC12003_35734__bin.24	CM_cf__CF_TNFC048IS_t2M15__bin.21	FengQ_2015__SID31705__bin.14	BackhedF_2015__SID585_12M__bin.1	HMP_2012__SRS053854__bin.1	FerrettiP_2018__CA_C10049IS2857FE_t2M16__bin.6	QinN_2014__LD-2__bin.13	FengQ_2015__SID531248__bin.27	BackhedF_2015__SID282_B__bin.5	KarlssonFH_2013__S370__bin.37	QinN_2014__LD-33__bin.28	XieH_2016__YSZC12003_37229__bin.72	KarlssonFH_2013__S441__bin.47	QinN_2014__LD-5__bin.26	GeversD_2014__SKBSTL042__bin.50	BackhedF_2015__SID598_M__bin.2	BackhedF_2015__SID38_4M__bin.1	HMP_2012__SRS018439__bin.27
BackhedF_2015__SID567_4M__bin.10	1.0	0.9653475120185027	0.9636947800853328	0.9613633429766472	0.965618394623536	0.95882333627235	0.9568124857743401	0.9733278920106734	0.9650497827403063	0.967766923223752	0.9657086201957743	0.9570199599275887	0.9681560878863479	0.9643058876607263	0.972381212120663	0.9620975145018308	0.9676761877422133	0.9639189652241718	0.9768883560043472	0.9615208297518767	0.96520631134914	0.9622355653272118	0.9651287930687823	0.9646835014771526	0.965217061617364	0.9693676797764171	0.9656042114528497	0.9870413993190177	0.962656908629066	0.9656073222011671	0.9668891001883309	0.9839730444686734	0.9661468728420411	0.975054788744529	0.9549510367433464	0.970414872533429	0.9623764215650956	0.965802469491716	0.9621918412777737	0.9677709045117724	0.9715892779191361	0.9558794931910558	0.9761818581525951	0.9611088066316749	0.9683516168249784	0.9678455673429759
FengQ_2015__SID531274__bin.2	0.9653475120185027	1.0	0.9669092728962608	0.9596571103719624	0.9780577942957365	0.9599758539179559	0.9612776652935837	0.9700301405448611	0.9660618232046804	0.9660534655963278	0.9659006783191042	0.9609492247425738	0.9698587667929728	0.9662604562776997	0.9708091097243006	0.9605438064800023	0.9723219356511432	0.9645912210471654	0.9669153593489956	0.9593487586081414	0.9696519649711233	0.9618831798285233	0.9638124309831333	0.9678323643282938	0.9773877194617299	0.9687599782073317	0.9698176791416648	0.9667117486272438	0.9599510151267753	0.9696862790449158	0.972187668271085	0.9648731418729962	0.9658276207644959	0.9672189844919113	0.959564827770956	0.9718310429930175	0.9648479470762874	0.9649050630379294	0.9656695764507863	0.9704539320089823	0.9717289242702593	0.9591477769999945	0.9705357595417913	0.9614981951222078	0.9696428412879959	0.9707685395165148
ZeeviD_2015__PNP_Main_229__bin.18	0.9636947800853328	0.9669092728962608	1.0	0.9600205826696924	0.9678635746689974	0.9583933286008917	0.9621639091348418	0.9699499972697417	0.963769660335606	0.9644914835120344	0.9654044675909461	0.9618709038089218	0.9672434595946136	0.9662345615835033	0.9683943266407631	0.9596302594417634	0.9708240032737588	0.9641658813342837	0.9646612392008244	0.9605562926025893	0.9703832570853265	0.9619656891253824	0.9641449758019842	0.9662558936179648	0.9680806998382294	0.966990726189573	0.9668806751513047	0.9646558108214763	0.9609324569889071	0.9676751435690208	0.970226979009856	0.962944282558266	0.9647545021382704	0.9650897817827023	0.9624496155933204	0.9681674418604651	0.9640428088865792	0.9635528923685274	0.9664139982447829	0.96835371037233	0.9702434879428052	0.9605710832260386	0.9696793127216139	0.9593726660333989	0.9678814452975012	0.9673588760713123
ZeeviD_2015__PNP_Main_217__bin.18	0.9613633429766472	0.9596571103719624	0.9600205826696924	1.0	0.9612257178272482	0.9523208344430355	0.9545769149297773	0.9714834834538288	0.9623946600878457	0.9664031180293032	0.9597384972346666	0.9519900836272955	0.963315986733896	0.9609030233440069	0.9642398141286564	0.9790767562531967	0.9637908149721264	0.9579393524920635	0.9612221360912064	0.9786586495337123	0.9598189736361395	0.9636787403938849	0.9636839432082641	0.9620508557826728	0.9600576927243408	0.9694050683359621	0.9628886030023668	0.9603202286349076	0.9675331501061418	0.9601473882317734	0.9601797788053469	0.9612307144993583	0.9654344011158893	0.9596871162131433	0.9513559780428147	0.9653408226807748	0.9609066397520005	0.958301381573158	0.9580652414193077	0.9636951454809531	0.9671484320624391	0.9527105832763346	0.9657691105596777	0.9639771502156205	0.962836044879425	0.9630475768185877
BackhedF_2015__SID637_B__bin.10	0.965618394623536	0.9780577942957365	0.9678635746689974	0.9612257178272482	1.0	0.9583834857968223	0.9614767884569624	0.9721782535961764	0.9656395421747792	0.9668633293417168	0.9650210233917739	0.959694200771487	0.9698731049044674	0.9656514958925109	0.9707086427689341	0.9611641361487181	0.9725878709543344	0.9627967178790631	0.9659805680321198	0.9612074363004648	0.9680229358747898	0.9615945785341307	0.9644534859197365	0.9676921848948171	0.9795385233879098	0.9692921145565503	0.9695231932148315	0.9667210904017843	0.9603577698826327	0.967693619269156	0.971405733336977	0.9644394499851727	0.9648357196714528	0.965995164901188	0.9582516401421205	0.9720135338486415	0.9637976052974667	0.9638693519749865	0.9649432820939667	0.9701078131961531	0.9717833656479242	0.9593833709937101	0.9710863579190699	0.960753785541368	0.9677229891257889	0.9701577250697281
BackhedF_2015__SID589_B__bin.1	0.95882333627235	0.9599758539179559	0.9583933286008917	0.9523208344430355	0.9583834857968223	1.0	0.9535654653068825	0.9681661030995663	0.9693428683639986	0.9626187138247101	0.9717311600489643	0.9526343185342967	0.9624056255584765	0.9582791061156031	0.9707820925212921	0.9552487537450408	0.9623527239349152	0.9572989339202532	0.9594703199166722	0.952755880849038	0.9603883855406784	0.9553688360609343	0.9589838944496422	0.9601475926555704	0.959308320774173	0.961824286224461	0.9616379075897696	0.9600705701874511	0.9533324290222435	0.9596480065585159	0.9612106563155586	0.9599040024188367	0.9570904816829434	0.9603270530753797	0.9511645130351776	0.9631621280868881	0.9555539245817317	0.9594250347580392	0.9554175643137752	0.9622390141801882	0.9746061103583332	0.9511640591810939	0.9640711399404509	0.9542638520764887	0.9619055902241743	0.9619979305803782
HeQ_2017__SZAXPI029601-32__bin.19	0.9568124857743401	0.9612776652935837	0.9621639091348418	0.9545769149297773	0.9614767884569624	0.9535654653068825	1.0	0.9638641990255796	0.9574061888165858	0.9570986192041497	0.9592762213764273	0.9668341631205128	0.960270068347215	0.9607965641298197	0.9606510881531563	0.9553675704267766	0.9648731097316616	0.9590700400507961	0.9591565946330253	0.9552660119374125	0.976843158886835	0.9579565388503702	0.956955653693534	0.9603149834231154	0.9611884177899727	0.9604622447471802	0.9602664494032801	0.9579702337184556	0.9551339200253783	0.9618642251596622	0.9641124712007344	0.9594040514756628	0.9556422087145239	0.9595012726032639	0.96842802277844	0.9608820335774146	0.9581392131183519	0.956901214210763	0.969787633640679	0.9612621926662279	0.9628945051382218	0.9622139135827463	0.9642139132463943	0.9558185938058027	0.9608642759422622	0.9618045031649738
HMP_2012__SRS019974__bin.30	0.9733278920106734	0.9700301405448611	0.9699499972697417	0.9714834834538288	0.9721782535961764	0.9681661030995663	0.9638641990255796	1.0	0.9733954988364044	0.9892368901833266	0.9729682476669635	0.9639852661263872	0.9755264763455974	0.9732475402664742	0.9742209236090079	0.9719790347129488	0.9746503910398372	0.9711945818042705	0.9719578954578926	0.9707980486569294	0.968969124984041	0.9735424065717704	0.9877451880581082	0.9719207173194904	0.9706914594258912	0.9776010778623044	0.9711109706685767	0.9727731187306523	0.9714916646096925	0.973267457761701	0.972097439686246	0.9726982667077089	0.9752674995894339	0.9723447125367113	0.9637932678793719	0.9747180161004362	0.9721316175104491	0.9713717937709302	0.9650595825456258	0.9726248507905894	0.9765915849675796	0.9640164551953648	0.9761650760148053	0.9717283267470936	0.973548078218206	0.9717800839859971
VogtmannE_2016__MMRS17603756ST-27-0-0__bin.30	0.9650497827403063	0.9660618232046804	0.963769660335606	0.9623946600878457	0.9656395421747792	0.9693428683639986	0.9574061888165858	0.9733954988364044	1.0	0.9666556179011131	0.981280438709799	0.9567409555965963	0.9680736172558133	0.9655277787946261	0.9737350346254838	0.9620572749855485	0.9686808759437414	0.9635565030748126	0.9650634621121933	0.9641312086740249	0.9664371479283967	0.9626391023051017	0.9662382522746147	0.9663261180392893	0.9650003593392265	0.9678975350642745	0.9658575140844774	0.9653597861145488	0.9621334830589005	0.9672208110197144	0.9672265260527552	0.9638933566070278	0.9637962440627167	0.9659484959450189	0.9565080426369048	0.9700378282024443	0.9642363778391922	0.9637630211678895	0.9611597579766245	0.9677211294812297	0.974034699589455	0.9568534589055274	0.9706698397956814	0.9620425984811805	0.9675377482098911	0.9683053470316193
BackhedF_2015__SID544_4M__bin.5	0.967766923223752	0.9660534655963278	0.9644914835120344	0.9664031180293032	0.9668633293417168	0.9626187138247101	0.9570986192041497	0.9892368901833266	0.9666556179011131	1.0	0.9672218960447801	0.9587754006690299	0.9700018930047456	0.9681890818658713	0.9691087665376166	0.964948813426492	0.9688547017037326	0.9654212644368554	0.9660199181213651	0.9629064887077668	0.9641680672268907	0.9698717857203114	0.9974337008063364	0.9676542722149903	0.9669871211405475	0.9743977562719276	0.9669777982558007	0.9670272686287902	0.9650285213763976	0.9686087599638425	0.9685505896368395	0.9670252473610972	0.9688415764007395	0.9672744958325001	0.9588011118592703	0.968431825153049	0.9670410847045642	0.9641508569378378	0.9601767117488991	0.9684261086225602	0.9717573901582408	0.9577732218762087	0.9726836484276402	0.9661090663079983	0.9704223310247574	0.9654175810196228
