	BackhedF_2015__SID567_4M__bin.10	FengQ_2015__SID531274__bin.2	ZeeviD_2015__PNP_Main_229__bin.18	ZeeviD_2015__PNP_Main_217__bin.18	BackhedF_2015__SID637_B__bin.10	BackhedF_2015__SID589_B__bin.1	HeQ_2017__SZAXPI029601-32__bin.19	HMP_2012__SRS019974__bin.30	VogtmannE_2016__MMRS17603756ST-27-0-0__bin.30	BackhedF_2015__SID544_4M__bin.5	HMP_2012__SRS064329__bin.52	QinJ_2012__CON-015__bin.17	GeversD_2014__SKBSTL041__bin.16	XieH_2016__YSZC12003_35733__bin.5	HMP_2012__SRS022077__bin.8	HMP_2012__SRS018791__bin.29	FengQ_2015__SID530451__bin.60	CM_cf__CF_TNFC017IS_t4M16__bin.11	XieH_2016__YSZC12003_35551__bin.43	FengQ_2015__SID530705__bin.47	QinN_2014__LD-30__bin.25	HMP_2012__SRS013502__bin.28	BackhedF_2015__SID256_12M__bin.14	XieH_2016__YSZC12003_36119__bin.73	FengQ_2015__SID530185__bin.38	SchirmerM_2016__G89165__bin.13	BackhedF_2015__SID105_B__bin.3	FengQ_2015__SID31004__bin.5	XieH_2016__YSZC12003_35734__bin.24	CM_cf__CF_TNFC048IS_t2M15__bin.21	FengQ_2015__SID31705__bin.14	BackhedF_2015__SID585_12M__bin.1	HMP_2012__SRS053854__bin.1	FerrettiP_2018__CA_C10049IS2857FE_t2M16__bin.6	QinN_2014__LD-2__bin.13	FengQ_2015__SID531248__bin.27	BackhedF_2015__SID282_B__bin.5	KarlssonFH_2013__S370__bin.37	QinN_2014__LD-33__bin.28	XieH_2016__YSZC12003_37229__bin.72	KarlssonFH_2013__S441__bin.47	QinN_2014__LD-5__bin.26	GeversD_2014__SKBSTL042__bin.50	BackhedF_2015__SID598_M__bin.2	BackhedF_2015__SID38_4M__bin.1	HMP_2012__SRS018439__bin.27
BackhedF_2015__SID567_4M__bin.10	1.0	0.7297958873705668	0.6037044145773484	0.8340779301301366	0.8115829404889527	0.6495219548123632	0.4090632228479644	0.4142356088398698	0.6203232533184362	0.5150347175083497	0.42127689898190757	0.6887340918181738	0.7301480299003857	0.8646867621976815	0.5740750276850608	0.658984549941561	0.7610179779944729	0.7711370042501575	0.7279576721558249	0.8532533132346815	0.4902718675569579	0.6437357901126493	0.8511274542695851	0.6195747553857781	0.6585236957592573	0.5657895352810924	0.49166379282992034	0.8923005622316994	0.794314432590193	0.8171594841554067	0.7921136718166861	0.8763766458241982	0.7961807359830888	0.9116387527392475	0.8646836412889977	0.5684807988693988	0.8735418204364382	0.902132464888477	0.48087117044998823	0.6220688815755595	0.5290543594673025	0.7596458184765076	0.46847856221817546	0.7962660408204453	0.7324731068697962	0.6193073975418683
FengQ_2015__SID531274__bin.2	0.8260528597998343	1.0	0.6176210322915667	0.826448504645	0.8459381345698804	0.6719992369706558	0.4216384759901866	0.42427257574803073	0.6244388407841539	0.5274034099640093	0.430250227701851	0.7065398562137142	0.728103089032454	0.8532557979338155	0.5956774623151229	0.6408910722622937	0.7629916637866626	0.7596410465041658	0.7237957412835967	0.8542584514625612	0.5094098121099115	0.6419873381874402	0.8482643143068591	0.6243993940510794	0.6823531212669113	0.5586970331935427	0.5000150133088568	0.84844565152756	0.7644188112638675	0.8043871832265426	0.7861504286446868	0.8368541995757416	0.7942758669008351	0.8797139581970606	0.8659287968805288	0.581129271654343	0.8652299420721781	0.8829780281696775	0.4995027945360976	0.6347468020180242	0.5537897418476261	0.7594915021728085	0.4646236398972501	0.7833773821852665	0.7294213164257963	0.6106212978210684
ZeeviD_2015__PNP_Main_229__bin.18	0.8778740392135507	0.79345719744587	1.0	0.9069453457923566	0.8593140881056869	0.6755389556264532	0.496153072323148	0.4848104597706366	0.6672036935346504	0.6071708970769099	0.4891497881391187	0.7586949188181779	0.78047022375111	0.9090057136633249	0.6819083968310876	0.7134560780095818	0.8225095946279161	0.7905678416209437	0.7743813979943938	0.9093491083084864	0.5799859919188802	0.6788912134840639	0.9121015601008703	0.6992823505741649	0.7340703459814506	0.6280967919073833	0.5795117442481397	0.9008451743975845	0.8366349140076272	0.8533455261123641	0.8521512086130033	0.8757909800664703	0.8675290864340962	0.9310449937750266	0.9116099157851106	0.6504832485435983	0.9314920119144328	0.9338299697298377	0.5843412041806407	0.7313685713723835	0.6453588020216414	0.8347795239975372	0.5322200993272793	0.8344883192874334	0.8076536161573988	0.669313982213065
ZeeviD_2015__PNP_Main_217__bin.18	0.7950274374946702	0.695960927103723	0.5944957430731977	1.0	0.7835744897736581	0.6236377933392433	0.40258251576143755	0.4016598345619223	0.6020988146447008	0.5118857799011179	0.4077070901183372	0.677172639056634	0.6987319454938848	0.8458775337787588	0.5539716442863177	0.6620681346271694	0.7283926010982931	0.7554270115045107	0.6818053811997137	0.8832741349801779	0.47063880675158704	0.6341279001739262	0.8268120943127933	0.5905035727247306	0.6407522653038155	0.5560832505349667	0.4736428504849902	0.8229954366696612	0.7735330806743654	0.7687173888469113	0.7460469977411416	0.8138945575195791	0.7794940672739208	0.8485900479338089	0.8341142161324933	0.5444329749701033	0.8596528021545424	0.8676644117746218	0.4718951604106799	0.602840529354252	0.5164510934342382	0.7400899775304073	0.4457581454752428	0.794673933090987	0.7156029803445602	0.5724991422684175
BackhedF_2015__SID637_B__bin.10	0.8280323192655195	0.76251177477346	0.6029182863890252	0.8387242115877038	1.0	0.6525328698605601	0.3925182757751449	0.41272126623592004	0.6305382564048134	0.5092067451209319	0.39795629734785665	0.706182319928887	0.7198312393031988	0.8613222241386173	0.5646764756610457	0.6324731667838616	0.7558849986069283	0.7720488769187905	0.7082122245366378	0.8518450904169929	0.4870120600214931	0.6296127260424821	0.8454762315417987	0.5983893436641768	0.675872792644581	0.548202672044366	0.46252530747084497	0.8665522136574105	0.7677762594032346	0.8117357674498826	0.7767874437796027	0.8500524060339909	0.792518275775145	0.8903623313388084	0.8805036286203283	0.567794833693763	0.8849396998925345	0.8954952038528385	0.4769124222201584	0.6062855399148236	0.5310018176270017	0.7597707401854775	0.46833216138405	0.7826091571252305	0.7201369190558954	0.5984079179547053
BackhedF_2015__SID589_B__bin.1	0.7799255748648406	0.7128886146281991	0.5578300038973888	0.7856267550741004	0.7679754564441824	1.0	0.4092270678645308	0.3949116591883438	0.5868274506080926	0.5092219462959817	0.4204333096825127	0.7031501394065975	0.6752138567160003	0.8144087211568249	0.5500858175022735	0.6468809647536151	0.6967781586337154	0.7554176201944697	0.6877848091778508	0.7976337104140226	0.4645618685480728	0.6400149399902065	0.7970946965533093	0.574846727692446	0.6220538489212227	0.5316737785683592	0.470803936362637	0.8004393306484655	0.7321113603885396	0.7588097224859345	0.731798445041822	0.8262901356091419	0.7396956539118791	0.8298902235502214	0.829002693195559	0.5062895360108727	0.8169601367084054	0.8355776629658129	0.443571557056772	0.5672693045659408	0.5051965183327171	0.7145300148900237	0.4228966592383103	0.7731588585647616	0.6894030999230516	0.564393731200096
HeQ_2017__SZAXPI029601-32__bin.19	0.8819150618291839	0.8031009351474828	0.7356041227679648	0.9105750500991892	0.8294339885010166	0.7347529692250241	1.0	0.5372180623977411	0.6901913245137827	0.9183800944455223	0.8986454435250092	0.8743870068439922	0.8105359127360157	0.9136152045852393	0.901488229073566	0.8565049325413157	0.8226987735090515	0.9069136320258016	0.8138911846734048	0.8954471696060807	0.6139564509925078	0.7664946043145299	0.9009488287387115	0.7438039049892848	0.7724470720430264	0.6602652593663336	0.8919147141907144	0.9242181779034261	0.8201262488351307	0.8633848099931482	0.8771008297345275	0.9115854444894256	0.8897941195270771	0.943762188372951	0.9314580293833006	0.6444454661775805	0.9401916048673872	0.9351194474566882	0.7380117995225017	0.9133068156204057	0.7056006800257029	0.8752033965399879	0.49978749196786926	0.920022966567272	0.8139595909528771	0.7066918162540049
HMP_2012__SRS019974__bin.30	0.924747526942652	0.8367857628071218	0.7442860443971708	0.9407162954129271	0.9030633513744497	0.734203378848349	0.5562756261459554	1.0	0.7230059650642547	0.718848883103552	0.5645375362438326	0.8284646317092458	0.8583642695321889	0.9396793473149082	0.7399849741227454	0.8460857821990964	0.8583364008263071	0.8195373562584405	0.8136872504154179	0.9535486732754206	0.7003278056529347	0.7395727495149104	0.9484905031578728	0.7430934960246453	0.7778539006318068	0.7187838561231611	0.6614497997517362	0.9051372475704875	0.8750007257475491	0.8686640787476733	0.8817205674532996	0.9393182153345232	0.9191912037074669	0.94456682160893	0.9253525100995029	0.718479622750618	0.9437609515305145	0.9466186550794781	0.6013288727921308	0.7899059547296097	0.731736998377809	0.8569673506498634	0.6073705759880907	0.8897595279041224	0.8707240405907701	0.7479902598872943
VogtmannE_2016__MMRS17603756ST-27-0-0__bin.30	0.8214347705100054	0.730530751576633	0.6075829919246633	0.8364640990530559	0.8183744906421422	0.6471517287171759	0.4239241838564899	0.4288655405461253	1.0	0.521583135192323	0.4388543270965982	0.7294996376981295	0.7398231746460324	0.8655336582570388	0.593094361040013	0.6613076755648741	0.744535165322614	0.7611838316935615	0.7180141173747855	0.8629424422176731	0.5048690340729067	0.666554853605248	0.8319077741991475	0.6098752744815502	0.6708852563802323	0.5741809635852181	0.490629055232438	0.8537801998583854	0.7777622418082583	0.7966632411001854	0.7729062946850453	0.8286622106750937	0.7997469397201321	0.8795449598712796	0.8571042850806019	0.591587295464752	0.8491288224224908	0.8846440487440661	0.47652614497034085	0.6289987519182713	0.556673380042264	0.7652931338974038	0.47465677752461033	0.7895460068272551	0.7123123400292597	0.6213601060180682
BackhedF_2015__SID544_4M__bin.5	0.8768821079963797	0.7933068599858659	0.7108988244629317	0.914328551717786	0.8497368901137634	0.7220254236237431	0.7252551838226828	0.5482347460914322	0.6706149385486536	1.0	0.7572020907095908	0.8514026918505897	0.8093361058319887	0.901659248343497	0.8989750138595413	0.8271746195932291	0.8201863997605354	0.8256708815022503	0.7899956251671558	0.9083578790385286	0.5664478659848776	0.6823561397325153	0.9427747067356486	0.721819965886931	0.7686368764756205	0.6833001826094195	0.8495447162823485	0.9153868361811075	0.816930071750801	0.8405895928571555	0.8385279307394884	0.9215346275989961	0.8827394246829132	0.9122624616316533	0.893033565772158	0.6265159150042597	0.93269842169492	0.9083419383520518	0.7573402433257231	0.9052866401106638	0.6813173383304434	0.8539930534030709	0.4933013693049684	0.8796637577865826	0.8063489983049736	0.6682973398536645
