	BackhedF_2015__SID567_4M__bin.10	FengQ_2015__SID531274__bin.2	ZeeviD_2015__PNP_Main_229__bin.18	ZeeviD_2015__PNP_Main_217__bin.18	BackhedF_2015__SID637_B__bin.10	BackhedF_2015__SID589_B__bin.1	HeQ_2017__SZAXPI029601-32__bin.19	HMP_2012__SRS019974__bin.30	VogtmannE_2016__MMRS17603756ST-27-0-0__bin.30	BackhedF_2015__SID544_4M__bin.5	HMP_2012__SRS064329__bin.52	QinJ_2012__CON-015__bin.17	GeversD_2014__SKBSTL041__bin.16	XieH_2016__YSZC12003_35733__bin.5	HMP_2012__SRS022077__bin.8	HMP_2012__SRS018791__bin.29	FengQ_2015__SID530451__bin.60	CM_cf__CF_TNFC017IS_t4M16__bin.11	XieH_2016__YSZC12003_35551__bin.43	FengQ_2015__SID530705__bin.47	QinN_2014__LD-30__bin.25	HMP_2012__SRS013502__bin.28	BackhedF_2015__SID256_12M__bin.14	XieH_2016__YSZC12003_36119__bin.73	FengQ_2015__SID530185__bin.38	SchirmerM_2016__G89165__bin.13	BackhedF_2015__SID105_B__bin.3	FengQ_2015__SID31004__bin.5	XieH_2016__YSZC12003_35734__bin.24	CM_cf__CF_TNFC048IS_t2M15__bin.21	FengQ_2015__SID31705__bin.14	BackhedF_2015__SID585_12M__bin.1	HMP_2012__SRS053854__bin.1	FerrettiP_2018__CA_C10049IS2857FE_t2M16__bin.6	QinN_2014__LD-2__bin.13	FengQ_2015__SID531248__bin.27	BackhedF_2015__SID282_B__bin.5	KarlssonFH_2013__S370__bin.37	QinN_2014__LD-33__bin.28	XieH_2016__YSZC12003_37229__bin.72	KarlssonFH_2013__S441__bin.47	QinN_2014__LD-5__bin.26	GeversD_2014__SKBSTL042__bin.50	BackhedF_2015__SID598_M__bin.2	BackhedF_2015__SID38_4M__bin.1	HMP_2012__SRS018439__bin.27
BackhedF_2015__SID567_4M__bin.10	1922517.0	1403045.0	1160632.0	1603529.0	1560282.0	1248717.0	786431.0	796375.0	1192582.0	990163.0	809912.0	1324103.0	1403722.0	1662375.0	1103669.0	1266909.0	1463070.0	1482524.0	1399511.0	1640394.0	942556.0	1237593.0	1636307.0	1191143.0	1266023.0	1087740.0	945232.0	1715463.0	1527083.0	1571003.0	1522852.0	1684849.0	1530671.0	1752641.0	1662369.0	1092914.0	1679399.0	1734365.0	924483.0	1195938.0	1017116.0	1460432.0	900658.0	1530835.0	1408192.0	1190629.0
FengQ_2015__SID531274__bin.2	1403045.0	1698493.0	1049025.0	1403717.0	1436820.0	1141386.0	716150.0	720624.0	1060605.0	895791.0	730777.0	1200053.0	1236678.0	1449249.0	1011754.0	1088549.0	1295936.0	1290245.0	1229362.0	1450952.0	865229.0	1090411.0	1440771.0	1060538.0	1158972.0	948943.0	849272.0	1441079.0	1298360.0	1366246.0	1335271.0	1421391.0	1349072.0	1494188.0	1470774.0	987044.0	1469587.0	1499732.0	848402.0	1078113.0	940608.0	1289991.0	789160.0	1330561.0	1238917.0	1037136.0
ZeeviD_2015__PNP_Main_229__bin.18	1160632.0	1049025.0	1322094.0	1199067.0	1136094.0	893126.0	655961.0	640965.0	882106.0	802737.0	646702.0	1003066.0	1031855.0	1201791.0	901547.0	943256.0	1087435.0	1045205.0	1023805.0	1202245.0	766796.0	897558.0	1205884.0	924517.0	970510.0	830403.0	766169.0	1191002.0	1106110.0	1128203.0	1126624.0	1157878.0	1146955.0	1230929.0	1205234.0	860000.0	1231520.0	1234611.0	772554.0	966938.0	853225.0	1103657.0	703645.0	1103272.0	1067794.0	884896.0
ZeeviD_2015__PNP_Main_217__bin.18	1603529.0	1403717.0	1199067.0	2016948.0	1580429.0	1257845.0	811988.0	810127.0	1214402.0	1032447.0	822324.0	1365822.0	1409306.0	1706091.0	1117332.0	1335357.0	1469130.0	1523657.0	1375166.0	1781518.0	949254.0	1279003.0	1667637.0	1191015.0	1292364.0	1121591.0	955313.0	1659939.0	1560176.0	1550463.0	1504738.0	1641583.0	1572199.0	1711562.0	1682365.0	1098093.0	1733875.0	1750034.0	951788.0	1215898.0	1041655.0	1492723.0	899071.0	1602816.0	1443334.0	1154701.0
BackhedF_2015__SID637_B__bin.10	1560282.0	1436820.0	1136094.0	1580429.0	1884325.0	1229584.0	739632.0	777701.0	1188139.0	959511.0	749879.0	1330677.0	1356396.0	1623011.0	1064034.0	1191785.0	1424333.0	1454791.0	1334502.0	1605153.0	917689.0	1186395.0	1593152.0	1127560.0	1273564.0	1032992.0	871548.0	1632866.0	1446740.0	1529574.0	1463720.0	1601775.0	1493362.0	1677732.0	1659155.0	1069910.0	1667514.0	1687404.0	898658.0	1142439.0	1000580.0	1431655.0	882490.0	1474690.0	1356972.0	1127595.0
BackhedF_2015__SID589_B__bin.1	1248717.0	1141386.0	893126.0	1257845.0	1229584.0	1601072.0	655202.0	632282.0	939553.0	815301.0	673144.0	1125794.0	1081066.0	1303927.0	880727.0	1035703.0	1115592.0	1209478.0	1101193.0	1277069.0	743797.0	1024710.0	1276206.0	920371.0	995953.0	851248.0	753791.0	1281561.0	1172163.0	1214909.0	1171662.0	1322950.0	1184306.0	1328714.0	1327293.0	810606.0	1308012.0	1337820.0	710190.0	908239.0	808856.0	1144014.0	677088.0	1237883.0	1103784.0	903635.0
HeQ_2017__SZAXPI029601-32__bin.19	786431.0	716150.0	655961.0	811988.0	739632.0	655202.0	891731.0	479054.0	615465.0	818948.0	801350.0	779718.0	722780.0	814699.0	803885.0	763772.0	733626.0	808723.0	725772.0	798498.0	547484.0	683507.0	803404.0	663273.0	688815.0	588779.0	795348.0	824154.0	731332.0	769907.0	782138.0	812889.0	793457.0	841582.0	830610.0	574672.0	838398.0	833875.0	658108.0	814424.0	629206.0	780446.0	445676.0	820413.0	725833.0	630179.0
HMP_2012__SRS019974__bin.30	796375.0	720624.0	640965.0	810127.0	777701.0	632282.0	479054.0	861181.0	622639.0	619059.0	486169.0	713458.0	739207.0	809234.0	637261.0	728633.0	739183.0	705770.0	700732.0	821178.0	603109.0	636906.0	816822.0	639938.0	669873.0	619003.0	569628.0	779487.0	753534.0	748077.0	759321.0	808923.0	791590.0	813443.0	796896.0	618741.0	812749.0	815210.0	517853.0	680252.0	630158.0	738004.0	523056.0	766244.0	749851.0	644155.0
VogtmannE_2016__MMRS17603756ST-27-0-0__bin.30	1192582.0	1060605.0	882106.0	1214402.0	1188139.0	939553.0	615465.0	622639.0	1451828.0	757249.0	637141.0	1059108.0	1074096.0	1256606.0	861071.0	960105.0	1080937.0	1105108.0	1042433.0	1252844.0	732983.0	967723.0	1207787.0	885434.0	974010.0	833612.0	712309.0	1239542.0	1129177.0	1156618.0	1122127.0	1203075.0	1161095.0	1276948.0	1244368.0	858883.0	1232789.0	1284351.0	691834.0	913198.0	808194.0	1111074.0	689120.0	1146285.0	1034155.0	902108.0
BackhedF_2015__SID544_4M__bin.5	990163.0	895791.0	802737.0	1032447.0	959511.0	815301.0	818948.0	619059.0	757249.0	1129186.0	855022.0	961392.0	913891.0	1018141.0	1015110.0	934034.0	926143.0	932336.0	892052.0	1025705.0	639625.0	770507.0	1064568.0	815069.0	867934.0	771573.0	959294.0	1033642.0	922466.0	949182.0	946854.0	1040584.0	996777.0	1030114.0	1008401.0	707453.0	1053190.0	1025687.0	855178.0	1022237.0	769334.0	964317.0	557029.0	993304.0	910518.0	754632.0
