	CM_periimplantitis__SP_281SPI_T016__bin.16	CM_periimplantitis__SP_163SPI_T016__bin.7	CM_periimplantitis__SP_162SPI_T016__bin.21	HMP_2012__SRS064449__bin.43	HMP_2012__SRS043018__bin.6	CM_periimplantitis__SP_184SPT_T016__bin.6	HMP_2012__SRS058053__bin.29	HMP_2012__SRS063603__bin.50	CM_periimplantitis__SP_383SPI_T016__bin.1	HMP_2012__SRS019029__bin.28	CM_periimplantitis__SP_125SPI_T016__bin.1	HMP_2012__SRS049318__bin.7	HMP_2012__SRS023595__bin.34	HMP_2012__SRS058808__bin.36	CM_periimplantitis__SP_403SPT_T016__bin.5	HMP_2012__SRS049268__bin.23	HMP_2012__SRS017227__bin.13	CM_periimplantitis__SP_189SPI_T016__bin.27	CM_periimplantitis__SP_304SPI_T016__bin.3	HMP_2012__SRS011255__bin.17	HMP_2012__SRS047113__bin.66	HMP_2012__SRS017691__bin.11	CM_periimplantitis__SP_326SPI_T016__bin.2	CM_periimplantitis__SP_384SPI_T016__bin.17	HMP_2012__SRS014691__bin.18	CM_periimplantitis__SP_163SPT_T016__bin.16	HMP_2012__SRS018975__bin.28	HMP_2012__SRS014476__bin.20	CM_periimplantitis__SP_502SPI_T016__bin.8	HMP_2012__SRS023964__bin.24	LiJ_2014__V1.FI17__bin.68
CM_periimplantitis__SP_281SPI_T016__bin.16	1.0	0.967833008871676	0.9588743877750366	0.9580813428231808	0.9580654526803789	0.9662018405823886	0.966349176531364	0.9591752757684598	0.9678305562247305	0.9666561951486119	0.9668094204740381	0.9543707104357063	0.9666255335982382	0.9670908908253272	0.9673697069099545	0.9602160879900727	0.9532960501336021	0.9664584994063221	0.9659561753332101	0.9660963667304285	0.9532893845931142	0.9661219999784858	0.9652070841284439	0.9671629069717651	0.9666285856768326	0.9677095721685729	0.958337243212909	0.965697709799785	0.9673134809564977	0.95836915184265	0.9527027643879638
CM_periimplantitis__SP_163SPI_T016__bin.7	0.967833008871676	1.0	0.9593011920001623	0.9580120380775242	0.9574413107155763	0.9672894634078496	0.9665668778614812	0.958862130423532	0.9673923837395028	0.966137668396866	0.9665818886184655	0.9534023173823748	0.9656174893976915	0.9668654811418794	0.9676982987840481	0.9595518755354016	0.9522244171790175	0.9659841906708106	0.9659143900912571	0.9651187156658007	0.9522969568319551	0.9657466957650712	0.9657833595421254	0.9677544862468672	0.9661000901577308	0.9997393566681352	0.9579679055764752	0.9660807528468109	0.9670880844371407	0.9582136475895228	0.9526057242968113
CM_periimplantitis__SP_162SPI_T016__bin.21	0.9588743877750366	0.9593011920001623	1.0	0.9664894680923292	0.9651154656250118	0.9602507677678452	0.9595122449514605	0.9921302189841685	0.9577077712179093	0.9590877161279578	0.9591948304388573	0.9614851188973105	0.9586287798596886	0.9583092997401381	0.9587387492774765	0.9654846422155072	0.9583213432175356	0.9590936835129573	0.9587481061692847	0.9595500333163485	0.9583646792300736	0.9596610903855635	0.9583952581380757	0.9607968711156216	0.9589923832230538	0.9586774725421862	0.9661614628955504	0.9608109875476574	0.9583929494142986	0.9667930745287053	0.9565241610997082
HMP_2012__SRS064449__bin.43	0.9580813428231808	0.9580120380775242	0.9664894680923292	1.0	0.9983581779414821	0.9596221808781369	0.9592370560982862	0.9683865898376113	0.9576602631827981	0.958402502355047	0.9578217654616047	0.9559956352069949	0.9581405463429079	0.9582777393254756	0.9583646177435468	0.9617594908234423	0.9577617026243209	0.9579888983885512	0.9585015045059097	0.9580986517028969	0.9577718324642126	0.9596636985941674	0.9580998564257667	0.9599203332623834	0.9581349178664615	0.9580063005168382	0.9988409384285929	0.9604687011386421	0.9573069403096441	0.999187963645848	0.955667522646967
HMP_2012__SRS043018__bin.6	0.9580654526803789	0.9574413107155763	0.9651154656250118	0.9983581779414821	1.0	0.9597196153140091	0.9584517128757398	0.9671267986237829	0.9567111052735273	0.9578119116365571	0.9577620425001021	0.9555237628758046	0.9577809739339077	0.9580546940035541	0.9577751923636267	0.9603769618594192	0.9571252003834686	0.9581877171624178	0.9576210823868625	0.9578482789110402	0.9572097284321941	0.9591600294425392	0.9576037131257444	0.9595981626256722	0.9577452671993517	0.9579287864555106	0.999079482747646	0.9601509488621436	0.957274334844737	0.9980981126719896	0.9553325371277711
CM_periimplantitis__SP_184SPT_T016__bin.6	0.9662018405823886	0.9672894634078496	0.9602507677678452	0.9596221808781369	0.9597196153140091	1.0	0.9685704118026819	0.9595806506526189	0.9681742517673857	0.9680482217593428	0.9688535768284368	0.954834568046988	0.9682080464696025	0.9671952684193815	0.967966198098643	0.9599658756883989	0.953436396130207	0.9686921924960007	0.9678950738298449	0.9714689337290663	0.9533826754935051	0.9672423731457962	0.9687384281324419	0.9974833903033518	0.9679175486224304	0.967348245851342	0.9586022604181569	0.9672723033976615	0.9674083037329065	0.959587195641295	0.9535064422676851
HMP_2012__SRS058053__bin.29	0.966349176531364	0.9665668778614812	0.9595122449514605	0.9592370560982862	0.9584517128757398	0.9685704118026819	1.0	0.9592576668005122	0.9675522933748286	0.9675696490159309	0.9676187224528778	0.9531115851264201	0.9666606357043193	0.9678815345254121	0.9709840554254823	0.9605485166371899	0.9525624507362127	0.9669234229984979	0.9672973443348006	0.9660698400727118	0.9526486850985897	0.9668038652689059	0.966031487458582	0.968529914064632	0.9674407937988289	0.9668059718919029	0.9590024377433195	0.9667495370723197	0.9662874981639976	0.9589369039168105	0.9524920599059757
HMP_2012__SRS063603__bin.50	0.9591752757684598	0.958862130423532	0.9921302189841685	0.9683865898376113	0.9671267986237829	0.9595806506526189	0.9592576668005122	1.0	0.9583993646892699	0.9590777702840086	0.9586333436341162	0.9616787345492488	0.9584572564129055	0.9589057327534645	0.9594154115646842	0.965102099424132	0.9581072603683914	0.9586590269589766	0.9591366564432007	0.9585771324092436	0.9583059320169826	0.9593699695583571	0.9577156733733534	0.9601742674692754	0.9590408399334499	0.9589651939270952	0.9682259118699367	0.9602053326916686	0.9585217669361838	0.9686030196003007	0.9563100806496843
CM_periimplantitis__SP_383SPI_T016__bin.1	0.9678305562247305	0.9673923837395028	0.9577077712179093	0.9576602631827981	0.9567111052735273	0.9681742517673857	0.9675522933748286	0.9583993646892699	1.0	0.9687227243545816	0.9675735599796758	0.9533396130618352	0.9672793163348841	0.9684876200523479	0.9678670106934202	0.959817994664412	0.952562885792168	0.9677133920982743	0.9662727010665898	0.9666208756356677	0.9526693775549483	0.9681196520142445	0.96710021206678	0.9684489312384468	0.9686794690215308	0.96731583403895	0.9569178038252518	0.9683683874213153	0.9682481786067808	0.9578732815104554	0.9526123918662504
HMP_2012__SRS019029__bin.28	0.9666561951486119	0.966137668396866	0.9590877161279578	0.958402502355047	0.9578119116365571	0.9680482217593428	0.9675696490159309	0.9590777702840086	0.9687227243545816	1.0	0.9671411991857671	0.9525706981573233	0.9665687080793058	0.9681733900406764	0.9678649887248126	0.9603087086364313	0.9527955646027229	0.9671614157655705	0.9667338668407204	0.9668055386461021	0.9528486854060465	0.9680755920433077	0.9660740776626183	0.968032214409026	0.9994807004472696	0.9659639648497982	0.9584172275861941	0.9679496435798615	0.9672970500947004	0.958774053028743	0.9526568601297034
