	CM_periimplantitis__SP_281SPI_T016__bin.16	CM_periimplantitis__SP_163SPI_T016__bin.7	CM_periimplantitis__SP_162SPI_T016__bin.21	HMP_2012__SRS064449__bin.43	HMP_2012__SRS043018__bin.6	CM_periimplantitis__SP_184SPT_T016__bin.6	HMP_2012__SRS058053__bin.29	HMP_2012__SRS063603__bin.50	CM_periimplantitis__SP_383SPI_T016__bin.1	HMP_2012__SRS019029__bin.28	CM_periimplantitis__SP_125SPI_T016__bin.1	HMP_2012__SRS049318__bin.7	HMP_2012__SRS023595__bin.34	HMP_2012__SRS058808__bin.36	CM_periimplantitis__SP_403SPT_T016__bin.5	HMP_2012__SRS049268__bin.23	HMP_2012__SRS017227__bin.13	CM_periimplantitis__SP_189SPI_T016__bin.27	CM_periimplantitis__SP_304SPI_T016__bin.3	HMP_2012__SRS011255__bin.17	HMP_2012__SRS047113__bin.66	HMP_2012__SRS017691__bin.11	CM_periimplantitis__SP_326SPI_T016__bin.2	CM_periimplantitis__SP_384SPI_T016__bin.17	HMP_2012__SRS014691__bin.18	CM_periimplantitis__SP_163SPT_T016__bin.16	HMP_2012__SRS018975__bin.28	HMP_2012__SRS014476__bin.20	CM_periimplantitis__SP_502SPI_T016__bin.8	HMP_2012__SRS023964__bin.24	LiJ_2014__V1.FI17__bin.68
CM_periimplantitis__SP_281SPI_T016__bin.16	1.0	0.872683787650727	0.5733775658732653	0.7778364167921001	0.745395487702003	0.7593759821029823	0.8508847197181467	0.861491431926824	0.4215573672196768	0.855710463635311	0.782526216980664	0.6000256380568008	0.8462440246786973	0.8807401334833022	0.8780248771854376	0.7967481019567627	0.833171200191872	0.8654462055675936	0.8672661974626593	0.860977636998197	0.8441862604826571	0.8820530501017252	0.8750661627272276	0.735518116181749	0.8335976396447061	0.8067004234414542	0.5384524331342937	0.7382209669682585	0.8762188414906463	0.8603542600525994	0.6472901194237226
CM_periimplantitis__SP_163SPI_T016__bin.7	0.9094265917786584	1.0	0.5857068906914823	0.7990499127102589	0.7664276276205102	0.7792207862163546	0.8739348685482754	0.8882276546612076	0.43553998710449615	0.8832068112392342	0.7985904363194272	0.6141303264652476	0.8548534011756779	0.8960721501825247	0.8962935391586465	0.8284256981428643	0.8555401917950336	0.8769405874941623	0.8937042038588476	0.8732841681026425	0.8663263058044312	0.899122039191774	0.8813123464484306	0.7556603666869383	0.8629279042220656	0.9070241712591862	0.5604836298742607	0.7639998901135008	0.8999504972094754	0.8842523489585831	0.6648650308301655
CM_periimplantitis__SP_162SPI_T016__bin.21	0.8882979021572617	0.8707380687546596	1.0	0.8435590854600447	0.8175340478026585	0.7747051272503341	0.849982262390101	0.9942038455778897	0.4593344272193433	0.8670343917441236	0.7966525166184989	0.5945734925634168	0.8376340030382162	0.8980507848191684	0.8925837571541025	0.8456347461760035	0.8827259703433569	0.8808160741984642	0.8964427884003239	0.8625875769463923	0.8987442733145466	0.9010305431232128	0.8794371051580009	0.7520690541569671	0.8355311152912611	0.8027145349903384	0.5838420383756994	0.7765589677431755	0.9000824018085154	0.9342122859574986	0.7150298816665185
HMP_2012__SRS064449__bin.43	0.8849556116976233	0.872361283614671	0.6194849827810083	1.0	0.8872044308323455	0.7850101855511019	0.8764360921357195	0.9349530241442255	0.43443963002691055	0.8681453358173846	0.794014871375073	0.6419584721202883	0.8524618218257777	0.8899248903818288	0.8902518630384464	0.8548694226462673	0.8879401193097348	0.867166182088485	0.889064528877096	0.860810210015243	0.8983262057998833	0.8919625886825119	0.8763137714296467	0.7426019496038692	0.84803534127477	0.8285545926720488	0.6284173347259076	0.7676500545738535	0.8903018498654471	0.9935252357025913	0.6926792233576093
HMP_2012__SRS043018__bin.6	0.8753359766327797	0.8636711835846733	0.6196920548051639	0.9157533282021274	1.0	0.7774729943985683	0.8680349342857628	0.9271874597859947	0.44213675068409336	0.8600054873148335	0.782857725580842	0.6287892215539784	0.8529029352278328	0.8816178595101721	0.879478170927429	0.8513514333788991	0.8799479919098526	0.8642502652606838	0.8838200694898011	0.8522006317696105	0.8917171896207198	0.8819462485947861	0.8696356034468107	0.7424549421039724	0.8379518233181744	0.8164620659011943	0.6192805061926533	0.7564494159408923	0.8865570498641525	0.9903771679142619	0.7011270847547341
CM_periimplantitis__SP_184SPT_T016__bin.6	0.9100249696628817	0.8960788771270826	0.5992595203421296	0.8268724614537412	0.7934028304732713	1.0	0.9070330700915968	0.9008696330865688	0.4449462604042843	0.900211167404524	0.8097430621070035	0.641260091466644	0.9040560371020324	0.9113716341904124	0.9224063544725801	0.8448009395679648	0.8730932834642108	0.9163680445303677	0.9083060211514292	0.9239413290352395	0.884490996116725	0.9178113418390829	0.9285549248958874	0.8504867876352162	0.8721473972022332	0.8439027502556743	0.5810783103386545	0.7915872491806346	0.9211346422945577	0.8967856591997195	0.685644890634611
HMP_2012__SRS058053__bin.29	0.9060342953383989	0.8929810415193203	0.5842057610224205	0.8202777861866457	0.78708764822923	0.8059360491836213	1.0	0.8914916628368096	0.44250673550318814	0.8934180580285271	0.8080099512071618	0.6305713412939322	0.8674920811397655	0.9069952913397528	0.9374615064960798	0.8319132131446201	0.8573851111667625	0.8800923568894772	0.896311503606487	0.8798705462431166	0.8677722340405039	0.909771502010331	0.8923662462538493	0.7638046855435049	0.8706948507456526	0.8385900988791132	0.5657811670102071	0.7749953904115056	0.9124750600622501	0.8884864863377301	0.6798997173703054
HMP_2012__SRS063603__bin.50	0.8702436915423042	0.8610006333651322	0.6482573060208326	0.8301307405568287	0.7975711778659511	0.7593734645594875	0.8457330352914394	1.0	0.4259811285386601	0.8546330424448625	0.7774914668015896	0.6198425515894959	0.8235057308318283	0.8831412613103714	0.8751059307099589	0.8335059031405616	0.8724299238656473	0.8524723953576894	0.8806125001109565	0.8478023065351481	0.8894660361211321	0.8800407484047083	0.8603547366887587	0.733843576043238	0.831615206402366	0.7962527549816805	0.5677515328950425	0.7438515805671254	0.8874542011218866	0.925618496977026	0.6677433351765146
CM_periimplantitis__SP_383SPI_T016__bin.1	0.9193630388000276	0.9114810610458726	0.646608506268269	0.8327728847339663	0.8211054834531449	0.8097323035959269	0.9063090767872825	0.9196674057899621	1.0	0.9083325536277728	0.850076711754315	0.6434701444165002	0.8737677364226958	0.9272517802650697	0.931136404884752	0.8650898953541196	0.884770039466253	0.9061512568665756	0.9144356754185328	0.9018799734411619	0.895572813038631	0.931948050191244	0.9073551974045386	0.7860796066225748	0.8858747789112004	0.8435159121935053	0.5885330300184762	0.802924628587726	0.9306539268414485	0.9159631467939447	0.7187491193084783
HMP_2012__SRS019029__bin.28	0.926041551877196	0.9171815294908019	0.605650410892698	0.8257771328746044	0.7925320510848339	0.8129270517924498	0.9079970666104303	0.9155738709051275	0.45073175315895964	1.0	0.8260176663442772	0.6394733323898455	0.8783314584774903	0.9346643970748892	0.9303359133811007	0.8481148608849506	0.881042214742688	0.9081928496671409	0.9246207262656395	0.9106216783306753	0.891669878441097	0.9373046714396711	0.9147012378523606	0.7838459959288312	0.948504581043837	0.8462784158130059	0.5775342858085812	0.7986874703878126	0.9281862154184192	0.9115720652259643	0.6831754669286058
