	CM_periimplantitis__SP_281SPI_T016__bin.16	CM_periimplantitis__SP_163SPI_T016__bin.7	CM_periimplantitis__SP_162SPI_T016__bin.21	HMP_2012__SRS064449__bin.43	HMP_2012__SRS043018__bin.6	CM_periimplantitis__SP_184SPT_T016__bin.6	HMP_2012__SRS058053__bin.29	HMP_2012__SRS063603__bin.50	CM_periimplantitis__SP_383SPI_T016__bin.1	HMP_2012__SRS019029__bin.28	CM_periimplantitis__SP_125SPI_T016__bin.1	HMP_2012__SRS049318__bin.7	HMP_2012__SRS023595__bin.34	HMP_2012__SRS058808__bin.36	CM_periimplantitis__SP_403SPT_T016__bin.5	HMP_2012__SRS049268__bin.23	HMP_2012__SRS017227__bin.13	CM_periimplantitis__SP_189SPI_T016__bin.27	CM_periimplantitis__SP_304SPI_T016__bin.3	HMP_2012__SRS011255__bin.17	HMP_2012__SRS047113__bin.66	HMP_2012__SRS017691__bin.11	CM_periimplantitis__SP_326SPI_T016__bin.2	CM_periimplantitis__SP_384SPI_T016__bin.17	HMP_2012__SRS014691__bin.18	CM_periimplantitis__SP_163SPT_T016__bin.16	HMP_2012__SRS018975__bin.28	HMP_2012__SRS014476__bin.20	CM_periimplantitis__SP_502SPI_T016__bin.8	HMP_2012__SRS023964__bin.24	LiJ_2014__V1.FI17__bin.68
CM_periimplantitis__SP_281SPI_T016__bin.16	0.0	56113.0	47576.0	65840.0	63119.0	51390.0	57323.0	70937.0	27108.0	57104.0	51972.0	55500.0	56526.0	57982.0	57297.0	63864.0	78969.0	58108.0	59133.0	58454.0	80025.0	59838.0	61025.0	48312.0	55676.0	52076.0	45287.0	50730.0	57281.0	72303.0	62169.0
CM_periimplantitis__SP_163SPI_T016__bin.7	56113.0	0.0	46131.0	65015.0	63246.0	48919.0	56119.0	70745.0	27254.0	57468.0	51257.0	55723.0	56508.0	57009.0	55542.0	64829.0	79688.0	57328.0	58548.0	58594.0	80564.0	59203.0	57966.0	46743.0	56213.0	439.0	45654.0	49798.0	56858.0	71587.0	61409.0
CM_periimplantitis__SP_162SPI_T016__bin.21	47576.0	46131.0	0.0	36524.0	36901.0	40046.0	44788.0	9848.0	25330.0	46186.0	42321.0	29742.0	45142.0	48788.0	47970.0	37751.0	47941.0	46913.0	48166.0	45408.0	48758.0	47296.0	47674.0	38320.0	44616.0	43207.0	25535.0	39553.0	48796.0	40070.0	40584.0
HMP_2012__SRS064449__bin.43	65840.0	65015.0	36524.0	0.0	2481.0	56167.0	63332.0	51901.0	32661.0	64073.0	59456.0	50247.0	63329.0	65886.0	65767.0	57799.0	66588.0	64665.0	65454.0	64016.0	67350.0	63751.0	65167.0	52724.0	63009.0	61759.0	1240.0	53726.0	67516.0	1373.0	54640.0
HMP_2012__SRS043018__bin.6	63119.0	63246.0	36901.0	2481.0	0.0	53758.0	61991.0	51920.0	32958.0	62405.0	56877.0	48217.0	61937.0	63589.0	63876.0	57866.0	64938.0	62130.0	64436.0	61783.0	65671.0	61865.0	63429.0	51498.0	60905.0	59074.0	940.0	51721.0	65188.0	3109.0	54006.0
CM_periimplantitis__SP_184SPT_T016__bin.6	51390.0	48919.0	40046.0	56167.0	53758.0	0.0	47515.0	61259.0	23612.0	47967.0	42024.0	48968.0	47923.0	49902.0	49280.0	56876.0	68836.0	47812.0	48638.0	43806.0	69819.0	50180.0	48374.0	3464.0	46668.0	45985.0	40511.0	43238.0	50098.0	60971.0	53972.0
HMP_2012__SRS058053__bin.29	57323.0	56119.0	44788.0	63332.0	61991.0	47515.0	0.0	68794.0	26962.0	54406.0	49128.0	56361.0	54359.0	54684.0	50898.0	62079.0	77576.0	54699.0	55056.0	56146.0	78366.0	56755.0	57010.0	45091.0	53240.0	52311.0	43945.0	48429.0	57840.0	69125.0	61613.0
HMP_2012__SRS063603__bin.50	70937.0	70745.0	9848.0	51901.0	51920.0	61259.0	68794.0	0.0	35412.0	69838.0	64254.0	47304.0	68359.0	72484.0	70896.0	57722.0	73057.0	70405.0	71853.0	70164.0	74115.0	71379.0	72749.0	58294.0	68021.0	65254.0	35683.0	59041.0	73548.0	57462.0	58425.0
CM_periimplantitis__SP_383SPI_T016__bin.1	27108.0	27254.0	25330.0	32661.0	32958.0	23612.0	26962.0	35412.0	0.0	26016.0	25272.0	27938.0	26220.0	26764.0	27423.0	32127.0	39086.0	26819.0	28314.0	27627.0	39470.0	27224.0	27382.0	22718.0	25409.0	25283.0	23505.0	23266.0	27073.0	35735.0	31717.0
HMP_2012__SRS019029__bin.28	57104.0	57468.0	46186.0	64073.0	62405.0	47967.0	54406.0	69838.0	26016.0	0.0	50170.0	56920.0	54309.0	54927.0	55220.0	62666.0	78032.0	55126.0	56879.0	55893.0	78880.0	55257.0	57424.0	46275.0	881.0	53307.0	44795.0	47277.0	56099.0	70071.0	60694.0
CM_periimplantitis__SP_125SPI_T016__bin.1	51972.0	51257.0	42321.0	59456.0	56877.0	42024.0	49128.0	64254.0	25272.0	50170.0	0.0	50753.0	48963.0	51474.0	50280.0	58298.0	72026.0	49476.0	52056.0	49815.0	72731.0	51551.0	51426.0	41692.0	49105.0	47908.0	42031.0	44462.0	52322.0	64851.0	55468.0
