	CM_periimplantitis__SP_281SPI_T016__bin.16	CM_periimplantitis__SP_163SPI_T016__bin.7	CM_periimplantitis__SP_162SPI_T016__bin.21	HMP_2012__SRS064449__bin.43	HMP_2012__SRS043018__bin.6	CM_periimplantitis__SP_184SPT_T016__bin.6	HMP_2012__SRS058053__bin.29	HMP_2012__SRS063603__bin.50	CM_periimplantitis__SP_383SPI_T016__bin.1	HMP_2012__SRS019029__bin.28	CM_periimplantitis__SP_125SPI_T016__bin.1	HMP_2012__SRS049318__bin.7	HMP_2012__SRS023595__bin.34	HMP_2012__SRS058808__bin.36	CM_periimplantitis__SP_403SPT_T016__bin.5	HMP_2012__SRS049268__bin.23	HMP_2012__SRS017227__bin.13	CM_periimplantitis__SP_189SPI_T016__bin.27	CM_periimplantitis__SP_304SPI_T016__bin.3	HMP_2012__SRS011255__bin.17	HMP_2012__SRS047113__bin.66	HMP_2012__SRS017691__bin.11	CM_periimplantitis__SP_326SPI_T016__bin.2	CM_periimplantitis__SP_384SPI_T016__bin.17	HMP_2012__SRS014691__bin.18	CM_periimplantitis__SP_163SPT_T016__bin.16	HMP_2012__SRS018975__bin.28	HMP_2012__SRS014476__bin.20	CM_periimplantitis__SP_502SPI_T016__bin.8	HMP_2012__SRS023964__bin.24	LiJ_2014__V1.FI17__bin.68
CM_periimplantitis__SP_281SPI_T016__bin.16	1934624.0	1744428.0	1156846.0	1570661.0	1505179.0	1520497.0	1703465.0	1737599.0	842663.0	1712582.0	1565866.0	1216324.0	1693690.0	1761883.0	1755945.0	1605272.0	1690842.0	1732421.0	1736967.0	1724122.0	1713208.0	1766279.0	1753949.0	1471263.0	1668374.0	1612738.0	1086990.0	1478910.0	1752435.0	1736765.0	1314432.0
CM_periimplantitis__SP_163SPI_T016__bin.7	1744428.0	1856461.0	1133473.0	1548420.0	1486089.0	1495512.0	1678545.0	1719705.0	835817.0	1697107.0	1533809.0	1195832.0	1643510.0	1720532.0	1719476.0	1602769.0	1667965.0	1685334.0	1717675.0	1679812.0	1688865.0	1728388.0	1694088.0	1449597.0	1658205.0	1684294.0	1086170.0	1468134.0	1727581.0	1713167.0	1295705.0
CM_periimplantitis__SP_162SPI_T016__bin.21	1156846.0	1133473.0	1248759.0	1089926.0	1057804.0	1007466.0	1106211.0	1251369.0	598928.0	1128903.0	1037148.0	772221.0	1091145.0	1170237.0	1162592.0	1093745.0	1150253.0	1146840.0	1167607.0	1122572.0	1171073.0	1172466.0	1145879.0	977473.0	1087993.0	1045604.0	754613.0	1009288.0	1172782.0	1206676.0	933484.0
HMP_2012__SRS064449__bin.43	1570661.0	1548420.0	1089926.0	1700448.0	1511126.0	1391036.0	1553666.0	1641740.0	771403.0	1540309.0	1409637.0	1141864.0	1512896.0	1579157.0	1579594.0	1511460.0	1576484.0	1539236.0	1577262.0	1527779.0	1594907.0	1580487.0	1555293.0	1315480.0	1505049.0	1470673.0	1069831.0	1359075.0	1581428.0	1690811.0	1232505.0
HMP_2012__SRS043018__bin.6	1505179.0	1486089.0	1057804.0	1511126.0	1647436.0	1334595.0	1492023.0	1579402.0	761350.0	1479209.0	1346585.0	1084107.0	1467040.0	1515998.0	1512760.0	1460413.0	1514596.0	1485927.0	1520473.0	1465729.0	1534718.0	1514815.0	1496098.0	1274645.0	1441377.0	1404143.0	1021165.0	1297923.0	1525734.0	1634692.0	1209068.0
CM_periimplantitis__SP_184SPT_T016__bin.6	1520497.0	1495512.0	1007466.0	1391036.0	1334595.0	1614359.0	1511792.0	1515586.0	741915.0	1501231.0	1349240.0	1084192.0	1507394.0	1521183.0	1538375.0	1420688.0	1478322.0	1527159.0	1514970.0	1535379.0	1497705.0	1531857.0	1547395.0	1376455.0	1454627.0	1408347.0	978580.0	1321144.0	1537140.0	1508705.0	1160849.0
HMP_2012__SRS058053__bin.29	1703465.0	1678545.0	1106211.0	1553666.0	1492023.0	1511792.0	1816865.0	1688514.0	830937.0	1677626.0	1517173.0	1202024.0	1630475.0	1702572.0	1754139.0	1573553.0	1635329.0	1653708.0	1683533.0	1654752.0	1654991.0	1709687.0	1678319.0	1432821.0	1635175.0	1575916.0	1071893.0	1456491.0	1715684.0	1683385.0	1296899.0
HMP_2012__SRS063603__bin.50	1737599.0	1719705.0	1251369.0	1641740.0	1579402.0	1515586.0	1688514.0	1915167.0	851237.0	1706603.0	1553280.0	1234406.0	1645510.0	1763847.0	1746870.0	1654025.0	1743906.0	1703032.0	1758373.0	1693847.0	1777591.0	1756804.0	1720472.0	1463727.0	1660703.0	1590211.0	1123022.0	1483641.0	1773171.0	1830176.0	1337265.0
CM_periimplantitis__SP_383SPI_T016__bin.1	842663.0	835817.0	598928.0	771403.0	761350.0	741915.0	830937.0	851237.0	887087.0	831786.0	779364.0	598752.0	801328.0	849317.0	853422.0	799537.0	823954.0	830654.0	839498.0	827673.0	833921.0	853943.0	832285.0	720039.0	811257.0	773555.0	545585.0	735530.0	852644.0	848274.0	669310.0
HMP_2012__SRS019029__bin.28	1712582.0	1697107.0	1128903.0	1540309.0	1479209.0	1501231.0	1677626.0	1706603.0	831786.0	1787693.0	1526836.0	1200102.0	1624496.0	1725820.0	1718375.0	1578835.0	1653065.0	1678696.0	1709817.0	1683805.0	1672912.0	1730870.0	1692629.0	1447551.0	1696516.0	1566193.0	1077249.0	1475085.0	1715411.0	1699682.0	1282002.0
