	BritoIL_2016__M2.39.ST__bin.9	CosteaPI_2017__SID713B016-11-0-0__bin.25	LiuW_2016__SRR3992998__bin.92	VatanenT_2016__G80433__bin.12	Obregon-TitoAJ_2015__HCO12__bin.12	CM_madagascar__A39_01_1FE__bin.15	Obregon-TitoAJ_2015__SM23__bin.6	BritoIL_2016__M1.48.ST__bin.83	LiJ_2014__MH0283__bin.10	Obregon-TitoAJ_2015__HCO53__bin.12	BritoIL_2016__W1.9.ST__bin.93	CM_madagascar__A40_02_1FE__bin.5	CosteaPI_2017__SID713A087-11-0-0__bin.38	BritoIL_2016__M1.44.ST__bin.58	RampelliS_2015__H17__bin.51	BritoIL_2016__W3.22.ST__bin.79	BritoIL_2016__M1.15.ST__bin.46	CosteaPI_2017__SID713A084-11-0-0__bin.43	ZeeviD_2015__PNP_Main_623__bin.11	Obregon-TitoAJ_2015__SM33__bin.19	LiuW_2016__SRR3992978__bin.12	BritoIL_2016__W3.18.ST__bin.3	CosteaPI_2017__SID713A084-11-90-0__bin.47	CM_madagascar__A68_01_1FE__bin.1	BritoIL_2016__M1.61.ST__bin.83	BritoIL_2016__M1.3.ST__bin.24	Obregon-TitoAJ_2015__HCO61__bin.16	ZeeviD_2015__PNP_Main_683__bin.41	BritoIL_2016__W1.41.ST__bin.57	BritoIL_2016__W2.61.ST__bin.57	BritoIL_2016__M1.16.ST__bin.55	CosteaPI_2017__SID713B016-11-90-0__bin.6	XieH_2016__YSZC12003_36244__bin.125
BritoIL_2016__M2.39.ST__bin.9	0.0	34301.0	33941.0	31646.0	24791.0	29680.0	35927.0	16824.0	21240.0	29056.0	33088.0	16750.0	33261.0	26624.0	21581.0	34245.0	15762.0	32723.0	32388.0	29790.0	31639.0	30863.0	32479.0	33155.0	32113.0	31083.0	30560.0	32337.0	32588.0	33028.0	33473.0	33231.0	33392.0
CosteaPI_2017__SID713B016-11-0-0__bin.25	34301.0	0.0	43691.0	39361.0	31983.0	36816.0	43670.0	21690.0	26536.0	36460.0	42432.0	19912.0	38816.0	34715.0	25659.0	44903.0	19068.0	37892.0	40499.0	34867.0	40257.0	45083.0	37133.0	42733.0	45528.0	39991.0	37129.0	41534.0	45740.0	45338.0	43667.0	906.0	42592.0
LiuW_2016__SRR3992998__bin.92	33941.0	43691.0	0.0	39888.0	32338.0	37825.0	44609.0	21727.0	25564.0	36890.0	43528.0	19170.0	41134.0	34089.0	27693.0	44705.0	18223.0	41761.0	40817.0	36623.0	1829.0	45872.0	40811.0	43470.0	46168.0	40611.0	37500.0	42969.0	43936.0	45655.0	42708.0	42221.0	42487.0
VatanenT_2016__G80433__bin.12	31646.0	39361.0	39888.0	0.0	29056.0	34646.0	39751.0	20469.0	24749.0	33982.0	39222.0	18538.0	37652.0	32054.0	24136.0	40901.0	17757.0	39153.0	37204.0	33279.0	37260.0	40546.0	38695.0	39334.0	42906.0	37823.0	34465.0	37848.0	40042.0	40971.0	38532.0	38567.0	39156.0
Obregon-TitoAJ_2015__HCO12__bin.12	24791.0	31983.0	32338.0	29056.0	0.0	27620.0	31893.0	16089.0	17378.0	25937.0	32600.0	13818.0	31242.0	25193.0	17305.0	32118.0	13672.0	31333.0	31459.0	27009.0	31029.0	32935.0	30535.0	31227.0	33664.0	29935.0	27097.0	32246.0	33011.0	32684.0	31031.0	31655.0	31747.0
CM_madagascar__A39_01_1FE__bin.15	29680.0	36816.0	37825.0	34646.0	27620.0	0.0	37216.0	19439.0	24400.0	34015.0	36568.0	18020.0	36931.0	29972.0	23857.0	38142.0	16415.0	37756.0	36679.0	31264.0	36345.0	38228.0	37256.0	36944.0	40300.0	35172.0	33748.0	37254.0	37192.0	39011.0	35050.0	35239.0	37927.0
Obregon-TitoAJ_2015__SM23__bin.6	35927.0	43670.0	44609.0	39751.0	31893.0	37216.0	0.0	21962.0	27537.0	37783.0	42363.0	20152.0	40890.0	35514.0	26898.0	43995.0	18984.0	43971.0	41930.0	34316.0	41635.0	44882.0	43306.0	42456.0	46796.0	41638.0	38869.0	43517.0	43746.0	44856.0	42719.0	42774.0	44226.0
BritoIL_2016__M1.48.ST__bin.83	16824.0	21690.0	21727.0	20469.0	16089.0	19439.0	21962.0	0.0	14421.0	19266.0	19988.0	11841.0	21238.0	923.0	14090.0	21709.0	10064.0	21129.0	20528.0	19049.0	20966.0	20568.0	21023.0	20765.0	22110.0	949.0	19471.0	22281.0	20299.0	20576.0	19912.0	21082.0	21841.0
LiJ_2014__MH0283__bin.10	21240.0	26536.0	25564.0	24749.0	17378.0	24400.0	27537.0	14421.0	0.0	24519.0	26284.0	14126.0	25116.0	22908.0	19201.0	26866.0	13331.0	26702.0	24789.0	23170.0	23840.0	26941.0	26418.0	26734.0	27987.0	25311.0	24838.0	26368.0	26378.0	26211.0	26833.0	25493.0	26453.0
Obregon-TitoAJ_2015__HCO53__bin.12	29056.0	36460.0	36890.0	33982.0	25937.0	34015.0	37783.0	19266.0	24519.0	0.0	34748.0	18499.0	33754.0	29898.0	22712.0	36925.0	16497.0	35436.0	34913.0	29212.0	34354.0	37047.0	34743.0	36092.0	39248.0	34472.0	33447.0	35390.0	35285.0	37545.0	35386.0	35385.0	35846.0
BritoIL_2016__W1.9.ST__bin.93	33088.0	42432.0	43528.0	39222.0	32600.0	36568.0	42363.0	19988.0	26284.0	34748.0	0.0	19032.0	39795.0	32717.0	25448.0	44516.0	18326.0	42826.0	40865.0	35913.0	38759.0	43524.0	42253.0	41094.0	43990.0	38702.0	37306.0	41565.0	43777.0	43634.0	41650.0	41909.0	43141.0
CM_madagascar__A40_02_1FE__bin.5	16750.0	19912.0	19170.0	18538.0	13818.0	18020.0	20152.0	11841.0	14126.0	18499.0	19032.0	0.0	18855.0	16521.0	13145.0	19814.0	10146.0	19932.0	18793.0	18017.0	18089.0	20290.0	19726.0	20191.0	20720.0	19402.0	18646.0	19617.0	20109.0	19794.0	19211.0	19098.0	19937.0
CosteaPI_2017__SID713A087-11-0-0__bin.38	33261.0	38816.0	41134.0	37652.0	31242.0	36931.0	40890.0	21238.0	25116.0	33754.0	39795.0	18855.0	0.0	34272.0	24628.0	42120.0	18898.0	38701.0	37984.0	34153.0	38289.0	40731.0	38620.0	39979.0	42735.0	38808.0	36896.0	39640.0	41202.0	42372.0	40251.0	37758.0	39247.0
BritoIL_2016__M1.44.ST__bin.58	26624.0	34715.0	34089.0	32054.0	25193.0	29972.0	35514.0	923.0	22908.0	29898.0	32717.0	16521.0	34272.0	0.0	22123.0	35465.0	15843.0	33922.0	32677.0	30000.0	32272.0	33506.0	33237.0	33456.0	35172.0	814.0	31199.0	34521.0	33790.0	33803.0	33064.0	33469.0	34677.0
RampelliS_2015__H17__bin.51	21581.0	25659.0	27693.0	24136.0	17305.0	23857.0	26898.0	14090.0	19201.0	22712.0	25448.0	13145.0	24628.0	22123.0	0.0	26926.0	12933.0	26013.0	24941.0	22016.0	25023.0	25987.0	25526.0	25402.0	26410.0	25150.0	23407.0	25511.0	26996.0	26634.0	26035.0	25181.0	26138.0
BritoIL_2016__W3.22.ST__bin.79	34245.0	44903.0	44705.0	40901.0	32118.0	38142.0	43995.0	21709.0	26866.0	36925.0	44516.0	19814.0	42120.0	35465.0	26926.0	0.0	18760.0	44373.0	41994.0	35495.0	41388.0	46277.0	43780.0	44484.0	45604.0	41912.0	39392.0	44370.0	43145.0	45054.0	42543.0	44371.0	45155.0
BritoIL_2016__M1.15.ST__bin.46	15762.0	19068.0	18223.0	17757.0	13672.0	16415.0	18984.0	10064.0	13331.0	16497.0	18326.0	10146.0	18898.0	15843.0	12933.0	18760.0	0.0	18120.0	18201.0	17622.0	17769.0	19056.0	18343.0	18686.0	18564.0	17816.0	17318.0	18654.0	18046.0	18599.0	862.0	18561.0	19477.0
CosteaPI_2017__SID713A084-11-0-0__bin.43	32723.0	37892.0	41761.0	39153.0	31333.0	37756.0	43971.0	21129.0	26702.0	35436.0	42826.0	19932.0	38701.0	33922.0	26013.0	44373.0	18120.0	0.0	40712.0	34251.0	38956.0	45006.0	3283.0	41540.0	45168.0	39213.0	39056.0	41517.0	44023.0	45592.0	40932.0	36442.0	41818.0
ZeeviD_2015__PNP_Main_623__bin.11	32388.0	40499.0	40817.0	37204.0	31459.0	36679.0	41930.0	20528.0	24789.0	34913.0	40865.0	18793.0	37984.0	32677.0	24941.0	41994.0	18201.0	40712.0	0.0	35227.0	38217.0	41388.0	40401.0	41094.0	42531.0	38096.0	36034.0	39240.0	43059.0	41133.0	39540.0	40089.0	39685.0
Obregon-TitoAJ_2015__SM33__bin.19	29790.0	34867.0	36623.0	33279.0	27009.0	31264.0	34316.0	19049.0	23170.0	29212.0	35913.0	18017.0	34153.0	30000.0	22016.0	35495.0	17622.0	34251.0	35227.0	0.0	33608.0	37455.0	33977.0	34714.0	36755.0	34935.0	31479.0	35393.0	37149.0	35896.0	35257.0	34171.0	35852.0
LiuW_2016__SRR3992978__bin.12	31639.0	40257.0	1829.0	37260.0	31029.0	36345.0	41635.0	20966.0	23840.0	34354.0	38759.0	18089.0	38289.0	32272.0	25023.0	41388.0	17769.0	38956.0	38217.0	33608.0	0.0	40711.0	38398.0	40264.0	42688.0	38643.0	35507.0	38992.0	40656.0	42021.0	39394.0	39256.0	39723.0
BritoIL_2016__W3.18.ST__bin.3	30863.0	45083.0	45872.0	40546.0	32935.0	38228.0	44882.0	20568.0	26941.0	37047.0	43524.0	20290.0	40731.0	33506.0	25987.0	46277.0	19056.0	45006.0	41388.0	37455.0	40711.0	0.0	44288.0	43223.0	46509.0	39807.0	38918.0	44641.0	44381.0	46904.0	43018.0	45191.0	44120.0
CosteaPI_2017__SID713A084-11-90-0__bin.47	32479.0	37133.0	40811.0	38695.0	30535.0	37256.0	43306.0	21023.0	26418.0	34743.0	42253.0	19726.0	38620.0	33237.0	25526.0	43780.0	18343.0	3283.0	40401.0	33977.0	38398.0	44288.0	0.0	41649.0	45495.0	39086.0	38393.0	40361.0	43257.0	44803.0	40060.0	36364.0	41962.0
CM_madagascar__A68_01_1FE__bin.1	33155.0	42733.0	43470.0	39334.0	31227.0	36944.0	42456.0	20765.0	26734.0	36092.0	41094.0	20191.0	39979.0	33456.0	25402.0	44484.0	18686.0	41540.0	41094.0	34714.0	40264.0	43223.0	41649.0	0.0	44147.0	39226.0	37830.0	41900.0	42617.0	44398.0	40931.0	42309.0	42415.0
BritoIL_2016__M1.61.ST__bin.83	32113.0	45528.0	46168.0	42906.0	33664.0	40300.0	46796.0	22110.0	27987.0	39248.0	43990.0	20720.0	42735.0	35172.0	26410.0	45604.0	18564.0	45168.0	42531.0	36755.0	42688.0	46509.0	45495.0	44147.0	0.0	41843.0	40761.0	45382.0	42423.0	44722.0	42553.0	44784.0	45030.0
BritoIL_2016__M1.3.ST__bin.24	31083.0	39991.0	40611.0	37823.0	29935.0	35172.0	41638.0	949.0	25311.0	34472.0	38702.0	19402.0	38808.0	814.0	25150.0	41912.0	17816.0	39213.0	38096.0	34935.0	38643.0	39807.0	39086.0	39226.0	41843.0	0.0	36471.0	41516.0	39426.0	40073.0	39830.0	40113.0	40775.0
Obregon-TitoAJ_2015__HCO61__bin.16	30560.0	37129.0	37500.0	34465.0	27097.0	33748.0	38869.0	19471.0	24838.0	33447.0	37306.0	18646.0	36896.0	31199.0	23407.0	39392.0	17318.0	39056.0	36034.0	31479.0	35507.0	38918.0	38393.0	37830.0	40761.0	36471.0	0.0	37393.0	38276.0	38621.0	37253.0	36664.0	37749.0
ZeeviD_2015__PNP_Main_683__bin.41	32337.0	41534.0	42969.0	37848.0	32246.0	37254.0	43517.0	22281.0	26368.0	35390.0	41565.0	19617.0	39640.0	34521.0	25511.0	44370.0	18654.0	41517.0	39240.0	35393.0	38992.0	44641.0	40361.0	41900.0	45382.0	41516.0	37393.0	0.0	42983.0	45704.0	41902.0	41036.0	41572.0
BritoIL_2016__W1.41.ST__bin.57	32588.0	45740.0	43936.0	40042.0	33011.0	37192.0	43746.0	20299.0	26378.0	35285.0	43777.0	20109.0	41202.0	33790.0	26996.0	43145.0	18046.0	44023.0	43059.0	37149.0	40656.0	44381.0	43257.0	42617.0	42423.0	39426.0	38276.0	42983.0	0.0	43604.0	41345.0	45761.0	45018.0
BritoIL_2016__W2.61.ST__bin.57	33028.0	45338.0	45655.0	40971.0	32684.0	39011.0	44856.0	20576.0	26211.0	37545.0	43634.0	19794.0	42372.0	33803.0	26634.0	45054.0	18599.0	45592.0	41133.0	35896.0	42021.0	46904.0	44803.0	44398.0	44722.0	40073.0	38621.0	45704.0	43604.0	0.0	43664.0	46462.0	44616.0
BritoIL_2016__M1.16.ST__bin.55	33473.0	43667.0	42708.0	38532.0	31031.0	35050.0	42719.0	19912.0	26833.0	35386.0	41650.0	19211.0	40251.0	33064.0	26035.0	42543.0	862.0	40932.0	39540.0	35257.0	39394.0	43018.0	40060.0	40931.0	42553.0	39830.0	37253.0	41902.0	41345.0	43664.0	0.0	42356.0	42561.0
CosteaPI_2017__SID713B016-11-90-0__bin.6	33231.0	906.0	42221.0	38567.0	31655.0	35239.0	42774.0	21082.0	25493.0	35385.0	41909.0	19098.0	37758.0	33469.0	25181.0	44371.0	18561.0	36442.0	40089.0	34171.0	39256.0	45191.0	36364.0	42309.0	44784.0	40113.0	36664.0	41036.0	45761.0	46462.0	42356.0	0.0	41725.0
XieH_2016__YSZC12003_36244__bin.125	33392.0	42592.0	42487.0	39156.0	31747.0	37927.0	44226.0	21841.0	26453.0	35846.0	43141.0	19937.0	39247.0	34677.0	26138.0	45155.0	19477.0	41818.0	39685.0	35852.0	39723.0	44120.0	41962.0	42415.0	45030.0	40775.0	37749.0	41572.0	45018.0	44616.0	42561.0	41725.0	0.0
