	BritoIL_2016__M2.39.ST__bin.9	CosteaPI_2017__SID713B016-11-0-0__bin.25	LiuW_2016__SRR3992998__bin.92	VatanenT_2016__G80433__bin.12	Obregon-TitoAJ_2015__HCO12__bin.12	CM_madagascar__A39_01_1FE__bin.15	Obregon-TitoAJ_2015__SM23__bin.6	BritoIL_2016__M1.48.ST__bin.83	LiJ_2014__MH0283__bin.10	Obregon-TitoAJ_2015__HCO53__bin.12	BritoIL_2016__W1.9.ST__bin.93	CM_madagascar__A40_02_1FE__bin.5	CosteaPI_2017__SID713A087-11-0-0__bin.38	BritoIL_2016__M1.44.ST__bin.58	RampelliS_2015__H17__bin.51	BritoIL_2016__W3.22.ST__bin.79	BritoIL_2016__M1.15.ST__bin.46	CosteaPI_2017__SID713A084-11-0-0__bin.43	ZeeviD_2015__PNP_Main_623__bin.11	Obregon-TitoAJ_2015__SM33__bin.19	LiuW_2016__SRR3992978__bin.12	BritoIL_2016__W3.18.ST__bin.3	CosteaPI_2017__SID713A084-11-90-0__bin.47	CM_madagascar__A68_01_1FE__bin.1	BritoIL_2016__M1.61.ST__bin.83	BritoIL_2016__M1.3.ST__bin.24	Obregon-TitoAJ_2015__HCO61__bin.16	ZeeviD_2015__PNP_Main_683__bin.41	BritoIL_2016__W1.41.ST__bin.57	BritoIL_2016__W2.61.ST__bin.57	BritoIL_2016__M1.16.ST__bin.55	CosteaPI_2017__SID713B016-11-90-0__bin.6	XieH_2016__YSZC12003_36244__bin.125
BritoIL_2016__M2.39.ST__bin.9	1.0	0.9856963247298332	0.985377683228085	0.9854929756957146	0.9845743942785071	0.9861670846525016	0.9841623344190953	0.9875471589180596	0.9854815392029201	0.9833832210335847	0.98619835279543	0.9864410676181934	0.9854299843309142	0.9871014813626967	0.9856361467787323	0.9856147836924701	0.986650631389056	0.9859150382781422	0.9857653435251388	0.9847274550526285	0.9859228123941898	0.9871915331232274	0.9857940715540706	0.9856120946064991	0.9865122545993074	0.9866357903535026	0.984408680324377	0.9860426752208172	0.985833657192588	0.9863291929347905	0.9858503885616119	0.9857296224883731	0.9856187610738382
CosteaPI_2017__SID713B016-11-0-0__bin.25	0.9856963247298332	1.0	0.9853951281214733	0.9857085178119773	0.9845850796796619	0.9862629274785106	0.9846564980977852	0.986816192560175	0.9850347287234402	0.9832966755069982	0.9857967012276253	0.9865293807249456	0.9865112391860734	0.9862816871687243	0.9856648345693193	0.9851241717384109	0.9868302456793219	0.9875550084587975	0.9860330215114024	0.9854966121879705	0.9859431910356548	0.9855238412056926	0.9875942176953703	0.9853252614773776	0.9850378195336511	0.9862327918504572	0.9845856146241745	0.9858732215680472	0.9846648443736508	0.9851624317405753	0.985437129566759	0.9997378192289628	0.9857977290104526
LiuW_2016__SRR3992998__bin.92	0.985377683228085	0.9853951281214733	1.0	0.9856184105113094	0.9840531004435722	0.9856170668094376	0.9841783499220249	0.9864439667946754	0.9852260164048778	0.9824703626054677	0.9852068301161043	0.9867595409697928	0.9852927084957187	0.98622941521975	0.9843716756726252	0.98496920376286	0.987216316646428	0.9854561018828604	0.9857621241876803	0.9846601830323354	0.9994097953322523	0.9848579625258339	0.9854082218954259	0.984883717291087	0.9845285597331705	0.9857057074391847	0.9842818964332061	0.985298610742836	0.9848113956016794	0.9847864285145416	0.9853759007802053	0.9855352746622522	0.9856672309320904
VatanenT_2016__G80433__bin.12	0.9854929756957146	0.9857085178119773	0.9856184105113094	1.0	0.9844073494103922	0.9861785089098073	0.9846608473250541	0.9863302784765831	0.9849390570069076	0.982881518669532	0.9856196138172258	0.9865404009418379	0.9856279269853496	0.9861443351018534	0.9853048888520876	0.9852124456823748	0.9866557048608945	0.9854818650313664	0.9859204233712495	0.9849680199468805	0.98600400947941	0.9853982844262652	0.9853836402535945	0.985183985415262	0.9846467419503282	0.9858631291660656	0.9846150275001082	0.9858989791960764	0.9849446468936538	0.9853484425098646	0.9858165687595681	0.9856455038310169	0.9856645048952882
Obregon-TitoAJ_2015__HCO12__bin.12	0.9845743942785071	0.9845850796796619	0.9840531004435722	0.9844073494103922	1.0	0.9850612020161428	0.9840858296370922	0.9852074895761025	0.9843514186198128	0.9824314109059775	0.9839131825054379	0.985777175753471	0.9841630312572552	0.9852372770912636	0.9847982529191219	0.9843876687957535	0.9854469743821191	0.9844748333545568	0.9840571205007824	0.9837798396540852	0.9844091672830176	0.9842247117603133	0.9844335621270887	0.9840763226896722	0.9837264669697651	0.9847633289695765	0.9834537193256919	0.9839598394093703	0.9835490103541914	0.9841956329580336	0.9844065091555414	0.984332659389392	0.9843950610001868
CM_madagascar__A39_01_1FE__bin.15	0.9861670846525016	0.9862629274785106	0.9856170668094376	0.9861785089098073	0.9850612020161428	1.0	0.9856648440855349	0.9868477672530447	0.9851425342452408	0.982998773452596	0.98625197001961	0.9870343481845929	0.9856292117954788	0.9869543000058325	0.9854847787002193	0.9856827011505039	0.9874191422177259	0.9857374421608252	0.9856114402368136	0.9868427143803442	0.9857142800991608	0.9859288735994852	0.9855958900190375	0.9859934334741168	0.9852564032209088	0.9865408303954062	0.9846487098238613	0.9858583979759752	0.9855228053184772	0.985499203424494	0.9865238852119537	0.9863880384390453	0.9855089075878122
Obregon-TitoAJ_2015__SM23__bin.6	0.9841623344190953	0.9846564980977852	0.9841783499220249	0.9846608473250541	0.9840858296370922	0.9856648440855349	1.0	0.9857401370146748	0.9834728649974882	0.981803137914809	0.9848763741854134	0.9857979992318291	0.9847453662511094	0.9851053933708641	0.9843706238850894	0.984599459939693	0.9860304425091339	0.984331459945466	0.9845588424839898	0.9855850436636739	0.9846640624856117	0.9844719486905191	0.984038620449702	0.9845918953572814	0.9837182204163829	0.9847053564311665	0.9830009682743637	0.9843559131319449	0.9840536517013667	0.9842904817956817	0.9846840070329015	0.984569308602284	0.9841284651917928
BritoIL_2016__M1.48.ST__bin.83	0.9875471589180596	0.986816192560175	0.9864439667946754	0.9863302784765831	0.9852074895761025	0.9868477672530447	0.9857401370146748	1.0	0.9858700902703407	0.9845059990397677	0.9874690299218601	0.9868114904096223	0.9864197870314657	0.9994161638485872	0.9868532405502418	0.9866245648624503	0.9880125686978438	0.9866562336589543	0.9866913027974975	0.9857962637365915	0.986506516015387	0.9873277887274742	0.9863665487258239	0.9868376014198783	0.98646013732152	0.9994467059472406	0.9855938442187818	0.9860304319775895	0.9870719522695892	0.9872919407336038	0.9874631361299925	0.986687874802121	0.9862043046409904
LiJ_2014__MH0283__bin.10	0.9854815392029201	0.9850347287234402	0.9852260164048778	0.9849390570069076	0.9843514186198128	0.9851425342452408	0.9834728649974882	0.9858700902703407	1.0	0.9817788221445388	0.9850029213606237	0.985794906036813	0.9850506228907129	0.9849997937373418	0.9846270615277823	0.9846711596878773	0.9855078135616252	0.9846237388235335	0.9853652056864876	0.984278703240677	0.9854343988909614	0.98474890404507	0.9845211233523152	0.9846520210028602	0.9844315834092646	0.9853979184057995	0.9836708343139949	0.9848414294403264	0.984565387333998	0.9850779152462477	0.9846830318612118	0.9850247658522602	0.9850476132875184
Obregon-TitoAJ_2015__HCO53__bin.12	0.9833832210335847	0.9832966755069982	0.9824703626054677	0.982881518669532	0.9824314109059775	0.982998773452596	0.981803137914809	0.9845059990397677	0.9817788221445388	1.0	0.9835003964881125	0.9841389877040501	0.9835752953055241	0.9841217576212695	0.9833288557893176	0.983100933990898	0.9847087884840873	0.9833688303081901	0.9828502995659155	0.9835221583874143	0.9830673800376072	0.9829922010287223	0.9832833577437464	0.9828612239703534	0.98203470019994	0.9835621637937488	0.9819274471863996	0.9829567919279052	0.9829237980841358	0.9825476725814152	0.9831122823712674	0.9832967420976384	0.9829276389266597
