	BritoIL_2016__M2.39.ST__bin.9	CosteaPI_2017__SID713B016-11-0-0__bin.25	LiuW_2016__SRR3992998__bin.92	VatanenT_2016__G80433__bin.12	Obregon-TitoAJ_2015__HCO12__bin.12	CM_madagascar__A39_01_1FE__bin.15	Obregon-TitoAJ_2015__SM23__bin.6	BritoIL_2016__M1.48.ST__bin.83	LiJ_2014__MH0283__bin.10	Obregon-TitoAJ_2015__HCO53__bin.12	BritoIL_2016__W1.9.ST__bin.93	CM_madagascar__A40_02_1FE__bin.5	CosteaPI_2017__SID713A087-11-0-0__bin.38	BritoIL_2016__M1.44.ST__bin.58	RampelliS_2015__H17__bin.51	BritoIL_2016__W3.22.ST__bin.79	BritoIL_2016__M1.15.ST__bin.46	CosteaPI_2017__SID713A084-11-0-0__bin.43	ZeeviD_2015__PNP_Main_623__bin.11	Obregon-TitoAJ_2015__SM33__bin.19	LiuW_2016__SRR3992978__bin.12	BritoIL_2016__W3.18.ST__bin.3	CosteaPI_2017__SID713A084-11-90-0__bin.47	CM_madagascar__A68_01_1FE__bin.1	BritoIL_2016__M1.61.ST__bin.83	BritoIL_2016__M1.3.ST__bin.24	Obregon-TitoAJ_2015__HCO61__bin.16	ZeeviD_2015__PNP_Main_683__bin.41	BritoIL_2016__W1.41.ST__bin.57	BritoIL_2016__W2.61.ST__bin.57	BritoIL_2016__M1.16.ST__bin.55	CosteaPI_2017__SID713B016-11-90-0__bin.6	XieH_2016__YSZC12003_36244__bin.125
BritoIL_2016__M2.39.ST__bin.9	1.0	0.8518158571227116	0.824508290095257	0.7748668224622739	0.5708715496121627	0.7621435145371936	0.8057797825894679	0.4798962925547389	0.5196614695724359	0.6211200730882448	0.8515814177684429	0.43880937487456606	0.8108898500902414	0.7331959376632862	0.533687691969422	0.8456046350791606	0.41940845267539706	0.8252471292723464	0.8082090715952923	0.6928602915502018	0.798350186326005	0.8559089551215586	0.8121188806444383	0.8185364803619744	0.8457229203897234	0.8261639292319944	0.6962369286739577	0.8229702258467967	0.8171213191689338	0.8581727157348236	0.8403045296169722	0.8271695319773503	0.824769725496381
CosteaPI_2017__SID713B016-11-0-0__bin.25	0.6669719611195972	1.0	0.8320370603175804	0.7660150257159354	0.5770671484626622	0.7454025047309979	0.7916024649027267	0.45758010989487785	0.49317301156243637	0.6071027269015496	0.8309075728228787	0.4111267729421411	0.8003632939092783	0.7038253496933334	0.49783503308082805	0.8395424087648897	0.40269469405101355	0.8468399938143802	0.8064738184743102	0.6686418559529359	0.7965317697213913	0.8661795120258016	0.8325001474091042	0.8099187414266309	0.8463151617773199	0.8079134213486209	0.6699393342003584	0.8177283645154579	0.829576440798835	0.8498613241898896	0.8339784104069715	0.9611159814831914	0.8341010659068886
LiuW_2016__SRR3992998__bin.92	0.6732977981572605	0.867746722529758	1.0	0.8045149552890288	0.5882143922104172	0.7628343170481825	0.8178420966527395	0.4649067897789571	0.5019147341417315	0.6104280348869724	0.8535052890868566	0.41996956614056197	0.8112729428718285	0.7180598211561153	0.5139919755786553	0.8627259479108774	0.4134877226121371	0.8328922376834531	0.831561989118996	0.6925202670011336	0.898896758092007	0.8787434633337549	0.8112743932082486	0.8341485190904883	0.8655836907929163	0.8240997181706269	0.6920378851078296	0.8478043066869791	0.8390761821112025	0.8704742252012777	0.8471081452053618	0.8466756548849071	0.8598539917319221
VatanenT_2016__G80433__bin.12	0.6860434252072509	0.8661636873686991	0.8722610795919138	1.0	0.5860396512900506	0.7883323059892066	0.81500037739172	0.4709210244927226	0.5167929880618419	0.6243021398110525	0.8577689230498283	0.4331535481111544	0.8239099669153259	0.7275552564376737	0.5165395066232247	0.8698586668008504	0.41848999282955734	0.8481356849030732	0.8310193979344093	0.696249984275345	0.8372407004390323	0.8732834966600833	0.8325814851622155	0.834925716729775	0.8788780144163637	0.8414218862038166	0.7045189513542073	0.8441186645365001	0.8364422024580781	0.8794352961896016	0.8543805743901979	0.8449655944548576	0.8590070823846124
Obregon-TitoAJ_2015__HCO12__bin.12	0.6839769007728257	0.8830138797091871	0.8630312351975091	0.7930589963182362	1.0	0.7868603036401839	0.8529056398527635	0.4628889184909152	0.4726225470689951	0.6283078313768333	0.8624562654887519	0.4134747194203148	0.8395689812566685	0.7262782436313913	0.4844709235988252	0.8755286337894079	0.3998235511167648	0.8589251598828611	0.839784328904804	0.7086682535433413	0.8470091148232809	0.8885256729720401	0.8348304818212112	0.8345964082906291	0.8803867235195807	0.8361395912395215	0.6969641514259972	0.8555723757484501	0.8539968480935136	0.8801317961653649	0.8469193157051849	0.8598776263582116	0.8658252219761849
CM_madagascar__A39_01_1FE__bin.15	0.6747350959535209	0.842801952876247	0.8270173038672296	0.7882814846262097	0.5814215744082014	1.0	0.816413909133077	0.4647908362618615	0.5164499162716102	0.629177732179218	0.836457463619425	0.437062509335912	0.8081530224769452	0.7224893668875838	0.5168628190916452	0.8377713310848526	0.41031156395198	0.8324759231742888	0.8016472086605816	0.7472421519375457	0.8000657248205539	0.854350023978553	0.8133789318930478	0.8294598143037964	0.8595768768131324	0.8217920233967783	0.6913313993254558	0.8284330605281571	0.8078825758469146	0.8460155506812268	0.8179117432014906	0.8141154272506427	0.8230580909927121
Obregon-TitoAJ_2015__SM23__bin.6	0.6549896025284249	0.821794671158667	0.8140954603963455	0.7482578965634927	0.5786500438016228	0.7496039952161814	1.0	0.44469388238297	0.48108705406511976	0.5995212139026409	0.8087893139054705	0.4097068669510548	0.7739625483131611	0.6884543888533099	0.4969159846183253	0.8248443266648225	0.39238255996664495	0.8102936412286168	0.7840605981159239	0.6873658448977895	0.7838859113538311	0.8345644178368755	0.7833976546353204	0.79559945278289	0.8298727067670475	0.7860589569265756	0.6602125923457747	0.8031808582577176	0.7921031188949864	0.8244461563426309	0.8053423542924724	0.8003852925873333	0.8045691127240683
BritoIL_2016__M1.48.ST__bin.83	0.7296038856993498	0.8884746178268447	0.865552599133883	0.8086550129528712	0.5873723411781415	0.7981798475249674	0.8317309431861201	1.0	0.5511658664166639	0.6715128100304961	0.8614121086799088	0.48486293502286804	0.8445655455246034	0.8537624351073844	0.5787867774325719	0.8765127209238148	0.4533888350948554	0.8551195568643737	0.8329854572495846	0.7242623451906424	0.8391078963100653	0.8765283820980897	0.8327510796759541	0.8519678805516838	0.8818623620399058	0.9262677315545119	0.7299052282940175	0.8613467637803482	0.8479456589655092	0.8743957621942493	0.8577333528467964	0.8552453862990647	0.8549786062959001
LiJ_2014__MH0283__bin.10	0.7322407352813839	0.8875050114393455	0.8660663116657299	0.8224801782245516	0.5558335656572381	0.821987167712166	0.833948053209098	0.5108294639098787	1.0	0.6735134231496714	0.8772123533919374	0.4977314008655963	0.8409057579123183	0.7643810165426299	0.62515384680837	0.877230372050258	0.4604142589651584	0.8691865426649296	0.8477978947199826	0.7376623493627651	0.819214796922213	0.8841635513574306	0.8542410666244896	0.8718317818100644	0.8997707125728692	0.8675898893304016	0.7613293565487061	0.870640548287752	0.8553937602387272	0.8791723830025991	0.8768319594940561	0.8520543022299591	0.8854914263720082
Obregon-TitoAJ_2015__HCO53__bin.12	0.7000242202966086	0.8738518878820452	0.842480398574005	0.7947083656103815	0.5910264801903996	0.8009664098514555	0.8312353752444549	0.4977967536795835	0.5387042341482162	1.0	0.8431025199116859	0.4669188780197806	0.8227194388897896	0.7538132955416639	0.5453986440637254	0.8747458370114156	0.43190393549794726	0.8529940089795248	0.8149945654458436	0.7097167426303242	0.8122266459292887	0.8720251570816344	0.8320364465422023	0.8430536789829878	0.8745953108705095	0.8395487418456666	0.7409036772815619	0.8312914222118135	0.8272236133880192	0.8612373168715384	0.8388505567665704	0.8480902996711244	0.8405647932967827
