	CM_cf__CF_TNFC002SA_t1M15__bin.23	HMP_2012__SRS044373__bin.34	HMP_2012__SRS075404__bin.1	HMP_2012__SRS057539__bin.13	HMP_2012__SRS019327__bin.34	HMP_2012__SRS043663__bin.42	HMP_2012__SRS017209__bin.9	HMP_2012__SRS057205__bin.27	HMP_2012__SRS019122__bin.44	HMP_2012__SRS011306__bin.62	HMP_2012__SRS018739__bin.5	HMP_2012__SRS014271__bin.8	HMP_2012__SRS018439__bin.36	HMP_2012__SRS045715__bin.40	HMP_2012__SRS019126__bin.59	HMP_2012__SRS024081__bin.34	HMP_2012__SRS078182__bin.43	HMP_2012__SRS019127__bin.43	HMP_2012__SRS016319__bin.52	HMP_2012__SRS048791__bin.59	HMP_2012__SRS016225__bin.42	HMP_2012__SRS019071__bin.66	HMP_2012__SRS019607__bin.64	FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.13	HMP_2012__SRS013705__bin.70	HMP_2012__SRS062761__bin.52
CM_cf__CF_TNFC002SA_t1M15__bin.23	1.0	0.8284338420737486	0.822027933095743	0.5800660757792481	0.4122751761099384	0.6357006205018676	0.5473995996209559	0.8546184914072678	0.8647576118347747	0.6077819296837224	0.4588182666904413	0.8676670173162768	0.8043090969825186	0.8364550492375902	0.7955061306581181	0.8195837677521232	0.8834676625011777	0.7870963798477438	0.7651226404149242	0.76796002127257	0.5523661840887094	0.4869105952504238	0.7405949467523902	0.7095955486446524	0.7743250514100085	0.6539123386356434
HMP_2012__SRS044373__bin.34	0.8890377660570083	1.0	0.8966635080752982	0.629987733301246	0.4590385849510669	0.6928161265308306	0.5832852859778598	0.9217383783892187	0.9515649232579282	0.6579863896465051	0.49820762473929087	0.9375309174287395	0.8522096769880743	0.9178578232793198	0.8833025830258303	0.8953574556125996	0.9489603387881705	0.8529124217872613	0.8330488094283117	0.8404852866463447	0.6009474938499385	0.5425185671693673	0.8235300016043638	0.7529074917107866	0.8250737840258837	0.7204178699395689
HMP_2012__SRS075404__bin.1	0.8867472541040923	0.9013228765372628	1.0	0.6236019585913899	0.44766219296215737	0.6883359322732906	0.5860478711720932	0.9267829687047872	0.9338801116627238	0.6488121661468087	0.4948273885294144	0.9471806926129489	0.8528784397456805	0.9032337588651291	0.8579567670222867	0.8857325965867022	0.9473285235095222	0.8463810198567973	0.8337133399325269	0.8302842510958175	0.5948803472682153	0.5323730764659512	0.804610812066193	0.742326547531203	0.8367031358208962	0.7204043175021282
HMP_2012__SRS057539__bin.13	0.9088357147039878	0.9197665963967129	0.9057370049384162	1.0	0.5044425006343816	0.730393950928149	0.6335159620151861	0.9324035984072144	0.9565625548984014	0.6981893287267474	0.5352960121801253	0.9423957174367082	0.8954368448790772	0.9314032275380141	0.8997201401495188	0.893013995432453	0.9491457808748609	0.9116459028713084	0.8526136518904569	0.8626570094278855	0.6728866555405907	0.5714466094747321	0.8293934580625012	0.8230221935937225	0.8770501502996233	0.7482963196111729
HMP_2012__SRS019327__bin.34	0.891693099995874	0.9251561369812029	0.8975638673300892	0.6963570423525509	1.0	0.769467968025706	0.6828463622209554	0.9374871061209402	0.934004390444762	0.7277730576239559	0.6154563191164546	0.937356588488008	0.892845865411901	0.91642661246115	0.8990332432621324	0.926205330340129	0.9434782864971509	0.8604960175280971	0.884973547022977	0.8873371792529171	0.6904416464083653	0.6458930311162457	0.8642894493755784	0.7754263084813726	0.8739906987240428	0.7803767159911046
HMP_2012__SRS043663__bin.42	0.8907625417330395	0.9046173653086609	0.8941213694983307	0.6532186265738539	0.4985074301176163	1.0	0.6286763261832544	0.9124489929517533	0.9253005869902022	0.696301307089707	0.5253164073581077	0.9274248805289458	0.8713100355685512	0.9097306173216663	0.8777642001440199	0.8983121304034739	0.9339346891570471	0.8424154974141882	0.850124380823532	0.8562517729722653	0.6353116066947433	0.5801803521941213	0.8439457088615882	0.7637053483754119	0.8375831933139852	0.7882154625002727
HMP_2012__SRS017209__bin.9	0.8773886612264815	0.8711765663932846	0.8707778191709428	0.6480927839233107	0.5060370579069577	0.7191265750983296	1.0	0.8956973365058386	0.893809683379729	0.6915630953517555	0.5385552370985929	0.8949160665177761	0.8592684392509543	0.8681407209524505	0.8461066608258623	0.8726411356121206	0.9234049643093155	0.8311427196807027	0.8220420475513863	0.8298522513617623	0.6430607063005181	0.5729161401518484	0.8122356115590518	0.7598087760581934	0.8265337259651836	0.705489919308289
HMP_2012__SRS057205__bin.27	0.8465434946339605	0.8507898176175163	0.851023903354599	0.5894853468884529	0.4293525774690743	0.6450245982845796	0.5535421954002732	1.0	0.8879415765192338	0.6148572327672213	0.4685825703693734	0.8977585230154099	0.8150271473895584	0.8616792392946268	0.820884304184967	0.8438478450421837	0.928438794678271	0.8049668597070573	0.7830403148086802	0.7858987060496315	0.569652076093676	0.5049888799633793	0.7600679041459399	0.7047291874833932	0.7824390962516587	0.6770588650428238
HMP_2012__SRS019122__bin.44	0.8865134775821971	0.909006513988452	0.8875008930242732	0.6258876860833092	0.44270216572854215	0.6769622886326292	0.5716740283796129	0.9189636847438727	1.0	0.6429004470509445	0.48907836302963326	0.9327671459662642	0.8452559557235572	0.9154003682253382	0.9024949202384644	0.874162403099383	0.9416842178364586	0.8633914327940864	0.8186859392280519	0.8240867903849524	0.5923351177854116	0.5271848562240898	0.8027328338783276	0.7472875011324944	0.8212981599509246	0.6980316747228432
HMP_2012__SRS011306__bin.62	0.9197562286134442	0.927853661755418	0.9101870705013998	0.6743575784998539	0.5092050564180878	0.7519913652517368	0.6529339055268045	0.9393387724706126	0.9490251736847563	1.0	0.5613434763345683	0.9473743436742927	0.9120081681325001	0.9325893404221223	0.9088620466992826	0.9229388780483206	0.9597396613972079	0.8883533412516614	0.8671075949963708	0.8682063808527285	0.6664581035604197	0.6221620099356164	0.8547075167557479	0.796524301726007	0.8648234165700442	0.7801379580140079
