	CM_cf__CF_TNFC002SA_t1M15__bin.23	HMP_2012__SRS044373__bin.34	HMP_2012__SRS075404__bin.1	HMP_2012__SRS057539__bin.13	HMP_2012__SRS019327__bin.34	HMP_2012__SRS043663__bin.42	HMP_2012__SRS017209__bin.9	HMP_2012__SRS057205__bin.27	HMP_2012__SRS019122__bin.44	HMP_2012__SRS011306__bin.62	HMP_2012__SRS018739__bin.5	HMP_2012__SRS014271__bin.8	HMP_2012__SRS018439__bin.36	HMP_2012__SRS045715__bin.40	HMP_2012__SRS019126__bin.59	HMP_2012__SRS024081__bin.34	HMP_2012__SRS078182__bin.43	HMP_2012__SRS019127__bin.43	HMP_2012__SRS016319__bin.52	HMP_2012__SRS048791__bin.59	HMP_2012__SRS016225__bin.42	HMP_2012__SRS019071__bin.66	HMP_2012__SRS019607__bin.64	FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.13	HMP_2012__SRS013705__bin.70	HMP_2012__SRS062761__bin.52
CM_cf__CF_TNFC002SA_t1M15__bin.23	1.0	0.9724280471660385	0.9735435602266328	0.9727592691776437	0.9757959726372012	0.9739251695972475	0.9768774821625681	0.9776493022781193	0.9726686676988475	0.976756550391768	0.9763726076681898	0.9737447614261484	0.9740604795633522	0.9723540719295878	0.9733858298545008	0.9748165812018592	0.9746254811622368	0.9729367579607154	0.9740813975498507	0.9739246946601262	0.9739510244299893	0.9797619180881805	0.972300418395525	0.9736432203124803	0.9729755820413746	0.9729599069311635
HMP_2012__SRS044373__bin.34	0.9724280471660385	1.0	0.9721164379380832	0.9727341699284681	0.9743523231175867	0.974232859496477	0.9742643135013327	0.9726759905808975	0.9735407965773658	0.9758850243067373	0.9755720594475557	0.9725310768402561	0.9736990989047624	0.9720834260790481	0.973914462481553	0.9738093049365543	0.9728055615481814	0.9734591867825467	0.9730028752998552	0.9727486208031305	0.973089322425472	0.9781271202299879	0.9724868803954754	0.9735941529236214	0.9718496792825165	0.9732952502464768
HMP_2012__SRS075404__bin.1	0.9735435602266328	0.9721164379380832	1.0	0.9725004007117178	0.975002063929271	0.9731158587330292	0.9746122722758016	0.9736428305363243	0.9718806059017089	0.9763840179793202	0.9750813294144707	0.973072245271315	0.9728435464460101	0.9713919585769956	0.9727130325814536	0.9736649823116647	0.9737751270901097	0.9725030851225887	0.974782309080303	0.9735734493211646	0.9762966926914743	0.9785024529970425	0.972821054587553	0.97273518813863	0.9727341584210598	0.9721964096040817
HMP_2012__SRS057539__bin.13	0.9727592691776437	0.9727341699284681	0.9725004007117178	1.0	0.9739316234148631	0.9737832407161504	0.9736091840694178	0.9724246438676545	0.9724190001026667	0.975280576897203	0.9745122840603492	0.9718684545061478	0.972956568653898	0.9729091284173852	0.9729517543800178	0.972978825136612	0.972327512078878	0.9727542496211221	0.9731493352258744	0.9726912043489297	0.9733692917847026	0.9775881301203533	0.9719107362574566	0.9739508291977208	0.9723318976039571	0.972888548694886
HMP_2012__SRS019327__bin.34	0.9757959726372012	0.9743523231175867	0.975002063929271	0.9739316234148631	1.0	0.9754925563906484	0.9761386253381903	0.9756974509134676	0.9758340215145276	0.9771279943722463	0.9769326435929254	0.9750876988101708	0.9754943059910877	0.9740142916342392	0.9758231218734575	0.975325971733055	0.9754501519472	0.9761876569981417	0.9755855509545412	0.9742812324738584	0.9757266871068377	0.9804288904620174	0.9739753627198435	0.9751444270697593	0.9750070572956058	0.974963286032291
HMP_2012__SRS043663__bin.42	0.9739251695972475	0.974232859496477	0.9731158587330292	0.9737832407161504	0.9754925563906484	1.0	0.9742080537029227	0.9738627232463147	0.9741720956283347	0.9762483782208378	0.9753485913554951	0.9738971461915104	0.9742721707808946	0.9736748842204618	0.9742773826422674	0.9739566569784742	0.9742198639350879	0.9741350783407751	0.974441491170767	0.9738649496871133	0.9740712722301745	0.9785391300750247	0.9734321469664258	0.9745737831739091	0.9735572899332208	0.9994989140831443
HMP_2012__SRS017209__bin.9	0.9768774821625681	0.9742643135013327	0.9746122722758016	0.9736091840694178	0.9761386253381903	0.9742080537029227	1.0	0.9766499555515922	0.9747882321811684	0.9768453308525297	0.9771819545910121	0.9750404429196999	0.9750151416781773	0.9732858831004908	0.975147171403243	0.9756411503235071	0.9845503434983991	0.9750435836332758	0.9751620313085936	0.9742761235443891	0.97541234157224	0.9800579234056087	0.9731373830978709	0.9743718832333559	0.9735303532708812	0.9735821419631493
HMP_2012__SRS057205__bin.27	0.9776493022781193	0.9726759905808975	0.9736428305363243	0.9724246438676545	0.9756974509134676	0.9738627232463147	0.9766499555515922	1.0	0.9733458357292881	0.9766678416373655	0.9770860183726645	0.9741222742088741	0.9740458593180721	0.971891234841514	0.9737485718366181	0.974813472909128	0.9749815576630402	0.9735974087507839	0.9741144441007922	0.9742723839582941	0.9741738460517783	0.9794344276692096	0.9724309670623728	0.9734493080370579	0.9729525653341167	0.9728079313807522
HMP_2012__SRS019122__bin.44	0.9726686676988475	0.9735407965773658	0.9718806059017089	0.9724190001026667	0.9758340215145276	0.9741720956283347	0.9747882321811684	0.9733458357292881	1.0	0.9763658836843893	0.9757230490264004	0.9727035095548842	0.9732441218897779	0.9724424520091874	0.9996325007330085	0.9730792182230175	0.9732955443691857	0.9997494515207184	0.9732825413663813	0.9732149992129893	0.9735653730104291	0.9787618538578128	0.9731190013086246	0.9731423364837382	0.9721083998934779	0.9728990131165163
HMP_2012__SRS011306__bin.62	0.976756550391768	0.9758850243067373	0.9763840179793202	0.975280576897203	0.9771279943722463	0.9762483782208378	0.9768453308525297	0.9766678416373655	0.9763658836843893	1.0	0.978010755848125	0.9763949738962254	0.9764369884048665	0.9751508298008099	0.9765246133730748	0.9771533261412165	0.9765474744213143	0.9764667962571303	0.9854209160967164	0.9764771506571184	0.9764753827358252	0.9813023135131859	0.9756644808539765	0.9764054193790807	0.9763824103866164	0.9759015217309217
