	CM_cf__CF_TNFC002SA_t1M15__bin.23	HMP_2012__SRS044373__bin.34	HMP_2012__SRS075404__bin.1	HMP_2012__SRS057539__bin.13	HMP_2012__SRS019327__bin.34	HMP_2012__SRS043663__bin.42	HMP_2012__SRS017209__bin.9	HMP_2012__SRS057205__bin.27	HMP_2012__SRS019122__bin.44	HMP_2012__SRS011306__bin.62	HMP_2012__SRS018739__bin.5	HMP_2012__SRS014271__bin.8	HMP_2012__SRS018439__bin.36	HMP_2012__SRS045715__bin.40	HMP_2012__SRS019126__bin.59	HMP_2012__SRS024081__bin.34	HMP_2012__SRS078182__bin.43	HMP_2012__SRS019127__bin.43	HMP_2012__SRS016319__bin.52	HMP_2012__SRS048791__bin.59	HMP_2012__SRS016225__bin.42	HMP_2012__SRS019071__bin.66	HMP_2012__SRS019607__bin.64	FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.13	HMP_2012__SRS013705__bin.70	HMP_2012__SRS062761__bin.52
CM_cf__CF_TNFC002SA_t1M15__bin.23	2568566.0	2127887.0	2111433.0	1489938.0	1058956.0	1632839.0	1406032.0	2195144.0	2221187.0	1561128.0	1178505.0	2228660.0	2065921.0	2148490.0	2043310.0	2105155.0	2269245.0	2021709.0	1965268.0	1972556.0	1418789.0	1250662.0	1902267.0	1822643.0	1988905.0	1679617.0
HMP_2012__SRS044373__bin.34	2127887.0	2393472.0	2146139.0	1507858.0	1098696.0	1658236.0	1396077.0	2206155.0	2277544.0	1574872.0	1192446.0	2243954.0	2039740.0	2196867.0	2114160.0	2143013.0	2271310.0	2041422.0	1993879.0	2011678.0	1438351.0	1298503.0	1971096.0	1802063.0	1974791.0	1724300.0
HMP_2012__SRS075404__bin.1	2111433.0	2146139.0	2381099.0	1484858.0	1065928.0	1638996.0	1395438.0	2206762.0	2223661.0	1544886.0	1178233.0	2255331.0	2030788.0	2150689.0	2042880.0	2109017.0	2255683.0	2015317.0	1985154.0	1976989.0	1416469.0	1267633.0	1915858.0	1767553.0	1992273.0	1715354.0
HMP_2012__SRS057539__bin.13	1489938.0	1507858.0	1484858.0	1639392.0	826979.0	1197402.0	1038581.0	1528575.0	1568181.0	1144606.0	877560.0	1544956.0	1467972.0	1526935.0	1474994.0	1464000.0	1556022.0	1494545.0	1397768.0	1414233.0	1103125.0	936825.0	1359701.0	1349256.0	1437829.0	1226751.0
HMP_2012__SRS019327__bin.34	1058956.0	1098696.0	1065928.0	826979.0	1187579.0	913804.0	810934.0	1113340.0	1109204.0	864288.0	730903.0	1113185.0	1060325.0	1088329.0	1067673.0	1099942.0	1120455.0	1021907.0	1050976.0	1053783.0	819954.0	767049.0	1026412.0	920880.0	1037933.0	926759.0
HMP_2012__SRS043663__bin.42	1632839.0	1658236.0	1638996.0	1197402.0	913804.0	1833080.0	1152414.0	1672592.0	1696150.0	1276376.0	962947.0	1700044.0	1597181.0	1667609.0	1609012.0	1646678.0	1711977.0	1544215.0	1558346.0	1569578.0	1164577.0	1063517.0	1547020.0	1399933.0	1535357.0	1444862.0
HMP_2012__SRS017209__bin.9	1406032.0	1396077.0	1395438.0	1038581.0	810934.0	1152414.0	1602519.0	1435372.0	1432347.0	1108243.0	863045.0	1434120.0	1376994.0	1391212.0	1355902.0	1398424.0	1479774.0	1331922.0	1317338.0	1329854.0	1030517.0	918109.0	1301623.0	1217608.0	1324536.0	1130561.0
HMP_2012__SRS057205__bin.27	2195144.0	2206155.0	2206762.0	1528575.0	1113340.0	1672592.0	1435372.0	2593067.0	2302492.0	1594366.0	1215066.0	2327948.0	2113420.0	2234392.0	2128608.0	2188154.0	2407504.0	2087333.0	2030476.0	2037888.0	1477146.0	1309470.0	1970907.0	1827410.0	2028917.0	1755659.0
HMP_2012__SRS019122__bin.44	2221187.0	2277544.0	2223661.0	1568181.0	1109204.0	1696150.0	1432347.0	2302492.0	2505531.0	1610807.0	1225401.0	2337077.0	2117815.0	2293564.0	2261229.0	2190241.0	2359419.0	2163254.0	2051243.0	2064775.0	1484114.0	1320878.0	2011272.0	1872352.0	2057788.0	1748940.0
HMP_2012__SRS011306__bin.62	1561128.0	1574872.0	1544886.0	1144606.0	864288.0	1276376.0	1108243.0	1594366.0	1610807.0	1697328.0	952784.0	1608005.0	1547977.0	1582910.0	1542637.0	1566530.0	1628993.0	1507827.0	1471766.0	1473631.0	1131198.0	1056013.0	1450719.0	1351963.0	1467889.0	1324150.0
HMP_2012__SRS018739__bin.5	1178505.0	1192446.0	1178233.0	877560.0	730903.0	962947.0	863045.0	1215066.0	1225401.0	952784.0	1283254.0	1227047.0	1169920.0	1209791.0	1171082.0	1197065.0	1232811.0	1133440.0	1159807.0	1140734.0	881924.0	825204.0	1115372.0	1008636.0	1120016.0	1017221.0
