	CM_cf__CF_TNFC002SA_t1M15__bin.23	HMP_2012__SRS044373__bin.34	HMP_2012__SRS075404__bin.1	HMP_2012__SRS057539__bin.13	HMP_2012__SRS019327__bin.34	HMP_2012__SRS043663__bin.42	HMP_2012__SRS017209__bin.9	HMP_2012__SRS057205__bin.27	HMP_2012__SRS019122__bin.44	HMP_2012__SRS011306__bin.62	HMP_2012__SRS018739__bin.5	HMP_2012__SRS014271__bin.8	HMP_2012__SRS018439__bin.36	HMP_2012__SRS045715__bin.40	HMP_2012__SRS019126__bin.59	HMP_2012__SRS024081__bin.34	HMP_2012__SRS078182__bin.43	HMP_2012__SRS019127__bin.43	HMP_2012__SRS016319__bin.52	HMP_2012__SRS048791__bin.59	HMP_2012__SRS016225__bin.42	HMP_2012__SRS019071__bin.66	HMP_2012__SRS019607__bin.64	FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.13	HMP_2012__SRS013705__bin.70	HMP_2012__SRS062761__bin.52
CM_cf__CF_TNFC002SA_t1M15__bin.23	1.0	0.8055923032540336	0.80028000059177	0.564264651949765	0.40229645646637074	0.6191248346353568	0.5347423426145173	0.8355171718382942	0.8411226341857675	0.5936549810283247	0.4479775874943451	0.8448862127739758	0.7834457047239588	0.8133304731122346	0.7743343951449954	0.7989438464886632	0.8610500956564869	0.7657950000116797	0.7452917308724012	0.7479352292290717	0.5379776108536826	0.4770564587400129	0.7200807765889605	0.6908928951017805	0.7533993675848704	0.636230488140075
HMP_2012__SRS044373__bin.34	0.864525258703674	1.0	0.8716613354992245	0.6128105948179047	0.44726531164768174	0.6749642360554041	0.5682740387186481	0.8965527902561634	0.9263872733836034	0.642119063853682	0.48603743849938497	0.9117779526980052	0.8297957945612066	0.8922343775068186	0.8602611603561688	0.8719074215198673	0.9231538952617787	0.8302754325097599	0.8105588868388685	0.8175809033905557	0.5847755896037221	0.5306521237766725	0.8008721221723086	0.7330263316220118	0.8018476923899674	0.7011792910048665
HMP_2012__SRS075404__bin.1	0.8632870787816886	0.8761907841715108	1.0	0.6064531546147387	0.436471562081207	0.6698306118309234	0.5711694473854301	0.9023555929425866	0.9076199687623235	0.6334898296962873	0.48249694783795216	0.9216752432385215	0.8297172860095275	0.8773940100768595	0.8345457286740282	0.8624068129884562	0.922484953376571	0.8231081529999383	0.8126890146104803	0.808342702256395	0.5807797155851143	0.5209283612315153	0.7827423387267812	0.7220871538730644	0.8138897206710012	0.700374490938848
HMP_2012__SRS057539__bin.13	0.8840783656379927	0.8946883966738888	0.8808296002420409	1.0	0.4912925035622963	0.7112453885342859	0.6167969588725576	0.906692237122055	0.9301796031699556	0.6809304913040932	0.5216525394780505	0.915884669438426	0.8712211600398196	0.9061707023091488	0.8753842888095098	0.8688837081064199	0.9228805557182175	0.88680742616775	0.8297204085417033	0.839098885440456	0.6549672073549219	0.5586394224200192	0.8060964064726435	0.8015831478987332	0.8527838369346685	0.7280089203802386
HMP_2012__SRS019327__bin.34	0.8701105358043549	0.9014280313141273	0.8751266231551753	0.6782041447347925	1.0	0.7506102751901137	0.6665527093355473	0.9147037797064449	0.9114332604399371	0.7111274281542533	0.6012593688504091	0.9140048788333239	0.8709660578369944	0.8926126177711124	0.8772974261080736	0.9033521138383215	0.9203160379225297	0.840005591206985	0.8633674054526057	0.8645159606224091	0.6736823402906249	0.6332521878544501	0.8417966299505129	0.7561526433188865	0.8521470992666593	0.7608386473657752
HMP_2012__SRS043663__bin.42	0.8675360595282258	0.8813079625548258	0.8700836842909201	0.6360933510812403	0.486290287385166	1.0	0.6124615401400921	0.8886000610993519	0.9014020119143735	0.679763021799376	0.5123666179326598	0.9032164444541427	0.8488931197765509	0.8857818534924826	0.855185807493399	0.8749170794509786	0.909857725794837	0.8206264865690532	0.8283964693303075	0.8338735898051367	0.6188387849957449	0.5677291771226569	0.8215238833002378	0.7442872105963734	0.8154352237763764	0.787820498832566
HMP_2012__SRS017209__bin.9	0.8571012262569117	0.8487562393956015	0.8486707489895596	0.630989086556852	0.4939623180754799	0.7005789010925924	1.0	0.8747827638861068	0.8712751611681359	0.6755501806842852	0.5262664592432289	0.8725793578734481	0.8377997390358555	0.8449491082477025	0.8250785170097827	0.8513846013682209	0.9091386747988636	0.8104003759081796	0.8016241929112854	0.8085052345713217	0.6272493493056869	0.5614910026027773	0.7904168374914744	0.7403363080250531	0.8046556702291829	0.6868523867735733
HMP_2012__SRS057205__bin.27	0.8276226568769723	0.8275428286272587	0.828593322116243	0.5732300785132045	0.4189182153797029	0.6281654118462808	0.5406169605336075	1.0	0.8642742358758952	0.6005112864418852	0.4578454779610399	0.874526574130171	0.7938738181466194	0.8374584999153512	0.7993349188432076	0.8225942484324548	0.9052107022302162	0.7837136487410468	0.7627708809683668	0.7656794058927131	0.5549401538795565	0.4946034946262476	0.7391135670617072	0.6860181399092271	0.7612761259157592	0.6586482339253092
HMP_2012__SRS019122__bin.44	0.8622838831369478	0.884954925722332	0.8625449056507383	0.6086250778777033	0.4320038347160742	0.659477771378602	0.5572611155080499	0.8944694757318908	1.0	0.6277060631059843	0.4772050315881145	0.9073058764788781	0.8226403904002784	0.890174178647161	0.9021632540168132	0.8506292678079018	0.9165370534230068	0.8631751113835751	0.7968127315128011	0.8020136250559262	0.5766769598939308	0.5159884272036547	0.7811545736213202	0.7272171048771697	0.798390840105351	0.6791143274619232
HMP_2012__SRS011306__bin.62	0.8983779210618101	0.9054784932552813	0.8886921090089835	0.6576878481943383	0.49755851550201263	0.7341303507630818	0.6378154369691658	0.9174219714751656	0.9265958023434481	1.0	0.5489999575803852	0.9250115475618148	0.8905185090919375	0.9094152691760226	0.8875261587624784	0.9018527945099591	0.9372313424394108	0.867447541076327	0.8544659606157443	0.8477836929574013	0.650779931751553	0.6105290197298341	0.8339077656174881	0.7777306448724112	0.8443983720294487	0.7613378203859242
