	OhJ_2014__MET0249__bin.5	OhJ_2014__MET0026__bin.1	OhJ_2014__MET0238__bin.3	FerrettiP_2018__CA_C10035IS2605FE_t2M15__bin.4	OhJ_2014__MET0067__bin.3	OhJ_2014__MET0254__bin.2	OhJ_2014__MET0232__bin.3	OhJ_2014__MET0204__bin.7	OhJ_2014__MET0258__bin.6	OhJ_2014__MET0297__bin.3	OhJ_2014__MET0202__bin.4	HMP_2012__SRS024596__bin.6	OhJ_2014__MET0188__bin.12	OhJ_2014__MET0266__bin.3	HMP_2012__SRS017849__bin.5	OhJ_2014__MET0197__bin.1	OhJ_2014__MET0276__bin.31	OhJ_2014__MET0314__bin.3	OhJ_2014__MET0259__bin.28	HMP_2012__SRS020263__bin.4	OhJ_2014__MET0212__bin.8	HMP_2012__SRS019016__bin.5	OhJ_2014__MET0076__bin.2	OhJ_2014__MET0296__bin.3	OhJ_2014__MET0014__bin.2	OhJ_2014__MET0288__bin.6	HMP_2012__SRS058182__bin.3	OhJ_2014__MET0250__bin.9	OhJ_2014__MET0199__bin.9	OhJ_2014__MET0306__bin.4	HMP_2012__SRS024598__bin.3	HMP_2012__SRS015381__bin.1	OhJ_2014__MET0190__bin.9	OhJ_2014__MET0292__bin.1	OhJ_2014__MET0207__bin.1	OhJ_2014__MET0317__bin.3	OhJ_2014__MET0246__bin.3	OhJ_2014__MET0311__bin.3	HMP_2012__SRS020261__bin.4	OhJ_2014__MET0211__bin.5	OhJ_2014__MET0262__bin.1	OhJ_2014__MET0243__bin.10	HMP_2012__SRS024482__bin.7	OhJ_2014__MET0216__bin.2	HMP_2012__SRS017851__bin.9	FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.4	HMP_2012__SRS013261__bin.1
OhJ_2014__MET0249__bin.5	1.0	0.9219468350657576	0.8778184493871316	0.6177652658246712	0.5048652248425916	0.7928872806527327	0.9285663723408218	0.8580818523900003	0.6859701575947245	0.5644405946127193	0.8505756119369621	0.8997722700346484	0.7139963116128312	0.8698548861815879	0.6761288700122946	0.900669218732536	0.7311938824932007	0.47518022800938864	0.8045499422525241	0.8721028463917142	0.5819804589992922	0.8593234231213442	0.9258033419023136	0.8109724861219776	0.8443132707425207	0.8059568384188368	0.6931233933161953	0.8591809172534556	0.9051977385343318	0.9112994113483104	0.9157468984016989	0.8499366640587162	0.9143865727804478	0.7251872135911479	0.6394629484743489	0.8779507097351067	0.9170154800491785	0.8702074252077047	0.8756342908237398	0.8712068291047278	0.7460219440408331	0.7051716590290973	0.7235595730412429	0.8611075407026564	0.8730263403002869	0.6398299243694349	0.8796780112514437
OhJ_2014__MET0026__bin.1	0.9714923666557069	1.0	0.9004411685322681	0.6365286563252968	0.522816608351286	0.7930109875010428	0.9552025007729037	0.8767441860465116	0.7105006943865108	0.5850017421004333	0.8558041388380435	0.9039155547485732	0.7281714815705403	0.8879127673878799	0.6930443573121599	0.9139642844874544	0.7515705894188255	0.49033747675154704	0.8242799727152721	0.8994788420675542	0.5903104864631435	0.8918857378408751	0.9468153913346452	0.8389489490963161	0.8715252457343076	0.8258375577224123	0.7157019683281234	0.8799947982353259	0.9268710404020081	0.9344602187685558	0.9191145222473587	0.8734283064330125	0.9249910441315752	0.7485314829445914	0.654681342840458	0.9096271905072703	0.9272709874028963	0.8912733036603738	0.9038056306648935	0.8919691623686677	0.7657306761803344	0.728025243280645	0.7414104633987153	0.8798986146621062	0.9001236645941397	0.6605362724939517	0.8993173910696497
OhJ_2014__MET0238__bin.3	0.9532985748481613	0.9279959216351087	1.0	0.6319235225662949	0.5119187482899341	0.7775101238429081	0.9416688624629096	0.8643953788646225	0.6992645894855667	0.5891335649329401	0.8551452184155572	0.8872228934643495	0.7287052860443957	0.8765197143728477	0.6749380330284843	0.8993543094671776	0.7350175469828748	0.4805804791775298	0.8132120006291526	0.8851073428269279	0.5805196374989063	0.8736293553260239	0.9381220404164747	0.8543729387542275	0.8553080697914238	0.8182219563103138	0.6986141954813295	0.8764215989476362	0.9089761958828947	0.9352959115706914	0.9016746886984686	0.8585539708172357	0.902530922795804	0.7700528457772183	0.6525747965748613	0.8932837968444258	0.9143791190145165	0.8853617348830176	0.8900520568078197	0.8798950872999697	0.7551595311296474	0.7185422475411718	0.7306766980416869	0.8804064001602214	0.8905901743976395	0.6559223532731863	0.8873892850875175
FerrettiP_2018__CA_C10035IS2605FE_t2M15__bin.4	0.9210975831617072	0.9006718763236505	0.8676057844135248	1.0	0.5037648960591495	0.7481748378289423	0.9011280800696596	0.8669933465079235	0.6851458116052123	0.5794849966600608	0.8189752983378075	0.8944877810999718	0.6947830289428989	0.9392158850560984	0.7231704285537717	0.8596725609764565	0.7280928461419884	0.47404429828642375	0.791859991973036	0.9619163612578169	0.5838053919533158	0.9576459608956314	0.9507911003467704	0.8114010662807799	0.9224023119878123	0.8165623485396619	0.7523146958711131	0.8433151916541795	0.8695437823665101	0.9235015060972984	0.9155786982708698	0.9317048410369504	0.8716137113875955	0.717555720045051	0.6356668004493988	0.9704203601579284	0.877170092476735	0.8896952114577272	0.9638147798903722	0.9168126009446265	0.762383119489274	0.7074088321600727	0.758302283240727	0.864056144307591	0.9782070706720013	0.6647923196675892	0.9044083030470522
OhJ_2014__MET0067__bin.3	0.9767860730854863	0.9599306573585102	0.9120125133914372	0.6536868462523348	1.0	0.8041142459663504	0.964943942925672	0.901552550747803	0.7355095413708687	0.6289456873039714	0.8545183092144801	0.9157409418020978	0.7687689608785323	0.8951120465720174	0.7114117120226048	0.9237519270604793	0.7636367404273187	0.48980628931270953	0.8653107489203505	0.9085093404429964	0.6174603617963133	0.8963356342427947	0.9568230330017272	0.8435465661606828	0.875470671288308	0.8402821640021949	0.7203237191298651	0.8922305786993029	0.9167230556173757	0.9520196855253543	0.9337163276872301	0.8693581390655142	0.9399126549419697	0.7596740463359496	0.6838287301628777	0.9134631585681321	0.9114169379493283	0.902913994761459	0.9114529788232835	0.8976448189892157	0.7939975726471391	0.7536101692929952	0.8102826415437748	0.8840456962240877	0.9026436882067953	0.6759465910288859	0.9268415309802848
OhJ_2014__MET0254__bin.2	0.9545587575689617	0.9060181655079614	0.8619320475442924	0.604104619869926	0.5003627494954026	1.0	0.9167649697241534	0.8513523211482396	0.698116169544741	0.5607866113478358	0.8674669208342678	0.8938158779995514	0.702594752186589	0.859122000448531	0.6901362413097107	0.8838041040592061	0.7232204530163714	0.4798598340435075	0.797293675712043	0.8545694101816551	0.6026267100246692	0.8457619421394932	0.9063119533527697	0.8011403902220229	0.8310276967930029	0.8110899304776856	0.7016892801076474	0.862032406369141	0.8913915676160574	0.9023239515586454	0.90626878223817	0.8368664498766539	0.892368804664723	0.721846826642745	0.6620262390670554	0.861512110338641	0.8902522987216864	0.856735254541377	0.8605488898856246	0.8536678627494954	0.7743569185916125	0.697069410181655	0.7115345368916798	0.8633813635344247	0.8514975330791658	0.6389711818793451	0.8701351199820587
OhJ_2014__MET0232__bin.3	0.9550983651317523	0.932388881171472	0.8918855352720549	0.6216408079975858	0.512995118866849	0.783252779467626	1.0	0.8591963135229902	0.6939725909284691	0.5782566834161226	0.8438808601141007	0.8828470562312287	0.7175112448087065	0.8738047450937187	0.6818708296010308	0.9018327002390271	0.7395707093689974	0.48265161930035494	0.8168032649463746	0.8802464996191854	0.5795399567931099	0.8655997470816189	0.9293179346914923	0.8263250671814449	0.8543942173661041	0.8125817314370841	0.697422914980145	0.8802488946796128	0.91459980935319	0.927116874158735	0.9002356739460536	0.855744552435058	0.9124155142434244	0.738337732260985	0.6430847420280413	0.8842529567020976	0.9149633795260654	0.8810129189559452	0.8842807394030552	0.8795016358262719	0.7555050463923205	0.7091879308114943	0.7280078366377184	0.8729286319893851	0.8759488031883045	0.6444532795562432	0.8907311161460604
OhJ_2014__MET0204__bin.7	0.9136466189647392	0.8859085927931413	0.8474961446727063	0.6191318447555152	0.49615409408486183	0.7529526104656641	0.8894197918371193	1.0	0.6888916987737332	0.5549236620402739	0.8376359281793434	0.8844740639364503	0.6985208435604877	0.8678661569204984	0.6876500602472368	0.8604207885198023	0.7344455518696478	0.4827137537251635	0.7885723636255448	0.8864694127505963	0.5904283752088819	0.8696577064397601	0.9236427016546916	0.7993568669453411	0.8557874536988829	0.8253311118714329	0.7201171226118045	0.8395375590695645	0.8713089270041504	0.9198116716004939	0.9047255651587502	0.8626397711100864	0.8671813714552064	0.712231428727271	0.6526982332435823	0.8799151084202331	0.8812732745240964	0.8935756115218502	0.8880626174573186	0.8796086656848598	0.7893890483911756	0.690913824137572	0.7363952813769097	0.8908210979377098	0.8724880869146968	0.6652856909093614	0.8807124545666414
OhJ_2014__MET0258__bin.6	0.9663654667876452	0.9498765611909434	0.9070964685937948	0.6473468364827779	0.5355505738280858	0.8169070820351428	0.9504807979336547	0.9114599632471854	1.0	0.598037575521392	0.8814790613270771	0.9120628878579906	0.7420243702258901	0.8924524204569237	0.7141546885425298	0.9150834155055939	0.7736841449197205	0.5000147614839424	0.8320064399433946	0.905955569901531	0.6360461004423853	0.8893124888058747	0.9524358744735891	0.8597816481295232	0.8861062944935728	0.8358549228236816	0.7335368449919534	0.890269032965346	0.925534546136854	0.9430515070819039	0.9302805272408424	0.8828955077196	0.9239147192989017	0.7578349036271919	0.6912901340145923	0.9057226664882168	0.9293397286642432	0.9127465085810146	0.9079828136962953	0.904240613500394	0.8073213023958873	0.746567626950402	0.7568652381486606	0.9028490976140849	0.8985859810515031	0.6873602989561335	0.9048769974748021
OhJ_2014__MET0297__bin.3	0.9598323636113097	0.9440626007239852	0.9225006394859404	0.6609021859728066	0.5527977806868118	0.7921064864860584	0.9560104946968203	0.886259407174755	0.7218873665295831	1.0	0.8790757824496548	0.9028448611068215	0.7475285749243902	0.8952169619389055	0.715123466322651	0.9169967047665658	0.7841071707162164	0.49077279203125285	0.8272112948659772	0.9096673643596865	0.625024450933016	0.9039084271971984	0.9480056353956062	0.8714708493402802	0.8867131848142086	0.838706203132412	0.7256268744065452	0.9040668138078279	0.9133957851739045	0.9464312724859492	0.9241557795670186	0.8818934802527534	0.9181117465053974	0.7770059070286435	0.6802570297917295	0.914015868754519	0.9225536990005013	0.9071973251669196	0.9136214860940516	0.8933384967368398	0.7816300041259712	0.7413412019801494	0.7685203443641688	0.9061068333527357	0.9061044575535763	0.6742169563953742	0.9081721947553442
