	OhJ_2014__MET0249__bin.5	OhJ_2014__MET0026__bin.1	OhJ_2014__MET0238__bin.3	FerrettiP_2018__CA_C10035IS2605FE_t2M15__bin.4	OhJ_2014__MET0067__bin.3	OhJ_2014__MET0254__bin.2	OhJ_2014__MET0232__bin.3	OhJ_2014__MET0204__bin.7	OhJ_2014__MET0258__bin.6	OhJ_2014__MET0297__bin.3	OhJ_2014__MET0202__bin.4	HMP_2012__SRS024596__bin.6	OhJ_2014__MET0188__bin.12	OhJ_2014__MET0266__bin.3	HMP_2012__SRS017849__bin.5	OhJ_2014__MET0197__bin.1	OhJ_2014__MET0276__bin.31	OhJ_2014__MET0314__bin.3	OhJ_2014__MET0259__bin.28	HMP_2012__SRS020263__bin.4	OhJ_2014__MET0212__bin.8	HMP_2012__SRS019016__bin.5	OhJ_2014__MET0076__bin.2	OhJ_2014__MET0296__bin.3	OhJ_2014__MET0014__bin.2	OhJ_2014__MET0288__bin.6	HMP_2012__SRS058182__bin.3	OhJ_2014__MET0250__bin.9	OhJ_2014__MET0199__bin.9	OhJ_2014__MET0306__bin.4	HMP_2012__SRS024598__bin.3	HMP_2012__SRS015381__bin.1	OhJ_2014__MET0190__bin.9	OhJ_2014__MET0292__bin.1	OhJ_2014__MET0207__bin.1	OhJ_2014__MET0317__bin.3	OhJ_2014__MET0246__bin.3	OhJ_2014__MET0311__bin.3	HMP_2012__SRS020261__bin.4	OhJ_2014__MET0211__bin.5	OhJ_2014__MET0262__bin.1	OhJ_2014__MET0243__bin.10	HMP_2012__SRS024482__bin.7	OhJ_2014__MET0216__bin.2	HMP_2012__SRS017851__bin.9	FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.4	HMP_2012__SRS013261__bin.1
OhJ_2014__MET0249__bin.5	2147280.0	1979678.0	1884922.0	1326515.0	1084087.0	1702551.0	1993892.0	1842542.0	1472970.0	1212012.0	1826424.0	1932063.0	1533150.0	1867822.0	1451838.0	1933989.0	1570078.0	1020345.0	1727594.0	1872649.0	1249675.0	1845208.0	1987959.0	1741385.0	1812977.0	1730615.0	1488330.0	1844902.0	1943713.0	1956815.0	1966365.0	1825052.0	1963444.0	1557180.0	1373106.0	1885206.0	1969089.0	1868579.0	1880232.0	1870725.0	1601918.0	1514201.0	1553685.0	1849039.0	1874632.0	1373894.0	1888915.0
OhJ_2014__MET0026__bin.1	1979678.0	2037770.0	1834892.0	1297099.0	1065380.0	1615974.0	1946483.0	1786603.0	1447837.0	1192099.0	1743932.0	1841972.0	1483846.0	1809362.0	1412265.0	1862449.0	1531528.0	999195.0	1679693.0	1832931.0	1202917.0	1817458.0	1929392.0	1709585.0	1775968.0	1682867.0	1458436.0	1793227.0	1888750.0	1904215.0	1872944.0	1779846.0	1884919.0	1525335.0	1334090.0	1853611.0	1889565.0	1816210.0	1841748.0	1817628.0	1560383.0	1483548.0	1510824.0	1793031.0	1834245.0	1346021.0	1832602.0
OhJ_2014__MET0238__bin.3	1884922.0	1834892.0	1977263.0	1249479.0	1012198.0	1537342.0	1861927.0	1709137.0	1382630.0	1164872.0	1690847.0	1754273.0	1440842.0	1733110.0	1334530.0	1778260.0	1453323.0	950234.0	1607934.0	1750090.0	1147840.0	1727395.0	1854914.0	1689320.0	1691169.0	1617840.0	1381344.0	1732916.0	1797285.0	1849326.0	1782848.0	1697587.0	1784541.0	1522597.0	1290312.0	1766257.0	1807968.0	1750593.0	1759867.0	1739784.0	1493149.0	1420747.0	1444740.0	1740795.0	1760931.0	1296931.0	1754602.0
FerrettiP_2018__CA_C10035IS2605FE_t2M15__bin.4	1326515.0	1297099.0	1249479.0	1440146.0	725495.0	1077481.0	1297756.0	1248597.0	986710.0	834543.0	1179444.0	1288193.0	1000589.0	1352608.0	1041471.0	1238054.0	1048560.0	682693.0	1140394.0	1385300.0	840765.0	1379150.0	1369278.0	1168536.0	1328394.0	1175969.0	1083443.0	1214497.0	1252270.0	1329977.0	1318567.0	1341791.0	1255251.0	1033385.0	915453.0	1397547.0	1263253.0	1281291.0	1388034.0	1320344.0	1097943.0	1018772.0	1092066.0	1244367.0	1408761.0	957398.0	1302480.0
OhJ_2014__MET0067__bin.3	1084087.0	1065380.0	1012198.0	725495.0	1109851.0	892447.0	1070944.0	1000589.0	816306.0	698036.0	948388.0	1016336.0	853219.0	993441.0	789561.0	1025227.0	847523.0	543612.0	960366.0	1008310.0	685289.0	994799.0	1061931.0	936211.0	971642.0	932588.0	799452.0	990243.0	1017426.0	1056600.0	1036286.0	964858.0	1043163.0	843125.0	758948.0	1013808.0	1011537.0	1002100.0	1011577.0	996252.0	881219.0	836395.0	899293.0	981159.0	1001800.0	750200.0	1028656.0
OhJ_2014__MET0254__bin.2	1702551.0	1615974.0	1537342.0	1077481.0	892447.0	1783600.0	1635142.0	1518472.0	1245160.0	1000219.0	1547214.0	1594210.0	1253148.0	1532330.0	1230927.0	1576353.0	1289936.0	855878.0	1422053.0	1524210.0	1074845.0	1508501.0	1616498.0	1428914.0	1482221.0	1446660.0	1251533.0	1537521.0	1589886.0	1609385.0	1616421.0	1492635.0	1591629.0	1287486.0	1180790.0	1536593.0	1587854.0	1528073.0	1534875.0	1522602.0	1381143.0	1243293.0	1269093.0	1539927.0	1518731.0	1139669.0	1551973.0
OhJ_2014__MET0232__bin.3	1993892.0	1946483.0	1861927.0	1297756.0	1070944.0	1635142.0	2087630.0	1793684.0	1448758.0	1207186.0	1761711.0	1843058.0	1497898.0	1824181.0	1423494.0	1882693.0	1543950.0	1007598.0	1705183.0	1837629.0	1209865.0	1807052.0	1940072.0	1725061.0	1783659.0	1696370.0	1455961.0	1837634.0	1909346.0	1935477.0	1879359.0	1786478.0	1904786.0	1541376.0	1342523.0	1845993.0	1910105.0	1839229.0	1846051.0	1836074.0	1577215.0	1480522.0	1519811.0	1822352.0	1828657.0	1345380.0	1859517.0
OhJ_2014__MET0204__bin.7	1842542.0	1786603.0	1709137.0	1248597.0	1000589.0	1518472.0	1793684.0	2016690.0	1389281.0	1119109.0	1689252.0	1783710.0	1408700.0	1750217.0	1386777.0	1735202.0	1481149.0	973484.0	1590306.0	1787734.0	1190711.0	1753830.0	1862701.0	1612055.0	1725858.0	1664437.0	1452253.0	1693087.0	1757160.0	1854975.0	1824551.0	1739677.0	1748836.0	1436350.0	1316290.0	1774516.0	1777255.0	1802065.0	1790947.0	1773898.0	1591953.0	1393359.0	1485081.0	1796510.0	1759538.0	1341675.0	1776124.0
OhJ_2014__MET0258__bin.6	1472970.0	1447837.0	1382630.0	986710.0	816306.0	1245160.0	1448758.0	1389281.0	1524237.0	911551.0	1343583.0	1390200.0	1131021.0	1360309.0	1088541.0	1394804.0	1179278.0	762141.0	1268175.0	1380891.0	969485.0	1355523.0	1451738.0	1310511.0	1350636.0	1274041.0	1118084.0	1356981.0	1410734.0	1437434.0	1417968.0	1345742.0	1408265.0	1155120.0	1053690.0	1380536.0	1416534.0	1391242.0	1383981.0	1378277.0	1230549.0	1137946.0	1153642.0	1376156.0	1369658.0	1047700.0	1379247.0
OhJ_2014__MET0297__bin.3	1212012.0	1192099.0	1164872.0	834543.0	698036.0	1000219.0	1207186.0	1119109.0	911551.0	1262733.0	1110038.0	1140052.0	943929.0	1130420.0	903010.0	1157922.0	990118.0	619715.0	1044547.0	1148667.0	789239.0	1141395.0	1197078.0	1100435.0	1119682.0	1059062.0	916273.0	1141595.0	1153375.0	1195090.0	1166962.0	1113596.0	1159330.0	981151.0	858983.0	1154158.0	1164939.0	1145548.0	1153660.0	1128048.0	986990.0	936116.0	970436.0	1144171.0	1144168.0	851356.0	1146779.0
OhJ_2014__MET0202__bin.4	1826424.0	1743932.0	1690847.0	1179444.0	948388.0	1547214.0	1761711.0	1689252.0	1343583.0	1110038.0	1978724.0	1724980.0	1368038.0	1688632.0	1350899.0	1699907.0	1421438.0	954266.0	1568772.0	1675821.0	1177383.0	1667206.0	1763676.0	1592166.0	1658396.0	1592373.0	1364988.0	1667080.0	1765515.0	1766246.0	1759149.0	1678826.0	1707049.0	1430262.0	1268923.0	1686875.0	1752764.0	1678159.0	1682493.0	1672878.0	1508806.0	1338029.0	1384245.0	1716882.0	1677673.0	1265597.0	1673587.0
HMP_2012__SRS024596__bin.6	1932063.0	1841972.0	1754273.0	1288193.0	1016336.0	1594210.0	1843058.0	1783710.0	1390200.0	1140052.0	1724980.0	2050318.0	1427151.0	1852749.0	1459853.0	1780280.0	1501018.0	975055.0	1627009.0	1849575.0	1205343.0	1813479.0	1942285.0	1644157.0	1807004.0	1698796.0	1479744.0	1730072.0	1805505.0	1875157.0	1972763.0	1801086.0	1791563.0	1480308.0	1324894.0	1840665.0	1812758.0	1787946.0	1858879.0	1836456.0	1530254.0	1415839.0	1534896.0	1771504.0	1835298.0	1351789.0	1907961.0
OhJ_2014__MET0188__bin.12	1533150.0	1483846.0	1440842.0	1000589.0	853219.0	1253148.0	1497898.0	1408700.0	1131021.0	943929.0	1368038.0	1427151.0	1570857.0	1418244.0	1115606.0	1476002.0	1228656.0	814682.0	1334566.0	1419860.0	959157.0	1404484.0	1494371.0	1344698.0	1378336.0	1328126.0	1154543.0	1397526.0	1453648.0	1485323.0	1462787.0	1382339.0	1486677.0	1207669.0	1081312.0	1433272.0	1462383.0	1424954.0	1430659.0	1422081.0	1228684.0	1186775.0	1200268.0	1408938.0	1423506.0	1081829.0	1442203.0
