	OhJ_2014__MET0249__bin.5	OhJ_2014__MET0026__bin.1	OhJ_2014__MET0238__bin.3	FerrettiP_2018__CA_C10035IS2605FE_t2M15__bin.4	OhJ_2014__MET0067__bin.3	OhJ_2014__MET0254__bin.2	OhJ_2014__MET0232__bin.3	OhJ_2014__MET0204__bin.7	OhJ_2014__MET0258__bin.6	OhJ_2014__MET0297__bin.3	OhJ_2014__MET0202__bin.4	HMP_2012__SRS024596__bin.6	OhJ_2014__MET0188__bin.12	OhJ_2014__MET0266__bin.3	HMP_2012__SRS017849__bin.5	OhJ_2014__MET0197__bin.1	OhJ_2014__MET0276__bin.31	OhJ_2014__MET0314__bin.3	OhJ_2014__MET0259__bin.28	HMP_2012__SRS020263__bin.4	OhJ_2014__MET0212__bin.8	HMP_2012__SRS019016__bin.5	OhJ_2014__MET0076__bin.2	OhJ_2014__MET0296__bin.3	OhJ_2014__MET0014__bin.2	OhJ_2014__MET0288__bin.6	HMP_2012__SRS058182__bin.3	OhJ_2014__MET0250__bin.9	OhJ_2014__MET0199__bin.9	OhJ_2014__MET0306__bin.4	HMP_2012__SRS024598__bin.3	HMP_2012__SRS015381__bin.1	OhJ_2014__MET0190__bin.9	OhJ_2014__MET0292__bin.1	OhJ_2014__MET0207__bin.1	OhJ_2014__MET0317__bin.3	OhJ_2014__MET0246__bin.3	OhJ_2014__MET0311__bin.3	HMP_2012__SRS020261__bin.4	OhJ_2014__MET0211__bin.5	OhJ_2014__MET0262__bin.1	OhJ_2014__MET0243__bin.10	HMP_2012__SRS024482__bin.7	OhJ_2014__MET0216__bin.2	HMP_2012__SRS017851__bin.9	FerrettiP_2018__CA_C10042MS2726SK_t0M15__bin.4	HMP_2012__SRS013261__bin.1
OhJ_2014__MET0249__bin.5	0.0	27386.0	29817.0	48503.0	11168.0	25303.0	25056.0	55652.0	27791.0	16774.0	25946.0	52158.0	5296.0	63992.0	38229.0	5770.0	27437.0	13411.0	21335.0	68255.0	31414.0	66801.0	57423.0	27360.0	67263.0	43530.0	43349.0	19556.0	21903.0	58689.0	53973.0	66076.0	7263.0	24501.0	30624.0	67979.0	3144.0	73946.0	69052.0	75198.0	49988.0	7110.0	44165.0	69659.0	71564.0	35753.0	52198.0
OhJ_2014__MET0026__bin.1	27386.0	0.0	32343.0	47722.0	13232.0	25476.0	25411.0	53237.0	28422.0	19100.0	28769.0	50882.0	17813.0	63787.0	36919.0	21617.0	27622.0	13625.0	21382.0	66916.0	31749.0	66201.0	55059.0	29664.0	65716.0	42347.0	43241.0	24622.0	24625.0	56509.0	52092.0	63536.0	24349.0	26163.0	30895.0	67014.0	26836.0	70440.0	67807.0	73202.0	48468.0	18875.0	42543.0	67565.0	69996.0	34816.0	50542.0
OhJ_2014__MET0238__bin.3	29817.0	32343.0	0.0	44875.0	12737.0	25171.0	29249.0	48135.0	27483.0	267.0	14992.0	45160.0	19954.0	59514.0	33490.0	24880.0	26659.0	15393.0	23931.0	62621.0	27330.0	61299.0	49965.0	1441.0	61835.0	37695.0	38605.0	17743.0	27969.0	52376.0	46434.0	60076.0	26347.0	903.0	26139.0	62680.0	27074.0	67951.0	63544.0	69733.0	44533.0	12257.0	38389.0	61844.0	65400.0	31285.0	45800.0
FerrettiP_2018__CA_C10035IS2605FE_t2M15__bin.4	48503.0	47722.0	44875.0	0.0	24786.0	34314.0	46898.0	36475.0	32256.0	28637.0	35509.0	35149.0	34876.0	28377.0	19034.0	43176.0	34077.0	22447.0	37465.0	29585.0	24791.0	21185.0	37214.0	40834.0	28161.0	29609.0	20980.0	39714.0	44028.0	39889.0	37305.0	29068.0	44824.0	36412.0	26461.0	29563.0	43674.0	45972.0	29265.0	44005.0	33779.0	35629.0	28615.0	42812.0	19071.0	24692.0	36737.0
OhJ_2014__MET0067__bin.3	11168.0	13232.0	12737.0	24786.0	0.0	11355.0	10993.0	26409.0	12124.0	7689.0	10658.0	24532.0	7113.0	32173.0	19257.0	8407.0	12935.0	5794.0	9814.0	34412.0	16101.0	34054.0	27371.0	11397.0	33450.0	21149.0	22090.0	9936.0	9586.0	28795.0	25699.0	32677.0	9702.0	10579.0	15203.0	34684.0	10663.0	35902.0	35162.0	38042.0	25399.0	7589.0	23376.0	34162.0	35777.0	17774.0	25760.0
OhJ_2014__MET0254__bin.2	25303.0	25476.0	25171.0	34314.0	11355.0	0.0	12950.0	37107.0	16620.0	15319.0	21228.0	35941.0	17890.0	45585.0	27581.0	21321.0	23046.0	13323.0	19726.0	48100.0	21469.0	47747.0	39263.0	23511.0	47069.0	30924.0	31733.0	16689.0	23182.0	41210.0	37650.0	46777.0	23852.0	20599.0	23431.0	48510.0	23131.0	49275.0	48751.0	53754.0	27978.0	16796.0	30664.0	45708.0	50150.0	26020.0	36330.0
OhJ_2014__MET0232__bin.3	25056.0	25411.0	29249.0	46898.0	10993.0	12950.0	0.0	52953.0	22593.0	16665.0	24411.0	50125.0	16164.0	63514.0	37092.0	18632.0	26254.0	13036.0	19489.0	66573.0	30925.0	64835.0	55099.0	27105.0	65699.0	42075.0	42443.0	14416.0	21578.0	58148.0	51831.0	63965.0	21514.0	23534.0	29980.0	66562.0	23257.0	71926.0	67561.0	73721.0	48414.0	16141.0	42771.0	69143.0	68937.0	34444.0	50973.0
OhJ_2014__MET0204__bin.7	55652.0	53237.0	48135.0	36475.0	26409.0	37107.0	52953.0	0.0	33815.0	29975.0	40397.0	37755.0	39889.0	50605.0	27954.0	49384.0	38417.0	26462.0	39753.0	53554.0	24837.0	51572.0	37328.0	45418.0	52105.0	31273.0	32133.0	43879.0	53022.0	43418.0	38927.0	51222.0	50377.0	39274.0	27246.0	51989.0	52282.0	47510.0	53964.0	58321.0	34582.0	38360.0	31498.0	48888.0	54819.0	22400.0	37752.0
OhJ_2014__MET0258__bin.6	27791.0	28422.0	27483.0	32256.0	12124.0	16620.0	22593.0	33815.0	0.0	17024.0	21527.0	35699.0	19159.0	43278.0	26602.0	23779.0	24555.0	14038.0	20977.0	45385.0	20076.0	44300.0	37388.0	25661.0	45114.0	28383.0	29255.0	20806.0	26555.0	37715.0	36624.0	44253.0	25306.0	22392.0	21920.0	45412.0	25796.0	43930.0	45839.0	49313.0	21439.0	19344.0	30339.0	39616.0	46314.0	25110.0	35367.0
OhJ_2014__MET0297__bin.3	16774.0	19100.0	267.0	28637.0	7689.0	15319.0	16665.0	29975.0	17024.0	0.0	9129.0	27607.0	11519.0	36490.0	21669.0	14582.0	17059.0	8758.0	13907.0	38970.0	17654.0	38068.0	30627.0	968.0	38478.0	24022.0	24772.0	10318.0	16708.0	31672.0	28796.0	36240.0	15574.0	820.0	16612.0	38617.0	15502.0	41776.0	39461.0	42613.0	28221.0	7175.0	24446.0	39484.0	39830.0	19818.0	28386.0
