	ZeeviD_2015__PNP_Main_140__bin.60	RaymondF_2016__P7C0__bin.4	XieH_2016__YSZC12003_37332__bin.99	ZeeviD_2015__PNP_Main_712__bin.58	XieH_2016__YSZC12003_36534__bin.4	XieH_2016__YSZC12003_36049__bin.84	LeChatelierE_2013__MH0457__bin.50	XieH_2016__YSZC12003_37314__bin.26	XieH_2016__YSZC12003_37348__bin.73	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	XieH_2016__YSZC12003_35506__bin.67	XieH_2016__YSZC12003_37399__bin.34	XieH_2016__YSZC12003_35991__bin.74	XieH_2016__YSZC12003_37182R1__bin.91	XieH_2016__YSZC12003_37171__bin.15	XieH_2016__YSZC12003_35552__bin.42	LeChatelierE_2013__MH0431__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.43	ZeeviD_2015__PNP_Main_589__bin.51	XieH_2016__YSZC12003_35387__bin.38	ZellerG_2014__CCIS16561622ST-4-0__bin.101	RaymondF_2016__P13E90__bin.60	XieH_2016__YSZC12003_37192R1__bin.125	LiJ_2014__V1.FI17__bin.65	XieH_2016__YSZC12003_37798__bin.1	XieH_2016__YSZC12003_37102__bin.80	XieH_2016__YSZC12003_36058__bin.134	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.12	XieH_2016__YSZC12003_36525__bin.33	ZeeviD_2015__PNP_Main_524__bin.3	RaymondF_2016__P7C7__bin.43	XieH_2016__YSZC12003_35549__bin.60
ZeeviD_2015__PNP_Main_140__bin.60	0.0	45976.0	7298.0	11567.0	7973.0	6252.0	8289.0	43800.0	7979.0	8596.0	6614.0	13352.0	8848.0	15140.0	16000.0	8499.0	8915.0	9848.0	10553.0	8292.0	8126.0	7837.0	15864.0	5716.0	8490.0	41435.0	8603.0	16070.0	44508.0	6424.0	44811.0	8145.0
RaymondF_2016__P7C0__bin.4	45976.0	0.0	86663.0	74081.0	85135.0	56054.0	85612.0	38445.0	83168.0	76028.0	62005.0	64696.0	88740.0	78584.0	85404.0	88865.0	81075.0	88589.0	75903.0	88572.0	42853.0	81054.0	90666.0	53928.0	85124.0	37073.0	81680.0	86111.0	14372.0	63711.0	357.0	87534.0
XieH_2016__YSZC12003_37332__bin.99	7298.0	86663.0	0.0	22982.0	17911.0	9004.0	18352.0	84182.0	17230.0	16873.0	5024.0	25499.0	19093.0	29697.0	32840.0	18729.0	18497.0	19807.0	20675.0	19104.0	14981.0	12070.0	32915.0	11989.0	11798.0	76354.0	17054.0	31831.0	83256.0	9874.0	83943.0	18783.0
ZeeviD_2015__PNP_Main_712__bin.58	11567.0	74081.0	22982.0	0.0	22799.0	15987.0	23601.0	71323.0	23686.0	23043.0	17287.0	25662.0	24365.0	29341.0	32630.0	24400.0	24030.0	25607.0	19708.0	24489.0	13993.0	23212.0	32436.0	16267.0	24131.0	65825.0	23562.0	31778.0	71300.0	19038.0	71067.0	24508.0
XieH_2016__YSZC12003_36534__bin.4	7973.0	85135.0	17911.0	22799.0	0.0	12260.0	17799.0	82070.0	16896.0	17178.0	13335.0	24034.0	18653.0	29081.0	31347.0	14193.0	18531.0	20434.0	20899.0	18780.0	14599.0	18229.0	31848.0	11753.0	19160.0	75922.0	16932.0	30038.0	81984.0	15313.0	81755.0	18939.0
XieH_2016__YSZC12003_36049__bin.84	6252.0	56054.0	9004.0	15987.0	12260.0	0.0	12822.0	53285.0	12390.0	12845.0	7410.0	17617.0	13113.0	21052.0	22884.0	13435.0	13490.0	14495.0	14338.0	13183.0	10386.0	8270.0	22641.0	9017.0	9136.0	50115.0	12832.0	22273.0	53914.0	7703.0	53611.0	13840.0
LeChatelierE_2013__MH0457__bin.50	8289.0	85612.0	18352.0	23601.0	17799.0	12822.0	0.0	82939.0	13044.0	17614.0	14038.0	24959.0	15134.0	30391.0	33030.0	19192.0	16968.0	20676.0	21074.0	14986.0	15362.0	18575.0	33755.0	9377.0	19583.0	75109.0	14183.0	32379.0	82683.0	15212.0	82707.0	14963.0
XieH_2016__YSZC12003_37314__bin.26	43800.0	38445.0	84182.0	71323.0	82070.0	53285.0	82939.0	0.0	80459.0	73649.0	59238.0	63762.0	85581.0	76158.0	82822.0	85047.0	78837.0	85392.0	72951.0	86246.0	41362.0	78965.0	87867.0	51859.0	81158.0	20217.0	78730.0	83051.0	37097.0	62073.0	37452.0	84495.0
XieH_2016__YSZC12003_37348__bin.73	7979.0	83168.0	17230.0	23686.0	16896.0	12390.0	13044.0	80459.0	0.0	17532.0	13551.0	25475.0	13768.0	29820.0	32452.0	18381.0	16134.0	19540.0	21456.0	13929.0	13680.0	17209.0	32280.0	1810.0	18116.0	74477.0	13925.0	31641.0	81171.0	14606.0	80111.0	15242.0
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	8596.0	76028.0	16873.0	23043.0	17178.0	12845.0	17614.0	73649.0	17532.0	0.0	12932.0	23867.0	17284.0	28122.0	30510.0	18136.0	18410.0	519.0	20613.0	17562.0	13706.0	17323.0	30285.0	12386.0	17868.0	68485.0	17451.0	29894.0	73689.0	14275.0	73994.0	18234.0
