	ZeeviD_2015__PNP_Main_140__bin.60	RaymondF_2016__P7C0__bin.4	XieH_2016__YSZC12003_37332__bin.99	ZeeviD_2015__PNP_Main_712__bin.58	XieH_2016__YSZC12003_36534__bin.4	XieH_2016__YSZC12003_36049__bin.84	LeChatelierE_2013__MH0457__bin.50	XieH_2016__YSZC12003_37314__bin.26	XieH_2016__YSZC12003_37348__bin.73	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	XieH_2016__YSZC12003_35506__bin.67	XieH_2016__YSZC12003_37399__bin.34	XieH_2016__YSZC12003_35991__bin.74	XieH_2016__YSZC12003_37182R1__bin.91	XieH_2016__YSZC12003_37171__bin.15	XieH_2016__YSZC12003_35552__bin.42	LeChatelierE_2013__MH0431__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.43	ZeeviD_2015__PNP_Main_589__bin.51	XieH_2016__YSZC12003_35387__bin.38	ZellerG_2014__CCIS16561622ST-4-0__bin.101	RaymondF_2016__P13E90__bin.60	XieH_2016__YSZC12003_37192R1__bin.125	LiJ_2014__V1.FI17__bin.65	XieH_2016__YSZC12003_37798__bin.1	XieH_2016__YSZC12003_37102__bin.80	XieH_2016__YSZC12003_36058__bin.134	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.12	XieH_2016__YSZC12003_36525__bin.33	ZeeviD_2015__PNP_Main_524__bin.3	RaymondF_2016__P7C7__bin.43	XieH_2016__YSZC12003_35549__bin.60
ZeeviD_2015__PNP_Main_140__bin.60	1.0	0.8864708847832343	0.9199382925736886	0.8112503542984243	0.9043848622076632	0.6218938035098803	0.9264141104891807	0.8754535560743518	0.9078272365155642	0.8399252673736047	0.6928465254954228	0.7001694141472713	0.9380848628567596	0.814820384221766	0.8726397233984088	0.94415499555369	0.8802114323176418	0.9476363156425729	0.8369372605104927	0.9284782368812219	0.4593135589736489	0.8847367157022897	0.9215404787301944	0.60477929642283	0.9190544397108491	0.824716939900169	0.8902551165019765	0.8792085784573577	0.8471735099452379	0.7218470685727021	0.855722108870767	0.9325415800303345
RaymondF_2016__P7C0__bin.4	0.4425044470773495	1.0	0.8269938405143596	0.737751501529881	0.8056332886555515	0.529992796112709	0.8376495454638732	0.9050798745853985	0.8187536518956375	0.7463167831133105	0.5974398659018522	0.6029680663664867	0.8446347240327944	0.733622496865175	0.7827903776802619	0.847264088891865	0.7874739844625004	0.8594356342930957	0.7439552689361252	0.8446352640543305	0.3745799982503302	0.7980897278183454	0.8413740739980711	0.5383901309984241	0.8313933959686313	0.8476799054746305	0.7983997001800431	0.7986443299358779	0.8987443419243559	0.6421180076661457	0.9346984357736187	0.8486832654886277
XieH_2016__YSZC12003_37332__bin.99	0.48322188840201774	0.8702359351799078	1.0	0.7970851756742243	0.90197032213997	0.5871625895077917	0.9199431968964003	0.8863233287664305	0.8966622209922586	0.8271790008086316	0.6643593483895274	0.6577601642948511	0.9427121720368027	0.7907934193411271	0.855947647495714	0.9352674195331985	0.8686033289710035	0.9562980924135808	0.8182266589307765	0.9367130687484622	0.4141802049480527	0.8841679248853397	0.9108073075749404	0.5906664704281201	0.9152289257132921	0.8082929349008929	0.8785421673259411	0.8605084889272021	0.8398329775089032	0.7076663164301102	0.8406984349597076	0.9287966618232114
ZeeviD_2015__PNP_Main_712__bin.58	0.4781641136362622	0.8711220729633411	0.8944146628093304	1.0	0.8780450012657284	0.5866845377732236	0.9165148536569346	0.8756276832962755	0.9136888042661103	0.8337336690754827	0.6485566552124097	0.6767521091752872	0.9253743144502817	0.7927285341080313	0.8533935866787989	0.9174464552273306	0.8699972644964156	0.93923483692509	0.8289341036953529	0.9203413704426606	0.4143140166821083	0.8740252775834727	0.9056697615903414	0.6066358598376426	0.9007184363376899	0.814177050208925	0.8899683536030535	0.8613597046931423	0.8428972872603964	0.7102821139512595	0.8355471357874648	0.9328692116839798
XieH_2016__YSZC12003_36534__bin.4	0.4984830469766482	0.8895724983095276	0.9464582366852192	0.821091967662187	1.0	0.6029393349973704	0.9410600544051863	0.8912862258995877	0.9287479293949004	0.8376675416178209	0.6752158259224852	0.6835531046852621	0.9683127356077293	0.8163592411895678	0.8808816216132414	0.9569069661774334	0.8855296753935193	0.9655662396857331	0.8378064763876483	0.9577799297097396	0.42877655115005786	0.8952068100696106	0.9393361899435078	0.607472901757018	0.928476619007469	0.832129231994829	0.902273402160704	0.8902272209587572	0.8587576011629974	0.7158157856135132	0.8474722816189896	0.9595628265414305
XieH_2016__YSZC12003_36049__bin.84	0.5241521865394768	0.8948659336410959	0.9421317677137462	0.838926156138276	0.9219718928855063	1.0	0.9379785234874851	0.8926110548328536	0.9365187333653678	0.872019899100328	0.7267666788543794	0.7101847031137023	0.9441368136091465	0.8412594496563885	0.8960220947122043	0.9605172817814364	0.8923703399095312	0.9638380535645413	0.857157576183082	0.9411524956393215	0.4429555780668586	0.9112445782154818	0.9405725915058633	0.6250801243329052	0.9466552023145104	0.849765622079394	0.9166697819797526	0.9052294405292811	0.8665445463936984	0.7498999300650204	0.8515235704588081	0.9549936037303518
LeChatelierE_2013__MH0457__bin.50	0.4812018498642946	0.8716282964053519	0.9096938058766345	0.8076804207710765	0.8868340460443136	0.5780612388246731	1.0	0.8827859226001494	0.9058030220444034	0.8174911075022899	0.6539017414123478	0.657832984001933	0.9473041543276822	0.7862901005287735	0.8469035002444383	0.9315319820857614	0.8897302187582534	0.9398822200619243	0.8180131378575963	0.9450429593333296	0.4113009176270939	0.8908523873476475	0.9096325558134177	0.5933625160851658	0.9061047769430037	0.8075034137076518	0.883569249096702	0.860656106181761	0.8421040801532936	0.7077714529751236	0.8387128495889503	0.9403632297326912
XieH_2016__YSZC12003_37314__bin.26	0.43391368225762345	0.8986777267194647	0.8363239086955823	0.7363217638889634	0.8014756269537847	0.5249178270964144	0.8423711909574954	1.0	0.8106945420033566	0.7482361646568042	0.5898014445272578	0.5976198008547053	0.8522281859761819	0.7203697646610938	0.7846705308932583	0.8449219022289902	0.7905446200206974	0.8630583869981823	0.7416365946905312	0.8512587333844512	0.36845150324133896	0.8048622766049855	0.8271661206346482	0.5329276074145964	0.826066371040821	0.8550094639592057	0.7952578325656713	0.7882705888030371	0.8743518662498593	0.6454194973645689	0.8765620894706081	0.8454581038837086
XieH_2016__YSZC12003_37348__bin.73	0.49050508238787477	0.8862176395976175	0.9223192522840058	0.8375611552422537	0.9104184567544029	0.6003653240277997	0.942219182726311	0.8837457110959136	1.0	0.8635237109907004	0.6735096240961883	0.6874141488534671	0.9533139273209766	0.8158948100607315	0.8766841437681565	0.9444111268931091	0.892708132405118	0.9601288278651633	0.8420005728280755	0.9548243229815115	0.42136765625639316	0.8852385712031143	0.9336723540311315	0.6303850222993787	0.9219895838813194	0.827894973725896	0.9233035813445094	0.892208369135088	0.8618800451248239	0.716759897358561	0.8480006546606579	0.9711651206153811
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	0.4880795667857327	0.8688004254693176	0.9150853013175216	0.8219686254097217	0.8831298398077844	0.6012224699097387	0.914557236561695	0.8772400318347611	0.9287181730971124	1.0	0.6708408928317724	0.6823269299195204	0.9245797798975806	0.8026986623616816	0.8705354953813192	0.9254114818880076	0.8733424110179454	0.9791276118774337	0.8295036065565526	0.9225775343650712	0.415265723442429	0.8764711946962183	0.9118024987521327	0.6164502229816297	0.9168882652695581	0.8134265493357071	0.9074836834276935	0.876994230263894	0.8400435276234446	0.7095750713201745	0.8394840304416759	0.9455917279913296
