	ZeeviD_2015__PNP_Main_140__bin.60	RaymondF_2016__P7C0__bin.4	XieH_2016__YSZC12003_37332__bin.99	ZeeviD_2015__PNP_Main_712__bin.58	XieH_2016__YSZC12003_36534__bin.4	XieH_2016__YSZC12003_36049__bin.84	LeChatelierE_2013__MH0457__bin.50	XieH_2016__YSZC12003_37314__bin.26	XieH_2016__YSZC12003_37348__bin.73	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	XieH_2016__YSZC12003_35506__bin.67	XieH_2016__YSZC12003_37399__bin.34	XieH_2016__YSZC12003_35991__bin.74	XieH_2016__YSZC12003_37182R1__bin.91	XieH_2016__YSZC12003_37171__bin.15	XieH_2016__YSZC12003_35552__bin.42	LeChatelierE_2013__MH0431__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.43	ZeeviD_2015__PNP_Main_589__bin.51	XieH_2016__YSZC12003_35387__bin.38	ZellerG_2014__CCIS16561622ST-4-0__bin.101	RaymondF_2016__P13E90__bin.60	XieH_2016__YSZC12003_37192R1__bin.125	LiJ_2014__V1.FI17__bin.65	XieH_2016__YSZC12003_37798__bin.1	XieH_2016__YSZC12003_37102__bin.80	XieH_2016__YSZC12003_36058__bin.134	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.12	XieH_2016__YSZC12003_36525__bin.33	ZeeviD_2015__PNP_Main_524__bin.3	RaymondF_2016__P7C7__bin.43	XieH_2016__YSZC12003_35549__bin.60
ZeeviD_2015__PNP_Main_140__bin.60	1.0	0.9362089744061309	0.9278334678405213	0.8237638500933617	0.9130102708679068	0.6286573874737387	0.9353813765602653	0.922837589602342	0.9164591361393047	0.8492246544102852	0.7000017309235992	0.7146139715825618	0.9476568703603134	0.831199248779158	0.8899489593903687	0.9533494453471691	0.8898559222469119	0.9582901503956243	0.8483537834744397	0.937448748434055	0.46810448720306547	0.8932149958566016	0.9387025862162226	0.6109630209809577	0.9282391530590829	0.8695424519830975	0.8995620763294034	0.8965935423567823	0.8953234771658722	0.728796726823474	0.9041998697479992	0.9413530629774916
RaymondF_2016__P7C0__bin.4	0.4673324772191915	1.0	0.8737937268938285	0.7777568369426573	0.8516080221279224	0.5602631632949522	0.8838818692089441	0.9258410025391812	0.8636661630065807	0.7873735404567934	0.6309239012451816	0.6379052996633505	0.8925562351426575	0.7760595492548242	0.8289103769458326	0.8952531026937355	0.8312562304984723	0.9072756021510138	0.7849445235876007	0.8924660515461357	0.3977215411350605	0.8418606334020601	0.8903356665863834	0.5675124123950063	0.8773621892041055	0.8677001238809404	0.8425086592453307	0.8451461244274422	0.9065055314405939	0.6765233197499916	0.9348912234619917	0.8959535106260038
XieH_2016__YSZC12003_37332__bin.99	0.4873690377624714	0.9194829076415404	1.0	0.8101448888287798	0.9121483972557668	0.5922791875951477	0.930371873939843	0.9341604522881775	0.9064533121789695	0.8367672237682006	0.6672142782863374	0.6722501836895082	0.9535619285096913	0.807668987244305	0.874609251359416	0.9459103299705699	0.8791144034736496	0.9675535853407533	0.8299754000964903	0.9475690760630835	0.42269328312960325	0.8910268030410913	0.9295115308140925	0.5974793196583859	0.9219332376007451	0.8516817321423397	0.8882332450449294	0.878596720126517	0.8871438938084276	0.7132772992726861	0.8883997447383539	0.9394702582109068
ZeeviD_2015__PNP_Main_712__bin.58	0.4855397709701218	0.9183595650485536	0.9090690552055231	1.0	0.8925827043481754	0.5968785927396292	0.9315639492509885	0.9211065462705011	0.9287920998146362	0.8484269579095907	0.6595796506589758	0.6931153942536571	0.9409105719880607	0.8114377207452558	0.8741999927308296	0.9330050303934215	0.8853199104489223	0.9555630514446839	0.8415008413745874	0.9359566961493164	0.4232366044812522	0.8888263286800016	0.9263524642168712	0.6170084558305442	0.91610548458904	0.8561501325985945	0.9049925809827025	0.8816228359074061	0.8883614843645884	0.7224216284599497	0.8808627612517511	0.9484966526745765
XieH_2016__YSZC12003_36534__bin.4	0.5032372397656355	0.9403373550874573	0.9571383253649572	0.8346867050754719	1.0	0.6102498082938691	0.9516733589895566	0.9402234643533928	0.9388227872103687	0.84791055224484	0.6831673072772005	0.697884256007289	0.9794352689192783	0.8336998508091013	0.8995734165908389	0.9653700614055906	0.8965794617440428	0.9777507593709415	0.8502682693259458	0.9689781914151431	0.4374817387239229	0.9060765178772675	0.9583267244905626	0.6144810577646648	0.93990146960787	0.8774005006422007	0.9123697262925405	0.9081384768217449	0.9076435589721451	0.7249467217953472	0.8962216898045731	0.9708558978107935
XieH_2016__YSZC12003_36049__bin.84	0.529852753587245	0.9459759120952866	0.9503416054773587	0.853503085983553	0.9331505480367601	1.0	0.9496696096497507	0.9411962619890165	0.9478159223803788	0.883731956638489	0.7335231090885385	0.7262478652507037	0.9560932332664377	0.8604546411934354	0.9168877019292754	0.9727673007012646	0.9046705077717183	0.9770545793734665	0.8702309495565466	0.9531727412232512	0.45242552198210506	0.9187851555483422	0.9612166315776036	0.6333018154828933	0.9549853975397841	0.8954604265577857	0.928369986131538	0.9255379385866934	0.9157032750906556	0.7569235173921091	0.9004060240733159	0.9676129012257313
LeChatelierE_2013__MH0457__bin.50	0.4858596643046994	0.9197360066082637	0.9200062935844773	0.8209424642754792	0.8968357880185885	0.5852662691968374	1.0	0.9293916014362859	0.9131328002517434	0.8273888929472519	0.6617900752420501	0.6718581246242112	0.9558083603526655	0.8033676296225535	0.8654639551806876	0.9423164886294034	0.8992649992413984	0.9515006265488118	0.829855191364303	0.9534640001348625	0.41993324305036556	0.9012901848178513	0.9286004079591367	0.5986317073033677	0.9171089970161667	0.8497092026815165	0.8915390623682983	0.878850746520266	0.8885659056299484	0.7163194893205739	0.8851881613180564	0.9487713462089582
XieH_2016__YSZC12003_37314__bin.26	0.45739931473428524	0.91929199933511	0.8814624363930788	0.7745652745084372	0.8454816967565162	0.5534893322680794	0.886843219998177	1.0	0.8538367909403368	0.7877268803251527	0.6215649581494609	0.6318090907628541	0.8981168597886293	0.7612058102811305	0.8290798243403379	0.8905242443578181	0.8328171498737245	0.9088457186978879	0.7807530416038864	0.8975039812972863	0.39062987608379757	0.8472034402698166	0.8742805514297817	0.5607344890266331	0.8695834249344494	0.8658498528126458	0.8374729888416436	0.8328026724290472	0.8942433390349442	0.6787031426778983	0.8966439138431181	0.8907644626991319
XieH_2016__YSZC12003_37348__bin.73	0.4951689550563768	0.9348308695880898	0.9323905050823879	0.8514060591181954	0.9202944803923288	0.6076075075549009	0.9498436413161018	0.9307754806202909	1.0	0.8737714883593152	0.6814304335373302	0.7023047562265827	0.9613615772645706	0.8333251500751107	0.8956529363284058	0.9551551604210871	0.9021387529883506	0.971550318270293	0.854542000572828	0.9629660803946668	0.4293638685768729	0.8952975491141623	0.9525406094189303	0.6314430006838866	0.9325787200215103	0.8714281539153969	0.9314430006838866	0.9107031172368644	0.9093259917816706	0.7252973737586289	0.8948270117663563	0.9800743507461378
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	0.4934834294536919	0.9165953150597782	0.9256924877759296	0.83645457322938	0.893928764064439	0.6092974601342542	0.9256302515725643	0.9235393665988983	0.9397396389294367	1.0	0.6789705754774271	0.6973308841187039	0.9354453408972323	0.8203775160085345	0.8897155616911651	0.936812651425712	0.8849158302498124	0.9794538804587123	0.8424619384754267	0.9336178596529608	0.42388198004166683	0.8873612729881047	0.9308411191452391	0.624236663535997	0.9281209570042132	0.8564795431485484	0.9184542287299917	0.8957870490861336	0.8863680083283356	0.718549028926633	0.8860002489448134	0.9570545050838806
