	ZeeviD_2015__PNP_Main_140__bin.60	RaymondF_2016__P7C0__bin.4	XieH_2016__YSZC12003_37332__bin.99	ZeeviD_2015__PNP_Main_712__bin.58	XieH_2016__YSZC12003_36534__bin.4	XieH_2016__YSZC12003_36049__bin.84	LeChatelierE_2013__MH0457__bin.50	XieH_2016__YSZC12003_37314__bin.26	XieH_2016__YSZC12003_37348__bin.73	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	XieH_2016__YSZC12003_35506__bin.67	XieH_2016__YSZC12003_37399__bin.34	XieH_2016__YSZC12003_35991__bin.74	XieH_2016__YSZC12003_37182R1__bin.91	XieH_2016__YSZC12003_37171__bin.15	XieH_2016__YSZC12003_35552__bin.42	LeChatelierE_2013__MH0431__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.43	ZeeviD_2015__PNP_Main_589__bin.51	XieH_2016__YSZC12003_35387__bin.38	ZellerG_2014__CCIS16561622ST-4-0__bin.101	RaymondF_2016__P13E90__bin.60	XieH_2016__YSZC12003_37192R1__bin.125	LiJ_2014__V1.FI17__bin.65	XieH_2016__YSZC12003_37798__bin.1	XieH_2016__YSZC12003_37102__bin.80	XieH_2016__YSZC12003_36058__bin.134	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.12	XieH_2016__YSZC12003_36525__bin.33	ZeeviD_2015__PNP_Main_524__bin.3	RaymondF_2016__P7C7__bin.43	XieH_2016__YSZC12003_35549__bin.60
ZeeviD_2015__PNP_Main_140__bin.60	1.0	0.9468728766946	0.9914907410214375	0.9848093652161123	0.9905527802529054	0.9892412240774935	0.9904132514332704	0.9486539841225927	0.9905812498524447	0.9890495559821705	0.9897783032354283	0.9797869087231782	0.989899289708189	0.9802948997109311	0.9805503048131917	0.9903556352412509	0.989161739908504	0.9888824540785972	0.9865427334841479	0.9904309312185676	0.9812201581703637	0.9905081305244086	0.9817172044287145	0.9898787253143421	0.9901052295435235	0.948449311496295	0.9896538993001981	0.9806099831438373	0.9462205912738354	0.9904642021636643	0.9463860120984724	0.9906395556633274
RaymondF_2016__P7C0__bin.4	0.9468728766946	1.0	0.9464405786639902	0.9485631838737204	0.9460142080889594	0.9459711629009825	0.9476940014773152	0.9775759251352619	0.9479978340767752	0.9478560616608175	0.9469285673323742	0.9452313167561052	0.9463098130705414	0.9453172731005017	0.94436069260527	0.9463961491365114	0.9473300236081029	0.9472707435926891	0.9477806986102234	0.9464060426624166	0.9418147108183117	0.9480069457496413	0.9450077151508094	0.9486843269670865	0.9476056823497551	0.9769272610948053	0.94764569054424	0.9449778054380031	0.9914383429035407	0.9491439377188648	0.9997937859683192	0.9472402925188068
XieH_2016__YSZC12003_37332__bin.99	0.9914907410214375	0.9464405786639902	1.0	0.9838797808458241	0.9888416455629172	0.991361171902509	0.9887908509107434	0.948791320158574	0.9891984605768888	0.9885413497479137	0.9957211199014767	0.9784454958195301	0.988621864874738	0.9791058364630839	0.97866292423194	0.9887484996197234	0.988043564681555	0.9883670598737861	0.985844470614011	0.9885433077240918	0.9798599161109917	0.9923022762813171	0.9798773628738415	0.9885973472116809	0.9927279854830916	0.94905515099836	0.989089489981319	0.9794123620257651	0.9466705270365746	0.9921335182708081	0.9463064796436935	0.9886387075115909
ZeeviD_2015__PNP_Main_712__bin.58	0.9848093652161123	0.9485631838737204	0.9838797808458241	1.0	0.9837127663222385	0.9829210578325223	0.9838453435148989	0.9506258389343051	0.9837387769000834	0.982681727994228	0.9832878478959239	0.9763916871360362	0.9834880614584315	0.9769431637710394	0.9761994895618387	0.9833242322825094	0.9826925320760751	0.982912467686033	0.985066280315648	0.9833161878419163	0.9789182038966596	0.9833476455197835	0.9776729663648979	0.9831888916677174	0.9832038465982412	0.9509746237353576	0.9833985076835274	0.9770160998683659	0.9488224130555245	0.9831960810274063	0.9485554078822783	0.9835239893082065
XieH_2016__YSZC12003_36534__bin.4	0.9905527802529054	0.9460142080889594	0.9888416455629172	0.9837127663222385	1.0	0.9880205234034611	0.9888477443609023	0.9479514814199409	0.9892686266751098	0.9879197037943438	0.9883608579186752	0.9794648593965741	0.9886439322081777	0.9792004165495478	0.9792214902832114	0.9912333150089254	0.9876756195942419	0.987538215063062	0.9853436928227645	0.9884432262721528	0.9801015978421022	0.9880035431961947	0.9801836533806881	0.9885950007423487	0.9878446294959328	0.9484029600915022	0.9889339553463008	0.9802769551999685	0.9461396962211595	0.9874046796718785	0.9456056367077954	0.9883679222685592
XieH_2016__YSZC12003_36049__bin.84	0.9892412240774935	0.9459711629009825	0.991361171902509	0.9829210578325223	0.9880205234034611	1.0	0.9876893121107905	0.948379302895351	0.9880808195470712	0.9867470476198337	0.9907890696960393	0.9778819836785938	0.9874945044674746	0.9776918031258179	0.9772430067791654	0.9874070408092488	0.9864037041591159	0.9864730936347483	0.9849771220155678	0.9873892264601445	0.9790685019851266	0.9917928829309828	0.9785230099089545	0.9870177363320534	0.9912771491095741	0.9489706042576936	0.987397046084461	0.9780576276663239	0.9463158754214454	0.9907208758009163	0.9457106546295968	0.986958320337199
LeChatelierE_2013__MH0457__bin.50	0.9904132514332704	0.9476940014773152	0.9887908509107434	0.9838453435148989	0.9888477443609023	0.9876893121107905	1.0	0.9498535614437318	0.9919729329563902	0.9880373237671768	0.9880803080541557	0.9791248477792498	0.9911026034320881	0.9787425725607047	0.9785543293569351	0.988555324380105	0.9893971404522712	0.9877893864042648	0.9857299759886565	0.9911679509658028	0.9794435768872046	0.9884190489966189	0.9795737197796346	0.9911979416494027	0.9880011862178155	0.9503291374970737	0.9910606123634952	0.9792972351556336	0.9477114469705928	0.9880667265474542	0.9474966862865588	0.9911378895348562
XieH_2016__YSZC12003_37314__bin.26	0.9486539841225927	0.9775759251352619	0.948791320158574	0.9506258389343051	0.9479514814199409	0.948379302895351	0.9498535614437318	1.0	0.9494724877227797	0.9498675027414987	0.9488975155279503	0.9458866762001349	0.9489056760127549	0.946353476197252	0.9464354430739959	0.9487915770763625	0.9492415233530713	0.9496203472627834	0.949899078416654	0.9484734899493255	0.9432240742443855	0.9500224365810575	0.9461106269399641	0.9504098960270733	0.9499564358682334	0.9874800592525068	0.9495922174942473	0.9465274486978738	0.9777560850421859	0.9509599363544935	0.9776033450264141	0.9491376669000252
XieH_2016__YSZC12003_37348__bin.73	0.9905812498524447	0.9479978340767752	0.9891984605768888	0.9837387769000834	0.9892686266751098	0.9880808195470712	0.9919729329563902	0.9494724877227797	1.0	0.9882717878700104	0.9883762023952691	0.9787975131293123	0.9916289041148363	0.9790833865834865	0.9788212690531569	0.9887515306693822	0.9895463745992582	0.9882440567510038	0.9853238018302839	0.991545125442198	0.9813766064038336	0.9887646538058764	0.9801916525120028	0.998324506909789	0.9886453165691507	0.9500438676511623	0.9912614949777914	0.9796917922518036	0.9478229511906017	0.9882289986025663	0.9476699334173374	0.9909096385146963
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.98	0.9890495559821705	0.9478560616608175	0.9885413497479137	0.982681727994228	0.9879197037943438	0.9867470476198337	0.9880373237671768	0.9498675027414987	0.9882717878700104	1.0	0.9880264580833444	0.9784837377192239	0.9883846115592066	0.9784503435285896	0.9784424740493597	0.9878298296672731	0.9869214462706586	0.9996668872442205	0.9846184957123115	0.988174684991573	0.9796729820918765	0.9877275709190968	0.9795468635822738	0.987526460701201	0.9878973837947675	0.9497326069755596	0.9880554251272076	0.9790208857770252	0.9477367410944155	0.9875110016920297	0.9474986394659185	0.9880228586442459
