	NielsenHB_2014__MH0144__bin.34	WenC_2017__N035__bin.73	XieH_2016__YSZC12003_35365__bin.50	ZeeviD_2015__PNP_Main_287__bin.55	ZeeviD_2015__PNP_Main_699__bin.32	ZeeviD_2015__PNP_Main_474__bin.23	ZeeviD_2015__PNP_Main_432__bin.52	BritoIL_2016__WL.10.ST__bin.22	BritoIL_2016__W1.55.ST__bin.61	ZeeviD_2015__PNP_Main_405__bin.13	ZeeviD_2015__PNP_Main_566__bin.19	XieH_2016__YSZC12003_36033__bin.58	ZeeviD_2015__PNP_Main_323__bin.18	ZeeviD_2015__PNP_Main_86__bin.59	LeChatelierE_2013__MH0421__bin.43	ZeeviD_2015__PNP_Validation_54__bin.2	BackhedF_2015__SID272_M__bin.42	ZeeviD_2015__PNP_Main_538__bin.6	ZeeviD_2015__PNP_Main_529__bin.29	ZeeviD_2015__PNP_Main_680__bin.22	XieH_2016__YSZC12003_35742__bin.40	BritoIL_2016__WL.2.ST__bin.2	LeChatelierE_2013__MH0077__bin.34	NielsenHB_2014__MH0077__bin.17	ZeeviD_2015__PNP_Main_67__bin.35	ZeeviD_2015__PNP_Main_77__bin.12	LiJ_2014__MH0252__bin.34	XieH_2016__YSZC12003_37337__bin.27	CM_madagascar__A90_03_1FE__bin.27	BritoIL_2016__WL.7.ST__bin.64	NielsenHB_2014__O2_UC40_2__bin.7
NielsenHB_2014__MH0144__bin.34	1458327.0	1301662.0	1242398.0	1012098.0	1271001.0	1260606.0	1295265.0	1298733.0	1021878.0	1286303.0	1283102.0	1258809.0	1226970.0	1286236.0	947134.0	1311600.0	1119737.0	1180578.0	1283228.0	1283586.0	1258078.0	1302000.0	1258721.0	1226613.0	1322070.0	849318.0	950701.0	1303581.0	1138706.0	1211297.0	1314117.0
WenC_2017__N035__bin.73	1301662.0	1532513.0	1285155.0	1021815.0	1281782.0	1262172.0	1337413.0	1316893.0	1030475.0	1307035.0	1304468.0	1277446.0	1269096.0	1315196.0	982229.0	1349500.0	1151478.0	1195707.0	1340626.0	1323455.0	1305275.0	1337769.0	1278550.0	1250835.0	1324373.0	868714.0	974765.0	1370752.0	1163409.0	1240464.0	1353300.0
XieH_2016__YSZC12003_35365__bin.50	1242398.0	1285155.0	1358744.0	996763.0	1234418.0	1237385.0	1245017.0	1230898.0	971987.0	1243044.0	1237637.0	1252360.0	1197360.0	1251292.0	962416.0	1275498.0	1130233.0	1141157.0	1276139.0	1247187.0	1238067.0	1234465.0	1244475.0	1219292.0	1270117.0	844241.0	932548.0	1289205.0	1126472.0	1172914.0	1289614.0
ZeeviD_2015__PNP_Main_287__bin.55	1012098.0	1021815.0	996763.0	1111078.0	1008474.0	993378.0	1019786.0	1017558.0	801201.0	1012257.0	1018584.0	984301.0	989897.0	1029454.0	764418.0	1030921.0	876483.0	955567.0	1011618.0	1027392.0	993809.0	1021816.0	1003279.0	973404.0	1035624.0	706854.0	779736.0	1021178.0	930914.0	939216.0	1026542.0
ZeeviD_2015__PNP_Main_699__bin.32	1271001.0	1281782.0	1234418.0	1008474.0	1532826.0	1238683.0	1288691.0	1264687.0	1004118.0	1264905.0	1291602.0	1235924.0	1222647.0	1298017.0	929890.0	1291203.0	1079974.0	1190413.0	1271230.0	1290088.0	1267803.0	1275536.0	1248396.0	1225513.0	1312661.0	837674.0	907509.0	1293554.0	1191515.0	1191543.0	1285937.0
ZeeviD_2015__PNP_Main_474__bin.23	1260606.0	1262172.0	1237385.0	993378.0	1238683.0	1403221.0	1268909.0	1255456.0	980884.0	1241970.0	1243385.0	1245950.0	1205392.0	1257032.0	935845.0	1349925.0	1093943.0	1133587.0	1249854.0	1245282.0	1215988.0	1256007.0	1233170.0	1201747.0	1279198.0	842206.0	951747.0	1276711.0	1103536.0	1186105.0	1268315.0
ZeeviD_2015__PNP_Main_432__bin.52	1295265.0	1337413.0	1245017.0	1019786.0	1288691.0	1268909.0	1514877.0	1307474.0	1033216.0	1302456.0	1286078.0	1292494.0	1348892.0	1321667.0	949729.0	1341081.0	1116831.0	1243960.0	1311348.0	1320335.0	1281782.0	1313500.0	1277091.0	1245462.0	1326449.0	853607.0	960902.0	1352705.0	1160656.0	1240781.0	1323842.0
BritoIL_2016__WL.10.ST__bin.22	1298733.0	1316893.0	1230898.0	1017558.0	1264687.0	1255456.0	1307474.0	1440295.0	1066749.0	1317433.0	1297751.0	1235445.0	1242781.0	1285092.0	945560.0	1316689.0	1106000.0	1183321.0	1294942.0	1297032.0	1267527.0	1468834.0	1263431.0	1232240.0	1322892.0	869358.0	931370.0	1298328.0	1155142.0	1215932.0	1305021.0
BritoIL_2016__W1.55.ST__bin.61	1021878.0	1030475.0	971987.0	801201.0	1004118.0	980884.0	1033216.0	1066749.0	1124209.0	1031433.0	1025670.0	966328.0	984656.0	1022727.0	755598.0	1037360.0	876561.0	972192.0	1027255.0	1030086.0	1017067.0	1072392.0	997814.0	975340.0	1046824.0	655218.0	659932.0	1013839.0	932398.0	980980.0	1018974.0
ZeeviD_2015__PNP_Main_405__bin.13	1286303.0	1307035.0	1243044.0	1012257.0	1264905.0	1241970.0	1302456.0	1317433.0	1031433.0	1456478.0	1272125.0	1251329.0	1240383.0	1328973.0	930556.0	1310363.0	1114389.0	1180129.0	1305615.0	1309406.0	1266737.0	1329322.0	1277632.0	1240332.0	1354604.0	849102.0	925197.0	1290188.0	1151040.0	1224051.0	1305466.0
ZeeviD_2015__PNP_Main_566__bin.19	1283102.0	1304468.0	1237637.0	1018584.0	1291602.0	1243385.0	1286078.0	1297751.0	1025670.0	1272125.0	1524033.0	1234173.0	1237068.0	1287943.0	940555.0	1330326.0	1104328.0	1182898.0	1290107.0	1279865.0	1291609.0	1303338.0	1275788.0	1244254.0	1312170.0	842310.0	932074.0	1275956.0	1163292.0	1226305.0	1297923.0
XieH_2016__YSZC12003_36033__bin.58	1258809.0	1277446.0	1252360.0	984301.0	1235924.0	1245950.0	1292494.0	1235445.0	966328.0	1251329.0	1234173.0	1493875.0	1227591.0	1249562.0	946790.0	1267005.0	1104447.0	1140273.0	1283603.0	1237911.0	1228718.0	1244249.0	1242689.0	1213550.0	1265108.0	831458.0	952989.0	1293079.0	1112463.0	1170487.0	1286948.0
ZeeviD_2015__PNP_Main_323__bin.18	1226970.0	1269096.0	1197360.0	989897.0	1222647.0	1205392.0	1348892.0	1242781.0	984656.0	1240383.0	1237068.0	1227591.0	1462236.0	1244707.0	916647.0	1272712.0	1083236.0	1219115.0	1260251.0	1260229.0	1213343.0	1259431.0	1243332.0	1211154.0	1256873.0	833084.0	905619.0	1276376.0	1110520.0	1176918.0	1272024.0
ZeeviD_2015__PNP_Main_86__bin.59	1286236.0	1315196.0	1251292.0	1029454.0	1298017.0	1257032.0	1321667.0	1285092.0	1022727.0	1328973.0	1287943.0	1249562.0	1244707.0	1460954.0	935955.0	1323629.0	1117060.0	1188989.0	1306462.0	1314900.0	1239748.0	1291593.0	1275241.0	1241683.0	1375340.0	844562.0	939380.0	1306932.0	1151115.0	1239271.0	1317084.0
