	NielsenHB_2014__MH0144__bin.34	WenC_2017__N035__bin.73	XieH_2016__YSZC12003_35365__bin.50	ZeeviD_2015__PNP_Main_287__bin.55	ZeeviD_2015__PNP_Main_699__bin.32	ZeeviD_2015__PNP_Main_474__bin.23	ZeeviD_2015__PNP_Main_432__bin.52	BritoIL_2016__WL.10.ST__bin.22	BritoIL_2016__W1.55.ST__bin.61	ZeeviD_2015__PNP_Main_405__bin.13	ZeeviD_2015__PNP_Main_566__bin.19	XieH_2016__YSZC12003_36033__bin.58	ZeeviD_2015__PNP_Main_323__bin.18	ZeeviD_2015__PNP_Main_86__bin.59	LeChatelierE_2013__MH0421__bin.43	ZeeviD_2015__PNP_Validation_54__bin.2	BackhedF_2015__SID272_M__bin.42	ZeeviD_2015__PNP_Main_538__bin.6	ZeeviD_2015__PNP_Main_529__bin.29	ZeeviD_2015__PNP_Main_680__bin.22	XieH_2016__YSZC12003_35742__bin.40	BritoIL_2016__WL.2.ST__bin.2	LeChatelierE_2013__MH0077__bin.34	NielsenHB_2014__MH0077__bin.17	ZeeviD_2015__PNP_Main_67__bin.35	ZeeviD_2015__PNP_Main_77__bin.12	LiJ_2014__MH0252__bin.34	XieH_2016__YSZC12003_37337__bin.27	CM_madagascar__A90_03_1FE__bin.27	BritoIL_2016__WL.7.ST__bin.64	NielsenHB_2014__O2_UC40_2__bin.7
NielsenHB_2014__MH0144__bin.34	0.0	20778.0	16982.0	16400.0	29426.0	21328.0	19713.0	21636.0	16500.0	20102.0	22505.0	19612.0	18993.0	19737.0	15111.0	21705.0	16660.0	18524.0	22002.0	20588.0	26446.0	21396.0	20460.0	18761.0	21320.0	14238.0	16109.0	20758.0	22615.0	19238.0	22066.0
WenC_2017__N035__bin.73	20778.0	0.0	19296.0	16568.0	29607.0	20382.0	21111.0	21012.0	16697.0	21829.0	22314.0	20812.0	19799.0	20733.0	15776.0	21346.0	17764.0	18948.0	21120.0	21248.0	27176.0	21266.0	20997.0	20277.0	20377.0	13354.0	15634.0	21085.0	24329.0	18128.0	22133.0
XieH_2016__YSZC12003_35365__bin.50	16982.0	19296.0	0.0	15866.0	27194.0	18756.0	20088.0	18949.0	15096.0	19647.0	20859.0	17976.0	18792.0	18642.0	14689.0	18938.0	15852.0	18314.0	19733.0	17638.0	25536.0	19088.0	18394.0	17340.0	18191.0	12423.0	14730.0	18651.0	22442.0	17512.0	19020.0
ZeeviD_2015__PNP_Main_287__bin.55	16400.0	16568.0	15866.0	0.0	22838.0	15172.0	15502.0	16464.0	12498.0	15591.0	18418.0	15352.0	15839.0	14577.0	11728.0	15439.0	13882.0	15234.0	12617.0	14387.0	21206.0	16778.0	15816.0	14617.0	14079.0	10112.0	13164.0	15691.0	19643.0	12437.0	15829.0
ZeeviD_2015__PNP_Main_699__bin.32	29426.0	29607.0	27194.0	22838.0	0.0	29774.0	29724.0	29222.0	22100.0	28499.0	30553.0	28494.0	27811.0	29647.0	21122.0	30505.0	24666.0	27861.0	29412.0	29751.0	32449.0	30257.0	28775.0	27233.0	30221.0	17829.0	20544.0	31090.0	26006.0	25513.0	29845.0
ZeeviD_2015__PNP_Main_474__bin.23	21328.0	20382.0	18756.0	15172.0	29774.0	0.0	20322.0	21755.0	16573.0	20213.0	22192.0	16753.0	19536.0	19641.0	13843.0	3742.0	16764.0	18101.0	19294.0	19409.0	25296.0	21857.0	20274.0	18554.0	19703.0	12960.0	15223.0	19005.0	22878.0	18339.0	19212.0
ZeeviD_2015__PNP_Main_432__bin.52	19713.0	21111.0	20088.0	15502.0	29724.0	20322.0	0.0	22946.0	16592.0	22024.0	23206.0	21122.0	3151.0	21286.0	15546.0	21375.0	16953.0	6109.0	22847.0	22325.0	27521.0	22866.0	21352.0	19927.0	21757.0	14198.0	16372.0	22799.0	24626.0	19836.0	21692.0
BritoIL_2016__WL.10.ST__bin.22	21636.0	21012.0	18949.0	16464.0	29222.0	21755.0	22946.0	0.0	14690.0	20165.0	23897.0	18705.0	21238.0	18804.0	13769.0	21686.0	18507.0	19430.0	21240.0	18001.0	26911.0	1637.0	20583.0	18918.0	19473.0	12122.0	15911.0	21135.0	24218.0	18437.0	21583.0
BritoIL_2016__W1.55.ST__bin.61	16500.0	16697.0	15096.0	12498.0	22100.0	16573.0	16592.0	14690.0	0.0	15492.0	18470.0	14678.0	15693.0	14868.0	11691.0	16483.0	14166.0	15746.0	16807.0	15451.0	19282.0	15041.0	16278.0	14822.0	15534.0	9827.0	11091.0	16230.0	17838.0	13991.0	16320.0
ZeeviD_2015__PNP_Main_405__bin.13	20102.0	21829.0	19647.0	15591.0	28499.0	20213.0	22024.0	20165.0	15492.0	0.0	23553.0	19785.0	20815.0	10756.0	14938.0	20271.0	17855.0	19277.0	18109.0	19011.0	26898.0	20440.0	20010.0	18698.0	10093.0	13008.0	15490.0	20505.0	24218.0	13651.0	21752.0
