	NielsenHB_2014__MH0144__bin.34	WenC_2017__N035__bin.73	XieH_2016__YSZC12003_35365__bin.50	ZeeviD_2015__PNP_Main_287__bin.55	ZeeviD_2015__PNP_Main_699__bin.32	ZeeviD_2015__PNP_Main_474__bin.23	ZeeviD_2015__PNP_Main_432__bin.52	BritoIL_2016__WL.10.ST__bin.22	BritoIL_2016__W1.55.ST__bin.61	ZeeviD_2015__PNP_Main_405__bin.13	ZeeviD_2015__PNP_Main_566__bin.19	XieH_2016__YSZC12003_36033__bin.58	ZeeviD_2015__PNP_Main_323__bin.18	ZeeviD_2015__PNP_Main_86__bin.59	LeChatelierE_2013__MH0421__bin.43	ZeeviD_2015__PNP_Validation_54__bin.2	BackhedF_2015__SID272_M__bin.42	ZeeviD_2015__PNP_Main_538__bin.6	ZeeviD_2015__PNP_Main_529__bin.29	ZeeviD_2015__PNP_Main_680__bin.22	XieH_2016__YSZC12003_35742__bin.40	BritoIL_2016__WL.2.ST__bin.2	LeChatelierE_2013__MH0077__bin.34	NielsenHB_2014__MH0077__bin.17	ZeeviD_2015__PNP_Main_67__bin.35	ZeeviD_2015__PNP_Main_77__bin.12	LiJ_2014__MH0252__bin.34	XieH_2016__YSZC12003_37337__bin.27	CM_madagascar__A90_03_1FE__bin.27	BritoIL_2016__WL.7.ST__bin.64	NielsenHB_2014__O2_UC40_2__bin.7
NielsenHB_2014__MH0144__bin.34	1.0	0.8925721048845698	0.8519337569694588	0.6940130711424803	0.871547327862681	0.8644192969066609	0.8881855715487679	0.8905636390192323	0.7007193859813334	0.8820401734316103	0.8798451924705502	0.8631870629838164	0.841354511025305	0.8819942303749433	0.649466134824357	0.8993867630510852	0.767822991688421	0.8095427157283654	0.8799315928457746	0.8801770796261744	0.8626858036640617	0.8928038773196958	0.863126719864612	0.8411097099621689	0.9065662228018819	0.5823920149596078	0.6519120883039263	0.893887996313584	0.7808303624632884	0.8306072643515481	0.901112713403784
WenC_2017__N035__bin.73	0.8493644099593283	1.0	0.8385932125861248	0.6667578023807955	0.8363922524637638	0.8235962761816702	0.8726927601919201	0.8593029879681282	0.6724086516721228	0.8528704161074001	0.8511953895334003	0.8335629126800229	0.8281143455226807	0.8581956564153126	0.6409270263939033	0.8805798058483028	0.7513658937966595	0.780226334132239	0.8747893166322244	0.863584843978485	0.8517219756047747	0.8729250583844965	0.8342832980862153	0.816198622784929	0.8641838601042863	0.5668558765896277	0.636056594625951	0.8944472249175047	0.7591511458630367	0.8094313066186062	0.8830593932971531
XieH_2016__YSZC12003_35365__bin.50	0.9143723909728396	0.9458404232143803	1.0	0.7335914638813492	0.9084993199601985	0.9106829542577557	0.9162999063841313	0.9059086921450987	0.7153569767373398	0.9148478300548153	0.9108684196581549	0.9217041620790966	0.8812256024681617	0.9209181420488334	0.7083129713912261	0.9387331241205112	0.8318218884499214	0.8398616663624642	0.9392048833334314	0.9178969695542354	0.9111848883969312	0.9085339107293207	0.9159010085785108	0.8973669800933803	0.9347728490429397	0.6213392662635493	0.6863309056010551	0.9488211171493673	0.8290538909463445	0.8632339866818179	0.9491221304381104
ZeeviD_2015__PNP_Main_287__bin.55	0.9109153452772892	0.9196609058949957	0.8971134339803326	1.0	0.9076536480787127	0.8940668431919271	0.917834751475594	0.9158294917188532	0.7211023888511877	0.9110584495417964	0.9167529192369933	0.8858972997395322	0.8909338498287249	0.9265362107790812	0.6879967023017286	0.9278565501251937	0.7888582079745976	0.8600359290706863	0.9104833324033056	0.9246803554745932	0.8944547547516916	0.9196618059218165	0.9029780087446606	0.8760897074732827	0.9320893762634126	0.63618755838924	0.7017833131427317	0.9190875888101465	0.8378475678575221	0.8453195905237976	0.9239153326769137
ZeeviD_2015__PNP_Main_699__bin.32	0.8291880487413444	0.8362214628405311	0.8053216738233824	0.657918119864877	1.0	0.8081041161880083	0.8407288237542944	0.825068859740114	0.6550763100312755	0.8252110807097479	0.8426279303717448	0.8063041728154402	0.7976423938529227	0.8468130107396403	0.6066507222607133	0.8423676268539286	0.7045639883457092	0.7766132620401793	0.8293374459984368	0.8416402122615352	0.8271017062602017	0.8321466363435902	0.8144407780139429	0.7995121429307697	0.85636660651633	0.54648994732605	0.5920495868415593	0.8439013952007599	0.7773321955655763	0.7773504624791072	0.8389321423305711
ZeeviD_2015__PNP_Main_474__bin.23	0.8983659737133353	0.899481977535969	0.8818176181798876	0.70792697657746	0.8827426328425815	1.0	0.9042830744408756	0.8946958461995651	0.6990231759644419	0.8850851006363217	0.8860934948949595	0.8879214321906528	0.8590179308890047	0.8958189764833907	0.666926307402754	0.9620188124322541	0.7795942335526621	0.8078463763013809	0.8907036026399263	0.8874453845830415	0.8665691291678217	0.8950885142112326	0.8788138147875495	0.8564203357845984	0.9116154903611049	0.6001948374489835	0.6782588059899332	0.9098431394627076	0.786430647773943	0.8452731251884058	0.9038597626460836
ZeeviD_2015__PNP_Main_432__bin.52	0.8550298143017552	0.8828525352223315	0.8218601246173782	0.6731807268840969	0.8506901880482706	0.8376317021117886	1.0	0.8630892145038838	0.6820461331183983	0.8597767343487293	0.8489652955322445	0.853200622888855	0.8904300481161177	0.8724582919933433	0.6269347280340252	0.8852738539168526	0.7372420335116316	0.8211623781996822	0.8656465178361016	0.8715790126855184	0.8461294217286288	0.8670670952163113	0.8430328006828277	0.8221538778395869	0.8756149839227871	0.5634827117977235	0.6343102443300678	0.8929470841527067	0.7661717750021949	0.8190638579897906	0.8738940521243639
BritoIL_2016__WL.10.ST__bin.22	0.9017131907005163	0.9143217188145484	0.8546152003582599	0.7064927671067386	0.8780749776955415	0.8716658740049782	0.9077820863087076	1.0	0.7406461870658442	0.9146966420073666	0.9010313859313543	0.8577721925022305	0.8628655935068857	0.8922422142686047	0.656504396668738	0.9141800811639282	0.7678982430682603	0.8215823841643553	0.8990810910264911	0.9005321826431391	0.8800467959688814	1.0198146907404386	0.8772029341211349	0.8555469539226339	0.9184868377658744	0.6035971797444274	0.646652248324128	0.9014319983059026	0.8020176422191287	0.8442242734995261	0.9060789629902207
BritoIL_2016__W1.55.ST__bin.61	0.908975110499916	0.9166222650770453	0.8645963517459831	0.7126797597243929	0.8931773362426382	0.8725103606179989	0.9190604238179911	0.9488885073860821	1.0	0.9174744197920494	0.9123481487872807	0.8595625902301085	0.875865608619038	0.9097303081544446	0.6721152383587038	0.9227465711446893	0.7797135585998689	0.8647787021808222	0.9137580289785974	0.9162762440080092	0.9046956571242536	0.9539080366728963	0.8875698379927576	0.8675788932484974	0.9311649346340405	0.5828257912896979	0.5870189617766803	0.9018243049112754	0.8293813694784511	0.8725957539923627	0.9063919609254151
ZeeviD_2015__PNP_Main_405__bin.13	0.8831599241457818	0.8973942620485857	0.8534588232709317	0.6950032887554772	0.868468318779961	0.8527214279927332	0.8942503765933986	0.9045334018090215	0.7081692960690104	1.0	0.8734254825682228	0.8591472030473513	0.8516318131822108	0.9124566248168527	0.6389083803531533	0.8996792261881058	0.7651258721381304	0.8102621529470407	0.8964193073977087	0.8990221616804374	0.8697261475971487	0.9126962439528781	0.8772065214853915	0.8515967972053131	0.9300545562651822	0.5829830591330594	0.6352289564277661	0.8858273176800473	0.7902900009474911	0.840418461521561	0.8963170058181449
