	QinJ_2012__T2D-016__bin.5	QinN_2014__LD-71__bin.17	QinJ_2012__T2D-028__bin.33	HeQ_2017__SZAXPI029601-32__bin.70	HeQ_2017__SZAXPI029590-113__bin.62	ChengpingW_2017__AS94raw__bin.16	HeQ_2017__RSZAXPI003095-129__bin.28	NielsenHB_2014__V1_CD17_0__bin.10	YuJ_2015__SZAXPI015239-25__bin.25	QinJ_2012__T2D-041__bin.54	QinJ_2012__NLM007__bin.18	ZeeviD_2015__PNP_Main_45__bin.54	QinN_2014__LD-89__bin.1	HeQ_2017__SZAXPI029469-27__bin.4	QinJ_2012__NOM029__bin.6	WenC_2017__N209__bin.5	HeQ_2017__RSZAXPI003082-116__bin.21	BritoIL_2016__W1.14.ST__bin.44	QinJ_2012__DLM012__bin.15	QinN_2014__LD-51__bin.42	YuJ_2015__SZAXPI003434-7__bin.2	QinJ_2012__NOM002__bin.37	WenC_2017__N217__bin.20	ChengpingW_2017__AS43raw__bin.55	WenC_2017__N216__bin.1	QinJ_2012__T2D-031__bin.3	HeQ_2017__RSZAXPI003096-130__bin.26	SchirmerM_2016__G88708__bin.9	HeQ_2017__SZAXPI029473-40__bin.36	QinJ_2012__T2D-044__bin.17	YuJ_2015__SZAXPI003412-1__bin.59	QinN_2014__LV-22__bin.8	ChengpingW_2017__AS25raw__bin.29	QinJ_2012__T2D-102__bin.13	QinJ_2012__CON-069__bin.11
QinJ_2012__T2D-016__bin.5	1.0	0.9884190920127084	0.9869007748286113	0.9891296434911325	0.9885001063290311	0.9898069086698845	0.9857745549661762	0.9867795770906898	0.987781504923189	0.9878270303113103	0.9871042258068276	0.9839206819781057	0.9875304070227797	0.9893565700080936	0.9867779501009089	0.9891554350305168	0.9860087061082577	0.9840611757066163	0.9883042860465187	0.9861249060232996	0.9864626558730724	0.989355181355825	0.9881111096379513	0.9888978387239719	0.9873536184800552	0.9852196717886734	0.9867193402604499	0.9866774282713251	0.9872107559853757	0.9876441670015554	0.9836476654341267	0.9896506400045572	0.9885110464217519	0.9872691633137316	0.9885518088844488
QinN_2014__LD-71__bin.17	0.9884190920127084	1.0	0.989188833609571	0.9912079602418121	0.9928130764970846	0.9887942900997228	0.9934861323927839	0.9898002369009549	0.9900064128016192	0.9873771722773252	0.9927405084601101	0.9821590346981764	0.9940446243821793	0.9897449049581601	0.9882805755486351	0.9873125312087001	0.9897648223272413	0.9867384804975323	0.9876689896686522	0.9998906338213429	0.9957947454137933	0.9938024359031908	0.9889133564247308	0.989436721771991	0.9870144427195131	0.9884683271805625	0.9871090743533988	0.9877130803835606	0.9929479583666934	0.9914503059368281	0.9868424060194122	0.9894891094801108	0.9894509309956302	0.9979427901613186	0.9861045170468083
QinJ_2012__T2D-028__bin.33	0.9869007748286113	0.989188833609571	1.0	0.9908308166880176	0.9879848892651487	0.9881106794318926	0.9875491133994415	0.9894307238121248	0.9902870853071637	0.9874836958051691	0.9863730067524319	0.9815477165343237	0.9874039105086214	0.9888341472705254	0.9878943971392689	0.987654649220712	0.9871060304379914	0.9865443742978117	0.9865100767571403	0.9887495417251041	0.9881295978043584	0.9888430424365959	0.9876922714169137	0.9889936957719271	0.9883550533269597	0.9878688024445934	0.9893373207401314	0.9873585337242171	0.9856420225498881	0.9872237619215263	0.9863248975343178	0.9898340206753402	0.9876803124283009	0.9896717071790242	0.9869882689861879
HeQ_2017__SZAXPI029601-32__bin.70	0.9891296434911325	0.9912079602418121	0.9908308166880176	1.0	0.9911224457865256	0.9904151561528713	0.9901539012750113	0.9916436311676847	0.9910365839707284	0.9894084314135699	0.9898918815174973	0.9867194662320464	0.990057085691467	0.9895792649447831	0.9898784033960385	0.9883700158360263	0.9896745793523294	0.9879911428617607	0.9890298465433415	0.9912029734404071	0.9926958144635861	0.9918505832730409	0.9914894750482942	0.9900003018747954	0.9884577869916263	0.9886668327934214	0.9903011180057852	0.988967694511831	0.9897108744344447	0.9903059722697212	0.9905824105419986	0.9899232983031866	0.9896522034782926	0.9918096479593979	0.9908950698093234
HeQ_2017__SZAXPI029590-113__bin.62	0.9885001063290311	0.9928130764970846	0.9879848892651487	0.9911224457865256	1.0	0.9892019844677314	0.9905083327121705	0.9907230413856382	0.9894819920647256	0.9874494844954363	0.9890990828483713	0.9807623314810533	0.9910492770603867	0.9893564180798978	0.9884602859134225	0.9862709239791921	0.9881434817106616	0.9868302155230423	0.9871611076058957	0.9922707598888927	0.9910793690487302	0.9919277354536582	0.9896249604587654	0.9890796830620303	0.9869227574898225	0.9886479170824116	0.986437299122581	0.987775814435598	0.9897659940617174	0.9901094422220545	0.9877357994402362	0.988911532006713	0.9888585194950871	0.9917579636611619	0.988279603876949
ChengpingW_2017__AS94raw__bin.16	0.9898069086698845	0.9887942900997228	0.9881106794318926	0.9904151561528713	0.9892019844677314	1.0	0.9879816511068914	0.9902731647208923	0.9889990706015818	0.988126870795002	0.9873950867709543	0.9852375767701168	0.9885822081865704	0.9883897922784837	0.9880576122777293	0.9896514801880006	0.9858380765392121	0.9873819090702786	0.9880588342741831	0.9886808445747568	0.9882829321886113	0.9900987844639828	0.988401541926	0.992034254016187	0.9877666020769991	0.9879351470479544	0.9884636382362798	0.9886387951953918	0.9873234805861035	0.9884563740355743	0.9868433452128024	0.9887420383580141	0.9884765719860544	0.9893363873264488	0.9888748703225465
HeQ_2017__RSZAXPI003095-129__bin.28	0.9857745549661762	0.9934861323927839	0.9875491133994415	0.9901539012750113	0.9905083327121705	0.9879816511068914	1.0	0.9890644165710442	0.9881475331457779	0.9874136866665746	0.9927792629758914	0.9831426951944541	0.991024161641203	0.9878727776087389	0.9864878134440952	0.9867758062688108	0.9882112924464612	0.9851655944363018	0.9865419652847974	0.9926865944382187	0.9914517099646906	0.9928152162359047	0.9874455747303648	0.9884105275410502	0.9867987216003389	0.9887413628786387	0.9871768135901051	0.9857978757043091	0.9896064209221859	0.9919554814106678	0.9859768163502295	0.987535268105921	0.9877474367987884	0.9924663645438564	0.9873352226720647
NielsenHB_2014__V1_CD17_0__bin.10	0.9867795770906898	0.9898002369009549	0.9894307238121248	0.9916436311676847	0.9907230413856382	0.9902731647208923	0.9890644165710442	1.0	0.9886929900439289	0.9931329501999727	0.9877583231942471	0.985253240617575	0.989649893642698	0.9876805228166923	0.9862608596063546	0.9874597365709824	0.9884018521163486	0.9880220884524384	0.9880653820464026	0.989699762589665	0.9905075856062401	0.9902351638387322	0.9882375906888148	0.9924306549793841	0.9916192231837642	0.9880154537569975	0.9873970896570297	0.9871984513461859	0.9890990899693954	0.989176385439113	0.9889406778104672	0.9886116134285858	0.9887813042419923	0.9894560042494033	0.9872280829663135
YuJ_2015__SZAXPI015239-25__bin.25	0.987781504923189	0.9900064128016192	0.9902870853071637	0.9910365839707284	0.9894819920647256	0.9889990706015818	0.9881475331457779	0.9886929900439289	1.0	0.9876953486652286	0.9871014579283606	0.9825585220333966	0.9882447082952092	0.9887781379658679	0.9925449147216262	0.9870690357812373	0.986707005443015	0.9884556440151451	0.9881891318114367	0.9890305325521618	0.9887964878933687	0.9897718065446651	0.9930045307684313	0.9900121630444509	0.9869888886010537	0.9880385308924179	0.9901024079352337	0.9878864673695129	0.9872094192996722	0.9896154086070896	0.9870682811531076	0.9885274214817958	0.987861918774881	0.9895401001894946	0.9902456308979314
QinJ_2012__T2D-041__bin.54	0.9878270303113103	0.9873771722773252	0.9874836958051691	0.9894084314135699	0.9874494844954363	0.988126870795002	0.9874136866665746	0.9931329501999727	0.9876953486652286	1.0	0.98676439179794	0.9842036939069418	0.9875410105276541	0.9896809799044173	0.9864716373764715	0.9869677670902728	0.9869688012734549	0.9858820562975641	0.9870827691826496	0.987915185033671	0.9891840277266123	0.9898527990696118	0.9882037329181412	0.9916875805985415	0.9928018901998555	0.9854664039851637	0.987821868918458	0.9864108320497744	0.9871097654234428	0.9869492992819973	0.986237867290983	0.9885470820466716	0.9868440078215502	0.988374327063704	0.9879751024040546
QinJ_2012__NLM007__bin.18	0.9871042258068276	0.9927405084601101	0.9863730067524319	0.9898918815174973	0.9890990828483713	0.9873950867709543	0.9927792629758914	0.9877583231942471	0.9871014579283606	0.98676439179794	1.0	0.985167697425276	0.990267840019309	0.9880585382689018	0.9867089207015491	0.986328865173607	0.9889671022332193	0.9848333342177902	0.9860968663986859	0.9919881857176063	0.9917090312432305	0.9926679566928246	0.9872126278942723	0.9878043908050728	0.9865742512494139	0.98669051850717	0.9863868232092874	0.986540904061572	0.9890862661952861	0.9914884182534597	0.984309504889623	0.9879938913710438	0.9861874067883112	0.9916981109965314	0.9881334160467031
ZeeviD_2015__PNP_Main_45__bin.54	0.9839206819781057	0.9821590346981764	0.9815477165343237	0.9867194662320464	0.9807623314810533	0.9852375767701168	0.9831426951944541	0.985253240617575	0.9825585220333966	0.9842036939069418	0.985167697425276	1.0	0.9838687560161111	0.9842847867741373	0.9837916395309098	0.9848943368422662	0.9818714535865335	0.9813629697486091	0.985402567160896	0.9835366558506576	0.9829977856397465	0.986498538202407	0.9842520987127743	0.9848169206277007	0.9841415788668342	0.9804609240147045	0.9824940821654252	0.9850834151128557	0.9842619665071357	0.9808951120179881	0.985068625348488	0.9848919535601638	0.9832192728002003	0.9836031783925662	0.9851248945787122
QinN_2014__LD-89__bin.1	0.9875304070227797	0.9940446243821793	0.9874039105086214	0.990057085691467	0.9910492770603867	0.9885822081865704	0.991024161641203	0.989649893642698	0.9882447082952092	0.9875410105276541	0.990267840019309	0.9838687560161111	1.0	0.9882932350420462	0.98709542519763	0.987029596249963	0.9900211802191865	0.9858488524843521	0.9862628353033951	0.9929547935208756	0.9926245109620475	0.9926529065138597	0.9876604414015712	0.9887205888003758	0.9874725764325257	0.9882230263961386	0.9886381174757023	0.9867194862540436	0.9944816100714144	0.9910772994571974	0.9856296415092178	0.9878443677859238	0.9881253918877759	0.9935207427810613	0.9878398925123805
HeQ_2017__SZAXPI029469-27__bin.4	0.9893565700080936	0.9897449049581601	0.9888341472705254	0.9895792649447831	0.9893564180798978	0.9883897922784837	0.9878727776087389	0.9876805228166923	0.9887781379658679	0.9896809799044173	0.9880585382689018	0.9842847867741373	0.9882932350420462	1.0	0.9872357437863317	0.9882126358374607	0.987694026769014	0.9887772595242562	0.9870612090768978	0.988334441679823	0.9882583499853831	0.9897692437741434	0.9893538231669239	0.9901651527359285	0.9878668412941876	0.9857208889115053	0.9875499650930089	0.9869672639330971	0.9875619797606431	0.9894057801347184	0.9858179261413573	0.9973778967533631	0.9895143645086666	0.9890582907961143	0.9878530460653657
