	QinJ_2012__T2D-016__bin.5	QinN_2014__LD-71__bin.17	QinJ_2012__T2D-028__bin.33	HeQ_2017__SZAXPI029601-32__bin.70	HeQ_2017__SZAXPI029590-113__bin.62	ChengpingW_2017__AS94raw__bin.16	HeQ_2017__RSZAXPI003095-129__bin.28	NielsenHB_2014__V1_CD17_0__bin.10	YuJ_2015__SZAXPI015239-25__bin.25	QinJ_2012__T2D-041__bin.54	QinJ_2012__NLM007__bin.18	ZeeviD_2015__PNP_Main_45__bin.54	QinN_2014__LD-89__bin.1	HeQ_2017__SZAXPI029469-27__bin.4	QinJ_2012__NOM029__bin.6	WenC_2017__N209__bin.5	HeQ_2017__RSZAXPI003082-116__bin.21	BritoIL_2016__W1.14.ST__bin.44	QinJ_2012__DLM012__bin.15	QinN_2014__LD-51__bin.42	YuJ_2015__SZAXPI003434-7__bin.2	QinJ_2012__NOM002__bin.37	WenC_2017__N217__bin.20	ChengpingW_2017__AS43raw__bin.55	WenC_2017__N216__bin.1	QinJ_2012__T2D-031__bin.3	HeQ_2017__RSZAXPI003096-130__bin.26	SchirmerM_2016__G88708__bin.9	HeQ_2017__SZAXPI029473-40__bin.36	QinJ_2012__T2D-044__bin.17	YuJ_2015__SZAXPI003412-1__bin.59	QinN_2014__LV-22__bin.8	ChengpingW_2017__AS25raw__bin.29	QinJ_2012__T2D-102__bin.13	QinJ_2012__CON-069__bin.11
QinJ_2012__T2D-016__bin.5	1.0	0.31248054139270826	0.491140545227186	0.7243806822978022	0.2478179873913351	0.7873765029905168	0.5213673022945692	0.2805955948617999	0.43575592353326953	0.7512052802329942	0.7815926615888886	0.5829985000425484	0.5907525521319799	0.3805760123687537	0.5744860962590603	0.7544266516021589	0.5061100454088281	0.3003773303764794	0.7798975627143864	0.5137120170548818	0.32212688430232495	0.7270330335810706	0.6876865762181045	0.7741116707899264	0.5361498631446886	0.3610246189188755	0.6047733437499894	0.7624530814744489	0.7866844515346967	0.32420474743881156	0.37429286865751926	0.8015418564681863	0.620641656439684	0.3761014297953954	0.5674565622369564
QinN_2014__LD-71__bin.17	0.5152365871938059	1.0	0.7795707225812996	0.6751229847684844	0.6344233380855512	0.7282039434016487	0.8352122438169514	0.6681749792912245	0.7629338277142582	0.723190447478601	0.8323975408681343	0.29873549681338435	0.8483993666213986	0.467549489747043	0.4418830052800333	0.7063912634325288	0.8001622891790309	0.5612923402888521	0.7653929595798513	0.9530995542682617	0.8351789970754138	0.7610117152501112	0.7234969937056593	0.7502442790246872	0.3969593319095463	0.7586354184863153	0.5210761801184486	0.6997729078501757	0.8735665864612506	0.7094589797194876	0.5352285854356732	0.7138131758527225	0.7887919035731794	0.8577822732882155	0.314837626295355
QinJ_2012__T2D-028__bin.33	0.46130137294100576	0.44406931342678013	1.0	0.5501634484148842	0.3970801410817897	0.6235537768396293	0.6285708599595039	0.39072934200778336	0.5903591756447738	0.6080232885102056	0.645524299630604	0.35781785452449094	0.6554040693904645	0.44163459970545904	0.4082734043878132	0.5962111553222167	0.5825918450411445	0.3960150942621004	0.6479487416526394	0.6250284076683371	0.4433159484822923	0.583327555502485	0.618509409518527	0.6356477397767702	0.3643586800352833	0.5217593109744119	0.5126868325802894	0.6041081661293284	0.6646717100710159	0.4581617638562014	0.4623150612642664	0.6403004985626041	0.6439187046360031	0.5186068622655003	0.35621611141712217
HeQ_2017__SZAXPI029601-32__bin.70	0.694823045488727	0.3927412624182199	0.5618496681590712	1.0	0.3114836695450472	0.8387957219629983	0.6196518800822669	0.34761771452960405	0.5253576558780393	0.8278705076251625	0.8876326888392223	0.6096694440820335	0.7013959413327004	0.4011666062405632	0.6185514256735981	0.8052841480148878	0.6139142412634017	0.3807277226002587	0.8577479923345172	0.6150917307587662	0.4059113119632539	0.8264268373195987	0.7687314910911381	0.8492905232419774	0.566738937597646	0.42269119288995655	0.6561953583573891	0.8225360737281506	0.8844391747345896	0.3815928102334065	0.428280334286383	0.8721689605639361	0.6936786646901977	0.4723821018974233	0.6017053273532252
HeQ_2017__SZAXPI029590-113__bin.62	0.34505983642948607	0.5357436357917447	0.5886549425428472	0.45215726638239073	1.0	0.47089073933168024	0.5248370314430932	0.46859711660216447	0.5059017958304604	0.47671520866970357	0.5375095349513366	0.17561631593748972	0.534520211717557	0.2720288901292851	0.3090866004371207	0.45885921296382215	0.5297997267638649	0.39079524468243554	0.49510511406490376	0.5810246021968337	0.5355994516243083	0.49913037436967006	0.48680286598153016	0.4899968070106815	0.2646369533076467	0.4974287156807182	0.3461319385061664	0.4607259934550857	0.5410760707101998	0.4681688467978981	0.33066378488673925	0.4946216450414208	0.5168221999839161	0.5314809236732796	0.23212175805706364
ChengpingW_2017__AS94raw__bin.16	0.6281771775980316	0.35234573058111995	0.5296569294385876	0.697667602235987	0.2698101395937772	1.0	0.5507091477303401	0.30939660959275744	0.48656411939878536	0.7358128192446264	0.7904874576090033	0.5405740254910375	0.6304055848417048	0.36082120337808327	0.5350350443145759	0.75702290463464	0.5340594856313675	0.34284153142536816	0.7742996726507113	0.5444642634150225	0.3541572487172957	0.723227348797947	0.6893183685866832	0.7855322302449367	0.515791344956787	0.4008935441354418	0.6136190500599569	0.7394713006340313	0.799938489089175	0.36108240662529223	0.37689256475959215	0.7586869165529243	0.6381484343346487	0.41477930506848815	0.5242106508759579
HeQ_2017__RSZAXPI003095-129__bin.28	0.5751131046021066	0.5587565260629721	0.7382182156370669	0.712606681738484	0.4157883883673316	0.7614336397081692	1.0	0.45231963863828883	0.6801947348163127	0.7549291590657282	0.895700611430228	0.46555893710136304	0.8246323558517141	0.49570106381093804	0.5188554164861856	0.7385009535808383	0.7802703954900659	0.44318418718307434	0.7840553140973516	0.849882362166195	0.5484241506457924	0.7675871483164087	0.7714297454642236	0.7746819857854442	0.47071268434042707	0.5659309071401886	0.6442221747222476	0.7404273414377337	0.8399164151241427	0.5355098123260926	0.5223787082495015	0.7629242341477317	0.7828056123858823	0.6352906715704736	0.4596787418387692
NielsenHB_2014__V1_CD17_0__bin.10	0.5475016054034914	0.7906987289472087	0.8117113434509873	0.7071297252709514	0.6566630413110495	0.7566941824711945	0.8000930900633025	1.0	0.7774267265839482	0.7852106829516485	0.8104203523152153	0.2864706662941286	0.7901892675692491	0.45431685163537766	0.48237123597064063	0.7177403920852108	0.793717487661899	0.6012064365510531	0.7842170998977743	0.8300639560742933	0.8251073769874162	0.7471611198281168	0.7528098728813842	0.8005952162643544	0.4261404366297396	0.7604051151522749	0.5476769828150142	0.722291535939366	0.8135571406946945	0.6817013342686795	0.5386313760191728	0.7739498527296528	0.8288716564096443	0.8049176359658394	0.35395362701158894
YuJ_2015__SZAXPI015239-25__bin.25	0.5320307587414936	0.5649325478273894	0.7674159127125366	0.6687151353153463	0.44360667899809186	0.7446184928817522	0.7528652204155326	0.48646137194268346	1.0	0.7189044253348617	0.779527302785169	0.3988292517651143	0.7688450283674242	0.513798163805445	0.5159725059011001	0.7074431264126861	0.696348181810216	0.4889928886370493	0.7833030889343888	0.7529853913085566	0.580421240706054	0.7069753779019914	0.8013808803936598	0.7478635242534488	0.429236243040624	0.6150187746157348	0.6355821841643972	0.6867295032477436	0.7861930320076007	0.5825342455750615	0.5499391426224043	0.7231575569758161	0.7813252763200335	0.6517180473732019	0.4058037534210108
QinJ_2012__T2D-041__bin.54	0.5358424599194855	0.31285813816179836	0.46176365477541115	0.6156495254402725	0.2442170117973203	0.6578791736366434	0.48817464539050315	0.2870517132856734	0.4200066892273699	1.0	0.6994257600585844	0.48663154009709125	0.5453399926574516	0.3326771682335808	0.46571039643423223	0.6467012894314594	0.4720344465956367	0.31454068361758486	0.6831600163622793	0.4897991720374694	0.32728751342599116	0.6257769766740011	0.6195153332985546	0.695869060812	0.48245589229758873	0.33569829049286243	0.5401209814052156	0.6414883725919147	0.6888097807035293	0.3145818818473774	0.34504590067862506	0.6781618666259722	0.5723309275842381	0.3686983163331723	0.468735662894144
