	QinJ_2012__T2D-016__bin.5	QinN_2014__LD-71__bin.17	QinJ_2012__T2D-028__bin.33	HeQ_2017__SZAXPI029601-32__bin.70	HeQ_2017__SZAXPI029590-113__bin.62	ChengpingW_2017__AS94raw__bin.16	HeQ_2017__RSZAXPI003095-129__bin.28	NielsenHB_2014__V1_CD17_0__bin.10	YuJ_2015__SZAXPI015239-25__bin.25	QinJ_2012__T2D-041__bin.54	QinJ_2012__NLM007__bin.18	ZeeviD_2015__PNP_Main_45__bin.54	QinN_2014__LD-89__bin.1	HeQ_2017__SZAXPI029469-27__bin.4	QinJ_2012__NOM029__bin.6	WenC_2017__N209__bin.5	HeQ_2017__RSZAXPI003082-116__bin.21	BritoIL_2016__W1.14.ST__bin.44	QinJ_2012__DLM012__bin.15	QinN_2014__LD-51__bin.42	YuJ_2015__SZAXPI003434-7__bin.2	QinJ_2012__NOM002__bin.37	WenC_2017__N217__bin.20	ChengpingW_2017__AS43raw__bin.55	WenC_2017__N216__bin.1	QinJ_2012__T2D-031__bin.3	HeQ_2017__RSZAXPI003096-130__bin.26	SchirmerM_2016__G88708__bin.9	HeQ_2017__SZAXPI029473-40__bin.36	QinJ_2012__T2D-044__bin.17	YuJ_2015__SZAXPI003412-1__bin.59	QinN_2014__LV-22__bin.8	ChengpingW_2017__AS25raw__bin.29	QinJ_2012__T2D-102__bin.13	QinJ_2012__CON-069__bin.11
QinJ_2012__T2D-016__bin.5	0.0	10713.0	19075.0	23294.0	8436.0	23726.0	22015.0	11000.0	15772.0	27087.0	29878.0	27878.0	21827.0	11980.0	22524.0	24202.0	21014.0	14236.0	27006.0	21150.0	12935.0	22889.0	24211.0	25430.0	20094.0	15848.0	23818.0	30124.0	29821.0	11868.0	18207.0	24527.0	21107.0	14191.0	19229.0
QinN_2014__LD-71__bin.17	10713.0	0.0	15120.0	10627.0	8150.0	14645.0	9718.0	12219.0	13667.0	16407.0	10802.0	9630.0	9020.0	8597.0	9299.0	16109.0	14684.0	13387.0	16958.0	185.0	6259.0	8422.0	14394.0	14214.0	9268.0	15706.0	12076.0	15448.0	11010.0	10857.0	12664.0	13456.0	14924.0	3138.0	7873.0
QinJ_2012__T2D-028__bin.33	19075.0	15120.0	0.0	15861.0	15044.0	23374.0	24689.0	13003.0	18039.0	24009.0	27783.0	20956.0	26047.0	15536.0	15586.0	23217.0	23708.0	16827.0	27603.0	22156.0	16591.0	20504.0	24011.0	22038.0	13374.0	19961.0	17214.0	24096.0	30164.0	18472.0	19969.0	20487.0	25022.0	16861.0	14630.0
HeQ_2017__SZAXPI029601-32__bin.70	23294.0	10627.0	15861.0	0.0	8511.0	24763.0	18797.0	8936.0	14495.0	27035.0	27650.0	25032.0	21488.0	12887.0	19294.0	28906.0	19539.0	14117.0	29023.0	16653.0	9111.0	20714.0	20129.0	26169.0	20188.0	14781.0	19605.0	27991.0	28049.0	11395.0	12421.0	27083.0	22126.0	11900.0	16866.0
HeQ_2017__SZAXPI029590-113__bin.62	8436.0	8150.0	15044.0	8511.0	0.0	10802.0	10569.0	9221.0	11301.0	12733.0	12449.0	7239.0	10145.0	6150.0	7583.0	13423.0	13359.0	10960.0	13532.0	9511.0	10131.0	8536.0	10725.0	11369.0	7369.0	12003.0	10001.0	11982.0	11757.0	9828.0	8628.0	11655.0	12237.0	9282.0	5785.0
ChengpingW_2017__AS94raw__bin.16	23726.0	14645.0	23374.0	24763.0	10802.0	0.0	24570.0	11146.0	19850.0	32427.0	37011.0	29707.0	26704.0	15545.0	23718.0	29033.0	28138.0	16069.0	34321.0	22862.0	15400.0	26526.0	29667.0	23134.0	23429.0	17956.0	26266.0	31167.0	37669.0	15466.0	18429.0	31683.0	27285.0	16397.0	21630.0
HeQ_2017__RSZAXPI003095-129__bin.28	22015.0	9718.0	24689.0	18797.0	10569.0	24570.0	0.0	13266.0	21642.0	25526.0	17281.0	21175.0	19812.0	16142.0	18852.0	26253.0	24691.0	17702.0	28372.0	16609.0	12543.0	14735.0	26017.0	24095.0	16704.0	17094.0	22198.0	28296.0	23400.0	11520.0	19708.0	25544.0	25758.0	12792.0	15641.0
NielsenHB_2014__V1_CD17_0__bin.10	11000.0	12219.0	13003.0	8936.0	9221.0	11146.0	13266.0	0.0	13333.0	8142.0	15062.0	6430.0	12393.0	8498.0	10077.0	13669.0	13967.0	10930.0	14205.0	12955.0	11858.0	11049.0	13437.0	9157.0	5401.0	13832.0	10483.0	14046.0	13446.0	11186.0	9033.0	13370.0	14103.0	12863.0	6867.0
YuJ_2015__SZAXPI015239-25__bin.25	15772.0	13667.0	18039.0	14495.0	11301.0	19850.0	21642.0	13333.0	0.0	21464.0	24412.0	16967.0	21918.0	13975.0	9288.0	22211.0	22483.0	13687.0	22437.0	20015.0	15761.0	17509.0	13530.0	18082.0	13561.0	17844.0	15227.0	20181.0	24412.0	14650.0	17267.0	20114.0	23008.0	16510.0	9580.0
QinJ_2012__T2D-041__bin.54	27087.0	16407.0	24009.0	27035.0	12733.0	32427.0	25526.0	8142.0	21464.0	0.0	38484.0	32039.0	28223.0	14229.0	26199.0	35029.0	25566.0	18477.0	36673.0	24578.0	14680.0	26315.0	30336.0	23927.0	14349.0	20309.0	27315.0	36252.0	36898.0	17064.0	19751.0	32230.0	31299.0	17790.0	23403.0
