	CM_periimplantitis__SP_283SPT_T016__bin.18	HMP_2012__SRS017139__bin.7	HMP_2012__SRS018157__bin.35	CM_periimplantitis__SP_344SPT_T016__bin.20	HMP_2012__SRS017227__bin.18	HMP_2012__SRS063603__bin.16	HMP_2012__SRS045197__bin.7	HMP_2012__SRS023841__bin.5	CM_periimplantitis__SP_381SPT_T016__bin.2	HMP_2012__SRS054430__bin.16	HMP_2012__SRS021477__bin.4	HMP_2012__SRS055401__bin.15	HMP_2012__SRS018394__bin.34	CM_periimplantitis__SP_503SPT_T016__bin.7	HMP_2012__SRS024649__bin.21	HMP_2012__SRS023964__bin.4	CM_periimplantitis__SP_187SPT_T016_R__bin.9	HMP_2012__SRS019906__bin.23	HMP_2012__SRS015215__bin.26	HMP_2012__SRS011255__bin.28	HMP_2012__SRS017445__bin.44	HMP_2012__SRS052604__bin.17	CM_periimplantitis__SP_502SPI_T016__bin.10	HMP_2012__SRS018665__bin.40	HMP_2012__SRS024087__bin.72	HMP_2012__SRS051378__bin.4	HMP_2012__SRS053917__bin.20	HMP_2012__SRS047634__bin.98	HMP_2012__SRS064449__bin.40	HMP_2012__SRS051941__bin.40	HMP_2012__SRS015803__bin.11	HMP_2012__SRS013170__bin.67	HMP_2012__SRS019129__bin.10	HMP_2012__SRS020226__bin.32	HMP_2012__SRS013533__bin.41
CM_periimplantitis__SP_283SPT_T016__bin.18	2175997.0	1268738.0	1982504.0	1871266.0	1336103.0	1958052.0	2021514.0	1996686.0	1886493.0	1982182.0	1634220.0	1435279.0	1931517.0	1981410.0	1963481.0	1438189.0	1431341.0	1770925.0	2021010.0	2031832.0	1576375.0	2034931.0	1992744.0	1930619.0	1781081.0	1898476.0	1292544.0	1519417.0	1745327.0	1996877.0	1968676.0	1822242.0	1978306.0	1481855.0	1987324.0
HMP_2012__SRS017139__bin.7	1268738.0	1943040.0	1724196.0	1652436.0	1203803.0	1731427.0	1785788.0	1774475.0	1644534.0	1748797.0	1479312.0	1289792.0	1736528.0	1761179.0	1730141.0	1323820.0	1259730.0	1561367.0	1777212.0	1771985.0	1355818.0	1782183.0	1760453.0	1714325.0	1594489.0	1669762.0	1131707.0	1333461.0	1579827.0	1769977.0	1734519.0	1665682.0	1763728.0	1380540.0	1778716.0
HMP_2012__SRS018157__bin.35	1982504.0	1724196.0	3217114.0	2661554.0	1855835.0	2797135.0	2938338.0	2852750.0	2690187.0	2877780.0	2252590.0	1989408.0	2787795.0	2868383.0	2829717.0	1973968.0	2018184.0	2445060.0	2905175.0	3108884.0	2206995.0	2907321.0	2869234.0	2691767.0	2517869.0	2651633.0	1774172.0	2153513.0	2498920.0	2920891.0	2764841.0	2587571.0	2820615.0	2065338.0	2874395.0
CM_periimplantitis__SP_344SPT_T016__bin.20	1871266.0	1652436.0	2661554.0	3041182.0	1744577.0	2610555.0	2701601.0	2654315.0	2499012.0	2674193.0	2128005.0	1868611.0	2635222.0	2654209.0	2621605.0	1850410.0	1861677.0	2320725.0	2669404.0	2724360.0	2059611.0	2734486.0	2682183.0	2552459.0	2369848.0	2490893.0	1698124.0	1973099.0	2362638.0	2752462.0	2696200.0	2391038.0	2652686.0	1982544.0	2697192.0
HMP_2012__SRS017227__bin.18	1336103.0	1203803.0	1855835.0	1744577.0	1966354.0	1830309.0	1894179.0	1853105.0	1766763.0	1865038.0	1524289.0	1378824.0	1841055.0	1835274.0	1834647.0	1433358.0	1294528.0	1668407.0	1884093.0	1889189.0	1455352.0	1881448.0	1873889.0	1818570.0	1649795.0	1789228.0	1259426.0	1448532.0	1641061.0	1874826.0	1842330.0	1695846.0	1855573.0	1454928.0	1853043.0
HMP_2012__SRS063603__bin.16	1958052.0	1731427.0	2797135.0	2610555.0	1830309.0	3117980.0	2818944.0	2772779.0	2632301.0	2775576.0	2239270.0	1980353.0	2711144.0	2783321.0	2779782.0	1941403.0	1986897.0	2416308.0	2821227.0	2863867.0	2181292.0	3036510.0	2783081.0	2724553.0	2657956.0	2657079.0	1782675.0	2081483.0	2455780.0	2842645.0	2763724.0	2538028.0	2778606.0	2022020.0	2805958.0
HMP_2012__SRS045197__bin.7	2021514.0	1785788.0	2938338.0	2701601.0	1894179.0	2818944.0	3323654.0	2957211.0	2758966.0	2932847.0	2287748.0	2046934.0	2842593.0	2912479.0	2855035.0	1999920.0	2049009.0	2497616.0	3157587.0	3000951.0	2187821.0	2954087.0	2952788.0	2785555.0	2573142.0	2698247.0	1819682.0	2124514.0	2541221.0	2944561.0	2840190.0	2702073.0	2892193.0	2093267.0	2913058.0
HMP_2012__SRS023841__bin.5	1996686.0	1774475.0	2852750.0	2654315.0	1853105.0	2772779.0	2957211.0	3249907.0	2684573.0	2901410.0	2308665.0	2020483.0	2791108.0	2883465.0	2797328.0	1988864.0	2051090.0	2500527.0	2938667.0	2914026.0	2166582.0	2907466.0	2909200.0	2780419.0	2523274.0	2709668.0	1783768.0	2091100.0	2520022.0	2911096.0	2800881.0	2690553.0	2848376.0	2063589.0	2848016.0
CM_periimplantitis__SP_381SPT_T016__bin.2	1886493.0	1644534.0	2690187.0	2499012.0	1766763.0	2632301.0	2758966.0	2684573.0	3054699.0	2704358.0	2153530.0	1880272.0	2621840.0	2662964.0	2675624.0	1876547.0	1902177.0	2340732.0	2735111.0	2755153.0	2090289.0	2733620.0	2703550.0	2562993.0	2389154.0	2519899.0	1730603.0	1972032.0	2388312.0	2758598.0	2643129.0	2437134.0	2649479.0	1954469.0	2690261.0
HMP_2012__SRS054430__bin.16	1982182.0	1748797.0	2877780.0	2674193.0	1865038.0	2775576.0	2932847.0	2901410.0	2704358.0	3282379.0	2268393.0	2010451.0	2802977.0	2872513.0	2811004.0	1979120.0	2046755.0	2463133.0	2948314.0	2937704.0	2201678.0	2892916.0	2882600.0	2767564.0	2524886.0	2670807.0	1802406.0	2127775.0	2523967.0	2943020.0	2793574.0	2618712.0	2850083.0	2079230.0	2869326.0
HMP_2012__SRS021477__bin.4	1634220.0	1479312.0	2252590.0	2128005.0	1524289.0	2239270.0	2287748.0	2308665.0	2153530.0	2268393.0	2487213.0	1652254.0	2235984.0	2281635.0	2231062.0	1649998.0	1683661.0	2062913.0	2276148.0	2319613.0	1807475.0	2323092.0	2278986.0	2185220.0	2033912.0	2217616.0	1504387.0	1725392.0	2032530.0	2334888.0	2212990.0	2107097.0	2312683.0	1711204.0	2278932.0
HMP_2012__SRS055401__bin.15	1435279.0	1289792.0	1989408.0	1868611.0	1378824.0	1980353.0	2046934.0	2020483.0	1880272.0	2010451.0	1652254.0	2229070.0	1961870.0	1990846.0	1974132.0	1467359.0	1476438.0	1766676.0	2037579.0	2039231.0	1579035.0	2051112.0	2013816.0	1950099.0	1799520.0	1909936.0	1353840.0	1494793.0	1795002.0	2017198.0	1969243.0	1851649.0	2007093.0	1535939.0	1976098.0
HMP_2012__SRS018394__bin.34	1931517.0	1736528.0	2787795.0	2635222.0	1841055.0	2711144.0	2842593.0	2791108.0	2621840.0	2802977.0	2235984.0	1961870.0	3082003.0	2779331.0	2735746.0	1938793.0	1959061.0	2439114.0	2815124.0	2865034.0	2164255.0	2807655.0	2800407.0	2682940.0	2461736.0	2620531.0	1779318.0	2105572.0	2481355.0	2869830.0	2738457.0	2528988.0	2756010.0	2112097.0	2824282.0
CM_periimplantitis__SP_503SPT_T016__bin.7	1981410.0	1761179.0	2868383.0	2654209.0	1835274.0	2783321.0	2912479.0	2883465.0	2662964.0	2872513.0	2281635.0	1990846.0	2779331.0	3157647.0	2825943.0	1974968.0	2064287.0	2463344.0	2875815.0	2944930.0	2181387.0	2892428.0	2876176.0	2719180.0	2525428.0	2675564.0	1781278.0	2107082.0	2502317.0	2940631.0	2758689.0	2606476.0	2853179.0	2053370.0	2862481.0
HMP_2012__SRS024649__bin.21	1963481.0	1730141.0	2829717.0	2621605.0	1834647.0	2779782.0	2855035.0	2797328.0	2675624.0	2811004.0	2231062.0	1974132.0	2735746.0	2825943.0	3131847.0	1972095.0	2024144.0	2442374.0	2844891.0	2901697.0	2204283.0	2871659.0	2837344.0	2703156.0	2528894.0	2662984.0	1779460.0	2113807.0	2486285.0	2861098.0	2759305.0	2553715.0	2791863.0	2031815.0	2827741.0
HMP_2012__SRS023964__bin.4	1438189.0	1323820.0	1973968.0	1850410.0	1433358.0	1941403.0	1999920.0	1988864.0	1876547.0	1979120.0	1649998.0	1467359.0	1938793.0	1974968.0	1972095.0	2074808.0	1424782.0	1767098.0	1989917.0	2017856.0	1587905.0	2010745.0	1994646.0	1920008.0	1778319.0	1891277.0	1303099.0	1563252.0	1768372.0	2015925.0	1931865.0	1811159.0	1963356.0	1555814.0	1982814.0
CM_periimplantitis__SP_187SPT_T016_R__bin.9	1431341.0	1259730.0	2018184.0	1861677.0	1294528.0	1986897.0	2049009.0	2051090.0	1902177.0	2046755.0	1683661.0	1476438.0	1959061.0	2064287.0	2024144.0	1424782.0	2265504.0	1794715.0	2030507.0	2077189.0	1588329.0	2058009.0	2025122.0	1972174.0	1793337.0	1942720.0	1312333.0	1513472.0	1798928.0	2063069.0	1965151.0	1922966.0	2051777.0	1493864.0	2041784.0
