	BackhedF_2015__SID332_4M__bin.12	LiJ_2014__MH0358__bin.2	QinJ_2012__T2D-079__bin.38	RaymondF_2016__P15E90__bin.11	RaymondF_2016__P38C7__bin.32	HMP_2012__SRS011405__bin.22	LeChatelierE_2013__MH0159__bin.42	XieH_2016__YSZC12003_35366__bin.15	BackhedF_2015__SID544_M__bin.23	LiJ_2014__MH0396__bin.55	BackhedF_2015__SID179_4M__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.115	NielsenHB_2014__MH0159__bin.45	RaymondF_2016__P2E0__bin.18	LiJ_2014__V1.UC63-0__bin.54	Bengtsson-PalmeJ_2015__TRAVELRES15__bin.31	WenC_2017__RA050__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.62	LoombaR_2017__SID0009_rhg__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.73	HMP_2012__SRS013800__bin.7	ZellerG_2014__CCIS24254057ST-4-0__bin.21	HMP_2012__SRS017103__bin.15	HMP_2012__SRS017307__bin.3	XieH_2016__YSZC12003_37323__bin.2	HMP_2012__SRS024331__bin.1	NielsenHB_2014__V1_UC25_1__bin.40	BackhedF_2015__SID377_M__bin.32	XieH_2016__YSZC12003_37798__bin.98	NielsenHB_2014__V1_CD25_4__bin.19	NielsenHB_2014__V1_CD17_4__bin.58	BackhedF_2015__SID78_4M__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.115	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.16	LiuW_2016__SRR3993056__bin.17	RaymondF_2016__P38C90__bin.54	LeChatelierE_2013__MH0453__bin.24	RaymondF_2016__P38C0__bin.30	LiJ_2014__MH0314__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.32	LiJ_2014__MH0371__bin.3	XieH_2016__YSZC12003_36158__bin.23	XieH_2016__YSZC12003_37229__bin.49
BackhedF_2015__SID332_4M__bin.12	5177693.0	3438831.0	3382144.0	2595364.0	4003853.0	3133906.0	2931086.0	3803552.0	3628187.0	2961254.0	5161592.0	4607764.0	2693297.0	4199483.0	3575671.0	4154116.0	4646212.0	5059011.0	3810061.0	4246819.0	4878243.0	2700187.0	4535639.0	3501285.0	3035867.0	2680959.0	3247111.0	3595603.0	2859865.0	1898917.0	4163463.0	3851474.0	3612861.0	2736982.0	4122161.0	3572848.0	4227371.0	3055190.0	4821351.0	4003279.0	2338455.0	4811607.0	3134423.0	2639097.0	4101480.0
LiJ_2014__MH0358__bin.2	3438831.0	4276742.0	2487884.0	2707299.0	3899693.0	3281530.0	3110563.0	3831529.0	3663090.0	2977426.0	3428213.0	3272866.0	2893379.0	3538133.0	3634437.0	3341841.0	3293680.0	3404249.0	3270237.0	3294951.0	3340086.0	2859680.0	3305752.0	3519284.0	2665875.0	2387459.0	3331829.0	3171817.0	2092675.0	1676289.0	3534134.0	3362406.0	3040934.0	2050137.0	3055518.0	3609459.0	3057759.0	2930206.0	3373323.0	3895484.0	2062982.0	3307484.0	2735775.0	2379323.0	4020541.0
QinJ_2012__T2D-079__bin.38	3382144.0	2487884.0	3509157.0	1917788.0	2789879.0	2296521.0	2125027.0	2700304.0	2596878.0	2127524.0	3368034.0	3167635.0	1973903.0	2884655.0	2555486.0	2925142.0	3236117.0	3349010.0	2699642.0	2984279.0	3301210.0	1974976.0	3169699.0	2528065.0	2234149.0	1950312.0	2353902.0	2572562.0	2096520.0	1436776.0	2886589.0	2721320.0	2593602.0	1996853.0	2988950.0	2571693.0	3002912.0	2208224.0	3290729.0	2802550.0	1665124.0	3271098.0	2237626.0	1958448.0	2866168.0
RaymondF_2016__P15E90__bin.11	2595364.0	2707299.0	1917788.0	3189507.0	3010254.0	2515239.0	2417962.0	2932374.0	2825384.0	2291768.0	2592382.0	2477088.0	2238587.0	2702897.0	2779558.0	2537948.0	2488436.0	2570294.0	2518403.0	2491514.0	2523933.0	2242857.0	2503669.0	2765824.0	2065403.0	1838516.0	2623460.0	2392559.0	1617083.0	1312037.0	2697615.0	2561422.0	2337430.0	1575223.0	2332071.0	2828123.0	2346845.0	2308208.0	2544920.0	2999761.0	1553656.0	2477319.0	2118484.0	1808433.0	3065137.0
RaymondF_2016__P38C7__bin.32	4003853.0	3899693.0	2789879.0	3010254.0	4879469.0	3619829.0	3426484.0	4334701.0	4123517.0	3354632.0	3991189.0	3771285.0	3141130.0	4145029.0	4035011.0	3868022.0	3821820.0	3955638.0	3788703.0	3832277.0	3880989.0	3166631.0	3841793.0	4015526.0	3034041.0	2701394.0	3734255.0	3625831.0	2356114.0	1861669.0	4121824.0	3839045.0	3497631.0	2300652.0	3477611.0	4089883.0	3538307.0	3383267.0	3919882.0	4536077.0	2311482.0	3839769.0	3088330.0	2651381.0	4582223.0
HMP_2012__SRS011405__bin.22	3133906.0	3281530.0	2296521.0	2515239.0	3619829.0	3940612.0	2965569.0	3600249.0	3386146.0	2753457.0	3128638.0	2975313.0	2728782.0	3288353.0	3375488.0	3046740.0	2999341.0	3101174.0	2993162.0	3015942.0	3053923.0	2721541.0	3021345.0	3259224.0	2443312.0	2211052.0	3073096.0	2946657.0	1890545.0	1506380.0	3294651.0	3107061.0	2799604.0	1848499.0	2803021.0	3490427.0	2742925.0	2661762.0	3073592.0	3617939.0	1874226.0	3027535.0	2433887.0	2168814.0	3784619.0
LeChatelierE_2013__MH0159__bin.42	2931086.0	3110563.0	2125027.0	2417962.0	3426484.0	2965569.0	3645998.0	3377111.0	3230410.0	2626492.0	2923732.0	2782940.0	3171519.0	3011861.0	3200127.0	2855233.0	2813744.0	2897042.0	2819084.0	2827077.0	2852703.0	2575885.0	2835492.0	3057919.0	2287515.0	2105620.0	2935445.0	2759653.0	1816476.0	1435568.0	3029647.0	2914315.0	2605696.0	1768750.0	2645337.0	3248797.0	2566267.0	2477583.0	2882480.0	3387747.0	1782151.0	2841751.0	2347037.0	2068344.0	3490118.0
XieH_2016__YSZC12003_35366__bin.15	3803552.0	3831529.0	2700304.0	2932374.0	4334701.0	3600249.0	3377111.0	4737715.0	4026344.0	3214930.0	3794141.0	3597589.0	3093459.0	3903393.0	3978418.0	3696237.0	3646180.0	3748231.0	3573552.0	3640923.0	3704516.0	3135459.0	3674677.0	3868376.0	2860520.0	2613410.0	3601648.0	3448035.0	2254810.0	1797381.0	3909865.0	3690998.0	3357642.0	2214212.0	3348251.0	4031480.0	3349973.0	3184072.0	3732487.0	4292862.0	2210409.0	3662430.0	2963832.0	2568668.0	4484523.0
BackhedF_2015__SID544_M__bin.23	3628187.0	3663090.0	2596878.0	2825384.0	4123517.0	3386146.0	3230410.0	4026344.0	4350895.0	3120549.0	3621417.0	3451426.0	3001613.0	3732965.0	3760719.0	3532404.0	3489144.0	3582669.0	3443835.0	3475814.0	3528575.0	2924871.0	3513657.0	3683746.0	2764246.0	2473025.0	3511422.0	3334872.0	2195420.0	1748847.0	3748070.0	3495442.0	3248527.0	2147458.0	3238429.0	3796104.0	3221258.0	3069483.0	3571957.0	4106517.0	2143087.0	3517108.0	2892534.0	2457127.0	4232632.0
LiJ_2014__MH0396__bin.55	2961254.0	2977426.0	2127524.0	2291768.0	3354632.0	2753457.0	2626492.0	3214930.0	3120549.0	3582389.0	2952869.0	2813376.0	2437253.0	3034097.0	3065010.0	2863175.0	2806898.0	2929365.0	2787833.0	2811141.0	2839070.0	2428411.0	2835737.0	3073993.0	2286549.0	2009679.0	2920601.0	2724518.0	1830782.0	1426532.0	3018114.0	2839266.0	2611834.0	1765661.0	2618923.0	3074172.0	2642099.0	2538391.0	2879503.0	3316306.0	1753204.0	2828422.0	2324709.0	1997386.0	3389185.0
