	BackhedF_2015__SID332_4M__bin.12	LiJ_2014__MH0358__bin.2	QinJ_2012__T2D-079__bin.38	RaymondF_2016__P15E90__bin.11	RaymondF_2016__P38C7__bin.32	HMP_2012__SRS011405__bin.22	LeChatelierE_2013__MH0159__bin.42	XieH_2016__YSZC12003_35366__bin.15	BackhedF_2015__SID544_M__bin.23	LiJ_2014__MH0396__bin.55	BackhedF_2015__SID179_4M__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.115	NielsenHB_2014__MH0159__bin.45	RaymondF_2016__P2E0__bin.18	LiJ_2014__V1.UC63-0__bin.54	Bengtsson-PalmeJ_2015__TRAVELRES15__bin.31	WenC_2017__RA050__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.62	LoombaR_2017__SID0009_rhg__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.73	HMP_2012__SRS013800__bin.7	ZellerG_2014__CCIS24254057ST-4-0__bin.21	HMP_2012__SRS017103__bin.15	HMP_2012__SRS017307__bin.3	XieH_2016__YSZC12003_37323__bin.2	HMP_2012__SRS024331__bin.1	NielsenHB_2014__V1_UC25_1__bin.40	BackhedF_2015__SID377_M__bin.32	XieH_2016__YSZC12003_37798__bin.98	NielsenHB_2014__V1_CD25_4__bin.19	NielsenHB_2014__V1_CD17_4__bin.58	BackhedF_2015__SID78_4M__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.115	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.16	LiuW_2016__SRR3993056__bin.17	RaymondF_2016__P38C90__bin.54	LeChatelierE_2013__MH0453__bin.24	RaymondF_2016__P38C0__bin.30	LiJ_2014__MH0314__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.32	LiJ_2014__MH0371__bin.3	XieH_2016__YSZC12003_36158__bin.23	XieH_2016__YSZC12003_37229__bin.49
BackhedF_2015__SID332_4M__bin.12	1.0	0.6521954855183573	0.6512433240054981	0.49230361861933486	0.760409317431528	0.5954145987411769	0.5560302628989399	0.7214344303534411	0.6883328154063981	0.5620120775797252	0.9967518352285468	0.8863484181082192	0.5108829357012863	0.797761667213564	0.6782221348388171	0.7981892707814079	0.8960616243566392	0.9766834379713126	0.7237337169275969	0.8166370621046865	0.9410053859894745	0.5096640530831009	0.874824559895691	0.6647242314289395	0.5764887952993737	0.5090803954579771	0.6163092327026728	0.6826337521363279	0.5513919036914703	0.3640395442526237	0.7908246008405674	0.7313732196945628	0.68394360190919	0.5265225265383637	0.7952667336591799	0.6784054211016374	0.8139111376437344	0.5807198302409973	0.9305561376466315	0.76057232439235	0.44237211437603585	0.928169746641989	0.5946144354251981	0.5008607115176585	0.7783460703444565
LiJ_2014__MH0358__bin.2	0.789588897342884	1.0	0.5705705417815711	0.6319212147938782	0.9067385874574618	0.7652336755408674	0.7249850470287897	0.8925041538629171	0.8540176143428807	0.6936474073021006	0.7871279118543977	0.7498528085163892	0.6742723783665229	0.8135026616054931	0.8472556913650625	0.7722626242125431	0.7560783418779997	0.7813847550308155	0.7515190301402328	0.7611714711806323	0.7671444758650393	0.6641403666622864	0.75942878948508	0.8209873310103812	0.6125632549262967	0.5486606393371403	0.7772870095974926	0.7289553590092644	0.48013441072666996	0.3887033634481575	0.8125250482727272	0.7726105526122455	0.6969344889170307	0.4701688808911082	0.7016532678379944	0.8411141004063373	0.7009347302222112	0.6795032293273712	0.7747563448999262	0.9063967384518402	0.4723385231094136	0.7595073539624321	0.6278994617865656	0.5469093061961652	0.9381690548553081
QinJ_2012__T2D-079__bin.38	0.9608968763723025	0.6953758409783318	1.0	0.5364624609272255	0.7806624212025852	0.6434254722715456	0.5944080016938541	0.7551275135310276	0.7262316847037622	0.5948474234695114	0.9568739728658479	0.8966572313521453	0.5520596542132483	0.807868100515309	0.7144356892552827	0.8278415585281593	0.919189708525438	0.951015585794537	0.7558678622814539	0.8448872478489848	0.9391318199784164	0.5492988771947223	0.9001654813392505	0.7075177884603054	0.6251903234879488	0.5457433223990833	0.658579824157198	0.719952398823991	0.5947283065419986	0.40600805264626233	0.8082117727989943	0.7614090791606075	0.7240106384524829	0.5657720643447985	0.8489976367543544	0.7197851221817662	0.8515087811688107	0.6186206544762746	0.9352798977076261	0.7845280219722287	0.4642664890741566	0.9306260734415701	0.6255528037075572	0.5481305054176829	0.8020171226308769
RaymondF_2016__P15E90__bin.11	0.7991821306553019	0.8473296970346827	0.590226326513784	1.0	0.9389526343726476	0.7872034769009756	0.7561149732544873	0.9169291680501094	0.884148553365771	0.7163345306970639	0.7982437411173576	0.7612217185916194	0.6999671109046005	0.8335228610565834	0.8696224839763638	0.7871504906557659	0.7662174749890814	0.7913138300057031	0.7764507179322697	0.7723557277033724	0.7774938258483207	0.6987932617799553	0.77153992764399	0.8659592219110979	0.6368611199160246	0.5669518831593723	0.8213187806140573	0.7375396887355946	0.49778445383565545	0.40836561888718226	0.8318103706936526	0.7896066696201012	0.7187229875965158	0.48462411275472983	0.7183639979470182	0.8843598712904535	0.7218106121102729	0.7184038160129449	0.7838791386882048	0.9363591301100765	0.47730041037690146	0.7630533496242523	0.6525870612605648	0.5575541925444905	0.9598721683319711
RaymondF_2016__P38C7__bin.32	0.8068841097258739	0.7947354517469012	0.5614272782550725	0.6137544884494603	1.0	0.7380727288153691	0.6976808337136684	0.8825163147875312	0.8403859108439874	0.6830616200246379	0.804386911772572	0.7584288372361828	0.6394726557336464	0.8378776461127225	0.8217609334130415	0.7832292817107763	0.7700516183215838	0.7970193068139176	0.7652189203374384	0.776064772621775	0.782267291789332	0.6422950939948588	0.7743149920616362	0.818969851022724	0.6126777319417338	0.5445428590692962	0.7615834837766159	0.7324725292854611	0.47444793685542425	0.3780560958579714	0.8330597038325277	0.775237223558547	0.7029131653464752	0.4629745572725229	0.7010531268873723	0.8330115428543556	0.7118514330145349	0.6893881280934463	0.7902468485812698	0.9270920667802173	0.46498522687612115	0.7737505863855267	0.6230143074994431	0.5346493645107695	0.9342002172777407
HMP_2012__SRS011405__bin.22	0.7823338100782314	0.8305072917607722	0.5729772431287322	0.6371576293225518	0.9139197160238055	1.0	0.7502720389624759	0.9107245270531582	0.8572094892874508	0.6960855318920006	0.7809812282965184	0.7409643476698543	0.690362562972452	0.8219248685229604	0.854466260570693	0.7652296140802495	0.7485210419092263	0.7739990641047635	0.7478282561185927	0.757052204073885	0.7626754422917049	0.6863921137122863	0.7545891348856472	0.8251804542035603	0.6102620608169492	0.5517092268916605	0.7781397914841655	0.7361064728016866	0.47139809755439005	0.37936823011248005	0.8233987512599565	0.7760203237466667	0.6970754796463088	0.4605246596213989	0.6997303972073374	0.8831384566661219	0.6837377036866354	0.6706821173969932	0.7674523652671209	0.9143871561067165	0.4663425376565874	0.7558810661897187	0.6073087124538016	0.5413555051854889	0.9589908877098278
LeChatelierE_2013__MH0159__bin.42	0.7896202905212785	0.8504047451479677	0.5720987778929116	0.6614468795649366	0.9337119768030592	0.810897592373885	1.0	0.9237585977831037	0.8837687239543193	0.7171646830305448	0.7875865538050213	0.7482025497545528	0.8694982827747025	0.8123479497246021	0.8747544568044195	0.7739579122094965	0.7578613592218099	0.7801718486954737	0.7599590016231496	0.7658726088165709	0.7687201144926574	0.7014512898800275	0.7644134747194047	0.8360621700834724	0.6166972664274637	0.567514299239879	0.8026038412527927	0.7441109402693035	0.48905402581131424	0.39032330791185293	0.817112900226495	0.7856666405192761	0.7002976962686212	0.4758540734251637	0.7127667102395557	0.8877402017225462	0.6900450850494159	0.6739040997828303	0.7767332840007043	0.9241650708530285	0.47879400921229254	0.7656104035164035	0.6319603027758106	0.557507985467902	0.9546944348296407
XieH_2016__YSZC12003_35366__bin.15	0.7884319761741683	0.8056647561113321	0.5593120312218021	0.6172916690852025	0.9089214948556424	0.7574984987488694	0.7108958643565517	1.0	0.8474889266239104	0.6753985834943639	0.7864312226463601	0.7440933023620036	0.6510752546322436	0.8100998054969537	0.8364810884571994	0.770871612159026	0.7556317760777084	0.7767330875749174	0.7413972769573518	0.7590948379123691	0.7681580677605133	0.6569576261974391	0.7621819801317724	0.8139267558306061	0.5932927582178328	0.5419458536446367	0.7578406468096962	0.7152716024497041	0.46685163628458026	0.37606546615826403	0.8113689827269053	0.76547702848314	0.6946836185798428	0.4584184569987853	0.6942277025950273	0.8475201653117589	0.693195770534952	0.66635202835122	0.7739235053184921	0.900991511730866	0.4569880205964268	0.7592949343723714	0.613979312812189	0.5329090078233917	0.9438830744356721
BackhedF_2015__SID544_M__bin.23	0.8191362926478345	0.8394624554258378	0.5857325906508891	0.6481420489347594	0.9424812596029093	0.7763758950744617	0.7405876262240298	0.9228356464589469	1.0	0.7144033583894808	0.8175357024244436	0.7773423628931518	0.6880988854017391	0.8439201589558011	0.8616714492075769	0.8026063603005819	0.7874156926333548	0.8085717995952557	0.7783529595634922	0.7893941361489992	0.796834444407415	0.6674897923300839	0.7938454042214302	0.8444779752211901	0.6245862058266173	0.5584177508305762	0.80513227738201	0.7535201378107262	0.495047340834472	0.3985545502706914	0.8472856734074253	0.7895701918800614	0.7318416095998639	0.48406155515129645	0.731286781225472	0.8695296025300542	0.7259750005458646	0.6998688775527794	0.8066395534711823	0.9393639699418166	0.48238259024867297	0.7940807580968973	0.6527856912198525	0.5554312388600507	0.9708620869958939
LiJ_2014__MH0396__bin.55	0.8122864379049847	0.8280929290481854	0.5826874189263086	0.6377738430974415	0.9303785825604087	0.7656909955898146	0.7298986793449846	0.8932156725581728	0.8676595422775136	1.0	0.8099943920104712	0.7699557474076656	0.6772106546776466	0.8324174175389663	0.8520995346959808	0.7902318815739999	0.7696615303363202	0.8033530138686782	0.764754469712809	0.7753398639846203	0.7786719979321063	0.6726969070081446	0.777765619534897	0.8563199027241318	0.6273651465544361	0.5511735325225708	0.813504340260089	0.7472117070480062	0.501718545920055	0.39455207125747654	0.8279893668722186	0.7789586781335025	0.7145689650118956	0.4836448526388396	0.7184297964291427	0.8543123038843632	0.7235155087847802	0.7025920412328198	0.7900674661517775	0.9205602741634143	0.4794920372968988	0.7756483173658696	0.6374120733398857	0.5482726750221709	0.9431407365308458
