	BackhedF_2015__SID332_4M__bin.12	LiJ_2014__MH0358__bin.2	QinJ_2012__T2D-079__bin.38	RaymondF_2016__P15E90__bin.11	RaymondF_2016__P38C7__bin.32	HMP_2012__SRS011405__bin.22	LeChatelierE_2013__MH0159__bin.42	XieH_2016__YSZC12003_35366__bin.15	BackhedF_2015__SID544_M__bin.23	LiJ_2014__MH0396__bin.55	BackhedF_2015__SID179_4M__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.115	NielsenHB_2014__MH0159__bin.45	RaymondF_2016__P2E0__bin.18	LiJ_2014__V1.UC63-0__bin.54	Bengtsson-PalmeJ_2015__TRAVELRES15__bin.31	WenC_2017__RA050__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.62	LoombaR_2017__SID0009_rhg__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.73	HMP_2012__SRS013800__bin.7	ZellerG_2014__CCIS24254057ST-4-0__bin.21	HMP_2012__SRS017103__bin.15	HMP_2012__SRS017307__bin.3	XieH_2016__YSZC12003_37323__bin.2	HMP_2012__SRS024331__bin.1	NielsenHB_2014__V1_UC25_1__bin.40	BackhedF_2015__SID377_M__bin.32	XieH_2016__YSZC12003_37798__bin.98	NielsenHB_2014__V1_CD25_4__bin.19	NielsenHB_2014__V1_CD17_4__bin.58	BackhedF_2015__SID78_4M__bin.17	ZellerG_2014__CCIS52370277ST-4-0__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.115	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.16	LiuW_2016__SRR3993056__bin.17	RaymondF_2016__P38C90__bin.54	LeChatelierE_2013__MH0453__bin.24	RaymondF_2016__P38C0__bin.30	LiJ_2014__MH0314__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.32	LiJ_2014__MH0371__bin.3	XieH_2016__YSZC12003_36158__bin.23	XieH_2016__YSZC12003_37229__bin.49
BackhedF_2015__SID332_4M__bin.12	0.0	61963.0	10206.0	46367.0	66687.0	51032.0	52132.0	68186.0	64211.0	51328.0	717.0	18524.0	48102.0	68918.0	64045.0	21337.0	6680.0	2044.0	62790.0	18523.0	6006.0	61303.0	6066.0	59547.0	50985.0	45097.0	56051.0	61135.0	4927.0	14032.0	68816.0	64648.0	71611.0	10810.0	4514.0	60273.0	13189.0	48401.0	3217.0	65269.0	47988.0	5829.0	55692.0	45794.0	71443.0
LiJ_2014__MH0358__bin.2	61963.0	0.0	47701.0	4735.0	21806.0	8823.0	9989.0	14519.0	10677.0	10875.0	61870.0	65939.0	9690.0	58992.0	10943.0	39073.0	60128.0	62468.0	56184.0	39617.0	59207.0	19323.0	57871.0	8133.0	46100.0	40979.0	7573.0	54263.0	39264.0	13905.0	59174.0	58150.0	60325.0	39346.0	54728.0	12231.0	60042.0	24146.0	59890.0	19059.0	42912.0	59267.0	50411.0	40333.0	8234.0
QinJ_2012__T2D-079__bin.38	10206.0	47701.0	0.0	35257.0	50412.0	38640.0	39156.0	50443.0	48417.0	40111.0	10213.0	21124.0	36639.0	49719.0	48419.0	20116.0	10536.0	11747.0	47183.0	19437.0	5649.0	47400.0	10877.0	45274.0	40258.0	35213.0	42842.0	46136.0	9525.0	12030.0	50447.0	49416.0	52935.0	11470.0	9684.0	45854.0	14834.0	37387.0	8685.0	49518.0	35940.0	5385.0	42463.0	34972.0	51764.0
RaymondF_2016__P15E90__bin.11	46367.0	4735.0	35257.0	0.0	15458.0	4448.0	6328.0	7822.0	5386.0	7014.0	46378.0	49166.0	6037.0	44370.0	5891.0	27326.0	44580.0	46393.0	41908.0	28080.0	44111.0	14051.0	42837.0	3841.0	34130.0	30219.0	3858.0	40171.0	29396.0	9552.0	44550.0	42966.0	45058.0	29511.0	40844.0	7451.0	44625.0	16854.0	44732.0	13237.0	31303.0	43555.0	37053.0	30110.0	3618.0
RaymondF_2016__P38C7__bin.32	66687.0	21806.0	50412.0	15458.0	0.0	18426.0	22172.0	28490.0	22880.0	21654.0	66208.0	70555.0	20843.0	56631.0	25254.0	46279.0	64377.0	66607.0	54841.0	45493.0	63940.0	32572.0	63547.0	19388.0	44499.0	44314.0	18132.0	51754.0	41060.0	16956.0	56935.0	56299.0	67788.0	41582.0	56844.0	25229.0	64850.0	19419.0	63897.0	12360.0	42601.0	64277.0	48351.0	42576.0	23822.0
HMP_2012__SRS011405__bin.22	51032.0	8823.0	38640.0	4448.0	18426.0	0.0	9038.0	11437.0	8216.0	10454.0	51094.0	55460.0	8331.0	49466.0	8368.0	31267.0	49710.0	51144.0	46261.0	32693.0	48515.0	16736.0	47802.0	7508.0	38506.0	36980.0	6749.0	45947.0	32948.0	11437.0	49956.0	49066.0	52700.0	33750.0	45655.0	10321.0	48580.0	18864.0	49360.0	14694.0	36551.0	48901.0	40719.0	35542.0	5608.0
LeChatelierE_2013__MH0159__bin.42	52132.0	9989.0	39156.0	6328.0	22172.0	9038.0	0.0	9089.0	8191.0	11711.0	52193.0	54995.0	1330.0	50042.0	10774.0	33384.0	50583.0	52537.0	48275.0	34707.0	49951.0	18395.0	48442.0	9638.0	39038.0	36464.0	9153.0	46626.0	33386.0	12450.0	50455.0	49776.0	52412.0	33787.0	46591.0	12098.0	50364.0	20530.0	50512.0	18243.0	36469.0	50337.0	42911.0	35671.0	9304.0
XieH_2016__YSZC12003_35366__bin.15	68186.0	14519.0	50443.0	7822.0	28490.0	11437.0	9089.0	0.0	11183.0	15084.0	68254.0	72287.0	8850.0	65371.0	15409.0	44067.0	66212.0	68291.0	61023.0	44548.0	65202.0	22981.0	63676.0	12223.0	49668.0	45825.0	11215.0	59282.0	43000.0	15690.0	65830.0	64386.0	66429.0	42356.0	59198.0	16171.0	65809.0	27086.0	65858.0	24221.0	45330.0	65107.0	54973.0	43897.0	12674.0
BackhedF_2015__SID544_M__bin.23	64211.0	10677.0	48417.0	5386.0	22880.0	8216.0	8191.0	11183.0	0.0	12255.0	64405.0	69291.0	7767.0	61157.0	11677.0	40348.0	63181.0	64658.0	57303.0	41243.0	61632.0	20693.0	59719.0	9511.0	46737.0	43408.0	8376.0	56385.0	41521.0	14778.0	61619.0	60105.0	64361.0	41357.0	56677.0	12872.0	62617.0	24427.0	62353.0	19443.0	44291.0	62146.0	52332.0	40504.0	8513.0
LiJ_2014__MH0396__bin.55	51328.0	10875.0	40111.0	7014.0	21654.0	10454.0	11711.0	15084.0	12255.0	0.0	51154.0	55095.0	11221.0	52054.0	12458.0	32257.0	49671.0	51442.0	48185.0	33572.0	49564.0	18549.0	49478.0	6322.0	39083.0	35161.0	6312.0	47715.0	33431.0	13093.0	51934.0	48733.0	51970.0	33057.0	45228.0	13693.0	50185.0	21433.0	49174.0	18501.0	35477.0	49748.0	41251.0	33260.0	10488.0
BackhedF_2015__SID179_4M__bin.6	717.0	61870.0	10213.0	46378.0	66208.0	51094.0	52193.0	68254.0	64405.0	51154.0	0.0	18568.0	48007.0	68936.0	63895.0	21463.0	6868.0	2431.0	62776.0	18753.0	6198.0	60972.0	6244.0	59568.0	50823.0	44997.0	56059.0	61102.0	4913.0	14105.0	68781.0	64717.0	71364.0	10835.0	4530.0	60274.0	13210.0	48485.0	3425.0	65396.0	47617.0	6006.0	55625.0	45742.0	71247.0
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.115	18524.0	65939.0	21124.0	49166.0	70555.0	55460.0	54995.0	72287.0	69291.0	55095.0	18568.0	0.0	50976.0	72291.0	67798.0	34680.0	22547.0	19022.0	66826.0	31583.0	22466.0	61288.0	21497.0	64258.0	53805.0	48516.0	60035.0	65128.0	13843.0	19821.0	72276.0	69355.0	74035.0	18927.0	19078.0	65188.0	26642.0	52573.0	19542.0	69851.0	48576.0	22267.0	59673.0	49833.0	74992.0
NielsenHB_2014__MH0159__bin.45	48102.0	9690.0	36639.0	6037.0	20843.0	8331.0	1330.0	8850.0	7767.0	11221.0	48007.0	50976.0	0.0	45787.0	10718.0	31321.0	46816.0	48530.0	44373.0	31835.0	45919.0	17776.0	44906.0	8811.0	36143.0	34624.0	8702.0	43482.0	31268.0	11856.0	46352.0	45967.0	48689.0	32345.0	43295.0	11897.0	46633.0	19003.0	46570.0	17163.0	33950.0	46277.0	39137.0	33616.0	9202.0
RaymondF_2016__P2E0__bin.18	68918.0	58992.0	49719.0	44370.0	56631.0	49466.0	50042.0	65371.0	61157.0	52054.0	68936.0	72291.0	45787.0	0.0	62329.0	60868.0	65681.0	68873.0	30089.0	59368.0	64274.0	60169.0	64593.0	56824.0	25450.0	45743.0	54379.0	4464.0	41570.0	26720.0	1863.0	31146.0	71427.0	43960.0	59412.0	59417.0	65842.0	33241.0	66295.0	61096.0	32877.0	64355.0	28400.0	47572.0	68687.0
LiJ_2014__V1.UC63-0__bin.54	64045.0	10943.0	48419.0	5891.0	25254.0	8368.0	10774.0	15409.0	11677.0	12458.0	63895.0	67798.0	10718.0	62329.0	0.0	41062.0	61900.0	64730.0	58236.0	41434.0	61007.0	21711.0	60987.0	9543.0	47341.0	42943.0	8986.0	57273.0	40359.0	14663.0	62814.0	60066.0	62256.0	40826.0	56247.0	10667.0	61239.0	24954.0	61585.0	21653.0	42976.0	61352.0	52106.0	40603.0	8666.0
Bengtsson-PalmeJ_2015__TRAVELRES15__bin.31	21337.0	39073.0	20116.0	27326.0	46279.0	31267.0	33384.0	44067.0	40348.0	32257.0	21463.0	34680.0	31321.0	60868.0	41062.0	0.0	24025.0	22463.0	56425.0	22795.0	22414.0	41361.0	23252.0	36109.0	45763.0	41336.0	35006.0	55353.0	16346.0	14709.0	60790.0	57919.0	59417.0	19488.0	20269.0	39410.0	28224.0	37899.0	21706.0	44005.0	44141.0	22183.0	50215.0	39855.0	42867.0
WenC_2017__RA050__bin.47	6680.0	60128.0	10536.0	44580.0	64377.0	49710.0	50583.0	66212.0	63181.0	49671.0	6868.0	22547.0	46816.0	65681.0	61900.0	24025.0	0.0	8310.0	60954.0	21529.0	8464.0	59431.0	9634.0	58108.0	49480.0	44415.0	54822.0	58615.0	8469.0	13538.0	65557.0	62960.0	70236.0	12913.0	3247.0	58454.0	16741.0	46819.0	5782.0	63575.0	45163.0	8183.0	53983.0	44180.0	68222.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.62	2044.0	62468.0	11747.0	46393.0	66607.0	51144.0	52537.0	68291.0	64658.0	51442.0	2431.0	19022.0	48530.0	68873.0	64730.0	22463.0	8310.0	0.0	62647.0	19974.0	7546.0	61022.0	7951.0	59730.0	51307.0	45206.0	56177.0	61679.0	5322.0	14275.0	69025.0	65026.0	71569.0	11179.0	5535.0	60612.0	14047.0	48889.0	4311.0	65256.0	47801.0	7300.0	55797.0	46022.0	71589.0
LoombaR_2017__SID0009_rhg__bin.29	62790.0	56184.0	47183.0	41908.0	54841.0	46261.0	48275.0	61023.0	57303.0	48185.0	62776.0	66826.0	44373.0	30089.0	58236.0	56425.0	60954.0	62647.0	0.0	54473.0	60615.0	56205.0	59861.0	53376.0	1923.0	41207.0	50818.0	29852.0	39869.0	25114.0	31435.0	33865.0	64943.0	41164.0	54875.0	54494.0	61948.0	36483.0	60706.0	56888.0	31663.0	61147.0	30067.0	43832.0	63139.0
Bengtsson-PalmeJ_2015__TRAVELRES16__bin.7	18523.0	39617.0	19437.0	28080.0	45493.0	32693.0	34707.0	44548.0	41243.0	33572.0	18753.0	31583.0	31835.0	59368.0	41434.0	22795.0	21529.0	19974.0	54473.0	0.0	20334.0	41629.0	19893.0	37386.0	44302.0	39846.0	35053.0	53169.0	14324.0	13379.0	59600.0	56707.0	57629.0	17683.0	17369.0	39977.0	25820.0	35302.0	18595.0	42937.0	42606.0	19911.0	48748.0	37807.0	43619.0
Bengtsson-PalmeJ_2015__TRAVELRES32__bin.73	6006.0	59207.0	5649.0	44111.0	63940.0	48515.0	49951.0	65202.0	61632.0	49564.0	6198.0	22466.0	45919.0	64274.0	61007.0	22414.0	8464.0	7546.0	60615.0	20334.0	0.0	58922.0	9524.0	56535.0	49903.0	43880.0	53994.0	57839.0	7983.0	13705.0	64419.0	61989.0	67626.0	11905.0	6546.0	57843.0	14347.0	46559.0	5316.0	63233.0	46456.0	311.0	53830.0	42969.0	68310.0
HMP_2012__SRS013800__bin.7	61303.0	19323.0	47400.0	14051.0	32572.0	16736.0	18395.0	22981.0	20693.0	18549.0	60972.0	61288.0	17776.0	60169.0	21711.0	41361.0	59431.0	61022.0	56205.0	41629.0	58922.0	0.0	57414.0	17354.0	45813.0	41603.0	16536.0	55531.0	39313.0	16338.0	60739.0	59830.0	62124.0	38573.0	54480.0	23050.0	57022.0	27029.0	59529.0	28545.0	38871.0	58772.0	47008.0	42229.0	21148.0
ZellerG_2014__CCIS24254057ST-4-0__bin.21	6066.0	57871.0	10877.0	42837.0	63547.0	47802.0	48442.0	63676.0	59719.0	49478.0	6244.0	21497.0	44906.0	64593.0	60987.0	23252.0	9634.0	7951.0	59861.0	19893.0	9524.0	57414.0	0.0	55652.0	49176.0	42389.0	53265.0	57624.0	7812.0	14226.0	64718.0	61218.0	62865.0	11655.0	7396.0	56914.0	15779.0	46845.0	6885.0	61359.0	45507.0	8927.0	52681.0	43496.0	66139.0
HMP_2012__SRS017103__bin.15	59547.0	8133.0	45274.0	3841.0	19388.0	7508.0	9638.0	12223.0	9511.0	6322.0	59568.0	64258.0	8811.0	56824.0	9543.0	36109.0	58108.0	59730.0	53376.0	37386.0	56535.0	17354.0	55652.0	0.0	44735.0	39666.0	667.0	52595.0	38413.0	13484.0	57097.0	55519.0	61288.0	37313.0	51640.0	11268.0	58187.0	21859.0	56526.0	15812.0	41534.0	55950.0	47688.0	38439.0	6363.0
HMP_2012__SRS017307__bin.3	50985.0	46100.0	40258.0	34130.0	44499.0	38506.0	39038.0	49668.0	46737.0	39083.0	50823.0	53805.0	36143.0	25450.0	47341.0	45763.0	49480.0	51307.0	1923.0	44302.0	49903.0	45813.0	49176.0	44735.0	0.0	34393.0	43167.0	26060.0	32941.0	20844.0	27059.0	28025.0	54331.0	33632.0	44435.0	46148.0	51679.0	31048.0	49506.0	45897.0	26952.0	49546.0	25075.0	36450.0	50213.0
