	HMP_2012__SRS019591__bin.13	HMP_2012__SRS018443__bin.44	HMP_2012__SRS024021__bin.12	HMP_2012__SRS015947__bin.12	HMP_2012__SRS053630__bin.11	HMP_2012__SRS015278__bin.1	CM_cf__CF_TNFC048IS_t2M15__bin.15	HMP_2012__SRS015650__bin.12	HMP_2012__SRS019225__bin.13	CM_periimplantitis__SP_191SPI_T016__bin.15	CM_periimplantitis__SP_386SPT_T016__bin.7	HMP_2012__SRS015803__bin.41	HMP_2012__SRS013949__bin.24	HMP_2012__SRS022602__bin.29	HMP_2012__SRS019129__bin.14	CM_periimplantitis__SP_162SPI_T016__bin.27	QinJ_2012__T2D-092__bin.6	CM_periimplantitis__SP_162SPT_T016__bin.5	HMP_2012__SRS058808__bin.21	HMP_2012__SRS011098__bin.21	HMP_2012__SRS024561__bin.20	HMP_2012__SRS016541__bin.4	HMP_2012__SRS015378__bin.8	HMP_2012__SRS049268__bin.66	HMP_2012__SRS016092__bin.6	HMP_2012__SRS065310__bin.13
HMP_2012__SRS019591__bin.13	0.0	51704.0	40733.0	32731.0	35566.0	46186.0	56455.0	53871.0	54219.0	47946.0	38828.0	34385.0	40546.0	37107.0	51943.0	53779.0	59202.0	49332.0	53907.0	40870.0	39530.0	43478.0	38879.0	39800.0	55122.0	42074.0
HMP_2012__SRS018443__bin.44	51704.0	0.0	52033.0	63162.0	71276.0	72198.0	81245.0	73794.0	79557.0	78929.0	59431.0	54818.0	58622.0	38639.0	77444.0	58110.0	89002.0	74348.0	81949.0	76048.0	73040.0	53221.0	46946.0	73690.0	84795.0	73780.0
HMP_2012__SRS024021__bin.12	40733.0	52033.0	0.0	39530.0	45354.0	42478.0	57221.0	56130.0	52761.0	30411.0	25050.0	28644.0	43993.0	39846.0	57388.0	53446.0	61733.0	46945.0	56926.0	51023.0	33460.0	41209.0	14607.0	50305.0	60173.0	15547.0
HMP_2012__SRS015947__bin.12	32731.0	63162.0	39530.0	0.0	49445.0	56357.0	70166.0	64484.0	68187.0	58721.0	44582.0	42961.0	50194.0	49881.0	64884.0	50309.0	75095.0	63316.0	69846.0	53831.0	53512.0	38345.0	35148.0	50983.0	69331.0	57497.0
HMP_2012__SRS053630__bin.11	35566.0	71276.0	45354.0	49445.0	0.0	62380.0	76914.0	71621.0	78563.0	70002.0	50881.0	47938.0	54750.0	54210.0	70730.0	57942.0	84068.0	72022.0	78964.0	21903.0	61638.0	44492.0	40259.0	31408.0	77268.0	64684.0
HMP_2012__SRS015278__bin.1	46186.0	72198.0	42478.0	56357.0	62380.0	0.0	56961.0	65595.0	72282.0	62994.0	48120.0	44451.0	54462.0	54807.0	69294.0	55212.0	79396.0	66702.0	74960.0	68806.0	57885.0	43424.0	40037.0	66059.0	74214.0	59968.0
CM_cf__CF_TNFC048IS_t2M15__bin.15	56455.0	81245.0	57221.0	70166.0	76914.0	56961.0	0.0	78791.0	85707.0	85450.0	63254.0	57478.0	61808.0	63251.0	81824.0	63685.0	93698.0	77232.0	87852.0	83876.0	79603.0	58326.0	51585.0	82705.0	88328.0	79975.0
HMP_2012__SRS015650__bin.12	53871.0	73794.0	56130.0	64484.0	71621.0	65595.0	78791.0	0.0	77764.0	77550.0	60281.0	52520.0	52673.0	58453.0	69317.0	62301.0	82949.0	71653.0	64189.0	77645.0	69163.0	54674.0	49766.0	76053.0	75323.0	73143.0
HMP_2012__SRS019225__bin.13	54219.0	79557.0	52761.0	68187.0	78563.0	72282.0	85707.0	77764.0	0.0	85231.0	63061.0	58041.0	61568.0	60489.0	81638.0	5531.0	90449.0	10607.0	87239.0	84440.0	77770.0	57822.0	50834.0	85967.0	91581.0	80525.0
CM_periimplantitis__SP_191SPI_T016__bin.15	47946.0	78929.0	30411.0	58721.0	70002.0	62994.0	85450.0	77550.0	85231.0	0.0	34719.0	41838.0	60290.0	59853.0	81111.0	64406.0	92165.0	76629.0	84756.0	76975.0	48465.0	43168.0	27486.0	73024.0	90215.0	39789.0
