	HMP_2012__SRS019591__bin.13	HMP_2012__SRS018443__bin.44	HMP_2012__SRS024021__bin.12	HMP_2012__SRS015947__bin.12	HMP_2012__SRS053630__bin.11	HMP_2012__SRS015278__bin.1	CM_cf__CF_TNFC048IS_t2M15__bin.15	HMP_2012__SRS015650__bin.12	HMP_2012__SRS019225__bin.13	CM_periimplantitis__SP_191SPI_T016__bin.15	CM_periimplantitis__SP_386SPT_T016__bin.7	HMP_2012__SRS015803__bin.41	HMP_2012__SRS013949__bin.24	HMP_2012__SRS022602__bin.29	HMP_2012__SRS019129__bin.14	CM_periimplantitis__SP_162SPI_T016__bin.27	QinJ_2012__T2D-092__bin.6	CM_periimplantitis__SP_162SPT_T016__bin.5	HMP_2012__SRS058808__bin.21	HMP_2012__SRS011098__bin.21	HMP_2012__SRS024561__bin.20	HMP_2012__SRS016541__bin.4	HMP_2012__SRS015378__bin.8	HMP_2012__SRS049268__bin.66	HMP_2012__SRS016092__bin.6	HMP_2012__SRS065310__bin.13
HMP_2012__SRS019591__bin.13	1460382.0	1261121.0	1183673.0	1089913.0	1182913.0	1143139.0	1307736.0	1224491.0	1284509.0	1339256.0	1135012.0	951634.0	961388.0	926929.0	1205521.0	1262562.0	1256153.0	1154116.0	1231346.0	1303201.0	1230608.0	1225439.0	1149462.0	1291200.0	1277220.0	1254579.0
HMP_2012__SRS018443__bin.44	1261121.0	2146460.0	1246158.0	1524731.0	1678462.0	1566222.0	1775596.0	1583310.0	1764493.0	1794636.0	1371260.0	1273733.0	1273236.0	1353981.0	1651895.0	1350326.0	1760862.0	1630296.0	1777731.0	1798401.0	1704274.0	1234460.0	1110157.0	1769815.0	1791086.0	1728346.0
HMP_2012__SRS024021__bin.12	1183673.0	1246158.0	1534415.0	1079830.0	1159324.0	1123881.0	1302340.0	1231676.0	1350267.0	1444313.0	1182906.0	937189.0	983828.0	927841.0	1253208.0	1368882.0	1279983.0	1169284.0	1239102.0	1315652.0	1260275.0	1315831.0	1230373.0	1303459.0	1325821.0	1315611.0
HMP_2012__SRS015947__bin.12	1089913.0	1524731.0	1079830.0	1901369.0	1510129.0	1357506.0	1565154.0	1404125.0	1546113.0	1570700.0	1192324.0	1168095.0	1123271.0	1172436.0	1448776.0	1183875.0	1542887.0	1420911.0	1515307.0	1614364.0	1489356.0	1055562.0	958148.0	1537459.0	1532340.0	1522592.0
HMP_2012__SRS053630__bin.11	1182913.0	1678462.0	1159324.0	1510129.0	1971328.0	1463909.0	1704790.0	1523844.0	1693217.0	1735369.0	1305127.0	1208864.0	1235666.0	1261160.0	1587758.0	1281347.0	1715424.0	1546544.0	1686514.0	1867632.0	1623669.0	1154613.0	1034125.0	1751062.0	1703195.0	1658344.0
HMP_2012__SRS015278__bin.1	1143139.0	1566222.0	1123881.0	1357506.0	1463909.0	1948637.0	1698361.0	1436726.0	1588034.0	1594294.0	1248747.0	1174586.0	1188138.0	1212647.0	1496771.0	1245054.0	1582094.0	1456597.0	1603257.0	1604909.0	1518177.0	1126445.0	1013601.0	1551479.0	1613998.0	1523323.0
CM_cf__CF_TNFC048IS_t2M15__bin.15	1307736.0	1775596.0	1302340.0	1565154.0	1704790.0	1698361.0	2226370.0	1633973.0	1862674.0	1859834.0	1386393.0	1289404.0	1318079.0	1353974.0	1705658.0	1437932.0	1804457.0	1679449.0	1803052.0	1844886.0	1721126.0	1335639.0	1226624.0	1805684.0	1848067.0	1756053.0
HMP_2012__SRS015650__bin.12	1224491.0	1583310.0	1231676.0	1404125.0	1523844.0	1436726.0	1633973.0	1925062.0	1646603.0	1703360.0	1309279.0	1189517.0	1277729.0	1213164.0	1632185.0	1344345.0	1694014.0	1502820.0	1706387.0	1674856.0	1537179.0	1212208.0	1120909.0	1618386.0	1721363.0	1611505.0
HMP_2012__SRS019225__bin.13	1284509.0	1764493.0	1350267.0	1546113.0	1693217.0	1588034.0	1862674.0	1646603.0	2255333.0	1888474.0	1391851.0	1309384.0	1318339.0	1347631.0	1728578.0	1584303.0	1813141.0	1856099.0	1800271.0	1835622.0	1720459.0	1293471.0	1214310.0	1826636.0	1912297.0	1799976.0
CM_periimplantitis__SP_191SPI_T016__bin.15	1339256.0	1794636.0	1444313.0	1570700.0	1735369.0	1594294.0	1859834.0	1703360.0	1888474.0	2197932.0	1496848.0	1325775.0	1338547.0	1331210.0	1745654.0	1492512.0	1842721.0	1670812.0	1823867.0	1897226.0	1802743.0	1361554.0	1268600.0	1854394.0	1901286.0	1870584.0
