	HMP_2012__SRS019591__bin.13	HMP_2012__SRS018443__bin.44	HMP_2012__SRS024021__bin.12	HMP_2012__SRS015947__bin.12	HMP_2012__SRS053630__bin.11	HMP_2012__SRS015278__bin.1	CM_cf__CF_TNFC048IS_t2M15__bin.15	HMP_2012__SRS015650__bin.12	HMP_2012__SRS019225__bin.13	CM_periimplantitis__SP_191SPI_T016__bin.15	CM_periimplantitis__SP_386SPT_T016__bin.7	HMP_2012__SRS015803__bin.41	HMP_2012__SRS013949__bin.24	HMP_2012__SRS022602__bin.29	HMP_2012__SRS019129__bin.14	CM_periimplantitis__SP_162SPI_T016__bin.27	QinJ_2012__T2D-092__bin.6	CM_periimplantitis__SP_162SPT_T016__bin.5	HMP_2012__SRS058808__bin.21	HMP_2012__SRS011098__bin.21	HMP_2012__SRS024561__bin.20	HMP_2012__SRS016541__bin.4	HMP_2012__SRS015378__bin.8	HMP_2012__SRS049268__bin.66	HMP_2012__SRS016092__bin.6	HMP_2012__SRS065310__bin.13
HMP_2012__SRS019591__bin.13	1.0	0.9590015549657804	0.9655876242847475	0.969969162676287	0.9699335454086648	0.9595972143370142	0.9568299717985893	0.9560053932613632	0.9577900972278124	0.9641995257068103	0.9657906700545897	0.9638674112106125	0.9578255605437139	0.95996780767459	0.9569124055076602	0.9574048640779621	0.9528703907883833	0.9572555964911673	0.9562210783971361	0.9686387594852981	0.9678776669743736	0.9645204698071467	0.9661763503273706	0.9691759603469641	0.9568422041621647	0.9664636503560159
HMP_2012__SRS018443__bin.44	0.9590015549657804	1.0	0.958245262639248	0.9585749879814865	0.957534933766746	0.9539030865356252	0.9542435328757217	0.9533925763116509	0.9549122609157418	0.9560194936466225	0.9566595685719703	0.956962722956852	0.953958260683801	0.971462671928188	0.9531180855926072	0.9569659474823117	0.9494554371665695	0.9543960115218341	0.9539024745588618	0.9577135466450475	0.9571430415531775	0.9568872219431979	0.9577122875413118	0.9583628797360176	0.9526572146731089	0.9573117882646183
HMP_2012__SRS024021__bin.12	0.9655876242847475	0.958245262639248	1.0	0.9633923858385116	0.9608789259948038	0.9622041835390046	0.9560629328746717	0.9544279502076845	0.9609255058443996	0.9789443147018686	0.9788233384563101	0.9694362609889787	0.9552838504291401	0.957055141990923	0.9542071228399436	0.9609564593588052	0.9517704532013316	0.9598514988659727	0.9540586650655071	0.9612184681055477	0.9734502390351312	0.9686821483913968	0.988127990454927	0.9614065344594651	0.9546145369548378	0.9881826770983216
HMP_2012__SRS015947__bin.12	0.969969162676287	0.9585749879814865	0.9633923858385116	1.0	0.9672577640718111	0.9584848980409663	0.9551699066034397	0.9540753138075314	0.9558977901356498	0.9626147577513211	0.9626091565715359	0.9632213133349599	0.955314434361788	0.9574552470241446	0.9552146087455894	0.9575048041389504	0.9513282567031804	0.9554398551351915	0.9539063701282975	0.966654979917788	0.9640703767265851	0.9636733796783136	0.9633167318618836	0.9668394409216766	0.9547548194264981	0.9622374214497383
HMP_2012__SRS053630__bin.11	0.9699335454086648	0.957534933766746	0.9608789259948038	0.9672577640718111	1.0	0.9573880616896269	0.9548835927005672	0.9529997821299293	0.9536013399345742	0.9596616051110743	0.9610145219583994	0.9603445879768113	0.9556919102734881	0.957015763265565	0.9554529090705258	0.954780399064422	0.9509928740649543	0.9534303582697938	0.9531791612758626	0.9882723148885861	0.9620378291388207	0.9614658764451812	0.9610695032031911	0.9820634563482047	0.9546334976323909	0.9609948237518874
HMP_2012__SRS015278__bin.1	0.9595972143370142	0.9539030865356252	0.9622041835390046	0.9584848980409663	0.9573880616896269	1.0	0.9664611940570939	0.954344112934547	0.9544833422961977	0.9604878397585389	0.9614653728897847	0.9621560277408381	0.9541618902854719	0.9548038299686553	0.9537043408777963	0.9556549354485829	0.9498158769327233	0.9542069632163186	0.9532451752900502	0.957127787307567	0.9618720346837029	0.9614504037036873	0.9605002362862705	0.9574219180536765	0.9540185303823177	0.9606334309926391
CM_cf__CF_TNFC048IS_t2M15__bin.15	0.9568299717985893	0.9542435328757217	0.9560629328746717	0.9551699066034397	0.9548835927005672	0.9664611940570939	1.0	0.9517794969684321	0.9539871174451353	0.9540550393207136	0.9543751302841258	0.9554228155023561	0.9531075147999475	0.9532849227533172	0.952027897737999	0.9557107012014476	0.948074129779762	0.9540134889478633	0.951275947670949	0.9545359442263641	0.9537494640136748	0.9563310145930151	0.9579455481060211	0.9541974121717864	0.9522051960237372	0.9544575249152503
HMP_2012__SRS015650__bin.12	0.9560053932613632	0.9533925763116509	0.9544279502076845	0.9540753138075314	0.9529997821299293	0.954344112934547	0.9517794969684321	1.0	0.9527730728050416	0.9544723370279917	0.9539586291386328	0.9558476255488573	0.9587760784955183	0.9518177262101414	0.9575311622150675	0.9536569853720586	0.951034052847261	0.9523209699099027	0.9623830936358516	0.9536407906112525	0.9550065412030739	0.9548971793619577	0.9556021050772185	0.9530068846369161	0.9562422336253307	0.9546119931368503
HMP_2012__SRS019225__bin.13	0.9577900972278124	0.9549122609157418	0.9609255058443996	0.9558977901356498	0.9536013399345742	0.9544833422961977	0.9539871174451353	0.9527730728050416	1.0	0.9548677927257669	0.9546927077682884	0.9556730493117375	0.9532988100936102	0.9551145677117846	0.9527715845047201	0.9965088748806258	0.9501147456265122	0.9942853263753711	0.951541184632758	0.9539992438530372	0.9547969466287776	0.9552970263732237	0.9581375431314904	0.9529369836135935	0.9521094265169061	0.9552632923994542
CM_periimplantitis__SP_191SPI_T016__bin.15	0.9641995257068103	0.9560194936466225	0.9789443147018686	0.9626147577513211	0.9596616051110743	0.9604878397585389	0.9540550393207136	0.9544723370279917	0.9548677927257669	1.0	0.976805260119932	0.9684426090399955	0.9549586230442413	0.9550386490486099	0.9535354657910445	0.9568472481293283	0.9499842895370487	0.9541366712712143	0.9535295062633404	0.9594276064106226	0.9731159682772309	0.9682950510960271	0.9783335960901781	0.960621097781809	0.9525505368471655	0.9787291027828742
CM_periimplantitis__SP_386SPT_T016__bin.7	0.9657906700545897	0.9566595685719703	0.9788233384563101	0.9626091565715359	0.9610145219583994	0.9614653728897847	0.9543751302841258	0.9539586291386328	0.9546927077682884	0.976805260119932	1.0	0.9698022285541833	0.9552007329432488	0.9571958706852335	0.9540495752331833	0.9563314164336565	0.9500079268995734	0.9547650159183776	0.953608580426819	0.9608844308607601	0.9749754943937732	0.9691602857672588	0.9774257034163245	0.960880062881776	0.9531510096746544	0.9776372813878432
HMP_2012__SRS015803__bin.41	0.9638674112106125	0.956962722956852	0.9694362609889787	0.9632213133349599	0.9603445879768113	0.9621560277408381	0.9554228155023561	0.9558476255488573	0.9556730493117375	0.9684426090399955	0.9698022285541833	1.0	0.9562184037496314	0.9570885549986919	0.9555820152486231	0.9578067308831981	0.9514348077293445	0.955082160738683	0.954833048935226	0.9611848684331613	0.9702903336549661	0.9845269852587818	0.969724127683522	0.961234656405336	0.955157062454965	0.9703687803531797
HMP_2012__SRS013949__bin.24	0.9578255605437139	0.953958260683801	0.9552838504291401	0.955314434361788	0.9556919102734881	0.9541618902854719	0.9531075147999475	0.9587760784955183	0.9532988100936102	0.9549586230442413	0.9552007329432488	0.9562184037496314	1.0	0.9542041376758318	0.9955046857215798	0.954479080219688	0.9522427076988739	0.9520349576149578	0.9571816063415783	0.9562856348684433	0.9550265439281888	0.9550382698852622	0.956171870524205	0.9571522652435562	0.9812199524427898	0.9541897549562862
HMP_2012__SRS022602__bin.29	0.95996780767459	0.971462671928188	0.957055141990923	0.9574552470241446	0.957015763265565	0.9548038299686553	0.9532849227533172	0.9518177262101414	0.9551145677117846	0.9550386490486099	0.9571958706852335	0.9570885549986919	0.9542041376758318	1.0	0.9538136018114812	0.9578823361755694	0.9493613666930908	0.9549545953816287	0.9515382804410669	0.9565950485089888	0.9565300912784528	0.9557603208439264	0.9578871036962859	0.957896784863077	0.9525150045457345	0.9564109772874659
HMP_2012__SRS019129__bin.14	0.9569124055076602	0.9531180855926072	0.9542071228399436	0.9552146087455894	0.9554529090705258	0.9537043408777963	0.952027897737999	0.9575311622150675	0.9527715845047201	0.9535354657910445	0.9540495752331833	0.9555820152486231	0.9955046857215798	0.9538136018114812	1.0	0.9539444434203977	0.9510203828745103	0.9518629082455762	0.9561468270031345	0.9557238306833286	0.9543296645981441	0.9547049231630788	0.9549037294422011	0.9568767334459375	0.9818227280502471	0.9536500739636075
CM_periimplantitis__SP_162SPI_T016__bin.27	0.9574048640779621	0.9569659474823117	0.9609564593588052	0.9575048041389504	0.954780399064422	0.9556549354485829	0.9557107012014476	0.9536569853720586	0.9965088748806258	0.9568472481293283	0.9563314164336565	0.9578067308831981	0.954479080219688	0.9578823361755694	0.9539444434203977	1.0	0.951674901533394	0.9946532871149733	0.9528422662676598	0.9554982464400364	0.9572607089952765	0.9551443639260917	0.9585754971069215	0.9544420597451371	0.9543474766448294	0.9581998834573194
QinJ_2012__T2D-092__bin.6	0.9528703907883833	0.9494554371665695	0.9517704532013316	0.9513282567031804	0.9509928740649543	0.9498158769327233	0.948074129779762	0.951034052847261	0.9501147456265122	0.9499842895370487	0.9500079268995734	0.9514348077293445	0.9522427076988739	0.9493613666930908	0.9510203828745103	0.951674901533394	1.0	0.9499685585230895	0.9506366009657239	0.9512770908192929	0.9502984359394683	0.9517816843241697	0.9517444926699593	0.9505689583291531	0.9503497984243333	0.950186556297517
CM_periimplantitis__SP_162SPT_T016__bin.5	0.9572555964911673	0.9543960115218341	0.9598514988659727	0.9554398551351915	0.9534303582697938	0.9542069632163186	0.9540134889478633	0.9523209699099027	0.9942853263753711	0.9541366712712143	0.9547650159183776	0.955082160738683	0.9520349576149578	0.9549545953816287	0.9518629082455762	0.9946532871149733	0.9499685585230895	1.0	0.951443444815992	0.9539036178555678	0.9540563627330704	0.9554617356164599	0.9567713829379202	0.9528385508871317	0.9517518871955561	0.9549018243179718
