	HMP_2012__SRS019591__bin.13	HMP_2012__SRS018443__bin.44	HMP_2012__SRS024021__bin.12	HMP_2012__SRS015947__bin.12	HMP_2012__SRS053630__bin.11	HMP_2012__SRS015278__bin.1	CM_cf__CF_TNFC048IS_t2M15__bin.15	HMP_2012__SRS015650__bin.12	HMP_2012__SRS019225__bin.13	CM_periimplantitis__SP_191SPI_T016__bin.15	CM_periimplantitis__SP_386SPT_T016__bin.7	HMP_2012__SRS015803__bin.41	HMP_2012__SRS013949__bin.24	HMP_2012__SRS022602__bin.29	HMP_2012__SRS019129__bin.14	CM_periimplantitis__SP_162SPI_T016__bin.27	QinJ_2012__T2D-092__bin.6	CM_periimplantitis__SP_162SPT_T016__bin.5	HMP_2012__SRS058808__bin.21	HMP_2012__SRS011098__bin.21	HMP_2012__SRS024561__bin.20	HMP_2012__SRS016541__bin.4	HMP_2012__SRS015378__bin.8	HMP_2012__SRS049268__bin.66	HMP_2012__SRS016092__bin.6	HMP_2012__SRS065310__bin.13
HMP_2012__SRS019591__bin.13	1.0	0.8635555628595806	0.8105228631960679	0.7463204832708155	0.8100024514133973	0.7827671116187408	0.8954752934506177	0.8384730844395507	0.8795705507189215	0.9170586873845337	0.7772021293058939	0.6516336136709436	0.6583126880501129	0.6347168069724223	0.8254833324431553	0.8645422909896178	0.8601537132065445	0.7902836381166024	0.8431670617687701	0.8923699415632348	0.8426617145377031	0.8391222296631977	0.7870968007000908	0.8841522286634593	0.8745793908717034	0.85907591301454
HMP_2012__SRS018443__bin.44	0.5875352906646292	1.0	0.5805642779273781	0.7103468035742572	0.7819675186120403	0.7296767701238318	0.8272206330423115	0.7376377850041463	0.8220479300802251	0.8360910522441601	0.6388472182104489	0.593411011619131	0.5931794675884945	0.6307972196080989	0.7695903953486205	0.6290944159220297	0.8203563075948306	0.7595277806248427	0.8282152940189894	0.8378451030999879	0.7939928999375716	0.5751143743652339	0.517203674887955	0.8245273613298175	0.8344371663110424	0.8052076442141946
HMP_2012__SRS024021__bin.12	0.771416468165392	0.8121388281527487	1.0	0.7037405134855955	0.7555478798108726	0.7324491744410736	0.8487534337190396	0.8027007035254478	0.8799881388020842	0.9412792497466461	0.7709166033960826	0.6107793523916281	0.6411746496221687	0.6046871283192617	0.8167334130597003	0.8921197980989498	0.834183059993548	0.7620389529560125	0.8075403329607701	0.8574290527660379	0.8213390771075622	0.8575457096026825	0.8018515199603757	0.8494827018766109	0.8640563341729585	0.8574023324850187
HMP_2012__SRS015947__bin.12	0.5732253970691644	0.8019122011561144	0.567922375930185	1.0	0.7942324714455742	0.7139624133979254	0.8231721459643025	0.7384810628552375	0.8131577826292529	0.8260889916686346	0.6270871146000592	0.6143441909487322	0.5907695981158839	0.6166272827631039	0.7619646686150874	0.6226434742546029	0.8114611103894089	0.7473094386202783	0.7969557723934702	0.8490534977692389	0.7833071855068637	0.5551589407421705	0.5039253295914681	0.8086063252319776	0.805914054557532	0.80078722225933
HMP_2012__SRS053630__bin.11	0.6000589450360366	0.851437203753003	0.5880928998117005	0.7660465432439452	1.0	0.7426004196156094	0.8647926676839166	0.7730037822219337	0.8589220058762418	0.8803045459710408	0.6620547164145185	0.6132231673267969	0.6268190783066034	0.6397514771768067	0.8054255811310954	0.6499917821894682	0.870187000844101	0.7845188624115317	0.8555217599506526	0.9473978962405039	0.8236422350821375	0.5857031402181676	0.5245829207518993	0.888265169469515	0.8639835684371144	0.8412319005259399
HMP_2012__SRS015278__bin.1	0.586635171147833	0.8037525716693258	0.5767523658844618	0.6966438592718911	0.7512476669590078	1.0	0.8715635595547041	0.7372979164410817	0.8149460366399693	0.8181585385066588	0.6408310013614644	0.6027731178254339	0.6097277225055256	0.6223052318107477	0.7681117622214912	0.6389358305318025	0.8118977521210979	0.7474953005613667	0.8227581637831982	0.8236059358413086	0.7790968764320907	0.5780681573838534	0.5201589623926878	0.7961867705478239	0.8282702216985514	0.7817376966566888
CM_cf__CF_TNFC048IS_t2M15__bin.15	0.5873848461845964	0.7975296109811038	0.5849611699762394	0.7030071371784564	0.7657262719134735	0.7628386117312037	1.0	0.7339179920678054	0.8366417082515485	0.8353660891945184	0.6227145532862911	0.5791508150037954	0.5920305250250407	0.6081531820856372	0.7661161442168193	0.645863895039908	0.8104928650673517	0.7543440667993191	0.8098617929634337	0.8286520210027982	0.7730637764612351	0.5999178034199167	0.5509524472571945	0.8110439863993856	0.8300808041789999	0.7887516450545058
HMP_2012__SRS015650__bin.12	0.6360787340875255	0.8224722112846236	0.6398110814093261	0.7293920923066374	0.7915817776258635	0.7463271312820055	0.8487898052114685	1.0	0.8553506328627337	0.8848338391179089	0.6801230298037154	0.6179110075415752	0.6637339472702697	0.6301947677529347	0.8478610039572752	0.698338547018226	0.8799789305487303	0.7806605709322609	0.8864062560063001	0.8700270432848397	0.7985088272481614	0.6296981603709387	0.5822716359265312	0.840692923137021	0.8941857457058526	0.8371184928069849
HMP_2012__SRS019225__bin.13	0.5695429455428533	0.7823647328354616	0.5986996155334933	0.6855364595826869	0.7507614174935586	0.7041239586349333	0.8258975503839122	0.7300930727302798	1.0	0.8373371027693028	0.6171376909751243	0.5805723589376823	0.5845429477598209	0.5975308302587689	0.7664402551640933	0.7024696574740847	0.8039349399844724	0.8229822380996509	0.7982284655968764	0.813902869332378	0.7628403433107217	0.5735166381195149	0.5384171650040149	0.8099185353116369	0.84790006619865	0.7980976645134
CM_periimplantitis__SP_191SPI_T016__bin.15	0.6093254932363694	0.8165111568510763	0.6571236052798721	0.7146262941710663	0.7895462643976247	0.7253609301834634	0.8461744949343292	0.7749830295022776	0.8592049253571085	1.0	0.6810256186269639	0.6031920004804516	0.609002917287705	0.6056647794381264	0.7942256630323413	0.6790528551383755	0.838388539772841	0.7601745640902449	0.8298104763932642	0.863186850184628	0.820199624010206	0.6194704840732106	0.5771789118134683	0.843699441111008	0.8650340410895333	0.8510654560741643
CM_periimplantitis__SP_386SPT_T016__bin.7	0.6892369650575735	0.8326987562288752	0.718320635718736	0.7240397239194882	0.7925394379043531	0.7583026368045005	0.8418882828525729	0.7950607432992909	0.8452026578153787	0.9089621719175645	1.0	0.6197431814841938	0.6429237669468522	0.6345868204711538	0.7999381818667619	0.7473028954933488	0.8426698146549054	0.77516295575692	0.8271788462963166	0.8704448598040038	0.8332301006943306	0.7009046822681547	0.6448760783256394	0.8614065386339043	0.8437792618987762	0.8660690104119225
HMP_2012__SRS015803__bin.41	0.5670638037204635	0.7589975556824127	0.5584562543425071	0.6960495251397647	0.7203431340418001	0.6999174104296445	0.7683356592685638	0.7088145595997564	0.7802414285016249	0.7900085688168955	0.6081428787649462	1.0	0.5920653232255458	0.5808114514670076	0.7296627652132253	0.598267287498704	0.7425672366101808	0.7218215231042238	0.7626699909068049	0.7770188859584621	0.7515728367312645	0.5716217230830103	0.5093065217158133	0.766380562729341	0.7649516320676353	0.7772923968732757
HMP_2012__SRS013949__bin.24	0.6383977040238682	0.8454764768028453	0.6532987059900832	0.7458940899996613	0.8205285871472882	0.7889682118598429	0.8752539113470067	0.8484599973836922	0.8754265611024086	0.8888454313222515	0.7030464049340643	0.65978170430542	1.0	0.6819034502725542	0.936382549359569	0.712133758405885	0.8961677730638492	0.8098163338621286	0.8964997918242372	0.8815277378432991	0.8496871387220863	0.6473821316799685	0.5795387462573185	0.8772267668212325	0.9598111211675905	0.8628237929955994
HMP_2012__SRS022602__bin.29	0.5948792822395359	0.8689503138276707	0.5954645804720893	0.7524393844100168	0.809380174305921	0.7782457739157221	0.8689458214070261	0.7785775712690447	0.8648750465286424	0.8543364694707929	0.6706644931907738	0.6255406949132963	0.6590413174344427	1.0	0.8256177078386322	0.675515665712562	0.8646318140394563	0.803973866947336	0.8695959388517372	0.8708653685710251	0.8218479251434365	0.5813583796480509	0.5203943061777202	0.8576255631570165	0.885914977730429	0.8560275449562952
HMP_2012__SRS019129__bin.14	0.591571806635205	0.8106159158750964	0.614972713581673	0.7109416059361271	0.7791426848304591	0.734493654269965	0.8369984301905903	0.8009438485209981	0.8482457048611094	0.8566252189219202	0.6464292601874447	0.6008871214288554	0.6919797411654669	0.6312905855109389	1.0	0.6655496271273273	0.8712280286795689	0.7725974776072748	0.8740540781921134	0.846596399007374	0.8016053374501368	0.5958601981424331	0.5445687980383026	0.841657805103181	0.9380938617458695	0.816055533664045
CM_periimplantitis__SP_162SPI_T016__bin.27	0.757037857828976	0.8096615472434382	0.8207878083616047	0.7098567784689219	0.768301428377842	0.7465399822277226	0.8621904991467628	0.8060753127237275	0.9499552095437849	0.8949169128043143	0.7378930857206587	0.6020023192702094	0.6430338548693282	0.63112870750453	0.8132285944191211	1.0	0.8351639258744932	0.8373830621322176	0.8200964643721002	0.8481711463118927	0.793766631529843	0.7901887914731444	0.7444593546096995	0.8308635623942447	0.8542151596806746	0.845827292317987
QinJ_2012__T2D-092__bin.6	0.5798024388431396	0.8127609312450064	0.5908016500201475	0.7121502280847756	0.7917881172516834	0.730246999910917	0.8328830718770526	0.7819059052793906	0.8368913450562862	0.8505445832692905	0.6405113456194015	0.5751899706395375	0.6229227622744135	0.6218509969217902	0.8194767735708757	0.6429013546615562	1.0	0.7538327612174184	0.8711158314328192	0.8448441947658895	0.7782641186160841	0.567764233777779	0.5181140806981153	0.8281284401383048	0.8871867728831365	0.8083077046635639
CM_periimplantitis__SP_162SPT_T016__bin.5	0.5675247197575133	0.8016813565722986	0.5749834283702367	0.6987184278489926	0.7604971685624874	0.7162666527668229	0.8258518407786011	0.7389963394892595	0.91271766860281	0.8216046845096077	0.6277116988821771	0.5956664942299257	0.5996933510884168	0.6160200944533722	0.7742049059891936	0.6867435813209704	0.8031059266442302	1.0	0.8018883790094001	0.8195310179603028	0.7759968056585477	0.5629171182476755	0.5153934213088539	0.7999701022228604	0.8286011577520805	0.80546086833373
HMP_2012__SRS058808__bin.21	0.5322424061143564	0.7684142595696748	0.5355948936376218	0.6549829566035272	0.7289862226421716	0.6929988510943996	0.7793591198812538	0.7375762154928494	0.7781570482203202	0.7883562869514926	0.5887903467723878	0.5532278714643489	0.5835619185772589	0.5856855352871356	0.7699011802865434	0.5911931933610719	0.8157700909355757	0.7048682821656828	1.0	0.7852899452173454	0.7307035296212762	0.5274825308427987	0.46936078834461636	0.7637118728025776	0.8385100362825945	0.7570864307246231
HMP_2012__SRS011098__bin.21	0.6070169277104506	0.8376757306136213	0.6128164688149484	0.7519532869345202	0.8699227814694158	0.7475492502191539	0.8593279407367108	0.7801298061292267	0.8550128697550974	0.8837073465201356	0.6676710634060182	0.6073779143264642	0.6183477153506415	0.6320596172889765	0.8035874151215663	0.6588825531209273	0.8525670107606617	0.7762819216971122	0.8462332094644636	1.0	0.8287158099095717	0.5997100928131524	0.5432597044847114	0.8914394469405569	0.863774364267635	0.8517854165133444
HMP_2012__SRS024561__bin.20	0.6042605344719899	0.8368428598926028	0.6188278030710731	0.7313125321622036	0.7972637084641099	0.7454643927579556	0.8451176301906359	0.7547948689746199	0.844790115842856	0.8851936999398984	0.6737539724004101	0.6193178470277214	0.628305587090337	0.6288015233590892	0.8021071890135877	0.6500285777137044	0.8279307378353217	0.774870467338914	0.8300730843111298	0.8736162887075802	1.0	0.6064951938374272	0.5488133865474586	0.8508169690732179	0.8543994948324423	0.8545522039211373
HMP_2012__SRS016541__bin.4	0.8233180934080885	0.8293789030613102	0.8840484676652681	0.7091852742682653	0.775733246440005	0.7568084170073535	0.8973565840172264	0.8144287715455703	0.8690257757413087	0.9147677227117437	0.7754732383105518	0.6444996859074922	0.6550041487085255	0.6086078143528518	0.8158074193017404	0.8854049441855933	0.826430800549578	0.7691040469223973	0.8198882704084546	0.865023531743499	0.8298485301478419	1.0	0.8403879294417216	0.8552332514789223	0.8592274332091521	0.8541643291689481
HMP_2012__SRS015378__bin.8	0.8313223995816853	0.8028959471060417	0.8898394507521926	0.6929588751210501	0.7479075223603827	0.733064003454134	0.8871280712755055	0.8106720879791652	0.8782222492227114	0.917486264103838	0.7680385566984959	0.618147510904461	0.6311967026616938	0.586441945452744	0.8025921916031854	0.8979475529962949	0.8118256356626318	0.7580160715590106	0.7853302003122896	0.8435152901118181	0.8083418493358241	0.904646085061666	1.0	0.8362186489967751	0.8405891121009683	0.8791740164649947
HMP_2012__SRS049268__bin.66	0.588782758222872	0.8070295517690614	0.5943728200514455	0.7010760150825422	0.798478248280095	0.7074690868532088	0.8233856923783367	0.737978448690583	0.8329397323026595	0.8455972848140834	0.6468470801856271	0.5864676636879451	0.6023942555377362	0.6093641629567547	0.7821038678084212	0.6318680491874369	0.8181289640350953	0.7418224996910623	0.8056784339618942	0.872698072365742	0.7901202873325524	0.5804571730310867	0.5272378145179273	1.0	0.8595343636727605	0.8131996412219066
HMP_2012__SRS016092__bin.6	0.5523858786569258	0.7746281876733206	0.5734053632317095	0.6627229273744176	0.7366161402100522	0.698039259783374	0.7992719450148518	0.7444736327668857	0.8270508280468544	0.8222886720283991	0.6009489712774221	0.5551992312043831	0.6251295309896946	0.5970167650727363	0.8267809537978745	0.6161397775613402	0.8312935626341803	0.7287642700334056	0.8389880061655887	0.802024748852602	0.7525465057339628	0.5531068407932227	0.5026732255335639	0.8152269625134289	1.0	0.7818455938703947
HMP_2012__SRS065310__bin.13	0.6123628493652962	0.8436095943333279	0.6421527066978857	0.74318060125413	0.8094414596991045	0.7435374040085887	0.8571334437420652	0.7865792377892677	0.8785723594521735	0.9130362840579456	0.6961377932213334	0.6366976758034529	0.6342205568172999	0.6510527633665585	0.811704301791677	0.6885375528797789	0.8547715168900467	0.7995027214141689	0.8549228285916639	0.8925891921468251	0.8494638928791249	0.6205493005250516	0.5933498019036965	0.8704552188138042	0.8823785809012418	1.0
