	XieH_2016__YSZC12003_35698__bin.59	YuJ_2015__SZAXPI015258-57__bin.74	LeChatelierE_2013__MH0137__bin.13	ZeeviD_2015__PNP_Main_421__bin.8	QinJ_2012__CON-053__bin.38	XieH_2016__YSZC12003_37337__bin.42	QinJ_2012__NOF008__bin.25	HMP_2012__SRS063985__bin.14	QinJ_2012__T2D-030__bin.35	XieH_2016__YSZC12003_37583__bin.91	XieH_2016__YSZC12003_35654__bin.42	YuJ_2015__SZAXPI003435-11__bin.41	LeChatelierE_2013__MH0173__bin.39	RaymondF_2016__P25C7__bin.86	XieH_2016__YSZC12003_36117__bin.36	QinJ_2012__T2D-106__bin.39	RaymondF_2016__P2E0__bin.25	BackhedF_2015__SID589_12M__bin.42	XieH_2016__YSZC12003_36703__bin.65	NielsenHB_2014__MH0173__bin.19	ZeeviD_2015__PNP_Main_576__bin.55	XieH_2016__YSZC12003_37647__bin.71	LiJ_2014__O2.UC27-1__bin.34	NielsenHB_2014__MH0137__bin.4	XieH_2016__YSZC12003_37285__bin.27	QinN_2014__LD-22__bin.22	XieH_2016__YSZC12003_35392__bin.92	BritoIL_2016__W2.43.ST__bin.61	LeChatelierE_2013__MH0183__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.58	LouisS_2016__AS62_6__bin.16	QinN_2014__LD-97__bin.39	ZeeviD_2015__PNP_Main_690__bin.5	NielsenHB_2014__MH0183__bin.15	ZeeviD_2015__PNP_Main_754__bin.10	ZeeviD_2015__PNP_Main_474__bin.34	QinN_2014__HD-1__bin.14	HeQ_2017__SZAXPI029591-123__bin.28	LeChatelierE_2013__MH0251__bin.9	RaymondF_2016__P22E0__bin.25	QinJ_2012__T2D-048__bin.35
XieH_2016__YSZC12003_35698__bin.59	1080603.0	924200.0	773547.0	902878.0	872025.0	829742.0	946510.0	940917.0	707139.0	731375.0	943949.0	932499.0	899870.0	593162.0	937632.0	929438.0	647168.0	614087.0	546667.0	923142.0	937993.0	977656.0	917112.0	725240.0	942385.0	911036.0	928196.0	805685.0	910806.0	974053.0	586267.0	879415.0	897674.0	934615.0	939209.0	761763.0	662692.0	892655.0	716673.0	650924.0	877379.0
YuJ_2015__SZAXPI015258-57__bin.74	924200.0	1542735.0	948824.0	1162191.0	1116104.0	1045857.0	1271956.0	1204109.0	867118.0	874287.0	1243049.0	1206413.0	1166735.0	722979.0	1219764.0	1235323.0	781766.0	781021.0	680710.0	1211097.0	1214503.0	1149433.0	1197966.0	835141.0	1212162.0	1152436.0	1220449.0	999116.0	1093663.0	1147276.0	723494.0	1124193.0	1143627.0	1096895.0	1154937.0	1000388.0	837967.0	1126893.0	857372.0	803843.0	1113769.0
LeChatelierE_2013__MH0137__bin.13	773547.0	948824.0	1208678.0	926122.0	885609.0	854809.0	963134.0	956722.0	728139.0	746754.0	962893.0	952201.0	912951.0	604266.0	970167.0	946378.0	668136.0	645992.0	538212.0	942444.0	975015.0	932815.0	959268.0	1023224.0	960287.0	911793.0	969474.0	812351.0	885812.0	911877.0	619512.0	896800.0	927241.0	895153.0	928290.0	799358.0	692151.0	922731.0	735902.0	638754.0	894902.0
ZeeviD_2015__PNP_Main_421__bin.8	902878.0	1162191.0	926122.0	1446852.0	1119847.0	1013814.0	1225367.0	1165428.0	834921.0	863262.0	1238577.0	1235314.0	1132550.0	721408.0	1210247.0	1208228.0	767147.0	751653.0	629797.0	1185508.0	1235617.0	1138900.0	1168343.0	810551.0	1234996.0	1125053.0	1206523.0	1011744.0	1055496.0	1104681.0	722465.0	1064817.0	1119392.0	1066833.0	1127221.0	977474.0	838499.0	1101129.0	832421.0	787131.0	1102620.0
QinJ_2012__CON-053__bin.38	872025.0	1116104.0	885609.0	1119847.0	1367617.0	958100.0	1237238.0	1123256.0	836208.0	806935.0	1242646.0	1220084.0	1081335.0	685237.0	1157034.0	1152268.0	738624.0	740375.0	634592.0	1135102.0	1188547.0	1073599.0	1125211.0	773958.0	1214598.0	1116125.0	1147806.0	954240.0	1001048.0	1046869.0	685873.0	1050903.0	1064565.0	1014453.0	1061003.0	947521.0	844714.0	1058795.0	789533.0	805466.0	1088368.0
XieH_2016__YSZC12003_37337__bin.42	829742.0	1045857.0	854809.0	1013814.0	958100.0	1575533.0	1059074.0	1061609.0	869328.0	815415.0	1057653.0	1050785.0	990146.0	628981.0	1054508.0	1027412.0	806470.0	658929.0	591380.0	1014534.0	1056148.0	1025845.0	1013642.0	754180.0	1038473.0	1012326.0	1033052.0	1014171.0	994156.0	996373.0	629686.0	1113039.0	1215847.0	1002712.0	1002453.0	877966.0	721872.0	1111498.0	838276.0	837133.0	972036.0
QinJ_2012__NOF008__bin.25	946510.0	1271956.0	963134.0	1225367.0	1237238.0	1059074.0	1470142.0	1221395.0	884269.0	891850.0	1317421.0	1292487.0	1168790.0	763224.0	1284479.0	1307412.0	798383.0	798550.0	698084.0	1220265.0	1299300.0	1179741.0	1219407.0	840489.0	1295118.0	1230882.0	1243804.0	1026248.0	1095873.0	1140016.0	745300.0	1134709.0	1182071.0	1109714.0	1180362.0	1021259.0	891238.0	1150119.0	869270.0	832856.0	1186219.0
HMP_2012__SRS063985__bin.14	940917.0	1204109.0	956722.0	1165428.0	1123256.0	1061609.0	1221395.0	1491257.0	870159.0	868386.0	1222324.0	1206866.0	1152594.0	736573.0	1269380.0	1203185.0	788503.0	763521.0	667397.0	1190196.0	1262945.0	1151705.0	1204195.0	839733.0	1239128.0	1168161.0	1256566.0	997679.0	1144696.0	1112808.0	726262.0	1087509.0	1189121.0	1155508.0	1124599.0	1090794.0	835024.0	1134893.0	872382.0	802542.0	1112118.0
QinJ_2012__T2D-030__bin.35	707139.0	867118.0	728139.0	834921.0	836208.0	869328.0	884269.0	870159.0	1297475.0	696270.0	927907.0	899903.0	832347.0	560411.0	873668.0	890900.0	728603.0	636854.0	527560.0	850751.0	877644.0	852689.0	853763.0	647381.0	876645.0	848475.0	866948.0	797929.0	822604.0	837679.0	564309.0	1019625.0	967104.0	829006.0	841178.0	748944.0	617373.0	949276.0	746031.0	674892.0	812937.0
XieH_2016__YSZC12003_37583__bin.91	731375.0	874287.0	746754.0	863262.0	806935.0	815415.0	891850.0	868386.0	696270.0	983067.0	899770.0	873409.0	855489.0	521231.0	892460.0	868523.0	660188.0	591096.0	521042.0	875346.0	896412.0	895385.0	885972.0	674078.0	890498.0	836919.0	887987.0	799459.0	838927.0	878869.0	584561.0	860867.0	916725.0	853364.0	888864.0	764549.0	652145.0	887707.0	695784.0	643619.0	837598.0
