	XieH_2016__YSZC12003_35698__bin.59	YuJ_2015__SZAXPI015258-57__bin.74	LeChatelierE_2013__MH0137__bin.13	ZeeviD_2015__PNP_Main_421__bin.8	QinJ_2012__CON-053__bin.38	XieH_2016__YSZC12003_37337__bin.42	QinJ_2012__NOF008__bin.25	HMP_2012__SRS063985__bin.14	QinJ_2012__T2D-030__bin.35	XieH_2016__YSZC12003_37583__bin.91	XieH_2016__YSZC12003_35654__bin.42	YuJ_2015__SZAXPI003435-11__bin.41	LeChatelierE_2013__MH0173__bin.39	RaymondF_2016__P25C7__bin.86	XieH_2016__YSZC12003_36117__bin.36	QinJ_2012__T2D-106__bin.39	RaymondF_2016__P2E0__bin.25	BackhedF_2015__SID589_12M__bin.42	XieH_2016__YSZC12003_36703__bin.65	NielsenHB_2014__MH0173__bin.19	ZeeviD_2015__PNP_Main_576__bin.55	XieH_2016__YSZC12003_37647__bin.71	LiJ_2014__O2.UC27-1__bin.34	NielsenHB_2014__MH0137__bin.4	XieH_2016__YSZC12003_37285__bin.27	QinN_2014__LD-22__bin.22	XieH_2016__YSZC12003_35392__bin.92	BritoIL_2016__W2.43.ST__bin.61	LeChatelierE_2013__MH0183__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.58	LouisS_2016__AS62_6__bin.16	QinN_2014__LD-97__bin.39	ZeeviD_2015__PNP_Main_690__bin.5	NielsenHB_2014__MH0183__bin.15	ZeeviD_2015__PNP_Main_754__bin.10	ZeeviD_2015__PNP_Main_474__bin.34	QinN_2014__HD-1__bin.14	HeQ_2017__SZAXPI029591-123__bin.28	LeChatelierE_2013__MH0251__bin.9	RaymondF_2016__P22E0__bin.25	QinJ_2012__T2D-048__bin.35
XieH_2016__YSZC12003_35698__bin.59	1.0	0.8552632187769236	0.7158475406786766	0.8355316429808172	0.8069799917268414	0.7678509128699439	0.8759090989012616	0.870733285026971	0.6543929639284732	0.6768211822473194	0.8735391258399245	0.8629431900522209	0.8327480119896021	0.5489175950834858	0.8676933156765251	0.8601105123713334	0.5988952464503615	0.5682817834116692	0.5058906925114959	0.8542841358019551	0.8680273884118405	0.9047318950622939	0.8487039180901774	0.6711437965654361	0.8720917857899709	0.8430811315534013	0.8589611540963703	0.7455883428048969	0.842868287428408	0.9013976455738139	0.5425368983798861	0.813818766003796	0.8307158133005368	0.864901356002158	0.8691526860465869	0.7049425182051132	0.6132612994781618	0.8260711843294901	0.66321581561406	0.602371083552424	0.8119346327929868
YuJ_2015__SZAXPI015258-57__bin.74	0.5990659445724639	1.0	0.6150272081724989	0.7533315831947807	0.723458014500222	0.677923946756896	0.8244811973540498	0.7805028083241775	0.5620654227718954	0.5667123647288743	0.8057436954499638	0.781996259889093	0.7562770015589197	0.46863460023918563	0.7906503709321432	0.8007357063915708	0.5067403021257701	0.5062573935251355	0.44123585709794616	0.7850324261781836	0.78724019355236	0.7450618544338464	0.7765209190172	0.5413379485135166	0.7857227586072786	0.7470083974240553	0.7910943875649414	0.6476264556129212	0.7089117703299659	0.7436636881901298	0.4689684229631142	0.7287012999640249	0.7412984083462163	0.711006750997417	0.7486295442833669	0.6484509653310516	0.5431697601986083	0.7304514385166604	0.5557480707963455	0.5210506016911524	0.7219444687519243
LeChatelierE_2013__MH0137__bin.13	0.6399942747365304	0.7850097379119997	1.0	0.7662272333905308	0.7327087942363475	0.7072264076950189	0.796849119451169	0.7915441498893833	0.602425956292743	0.6178270804962116	0.7966497280499852	0.7878036995792097	0.7553302037432633	0.4999396034344962	0.8026678734948431	0.7829860392925163	0.5527824614992579	0.5344616183962975	0.4452898125058949	0.7797312435570102	0.8066788673244653	0.7717646883619955	0.7936505835301048	0.8465645937131312	0.7944936533965208	0.7543721321973264	0.8020945197976632	0.6720987723777548	0.7328767463294608	0.7544416296151664	0.5125533847724538	0.741967670463101	0.7671530382781849	0.7406050246633098	0.7680209286509724	0.6613490110682911	0.5726512768495827	0.7634216888203476	0.6088486759914551	0.5284732575590853	0.7403973597600022
ZeeviD_2015__PNP_Main_421__bin.8	0.6240292718260056	0.8032549286312629	0.6400944948066561	1.0	0.7739886318711243	0.7007033200354977	0.846919380835082	0.8054921996168233	0.5770604042431431	0.5966484478025396	0.8560495475694819	0.8537943065358448	0.7827683826680268	0.49860524780696297	0.8364691067227332	0.8350736633740009	0.5302180181525131	0.5195092518101367	0.43528778340839286	0.8193706059776674	0.8540037267115088	0.7871572213329352	0.8075069184685095	0.5602169399496286	0.8535745190247517	0.777586788420654	0.8338952429135806	0.6992726277463072	0.7295120717253735	0.7635065645967936	0.499335799376854	0.7359543339609027	0.7736741560297805	0.7373477038425492	0.7790852139679801	0.6755867220697072	0.5795333593207874	0.7610515795672259	0.5753325150049902	0.5440300735666121	0.7620820927088603
QinJ_2012__CON-053__bin.38	0.6376236914282288	0.8160939795278941	0.6475562968287174	0.8188308568846395	1.0	0.7005616338492429	0.9046670230042475	0.8213235138200242	0.6114343416321968	0.5900299572175544	0.9086213464734644	0.892124037650892	0.7906709261437961	0.50104451758058	0.8460219491275701	0.8425370553305495	0.5400810314583688	0.5413613606733464	0.46401295099432077	0.8299852955907977	0.8690642190028348	0.7850143717137181	0.822753007603737	0.5659172122019542	0.8881126806700999	0.8161093347040875	0.8392744459888989	0.6977392062251346	0.7319651627612117	0.7654694260162019	0.501509560059578	0.7684190822430549	0.7784087211551187	0.7417668835646237	0.7758041907931826	0.6928262810421338	0.6176539191893637	0.7741897036962834	0.5773056345453442	0.5889558260828872	0.7958134477708306
XieH_2016__YSZC12003_37337__bin.42	0.5266420950878211	0.6638115482189202	0.5425522664393574	0.643473668910775	0.6081116676070891	1.0	0.6722004553379713	0.673809434648465	0.5517675605652183	0.5175486644837017	0.6712985383359156	0.6669393786102862	0.6284514510327616	0.39921791546099	0.6693023884615555	0.652104398955782	0.5118712207233996	0.4182260860292993	0.37535234108076443	0.6439306571173057	0.6703433060430978	0.6511098149007352	0.6433644995058815	0.4786824522241045	0.6591248802786105	0.6425292266172781	0.6556841399069394	0.6437002588965132	0.6309966214608009	0.6324037643134102	0.3996653830798847	0.7064523561232928	0.7717051943691436	0.6364271646484079	0.6362627758352253	0.5572501496319023	0.45817637586772225	0.7054742744201487	0.5320586747468952	0.5313332059690277	0.6169569282268287
QinJ_2012__NOF008__bin.25	0.6438221613966542	0.8651926140468064	0.6551299126206857	0.8335024779919219	0.8415772081880526	0.7203889148123106	1.0	0.8308006981638508	0.6014854347403176	0.6066420794725952	0.8961181981060333	0.8791579316827898	0.7950184403955536	0.5191498508307361	0.8737108388169306	0.8893100122301111	0.5430652277126972	0.5431788221818028	0.47484120581549266	0.8300320649297823	0.8837921778984615	0.8024673807020002	0.8294484478370117	0.5717059984681752	0.880947554726006	0.8372538162980174	0.8460434434224721	0.6980604594658203	0.7454198301932738	0.7754461813892808	0.5069578312843249	0.7718363260147659	0.8040522616182655	0.7548345670010108	0.802889788877537	0.6946669097270876	0.6062257931546748	0.782318306666975	0.5912830189192608	0.5665139830030025	0.8068737577730587
HMP_2012__SRS063985__bin.14	0.6309556300490123	0.8074456649658643	0.6415540714980718	0.7815071446437468	0.753227646207193	0.7118886952416652	0.8190372283248293	1.0	0.5835070681981711	0.5823181383222342	0.8196601927099085	0.8092944408643178	0.7729009821915337	0.49392760603973695	0.8512147805509044	0.8068260534569158	0.5287505775329135	0.5119982672336156	0.4475398941966408	0.7981159518446519	0.8468996289707273	0.7723048408155	0.807503334435312	0.5631041463677957	0.8309285388098765	0.783339826736773	0.842622029603214	0.6690188210348719	0.7676047790555216	0.7462214762445373	0.4870133048830617	0.7292565935985548	0.7973950834765571	0.7748550384004903	0.7541282287358919	0.7314594332164074	0.5599464076279274	0.7610311301137228	0.5849977569258685	0.538164783132619	0.7457587793385043
QinJ_2012__T2D-030__bin.35	0.5450116572573652	0.6683119135243454	0.561196940210794	0.6434967918457003	0.6444887184724176	0.6700152218732538	0.6815306653307386	0.6706556966415538	1.0	0.5366346172373263	0.7151636833079635	0.6935802231256865	0.6415129385922658	0.4319243145339987	0.6733601803502958	0.6866413611052236	0.5615545578912888	0.4908410566677585	0.4066051369005183	0.6556974122815469	0.6764245939228116	0.6571910826798204	0.6580188442937244	0.4989545077939845	0.6756546368908842	0.6539432359004991	0.6681808898051985	0.6149860305593556	0.6340037380296345	0.6456224590069173	0.434928611341259	0.7858532919709436	0.7453738993044182	0.6389379371471512	0.6483192354380624	0.5772319312510839	0.47582650918129443	0.7316333648047169	0.5749868012871153	0.5201579991907358	0.6265531127767394
XieH_2016__YSZC12003_37583__bin.91	0.7439726895521872	0.889346300913366	0.7596165876791714	0.8781313989789099	0.8208341852589904	0.8294602504203681	0.9072118177092711	0.8833436581636857	0.7082630176783474	1.0	0.9152682370581049	0.8884531776572706	0.8702245116558688	0.5302090294964636	0.9078323247550777	0.8834830179428259	0.6715595173065518	0.6012774307346295	0.5300167740347301	0.890423541833873	0.9118523966321725	0.9108077069009538	0.9012325711268917	0.6856887679069688	0.9058365299618439	0.8513346496220502	0.9032822788273841	0.8132294136615307	0.8533772367498859	0.8940072243295727	0.5946298675471763	0.8756951459056198	0.9325152812575338	0.8680629092421981	0.9041743848588143	0.7777181005974161	0.6633779793238914	0.9029974559211122	0.7077686464910327	0.6547051218279121	0.8520253451697596
