	XieH_2016__YSZC12003_35698__bin.59	YuJ_2015__SZAXPI015258-57__bin.74	LeChatelierE_2013__MH0137__bin.13	ZeeviD_2015__PNP_Main_421__bin.8	QinJ_2012__CON-053__bin.38	XieH_2016__YSZC12003_37337__bin.42	QinJ_2012__NOF008__bin.25	HMP_2012__SRS063985__bin.14	QinJ_2012__T2D-030__bin.35	XieH_2016__YSZC12003_37583__bin.91	XieH_2016__YSZC12003_35654__bin.42	YuJ_2015__SZAXPI003435-11__bin.41	LeChatelierE_2013__MH0173__bin.39	RaymondF_2016__P25C7__bin.86	XieH_2016__YSZC12003_36117__bin.36	QinJ_2012__T2D-106__bin.39	RaymondF_2016__P2E0__bin.25	BackhedF_2015__SID589_12M__bin.42	XieH_2016__YSZC12003_36703__bin.65	NielsenHB_2014__MH0173__bin.19	ZeeviD_2015__PNP_Main_576__bin.55	XieH_2016__YSZC12003_37647__bin.71	LiJ_2014__O2.UC27-1__bin.34	NielsenHB_2014__MH0137__bin.4	XieH_2016__YSZC12003_37285__bin.27	QinN_2014__LD-22__bin.22	XieH_2016__YSZC12003_35392__bin.92	BritoIL_2016__W2.43.ST__bin.61	LeChatelierE_2013__MH0183__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.58	LouisS_2016__AS62_6__bin.16	QinN_2014__LD-97__bin.39	ZeeviD_2015__PNP_Main_690__bin.5	NielsenHB_2014__MH0183__bin.15	ZeeviD_2015__PNP_Main_754__bin.10	ZeeviD_2015__PNP_Main_474__bin.34	QinN_2014__HD-1__bin.14	HeQ_2017__SZAXPI029591-123__bin.28	LeChatelierE_2013__MH0251__bin.9	RaymondF_2016__P22E0__bin.25	QinJ_2012__T2D-048__bin.35
XieH_2016__YSZC12003_35698__bin.59	1.0	0.9808602034191733	0.9851088556997829	0.9795188275713884	0.9792597689286431	0.9705655492912255	0.9789658851993112	0.9827795650413373	0.9705814556968291	0.9858061869765852	0.9780719085459066	0.9794820155303116	0.9815062175647593	0.9773400858450136	0.9826403109108904	0.9794703896333052	0.972914297369462	0.9809473250532905	0.9774213552308809	0.9810170049678164	0.9790787351291534	0.9916596430646363	0.9803579061226982	0.9853055540234956	0.9802628437422073	0.9769745652202547	0.9801669044038113	0.9676548527029795	0.9894049885486043	0.9900980747454194	0.9824772671837234	0.9707964953975086	0.9712969296203299	0.9890832053840352	0.9901374454461148	0.9833281479935361	0.9789570418837107	0.9703984182018809	0.9707258400972271	0.9704128285329777	0.9790136303695438
YuJ_2015__SZAXPI015258-57__bin.74	0.9808602034191733	1.0	0.9821895314621046	0.9819530524672795	0.9811074953588554	0.9663682511088992	0.981762733931048	0.9811561910092857	0.9678083029068708	0.9815278049427705	0.9797530105410165	0.9815146222728037	0.9834701110363536	0.9777905029053403	0.9817472888198044	0.9821633694183627	0.9714978650900653	0.9806906600462728	0.9777923050932115	0.9837618291515874	0.9793034681676372	0.9801319433146604	0.9813876186803299	0.9828005091355831	0.9804291835579733	0.9791450457986387	0.9812593561877637	0.9654664723615676	0.9788015138118414	0.9799969667281456	0.9826149214782707	0.9664603853608766	0.9683743038595626	0.9791475027235971	0.979289779442515	0.9806345138086422	0.9795958552067087	0.966814950487757	0.968467596329248	0.9664387199988057	0.9799267172995477
LeChatelierE_2013__MH0137__bin.13	0.9851088556997829	0.9821895314621046	1.0	0.9818112516493507	0.9817244404697785	0.9704542184277424	0.982505030452668	0.9846444421681534	0.970684168819415	0.9840081204787654	0.9807496783131667	0.9817275974295343	0.9846114413588462	0.9801693294012902	0.9852613003740593	0.9818455205002652	0.9736251302130106	0.9824827552043989	0.9796715792290027	0.9841932252738624	0.9807767059993949	0.986489282440784	0.9872976060913113	0.9996696715479699	0.9817398340287852	0.979307803415907	0.9871961496646635	0.9686871807876152	0.9850848712819424	0.9850879011094698	0.9847880267048903	0.9700624442462087	0.9716848154902555	0.9850885826221886	0.9855788600545088	0.9854658363336578	0.980845220190392	0.9695480047814585	0.9718277705455346	0.9711156407631106	0.9817298430442662
ZeeviD_2015__PNP_Main_421__bin.8	0.9795188275713884	0.9819530524672795	0.9818112516493507	1.0	0.9849113316372683	0.9673480539822886	0.9855463710055844	0.9828432129655371	0.968071230691287	0.9815467378385705	0.9821504839828287	0.9872526337433236	0.9828546201050726	0.9832826916252662	0.9821821495942564	0.985069043260047	0.9700239980082044	0.9864764725212298	0.9830707354909598	0.9824733363250184	0.9856468468789277	0.9807340416191062	0.9810697714626613	0.9828079911072838	0.9850801136198012	0.9814586512813174	0.9807977137609478	0.9646224736692286	0.979542319440339	0.9800892746412765	0.9848338673845792	0.9672676149986336	0.9684685972385009	0.979429770170214	0.9804678940509448	0.9828721786973362	0.9840286034926696	0.9671891304288598	0.968578399631917	0.9672926107598354	0.984333677967024
QinJ_2012__CON-053__bin.38	0.9792597689286431	0.9811074953588554	0.9817244404697785	0.9849113316372683	1.0	0.9661663709424904	0.9968065966289429	0.9794089682138355	0.9689323708933663	0.9808063846530389	0.984014755610206	0.9883114605223903	0.981666181155701	0.9866454963757065	0.9805978043860423	0.9864337116018148	0.9688528940299801	0.9868701671450278	0.9825683273662448	0.9809470866935306	0.9859037968208241	0.9795091090807648	0.9791807936467027	0.9825080947544957	0.9846755881369803	0.9831103147048942	0.9786226940789645	0.9637229627766599	0.9786503744076208	0.9789276404211034	0.9828991664637623	0.968272999506139	0.9645770807794734	0.9787284378872161	0.9791433200471629	0.9810927673370827	0.9891489900723796	0.9674630121978287	0.9686118249648843	0.9673840981493943	0.9873305720124076
XieH_2016__YSZC12003_37337__bin.42	0.9705655492912255	0.9663682511088992	0.9704542184277424	0.9673480539822886	0.9661663709424904	1.0	0.9668408439825734	0.969939026515412	0.9840911600684666	0.9839063544330188	0.9650764475683423	0.9669171143478447	0.9699175677122364	0.9665745070200848	0.9691495939338535	0.9678094084943528	0.9927759247089166	0.968822134099425	0.9680898914403598	0.9695436525537833	0.966548248919659	0.9701182927245344	0.9710025827659075	0.9718077912434697	0.967102659385463	0.9651140047771173	0.9694962112265404	0.9712612567308669	0.9698337081906663	0.9700834928284889	0.9702899540405853	0.9843500542209213	0.9935452404784484	0.9698557512027381	0.9706460053488792	0.970411154873879	0.9659413303189485	0.9812298357711845	0.9834052269181034	0.9871430226738165	0.9678962507561448
QinJ_2012__NOF008__bin.25	0.9789658851993112	0.981762733931048	0.982505030452668	0.9855463710055844	0.9968065966289429	0.9668408439825734	1.0	0.981273871270146	0.9679102173659825	0.9819252116387285	0.9839147850231627	0.9875495846379886	0.9813884444596549	0.9853463727555737	0.9803710298105301	0.9878645752065913	0.9691751953636287	0.9862350510299919	0.9846694667117424	0.9813122559444055	0.9857669514353883	0.9800837641482325	0.979776235498074	0.9832954387267412	0.9851449829281965	0.9817512970374089	0.979640682937183	0.9642688706823302	0.9786754487061913	0.9795616903622405	0.9829424392861935	0.9659410474403569	0.9674808027605787	0.9785007668642551	0.9790606610514402	0.9818351662017177	0.9895460023024153	0.9675033626955124	0.9686587596489008	0.9670675362847839	0.9871735320375075
HMP_2012__SRS063985__bin.14	0.9827795650413373	0.9811561910092857	0.9846444421681534	0.9828432129655371	0.9794089682138355	0.969939026515412	0.981273871270146	1.0	0.969848039266387	0.9832263532576527	0.9786406877390937	0.9814088722360229	0.9845548389111864	0.9792498503203348	0.9843199042052025	0.9816819524844476	0.97328989236566	0.982119679746857	0.9784431155668964	0.9841009379967669	0.9793039285162853	0.9834323893705419	0.9838041181037955	0.9854310834515256	0.9791845555907057	0.9791141803227466	0.9835941765096302	0.9660592234576452	0.9813950603479002	0.9818351413720965	0.9847451746064093	0.9688250855854986	0.9702721590149362	0.9812099959498333	0.9827396254131473	0.9867472685034938	0.9792473030715285	0.9680806913074624	0.9707077862679423	0.9696501865322936	0.9805632136158213
QinJ_2012__T2D-030__bin.35	0.9705814556968291	0.9678083029068708	0.970684168819415	0.968071230691287	0.9689323708933663	0.9840911600684666	0.9679102173659825	0.969848039266387	1.0	0.9828615336004711	0.9680420559387956	0.9689110937512154	0.97005455657316	0.9672668809141862	0.9705975267492915	0.9675485464137389	0.9860390363476407	0.9691609065814143	0.9660967472894079	0.9694117315172124	0.967917515530215	0.9706551861229592	0.9713035116302768	0.9721910281580708	0.9678068089135283	0.9662028934264415	0.9698920811859535	0.9713608604274315	0.9701776310351031	0.9711918288509083	0.9709733497073412	0.9963908299619958	0.984778265832837	0.9701425562661791	0.9709526402259688	0.9704250251020103	0.9678022848423886	0.9811993561408905	0.9814404495255559	0.9837248033759476	0.9701575890874693
XieH_2016__YSZC12003_37583__bin.91	0.9858061869765852	0.9815278049427705	0.9840081204787654	0.9815467378385705	0.9808063846530389	0.9839063544330188	0.9819252116387285	0.9832263532576527	0.9828615336004711	1.0	0.9805350256176578	0.9812058268234012	0.9841540919871559	0.9813633494554238	0.983266476928938	0.9820465318707737	0.9850557719922204	0.9827303855888045	0.979481500531627	0.9837709888432689	0.9807119940384555	0.9863019818290456	0.9820490941022967	0.9847213527217918	0.9817113570159619	0.9797160776610401	0.9822902812766403	0.9768268291432081	0.9860857976915751	0.985877303670968	0.9843010395835508	0.9835630823344372	0.9844162644195369	0.985595830149854	0.9853734654570327	0.9832672595216265	0.9800596493111194	0.982834426223968	0.9851074471387672	0.9822627983325539	0.980949094911879
