	XieH_2016__YSZC12003_35698__bin.59	YuJ_2015__SZAXPI015258-57__bin.74	LeChatelierE_2013__MH0137__bin.13	ZeeviD_2015__PNP_Main_421__bin.8	QinJ_2012__CON-053__bin.38	XieH_2016__YSZC12003_37337__bin.42	QinJ_2012__NOF008__bin.25	HMP_2012__SRS063985__bin.14	QinJ_2012__T2D-030__bin.35	XieH_2016__YSZC12003_37583__bin.91	XieH_2016__YSZC12003_35654__bin.42	YuJ_2015__SZAXPI003435-11__bin.41	LeChatelierE_2013__MH0173__bin.39	RaymondF_2016__P25C7__bin.86	XieH_2016__YSZC12003_36117__bin.36	QinJ_2012__T2D-106__bin.39	RaymondF_2016__P2E0__bin.25	BackhedF_2015__SID589_12M__bin.42	XieH_2016__YSZC12003_36703__bin.65	NielsenHB_2014__MH0173__bin.19	ZeeviD_2015__PNP_Main_576__bin.55	XieH_2016__YSZC12003_37647__bin.71	LiJ_2014__O2.UC27-1__bin.34	NielsenHB_2014__MH0137__bin.4	XieH_2016__YSZC12003_37285__bin.27	QinN_2014__LD-22__bin.22	XieH_2016__YSZC12003_35392__bin.92	BritoIL_2016__W2.43.ST__bin.61	LeChatelierE_2013__MH0183__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.58	LouisS_2016__AS62_6__bin.16	QinN_2014__LD-97__bin.39	ZeeviD_2015__PNP_Main_690__bin.5	NielsenHB_2014__MH0183__bin.15	ZeeviD_2015__PNP_Main_754__bin.10	ZeeviD_2015__PNP_Main_474__bin.34	QinN_2014__HD-1__bin.14	HeQ_2017__SZAXPI029591-123__bin.28	LeChatelierE_2013__MH0251__bin.9	RaymondF_2016__P22E0__bin.25	QinJ_2012__T2D-048__bin.35
XieH_2016__YSZC12003_35698__bin.59	0.0	17689.0	11519.0	18492.0	18086.0	24423.0	19909.0	16203.0	20803.0	10381.0	20699.0	19133.0	16642.0	13441.0	16277.0	19081.0	17529.0	11700.0	12343.0	17524.0	19624.0	8154.0	18014.0	10657.0	18600.0	20977.0	18409.0	26060.0	9650.0	9645.0	10273.0	25682.0	25766.0	10203.0	9263.0	12700.0	13945.0	26424.0	20980.0	19259.0	18413.0
YuJ_2015__SZAXPI015258-57__bin.74	17689.0	0.0	16899.0	20974.0	21086.0	35174.0	23197.0	22690.0	27914.0	16150.0	25168.0	22301.0	19286.0	16057.0	22264.0	22034.0	22282.0	15081.0	15117.0	19666.0	25136.0	22837.0	22297.0	14364.0	23723.0	24034.0	22872.0	34503.0	23184.0	22949.0	12578.0	37705.0	36168.0	22873.0	23919.0	19373.0	17098.0	37396.0	27035.0	26978.0	22357.0
LeChatelierE_2013__MH0137__bin.13	11519.0	16899.0	0.0	16845.0	16185.0	25256.0	16850.0	14691.0	21346.0	11942.0	18536.0	17399.0	14049.0	11983.0	14299.0	17181.0	17622.0	11316.0	10941.0	14897.0	18743.0	12603.0	12185.0	338.0	17535.0	18867.0	12413.0	25437.0	13212.0	13598.0	9424.0	26848.0	26255.0	13348.0	13387.0	11618.0	13258.0	28099.0	20732.0	18450.0	16350.0
ZeeviD_2015__PNP_Main_421__bin.8	18492.0	20974.0	16845.0	0.0	16897.0	33103.0	17711.0	19995.0	26658.0	15930.0	22108.0	15747.0	19418.0	12060.0	21564.0	18040.0	22996.0	10165.0	10662.0	20778.0	17735.0	21942.0	22117.0	13935.0	18426.0	20860.0	23168.0	35793.0	21593.0	21995.0	10957.0	34854.0	35296.0	21945.0	22017.0	16742.0	13392.0	36129.0	26156.0	25745.0	17274.0
QinJ_2012__CON-053__bin.38	18086.0	21086.0	16185.0	16897.0	0.0	32416.0	3951.0	23129.0	25979.0	15488.0	19864.0	14261.0	19825.0	9151.0	22449.0	15632.0	23006.0	9721.0	11062.0	21627.0	16754.0	21999.0	23426.0	13538.0	18613.0	18851.0	24537.0	34617.0	21372.0	22060.0	11729.0	33342.0	37710.0	21579.0	22129.0	17915.0	9166.0	34450.0	24782.0	26271.0	13789.0
XieH_2016__YSZC12003_37337__bin.42	24423.0	35174.0	25256.0	33103.0	32416.0	0.0	35118.0	31913.0	13830.0	13123.0	36937.0	34763.0	29786.0	21024.0	32532.0	33073.0	5826.0	20544.0	18871.0	30899.0	35330.0	30654.0	29393.0	21262.0	34163.0	35316.0	31512.0	29146.0	29990.0	29808.0	18708.0	17419.0	7848.0	30226.0	29426.0	25978.0	24586.0	20863.0	13911.0	10763.0	31206.0
QinJ_2012__NOF008__bin.25	19909.0	23197.0	16850.0	17711.0	3951.0	35118.0	0.0	22872.0	28376.0	16120.0	21191.0	16092.0	21753.0	11184.0	25213.0	15866.0	24610.0	10992.0	10702.0	22804.0	18493.0	23496.0	24661.0	14040.0	19239.0	22462.0	25323.0	36669.0	23369.0	23300.0	12713.0	38647.0	38440.0	23858.0	24716.0	18551.0	9317.0	37375.0	27244.0	27428.0	15215.0
HMP_2012__SRS063985__bin.14	16203.0	22690.0	14691.0	19995.0	23129.0	31913.0	22872.0	0.0	26237.0	14566.0	26108.0	22437.0	17802.0	15284.0	19904.0	22040.0	21061.0	13652.0	14387.0	18923.0	26138.0	19081.0	19503.0	12234.0	25793.0	24398.0	20615.0	33862.0	21297.0	20214.0	11079.0	33903.0	35350.0	21712.0	19411.0	14456.0	17329.0	36225.0	25554.0	24357.0	21616.0
QinJ_2012__T2D-030__bin.35	20803.0	27914.0	21346.0	26658.0	25979.0	13830.0	28376.0	26237.0	0.0	11933.0	29654.0	27977.0	24925.0	18344.0	25688.0	28911.0	10172.0	19640.0	17886.0	26023.0	28157.0	25022.0	24500.0	18003.0	28222.0	28676.0	26102.0	22852.0	24532.0	24132.0	16380.0	3680.0	14721.0	24752.0	24434.0	22150.0	19878.0	17847.0	13846.0	10984.0	24260.0
XieH_2016__YSZC12003_37583__bin.91	10381.0	16150.0	11942.0	15930.0	15488.0	13123.0	16120.0	14566.0	11933.0	0.0	17514.0	16415.0	13556.0	9714.0	14934.0	15593.0	9866.0	10208.0	10691.0	14206.0	17290.0	12265.0	15904.0	10299.0	16286.0	16976.0	15726.0	18526.0	11673.0	12412.0	9177.0	14150.0	14286.0	12292.0	13001.0	12793.0	13004.0	15238.0	10362.0	11416.0	15957.0
XieH_2016__YSZC12003_35654__bin.42	20699.0	25168.0	18536.0	22108.0	19864.0	36937.0	21191.0	26108.0	29654.0	17514.0	0.0	19223.0	22892.0	13486.0	25192.0	21561.0	25126.0	12466.0	13832.0	24073.0	21071.0	25956.0	26136.0	15779.0	21463.0	18217.0	26990.0	38546.0	26379.0	25375.0	13774.0	38095.0	39768.0	26461.0	25462.0	21196.0	14740.0	39819.0	27846.0	28789.0	18448.0
YuJ_2015__SZAXPI003435-11__bin.41	19133.0	22301.0	17399.0	15747.0	14261.0	34763.0	16092.0	22437.0	27977.0	16415.0	19223.0	0.0	21575.0	10891.0	22974.0	18687.0	23790.0	10595.0	13228.0	23032.0	16674.0	22647.0	24608.0	14428.0	19131.0	20117.0	25162.0	36877.0	23428.0	23114.0	11903.0	36240.0	36809.0	23340.0	23422.0	19068.0	12291.0	36066.0	27286.0	27045.0	15620.0
LeChatelierE_2013__MH0173__bin.39	16642.0	19286.0	14049.0	19418.0	19825.0	29786.0	21753.0	17802.0	24925.0	13556.0	22892.0	21575.0	0.0	14935.0	17524.0	21962.0	20135.0	12445.0	12319.0	275.0	21829.0	19803.0	19754.0	12224.0	22239.0	21431.0	19883.0	31942.0	19865.0	20150.0	11133.0	32256.0	32036.0	20597.0	19627.0	15570.0	16238.0	33324.0	22495.0	22884.0	20076.0
RaymondF_2016__P25C7__bin.86	13441.0	16057.0	11983.0	12060.0	9151.0	21024.0	11184.0	15284.0	18344.0	9714.0	13486.0	10891.0	14935.0	0.0	15402.0	11965.0	17158.0	7166.0	5835.0	15565.0	9807.0	14283.0	15956.0	10200.0	12487.0	13616.0	16152.0	23682.0	14782.0	14762.0	9283.0	24100.0	23129.0	14824.0	14706.0	11177.0	7286.0	24686.0	19018.0	14716.0	9706.0
XieH_2016__YSZC12003_36117__bin.36	16277.0	22264.0	14299.0	21564.0	22449.0	32532.0	25213.0	19904.0	25688.0	14934.0	25192.0	22974.0	17524.0	15402.0	0.0	23547.0	21642.0	14557.0	14578.0	18455.0	24549.0	20921.0	19415.0	12441.0	23588.0	25506.0	19602.0	33210.0	20862.0	21098.0	10908.0	33911.0	35044.0	21474.0	20950.0	16575.0	16974.0	36323.0	25553.0	25242.0	22531.0
